comment_text,comment_speed,comment_service,comment_taste,comment_time
10 numara lahmacun.,10.0,10.0,10.0,1606417672
Yedigim en iyi katmer di elinize saglik daha da buyu ( antap).,10.0,10.0,10.0,1606072072
Kuru baklava enfes.,9.0,9.0,9.0,1605640072
"Çankaya şubeden aldığım fıstıklı baklava bi tık daha iyi gibiydi. Ama bu da gayet güzel. Muhtemelen aynı yerde üretiliyor da olabilir, geçen seferki daha güzeldi diyebilirim sadece. Dondurma da müthiş mutlaka demeyin. İzmir baklava yönünden zayıf bir şehir, antap bu şehrin en iyisi.",9.0,10.0,9.0,1605121672
Katmer söyledim her şeyi çok güzeldi ama şerbeti 1tık ağır geldi keşke daha az olsaydı.,10.0,10.0,9.0,1604862472
 kadayıf fazla çıtırdı ve daha önce hiç bu derece aşırı şeker yoğunluğu olan bir tatlı yememiştim. Adı tatlı diye şerbete bu kadar aşırı şeker koymak bana göre yanlış.,9.0,9.0,6.0,1604862472
Biraz yanıktı ama onun dişında fena değil.,8.0,10.0,7.0,1604344072
Baklava akşam saatlerinde istememize rağmen çok tazeydi ve çok güzeldi servis hızlı kurye kibardı.,10.0,10.0,10.0,1604171272
Tadı damagında kalmak tam da bu :d keyif i yaşadım.,10.0,10.0,10.0,1604171272
Çatal ıslak mendil olmalıydı.,10.0,5.0,10.0,1604047126
İzmirde şu ana kadar yediğim en iyi baklavaydı. Çok da hızlı geldi teşekkürler.,10.0,10.0,10.0,1604047126
Havuç dilimi sipariş verdik çok beğendik tavsiye ederim.,10.0,10.0,10.0,1604047126
Kenarları ve altı neredeyse yanmıştı.,8.0,7.0,3.0,1604047126
Burada lezzetini beğendiğim tek yer. Hizli geldi servis guzeldi lezzet zaten sahane cok bayildik.,10.0,10.0,10.0,1604047126
"Şehrin kesinlikle en iyilerinden, yerlerinde de aynı özen ve hijyen var, çoğu semtte bu kaliteye yakın baklavacı yok.",10.0,10.0,10.0,1604047126
Tek kelimeyle harika...,10.0,10.0,10.0,1604047126
Paketleme zayıf ( daha hijyenik olması için kutuyu sarma / paketleme vs yapılabilir ).,9.0,9.0,8.0,1604047126
Güzeldi.,9.0,9.0,9.0,1604047126
Katmerin yanına meyve dilimleri olabilir o kadar para veriyoruz (lezzete laf yok).,10.0,5.0,10.0,1604047126
İyi.,10.0,10.0,10.0,1604047126
"Güzeldi, ellerinize sağlık.",8.0,8.0,8.0,1604047126
Çok lezzetli taze... Ellerinize sağlık.,10.0,10.0,10.0,1601417380
Glikozu basmışlar.,1.0,1.0,1.0,1601417380
Şerbeti fazlaydı.,10.0,10.0,10.0,1601417380
Kola 2 adet istememe rağmen 1 tane geldi o molada şekersiz geldi.,8.0,7.0,7.0,1601417380
Lezzeti ve kalitesi tartisilmaz. Son zamanlarda yedigim en guzel tatliydi. Ve miktari bir hayli fazlaydi. Ellerinize sağlık. Ayrica kurye arkadas icten samimi ve guleryuzluydu. Beni mekana çaya davet etti. Ugriycam nasipse. Böyle bir iş arkadasina sahip oldugunuz cok şanslisiniz...,10.0,10.0,10.0,1601417380
Sekerlenmiş gibi vasat.,6.0,1.0,1.0,1601417380
Hepsi mükemmel.,10.0,10.0,10.0,1601417380
Kampanya da su da vardı ama su gelmedi yine de fıstık sarma harika.,10.0,6.0,10.0,1598787634
"Aldığımız menü vodafone kampanyası tatlı 0, 5 litre lik su var adet aldım o menüden ama su gelmedi umutuldu sanırım?",9.0,8.0,10.0,1598787634
Fıstık sarma başarılıydı.,10.0,10.0,10.0,1598787635
Cok güzeldi.,10.0,10.0,10.0,1598787635
"Kaliteli, guleryuzlu...",10.0,10.0,10.0,1598787635
İyi seviye fıstık sarma yiyen biriyseniz yemeyin. Malesef iyi değil. Fıstık sarması kesinlikle çok kötü. Aldığıma pişmanım. Restoran bu konuda ne yapabilir? Fikrim yok. Verdiğim paraya biraz acıdığım bir alışveriş oldu. Fıstık sarmasından uzak durun.,10.0,10.0,4.0,1598787635
Jokeri degerlendirip sipariş verdik ve özellikle fıstıklı dondurma sütlü nuriye ve prenses baklava beğendik. Elinize sağlık...,10.0,10.0,10.0,1598787635
Fıstık sarma güzeldi fakat baklava aşırı yağlı ve şerbetli fıstığı azdı.,8.0,7.0,3.0,1598787635
Fıstık sarma süperdi.,10.0,10.0,10.0,1598787635
Çok tazeydi fakat şekeri fazla geldi.,10.0,10.0,8.0,1598787635
Baklavası çok iyiydi. Ama dondurmalar daha iyi olabilirdi.,10.0,10.0,8.0,1598787635
Gayet lezzetli.,10.0,10.0,10.0,1598787635
Tesekkurler.,10.0,10.0,10.0,1596157889
Kaliteyi beğendik teşekkür ederiz.,9.0,9.0,9.0,1596157889
Baklava tepsisinin ne kadar kenarı varsa tamamı koyulmuş etik değil ama joker diye sanırım. (4 sıra baklava geldi 3 sırası kenar) genel olarak lezzeti ortalama biraz şerbeti fazla ki kuru baklava söylemiştim.,10.0,1.0,5.0,1596157889
"Çok yerde künefe yedim, yediğim en kötü künefeydi diyebilirim. Her türlü süt ürününe bayılan beni bile rahatsız etti içindeki yağ kokusu. Üzerindeki antep fıstığı çok az, peyniri gereksiz fazla ve kayış gibiydi tabiri caizse. Bir parça yedim gerisi atıldı yiyemedim. Fiyata göre cidden kötü. Üzdünüz.",9.0,2.0,1.0,1596157889
Bu seferki şeker kristalleşmişti. Yoksa sütlü nuriyesi favorim.,9.0,7.0,5.0,1596157889
Güzel.,10.0,10.0,10.0,1596157889
