comment_text,comment_speed,comment_service,comment_taste,comment_time
Lasamada diyorum.,8.0,7.0,5.0,1606672621
"Hic kirkligina ugramadim, ne zaman soylesem gayet hizli ve sicak geliyor. Tesekkurler.",10.0,10.0,10.0,1606586221
Kavurmalı pizzaya lafım yok çok lezzetliydi ama bbq tavuklu pizzada bbq sosu pizzaya sadece koklatmışlar :(.,10.0,8.0,9.0,1606586221
Haftada en az 3 defa sipariş veriyorum bu fiyata bu lezzet 10 numara. Servis hizmet lezzet 101010.,10.0,10.0,10.0,1606586221
Güzeldi hızlı geldi lezzetliydi.,10.0,10.0,10.0,1606586221
Hayatımda gördüğüm en hızlı servis valla tebrik ederim.,10.0,10.0,10.0,1606499821
Pizzanın bir diliminde malzeme yoktu ama genel olarak lezzetliydi.,6.0,7.0,8.0,1606499821
Dalga mi geçiyorsunuz müşterilerle anlamadım gerçekten siparişimde menüde 2 orta boy patates vardı. Ama siz resmen 4 5 tane patatesi atıp yollamışsınız. Bari fiyatı düşürun kuş kadar porsiyona bir sürü para ödüyoruz ah nerede o eski pizza pizza. Porsiyonlar çok çok çok çok küçük.,8.0,1.0,6.0,1606499821
40 dkda geldi.,1.0,1.0,1.0,1606413421
Tavsiye ederim baya iyi teşekkürler.,10.0,10.0,10.0,1606413421
Pizza detaylarına bakılmamıştı özellikle mantar olmamasını belirtmemize rağmen herşey konulup gönderilmiş. Biraz daha dikkatli olunabilir.,10.0,10.0,7.0,1606413421
Son siparişim olducom bo siparişi verdim pizza dilim küçüle küçüle minyatür olmuş patates saydım 16 dilim fanta istedim cola gelmiş yazık ödediğim paraya.,1.0,1.0,1.0,1606413421
Good.,10.0,10.0,10.0,1606413421
Pizza mi bu?,1.0,1.0,1.0,1606327021
Ekstra tavuk soylememize ragmen gelmedi ve pizza soguktu. Servis calisani soylemesem patatesleri bile vermeyecekti.,1.0,1.0,1.0,1606327021
Güzeldi.,10.0,10.0,10.0,1606240621
Kaç tane pizza söylüyoruz iki tane mayonez iki tane ketçap sos gönderiyorsunuz lütfen bunu değiştirebilir misiniz? Yetmiyor gerçekten.,10.0,1.0,10.0,1606240621
Büyük boy pizza söylüyoruz iki tane mayonez iki tane ketçap sos gönderiyorsunuz lütfen bunu değiştirin.,10.0,1.0,10.0,1606240621
Soslar eksikti.,5.0,3.0,8.0,1606154221
Pizzayı pişirseler güzel olabilir.,10.0,5.0,1.0,1606154221
"Çok hızlı çok iyi, teşekkürler.",10.0,10.0,10.0,1606154221
Tşkler.,9.0,9.0,9.0,1606067821
Bu bayi olabildigince iyi yapıyor da terra pizza cok kalitesiz ve tatsız ya.,10.0,10.0,1.0,1606067821
Ağam bu pizza boş.,10.0,5.0,1.0,1606067821
Maalesef bu defa sıcak değildi bu olay lezzetini etkiledi. Kurye kapıya gelince poşet eklememizi söyledi şaşırdık min paket tutarı 15. 95 verdiğimiz sipariş tutarı 75tl olmasına rağmen 25 krş peşine düşülmesi bizi şaşırttı yemeksepetine iletince onlarda şaşırdı ışletmeci ise kanundan dolayı dedi. S.,9.0,5.0,7.0,1606067821
Hızlı ve sıcak geldi teşekkür ederim.,10.0,9.0,9.0,1606067821
Soğuk geldi. Extra mozarella peyniri istememe rağmen pizza zayıftı. Tavsiye etmiyorum.,7.0,7.0,7.0,1605981421
Hızlı ve güzel bir yemek tercihi için gayet ideal bir yer. Tavsiye ederim.,8.0,9.0,9.0,1605981421
Çok hızlı geldi. Lezzetliydi. Sicak sıcak yedim teşekkürler.,10.0,10.0,9.0,1605895021
Lezzet fiyat ve servis mükemmel.,10.0,10.0,10.0,1605895021
Güzeldi beğendim.,10.0,10.0,10.0,1605895022
Çıtır kova gelmedi. Ben de alırken kontrol etmedim. Keşke eksik olmasaydı. Ama pizza güzeldi.,8.0,6.0,8.0,1605808622
"Hızlı, güzel ve lezzetliydi. Teşekkürler :)).",10.0,10.0,10.0,1605722222
Çok lezzetliydi ve hızlı geldi.,10.0,10.0,10.0,1605722222
İyi.,7.0,8.0,9.0,1605722222
Aşırı lezzetsiz ve mazeme neredeyse yok gibiydi.,7.0,7.0,1.0,1605635822
Gayet hızlı ve sıcak geldi. Malzemeler taze ve lezzetliydi. Teşekkürler.,10.0,10.0,10.0,1605635822
Kola o kadar çalkalanmış ki açtığımda parlıyordu.,10.0,6.0,10.0,1605635822
Porsiyonları cok kuculttunuz.,9.0,2.0,9.0,1605635822
Güzel.,9.0,9.0,9.0,1605635822
"17 dakikada sıcacık kapıdaydı. Lezzeti de yerindeydi, teşekkürler.",10.0,10.0,10.0,1605549422
Yazılanlara önemli vermiyorlar.,10.0,2.0,10.0,1605549422
Yemek çok hızlı ve sıcak geldi kuryede çok güler yüzlüydü teşekkürler.,10.0,10.0,10.0,1605463022
Güzell.,10.0,10.0,10.0,1605463022
Lezzetli ve guzeldi..,10.0,10.0,10.0,1605463022
Servis yapan beyfendi çok iyiydi selamlar saygılar uzayan sinema geceleri için doyurucu ve lezzeti çok iyi menüler var :).,10.0,10.0,10.0,1605463022
Pizzayi paketciye mi yaptirdiniz bilmiyorum. Kötü olmasının başka açıklaması olamaz.,9.0,7.0,1.0,1605376622
"Tat olarak cidden güzeldi, pizza ve patates sıcacıktı. Kurye abi de hızlı geldi. Tavsiye ederim.",10.0,10.0,10.0,1605376622
Süper.,10.0,10.0,10.0,1605376622
Güzel.,10.0,10.0,10.0,1605376622
Her zaman ki gibi gayet guzeldi ve onceden istenen siparis saatini dakika gecirmediler. Ayrica ibrahim bey cok tatliydi kendisine tekrar tesekkurler.,10.0,10.0,10.0,1605376622
Güzel sıcak.,10.0,10.0,10.0,1605290222
Valla tadı mükemmeldi diyecek birşey yok ekstra notumu görüp istediğimi göndermişler hl kullanıyorum.,10.0,10.0,10.0,1605290222
Sıcak ve güzeldi wp.,10.0,10.0,10.0,1605203822
Elinize geldi sicak ve güzeldi.,10.0,10.0,10.0,1605117422
Güzeldi.,10.0,10.0,10.0,1605117422
O kadar zengin malzeme ile nasıl lezzetsiz oluyor anlamıyorum.,10.0,10.0,7.0,1605117422
"Çok güzeldi, hızlı geldi ve sıcaktı :).",10.0,10.0,10.0,1605117422
Çok çabuk geldi teşekkürler.,10.0,10.0,10.0,1605031022
Gayet güzeldi sıcak geldi.,5.0,6.0,7.0,1605031026
"Siparis hizlica teslim edildi, oyle hizliydi ki gelmesini istedigim saatten yarim saat erken geldi ve misafirim gelene kadar sogudu, tekrar isitmak zorunda kaldim!",10.0,10.0,8.0,1605031026
Kuryeniz çok nazikti gerçekten. Teşekkür ediyorum kendisine.,10.0,10.0,10.0,1604944626
Çok hızlıydı teşekkürler.,9.0,9.0,9.0,1604944626
Siparişi getiren arkadaş çok sempatik. Her zaman o getirsin. Üstelik tarantinoya benziyor. En yüksek puan kuryeye.,8.0,10.0,8.0,1604858226
Farklı pizza sipariş etmeme rağmen ikisi de aynı geldi.,6.0,3.0,3.0,1604858226
"5 menü söyledik, menü başına düşen ketçap mayonez sayısı eksik çıktı. Bunun yanı sıra menülerdeki normal ve elma dilim patatesleri karıştırdılar. Artı yönü tavuklarının diğer pizzacılara nazaran lezzetli olmasıydı. Kurye ise gayet anlayışlı ve kibardı.",8.0,6.0,8.0,1604771826
Rezalet yanlış sipariş lezzet berbat soğuk.,1.0,1.0,1.0,1604771826
Ellerinize sağlık.,10.0,10.0,10.0,1604771826
"16. Dakikada gelmişti, kurye arkadaşımız çok sıcak kanlıydı. Her şeyden memnun kaldık :).",10.0,10.0,10.0,1604771826
Teşekkürler.,10.0,9.0,9.0,1604771826
Cok güzel herşey.,10.0,10.0,10.0,1604685426
İlk ve son siparişim oldu.,10.0,6.0,3.0,1604599026
Patates koymayı unutmuşlardı resmen.,10.0,10.0,7.0,1604599026
Tam 48 dakika da geldi ayrıca ince hamur la klasik hamur arasında hiç bir fark yok.,5.0,6.0,7.0,1604599026
Malzemesi bol olsun diye ekstra para verip diğer pizzalardan seçiyoruz. Yine de hakkını vermiyor sucuk tadımlık resmen. Salam sosis basmışlar. Kenarlar bomboş. Genel olarak malzemelerin pek tadı yok. Kullanılan malzemeler 3. Sınıf ürünler muhtemelen. Karın doyurmak için yenebilir.,10.0,9.0,6.0,1604512626
Her çok iyi sadece ketçap mayonez daha fazla koyulmalı bence.,10.0,10.0,10.0,1604512626
"Bu kadar geç getirip bir de soğuk getirdiniz, siz getirmeye utanmadınız belki ama ben yerken utandım.",1.0,1.0,1.0,1604426226
Çok geç geldi.,1.0,1.0,3.0,1604426226
Harika lezzet.,10.0,10.0,10.0,1604253426
Eskiden harika olan pizzalarını bu sefer hiç beğenmedim sanırım uzun sürede geldiği için lezzetini yitirmişti.,3.0,8.0,3.0,1604253426
Güzeldi.,10.0,10.0,9.0,1604253426
Pizzalar kuruydu. Ekstra gelen soslarin hiçbir lezzeti yoktu. Kızarmış patatesler de sünger gibi olmuştu.,7.0,6.0,6.0,1604253426
Tavuklu pizza cok kotu eskiden yediklermizin yerini tutmuyor malesef.,6.0,6.0,2.0,1604253426
İnanilmaz gec geldi.,1.0,1.0,1.0,1604253426
Güzeldi.,10.0,10.0,10.0,1604167026
Her seferinde hızlı ve sıcak geliyor.,10.0,10.0,10.0,1604167026
Her zaman ki gibi çok hızlı servis ve lezzet te mükemmel tabi ki.,10.0,10.0,10.0,1604167026
Satın aldığımız soslar getirilmedi. Servis hızlı ancak satın alınan soslar gelmedi.,10.0,7.0,6.0,1604167027
Lezzet ve sıcaklık gayet güzeldi. Notları da okumuşlar ricamızı kırmamışlar. Teşekkürler.,10.0,10.0,10.0,1604042881
Hızlı geldi pizza büyuktu boldu lezzetliydi rakibi olamaz.,10.0,10.0,10.0,1604042881
Kurye abi için ayrıca teşekkür etmek istedim..,10.0,10.0,10.0,1604042881
Bol peynirli sevidiğim için özellikle ekstra ücret ödedim ancak fırın poğaçası usulu peynir sadece koklatılmıştı biraz daha sıcak olabilirdi soğuk derecesine yakındı kurye sosyal mesafeye dikkat ederek hizmet verdiği için teşekkür ediyoruz.,9.0,9.0,8.0,1604042881
Güzeldi.,10.0,10.0,10.0,1604042881
Nice.,8.0,8.0,8.0,1604042881
Tek sorun paketçi abimiz 2 karttan cekilmesi rica edildi uğrasamam diyerekten tek karttan cekti yaptigi yanlis bir durumdu sonucta müsteri memnuniyeti hergün pizza söylüyoruz yakistiramadim.,10.0,10.0,10.0,1604042881
Güzel.,9.0,9.0,9.0,1604042881
Güzel ve lezzetliydi.,10.0,10.0,10.0,1604042881
Süper.,10.0,10.0,10.0,1604042881
Çabuk ve sımsıcak geldi. Harikaydı.,10.0,10.0,10.0,1604042881
Gelen kuryeler çok nazik. Pizza sıcak ve lezzetli bence kendilerini inanılmaz geliştiriyorlar.,10.0,10.0,9.0,1604042881
İlk alışverişimiz olduğu ve kalabalık olduğumuzdan dolayı 5 farklı pizza siparişi verdik. 5te1 performans kabul edilebilir değil. Pizzalar çok yanıyor malzeme büzüşüp kalıyor.,9.0,8.0,3.0,1604042881
Soğuk ve tatsız ekmek yedim resmen yanında ne baharat ne ketçap ne mayonez geldi.,4.0,1.0,1.0,1604042881
"Fiyat performans eniyisi terra pizza, favorim.",10.0,10.0,9.0,1604042881
Dilimlenmemişti.,8.0,6.0,8.0,1604042881
Güzel.,9.0,9.0,10.0,1604042881
Teşekkürler.,10.0,10.0,10.0,1604042881
"Ekmeği ağızda dağılmıyor, lezzeti yerinde onun dışında pizza baharatı yok ayrıca yarım saati geçti 30 dk yazdıkları için insan bir beklenti içine giriyor malesef.",8.0,9.0,9.0,1604042881
İyi.,7.0,8.0,8.0,1604042881
Harikaaa.,10.0,10.0,10.0,1604042881
"Temiz, leziz, hizli servis...",10.0,10.0,10.0,1604042881
2 kez arka arkaya verdigim sipariş eksik geldi cok sorumsuz bir yer.,1.0,1.0,6.0,1604042881
Hızlı lezzetli bol malzemeli elinize sağlık pizza firmasinin en iyisi ötekiler az malzeme çok para kuru pizza.,10.0,10.0,10.0,1604042881
Sipariş hazırlanıyor yazıyor takipteyim evden çıkıyorum paket kapıda ama hala sipariş hazırlanıyor yazıyor biraz dikkat.,10.0,6.0,10.0,1604042881
"Extra malzemeleri, pizzada hissedemedik.",8.0,7.0,8.0,1604042881
Pizza dediğin böyle bol olur baska markalar 2 3 tane sucuk koyup gönderiyor güzeldi.,8.0,8.0,8.0,1604042881
Ellerinize sağlık söz verdiğim gibi 10 10 10.,10.0,10.0,10.0,1604042882
Sıcak ve hızlıydı.,10.0,10.0,10.0,1604042882
Beğendim güzel ve hizli.,10.0,10.0,10.0,1604042882
Kuryede maske yoktu lütfen personellerinize maske temin edin.,10.0,5.0,10.0,1604042882
Hem hızlı hem lezzerli.,10.0,10.0,10.0,1604042882
Doyurucuydu.,10.0,10.0,10.0,1604042882
Güzel.,10.0,10.0,10.0,1604042882
Biraz daha hızlı gelebilir diye umuyorum.,1.0,5.0,6.0,1604042882
Güzeldi ama bu sefer hem küçük dilimler hem soğuk geldi.. Pizza dediğin peyniri donmamış olmalı.,9.0,7.0,5.0,1604042882
Beğenmedim.,6.0,5.0,3.0,1604042882
Sarımsaklı ekmek yanıktı malesef.,8.0,5.0,1.0,1604042882
"Hızlı geldi, güzel.",10.0,10.0,10.0,1604042882
İnce hamur kotuydu.,10.0,10.0,10.0,1604042882
Hızlı ve lezzetli.,10.0,10.0,10.0,1604042882
Çok hızlı ve sıcak geldi.. Doyurucu ve lezzetliydi ayrıca notlarıma dikkat ederek yaptıkları jest için teşekkürler..,10.0,10.0,10.0,1604042882
Çok iyi.,10.0,10.0,10.0,1604042882
Her zamanki gibi çok güzel.,10.0,10.0,10.0,1604042882
İyiydi nisariden selamlar.,10.0,10.0,10.0,1604042882
Soğuktu. Geç geldi ve midemi gün boyu rahatsız etti.,1.0,1.0,1.0,1604042882
Ne zaman söylesek bu daha iyi olmuş dedirtiyosunuz ellerinize sağlık 10/10/10.,10.0,10.0,10.0,1604042882
Yorumları dikkate alıyorlar her sey cok ıyıydı.,8.0,8.0,9.0,1604042882
Guzel.,10.0,10.0,10.0,1604042882
Servise gelen arkadas ilgiliydi.,6.0,9.0,5.0,1604042882
"Hızlı, özenli servis, sıcak pizza. Güler yüzlü kurye. Teşekkürler. İyi çalışmalar.",10.0,10.0,10.0,1604042882
Kurye kral.,10.0,10.0,10.0,1604042882
Hiç yaniltmiyorsunuz ellerinize sağlık.,8.0,9.0,10.0,1604042882
"Hızlı ve güleryüzlü servis, lezzet süper.",10.0,10.0,10.0,1604042882
"Hızlı geldi, pizza sıcaktı ve malzemesi boldu.",10.0,10.0,10.0,1601413136
Iki pizza soyledik biri simit kenar digeri cheddar birini yapip digerini yapmamissiniz o kadar ekstra para aliyosunuz cheddar icin ama yoktu o yuzden servis 2 puan... Hic hos degil!,9.0,2.0,8.0,1601413137
Ekmek yedik ekmek.,5.0,1.0,1.0,1601413137
Çok hızlı geldi hamuru çok güzeldi hayatımda yediğim en güzel pizzalardan biri tavsiye ederim.,10.0,9.0,10.0,1601413137
Büyük boy ton balıklı pizza söyledim ancak malzemesi çok azdı ve klasik hamur söylememe rağmen ince geldi. Ton balıklı pizzanız için sipariş vermiştim yoksa dominos mantıklı.,10.0,9.0,7.0,1601413137
Kusura bakmayın ama biz de çalışıp sizin gibi para kazanıyoruz. 40 lira verdiğimiz pizzayı iki sokak öteye buz gibi ve kurumuş göndermek ayıp oluyor.,10.0,1.0,1.0,1601413137
Patates iki kişilik menü için yetersiz onun dışında gayet başarılı.,9.0,7.0,8.0,1601413137
Barbekü tavuk çok lezzetliydi çok da hızlı geldi teşekkürler.,10.0,10.0,10.0,1601413137
Soğanları resmen pişirmeden üzerine atmışlar. Ayrıca hayatımda yediğim en kuru pizzaydı. Verdiğim para boşuna gitti çok üzücü.,1.0,1.0,1.0,1601413137
Gelen parça pizza tam anlamıyla rezalet.. Mikrodalgada ısıtmayı düşündüm ama o kadar kuru ve kötüydü ki onu da yapmadım. Lütfen çöpe atacağınız ürünleri müşterinize göndermeyin! Pizza pizza kalitesi mazide kalmış!,1.0,1.0,1.0,1601413137
Önce aramayı düşündüm sonra gece saat 1:30da gelen pizzamin içinde neden kavurma olmadığını düşündüm belki gece gece uykuları gelmiştir dedim ve aramadım ilgi alaka kavurma sıfır.,1.0,1.0,1.0,1601413137
Servis tat sıcaklık lezzet.,10.0,10.0,10.0,1601413137
Paketçiniz bize kapkaççı gibi davrandı ve broli istedik pizzada patlıcanlı geldi pizza peynirsiz yanık tadsız tuzsuz... İlk ve son siparişimiz.,1.0,1.0,1.0,1601413137
Güzel.,9.0,9.0,9.0,1601413137
Süpersiniz.,10.0,10.0,10.0,1601413137
Şahane.,10.0,10.0,10.0,1601413137
Gayet güzel basarili.,10.0,10.0,10.0,1601413137
Leziz nefis hızlı.,10.0,10.0,10.0,1601413137
Üzerindekiler pişmemişti ilk defa böyle pizza yedim.,10.0,8.0,5.0,1601413137
Lezzet basarili.,10.0,10.0,10.0,1601413137
Lezzet çok düştü.,9.0,9.0,3.0,1601413137
1 saat sonra aradığım için geldi. Pizza soğumuştu. Kesinlikle bir daha sipariş vermem. Bu olayı 2. Kez yaşadım.,1.0,1.0,1.0,1601413137
Enfes.,10.0,10.0,10.0,1601413137
Hızlı gönderi ve güler yüzlü servis. Teşekkürler.,10.0,10.0,10.0,1601413137
Patatesler her zamanki gibi hamur olmuş.,6.0,7.0,5.0,1601413137
Ben hayatımda bu kadar kötü bir pizza yemedim füme kaburga diosunuz üstünde füme kaburga yoksoğanlar pişmemiş mantarların içi geçmiş bildiğin soğanlı mantarlı pizza yedikkenarları cedar dolgu olsun dedik aradık sorduk nereye koydunuz diye mikroskopla çedar gördük kenarlarında pişmanlıksınız berbat.,10.0,1.0,1.0,1601413137
Super.,10.0,10.0,10.0,1601413137
Süper süper süper.,10.0,10.0,10.0,1601413137
Frna değil.,10.0,10.0,8.0,1601413137
Kuryenize bağırmamayı öğretin.,1.0,1.0,1.0,1601413137
Herşey çok iyidi gelen kurye arkadaşın ismini bilmiyorum gençten bi arkadaştı ama adamın dibiydi.,10.0,10.0,10.0,1601413137
Güzeldi.,10.0,10.0,10.0,1601413138
Hız servis ve lezzet 10 numara sizi yemeklerinizi ve ilginizi çok seviyorum. İyiki varsınız.,10.0,10.0,10.0,1601413138
İlgi ve alaka gayet iyi.,9.0,10.0,10.0,1601413138
Hamuru çok güzel kızarmış ve lezzetli aynı zamanda hızlı.,10.0,10.0,10.0,1601413138
Her zaman beğendiğim pizza firmasıdır.,9.0,9.0,9.0,1601413138
Güzel.,10.0,10.0,10.0,1601413138
10 dklık mesafede buz gibi pizza geldi.,4.0,1.0,3.0,1601413138
"Patatesler çiğ, tavuklar pişmemiş sadece pizza güzeldi.",10.0,5.0,3.0,1601413138
"Kurye arkadas cok guleryuzluydu, pizza cok lezzetliydi tesekkurler.",10.0,10.0,10.0,1601413138
Notumu pkumuslat.,10.0,10.0,10.0,1601413138
Sari kirmizi bir sevda.,10.0,10.0,10.0,1601413138
Pizzada ekşilik vardı neden anlayamadım.,7.0,7.0,1.0,1601413138
Bina girişiine geldiklerinde zile ard arda birçok kez basıyorlar ve siparişi getirip tek seferde ödeme alamıyorlar birden fazla kez kapıma geliyorlar.,1.0,1.0,1.0,1601413138
