comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzet ve ikramlara diyecek hiçbir şey yok böyle devam etmeniz dileğiyle.,10.0,10.0,10.0,1606672940
"Hızlı servis, mükemmel lezzet ve ikram.. Ne diyebilirim ki.. Bayıldım.",10.0,10.0,10.0,1606672940
Profiterol çikolatası biraz daha akışkan olmalı gerçekten çok güzeldi teşekkürler.,10.0,10.0,9.0,1606672940
"Betül pastanesi bir tanedir! Lezzeti, güleryüzü, temizliği, hızı... İkram da gönderdiler, çok teşekkür ederiz.",10.0,10.0,10.0,1606672940
4 kişilik meyveli yaş pasta siparişi verdik çok hızlı geldi. Göndermiş olduğunuz ikram da pasta da çok lezzetli ve taze. Ellerinize sağlık. Gelen arkadaş çok kibar ve güler yüzlü ayrıca.,10.0,10.0,10.0,1606672940
"Budapeşte, krokanli pasta, ekler, mini tartoletler, sade beze sipariş ettik, hepsi birbirinden taze ve lezzetli olması yanında porsiyonları da oldukca büyüktü.. Tuzlu kuru pasta ikramları için ve bu güzel lezzetler için teşekkür ederiz, bol kazançlar..",10.0,10.0,10.0,1606586540
Tek kelimeyle... Muazzam...,10.0,10.0,10.0,1606586540
Yorum taslağında da yazdığı gibi. Böylesi bir lezzet gizli kalmamalı :) doğumgünüm nedeniyle ben sipariş verdim. Şeker oranı bu kdr leziz ayarlanmış bir pasta yememiştim. Ellerine sağlık...,10.0,10.0,10.0,1606500140
Sütlaç ve profiterol çok lezzetliydi. Ayrıca ikram olarak gönderdiğiniz ekler de çok güzeldi teşekkürler.,10.0,10.0,10.0,1606413740
"Ekler, kuru pasta ve aşure siparişi verdik çok güzel.",10.0,10.0,10.0,1606413740
"Muhteşemdi. Servis, lezzet, paketleme, kurye. Bu gidişle izmirin yemeksepeti en iyi restoranı olursunuz. Her zaman sipariş vereceğiz umarım böyle gider :).",10.0,10.0,10.0,1606413740
Tek kelimeyle harika.,10.0,10.0,10.0,1606413740
