comment_text,comment_speed,comment_service,comment_taste,comment_time
İyi.,10.0,10.0,10.0,1606673738
Herşey süper ama acılı ezme bayat tuhaf tadı vardı.,10.0,10.0,7.0,1606587338
Hem hızlı hem sıcak hem lezzetli elinize sağlık.,10.0,9.0,10.0,1606500938
Bu kez kötüydü.,4.0,1.0,3.0,1606500938
Aşırı tuzluydu.,9.0,9.0,5.0,1606500938
"Yavaş geldi ama servis ve lezzet çok iyiydi, çok teşekkür ederim.",6.0,10.0,10.0,1606500938
"Guzel, kurye maske takarsa seviniriz herhalde malum pandemi falan hani :).",10.0,1.0,10.0,1606500938
Daha önce verdiğimiz siparişlerin hatırına servis ve lezzeti 10 verdim. Yoksa siparişi 1 saat 20dk da geldiği için geri gönderdik. Sorun geç gelmesi de değildi aslında tam 42dk yolda dolaşıp hala gelmediği için iade ettik. Lütfen daha dikkatli olun. Size yakışmadı.,1.0,10.0,10.0,1606241738
"Yok böyle güzel lahmacun, boşuna başka yerde aramayın. Süper lezzet a kalite. Bol kazançlar. Mükemmmellll.",10.0,10.0,10.0,1606241738
Her şeyiyle gerçekten çok güzel. 20 dakikada geldi sıcacıktı çorbalar.,10.0,10.0,10.0,1606241738
"Gayet hızlı geldi. Islak mendil ve plastik servis istememiş olmama rağmen yolladılar. Resmen canlı canlı koyun yedim, koyun kokusunu geçirmeyi başaramamışlar. Acılı ezme bayattı ve kaşarlı ekmeğin de kaşarı yok denecek kadar azdı.",9.0,1.0,1.0,1606241738
Bi corba soyledim tuzla dolu hic yiyemdimm.,1.0,1.0,1.0,1606155338
Kelle paça harikaydı yanına gönderdiğiniz mezeler kaşarlı ekmeği vs çok güzeldi fiyat performans olarak 10 üzerinden 10 veriyorum.,10.0,10.0,10.0,1606155338
Başkan lütfen lütfen lütfen çorbaların yanında pul biber gönderin yada ekstra ücretle satışa çıkarın.. Not düşüyorum hep yinede gelmiyor ısrarla.. Birde çiğköftede satışa çıkarın lütfen çorbanın yanında gömülür.,10.0,7.0,10.0,1606155338
İzmir de tek hem servis hem lezzet olarak.,10.0,10.0,10.0,1606068938
Ne yersen ye hepsi on numara 5 yıldız.,10.0,10.0,10.0,1606068938
Porsiyonlariniz küçük olmasa iyi olucakta neyse.,10.0,8.0,10.0,1606068938
Çorba istedim lezzetliydi ve hızlı getirdiler.,10.0,10.0,10.0,1605982538
Yarim saat icinde geldi lezzeti ve servisi iyi.,10.0,10.0,10.0,1605982538
Yavaş sadece.,5.0,10.0,10.0,1605982538
