comment_text,comment_speed,comment_service,comment_taste,comment_time
Organik tavuksuyu çorbası efsane. Hergün sipariş eder oldum.,10.0,10.0,10.0,1606676593
2 çorba söyledim jokerden koca bir poşet geldi şaşırdım. İlk iptal ediyordum sonra vazgeçtim iyiki vazgeçmişim yoksa bu lezzetli çorbayı tadamayacaktım. Ellerinize sağlık ikram çiğ köfte içinde ayrıca teşekkürler hiç bozmayın.,10.0,10.0,10.0,1606590193
"Siparişim 11 dakikada geldi. Bir kelle paçanın yanına gelen ikramlar da çok yeterli. Çorba ya birazcık azdı ya da yemeye doyamadım, orasından tam emin değilim.",10.0,10.0,9.0,1606503793
Lezzet ve servis için teşekkürler.,10.0,10.0,10.0,1606417393
Bundan sonra çorba için tek adresimiz olacak. Hem temiz hem lezzetli ve hızlı. Ayrıca kuryeleri de çok kibardı. Teşekkür ederiz.,10.0,10.0,10.0,1606417393
"Cok tesekkurler, hiz, servis ve onemlisi lezzetinden memnun kaldik.",10.0,10.0,10.0,1606417393
Jokerden ilk defa sipariş veriyorum kelle paça istedik fakat çok az tane vardı çoğu su. Kaşarlı tırnaklı pide de her çorbaya bir adet gelmesi gerekirken 1 adet eksikti bol sirke ve sarımsak istedik standart geldi. Çiğ köfte ikramı güzeldi. Joker diye az koymayın çorbayı standart ne ise onu gönderin...,5.0,1.0,7.0,1606330993
 teşekkürler ellerinize sağlık.,10.0,10.0,10.0,1606330993
Mukemmel kelle paca. Ikram cig kofte de cok basarili.,10.0,10.0,10.0,1606330993
Notları dikkate alırsanız sevinirim.,10.0,7.0,10.0,1606244593
Çorba kasesı patlamıs yarısını ıcebıldık corbanın lezzet ve hız konusunda hıcbır sıkıntı yoktu begenıyoruz iyi calısmalar.,10.0,6.0,10.0,1606244593
"Lezzet tabiki süper ancak kokorec buz gibiydi, sirke ve sarımsak komple herseye dökülmüşdü.",7.0,1.0,10.0,1606244593
Çalışanları efendi yemekleri lezzetli benden size kocaman bi 10.,10.0,10.0,10.0,1606244593
Kendi suyuna seçeneği de olmalı. Terbiyeli de güzel ama benim tercihim kendi suyu ile. Yine de herşey güzeldi. İyi ki yakınlarımıza geldiniz.,10.0,10.0,10.0,1606158193
"İşkembe çorbası söylemiştim ve gerçekten çok iyiydi. Yanında ikramlarını da bol bol eklemişlerdi. Teşekkür ederim, iyi çalışmalar.",10.0,10.0,10.0,1606158193
Kelle paça corbası yanında sarımsak ve sirke kesınlıkle olmalı. Uzgunum tarıhı yarımadasın sen kusura ıhtımalın olmamalı.,8.0,7.0,3.0,1606071793
Mükemmel bir lezzet.,10.0,10.0,10.0,1606071793
Hızlı ve lezzetliydi. Hijyene lütfen daha dikkat ediniz.,10.0,1.0,7.0,1605985393
Ellerinize sağlık herşey çok güzeldi.,10.0,10.0,10.0,1605985393
"Emeğinize sağlık, teşekkürler.",10.0,10.0,10.0,1605898993
İctiğim en iyi corbalardan biriydi. Yorum yapma ihtiyacı duydum. Diğerlerini de denicem. Tesekkürler.,10.0,10.0,10.0,1605898993
"Rakip gören restoranların, haksız yorumlarını, saldırılarını okudum. Üzüldüm. 2, 5 yıldır kendini kanıtlamış, urlada haftasonu çorbayı icebilmek için dışarıda beklediğiniz bir çorbacı. Kellesi de boldur, ayağı da bol koyar. Sanayi corbacilarinin büyük tabaklarına koyar çorbaları. Bilginize..",10.0,9.0,10.0,1605898993
