comment_text,comment_speed,comment_service,comment_taste,comment_time
Karışık sandwich ve hot dog yedik ortalama bir lezzet.,9.0,8.0,6.0,1606680680
Efsaneydi efsane.,10.0,10.0,10.0,1606680680
Ekmek çok kötüydü.. Çok geç geldi ve çok soğuktu ne yediğimi çözemedim gerçekten.,1.0,1.0,1.0,1606507880
"Hızı iyiydi, servis de güzeldi iyi paketlenmişti ama o hamburger köftesinin içindekiler.. Değişik şeyler vardı? Bir daha söyler miyim, hayır.",8.0,8.0,2.0,1606507880
Keşke patatesi daha çok koysaydınız yanında lezzet iyiydi.,10.0,5.0,10.0,1606507880
Çok beğendim.,10.0,10.0,10.0,1606507880
"Patatesler baya eskimiş çok sertti bayattı, soğuk geldi sandwicler.",5.0,3.0,2.0,1606421480
Bi önceki sipariste büyük patates söylemiştim bu sefer süper söyledim daha az geldi yanılmıyorsam.,7.0,7.0,9.0,1606421480
Barbekü köfte sandviçleri efsane.. Leziz ve doyuruculuğuna 10 puan.,10.0,10.0,10.0,1606335080
Herşey güzeldi de patatesi eskisine göre az yolladılar.,10.0,9.0,9.0,1606335080
"20 dakika gibi kısa bir sürede geldi ama patates püresi yazmasına rağmen hiç yoktu. Keşke o da olsaymış, tadı güzeldi ellerinize sağlık.",10.0,7.0,9.0,1606335080
Patatesler aşırı soslu ve çok tuzluydu.,5.0,10.0,10.0,1606335080
Servis lezzet sıcaklık hepsi harikayd��.,10.0,10.0,10.0,1606248680
Güzel.,10.0,10.0,9.0,1606162280
"Bayıldık, bu bölgede olması çok iyi oldu, hız, lezzet süperdi, hamburger gibi hamburger, elinize sağlık.",9.0,9.0,9.0,1606162280
"İnanılmaz lezzetli, fiyatları çok uygun ve hızlı servis.",10.0,10.0,10.0,1606162280
10/10 teşekkür ederim.,10.0,10.0,10.0,1606075880
Makarna güzeldi fakat içindeki tavuklar tatsız ve kuruydu yiyemedik.,7.0,7.0,7.0,1606075880
Bir ürün diğerinin yarısı kadar geldi resmen ikisini farklı söyledik ama tek farkı birinde tavuk olmamasıydı. Gramaj olarak biri yarısı kadardı. Diğerine de tavukları koymakla koymamak arasında kalmışlar.,9.0,9.0,5.0,1606075880
Kurye 5 dkda getirdi ama sandvish iyi degil ustad hot doga devam.,10.0,10.0,2.0,1606075880
Güzel.,9.0,9.0,8.0,1606075880
Güzeldi.,8.0,8.0,8.0,1606075880
"Mükemmel bir servis, yazdığım notlara çok dikkat edilmiş sadece para kazanmak değil belli bir kalite ortaya koymaya çalıştıkları çok belli çalışan herkese çok teşekkür ediyorum çok memnun kaldım ve kesinlikle pişman olmayı geçtim sipariş vereceğinize çok mutlu olacağınız bir yer.",10.0,10.0,10.0,1606075880
Kumrunun tadi bi tık değişik geldi ama onun dışında patatesler ve servis inanilmaz iyi.,10.0,10.0,9.0,1606075880
Bu sefer biraz yavaş geldi. Lakin yine de iyi.,7.0,10.0,9.0,1605989480
Ispanak yatağında yazıyordu dümdüz geldi çok geç saate söylediğim için galiba.,9.0,8.0,10.0,1605989480
Geç geldi ama geç sipariş vermistik normal olabilir servis kalite onu numara basit bir yer değil ve fiyatı da uygun.,3.0,10.0,10.0,1605989480
Mukemmel.,10.0,10.0,10.0,1605989480
Tesekkürler.,10.0,10.0,8.0,1605903080
Muhteşem di.,10.0,10.0,10.0,1605903080
On numara beş yıldız.,10.0,10.0,10.0,1605903080
Herşey gayet güzel ve kaliteliydi başarınızın devamını diler hiç bozmamanızı rica ederim.,9.0,9.0,9.0,1605816680
