comment_text,comment_speed,comment_service,comment_taste,comment_time
"Tavuk yetersizdi, az gelicekse ücreti fazlaydı.",7.0,7.0,7.0,1606594720
Biraz geç geldi ama iyidi.,6.0,10.0,10.0,1606594720
45 dakikaya yakın bir sürede geldi buz gibiydi üzerindeki malzemeleri donuktu boylarıda epeyce küçüktü sadece hamur yiyormuşun gibiydi bir daha dominostan sipariş vermeyeceğim.,1.0,1.0,1.0,1606594720
Siparişim geç geldi ve kolamı getirmediler.,1.0,1.0,1.0,1606508320
İncecik hamur pizza söylemeyin berbattı.,8.0,3.0,4.0,1606421920
Lezzet kalitesi her seferinde farklı yazık kötü.,3.0,3.0,3.0,1606421920
İyi.,10.0,10.0,10.0,1606421920
Pizza pişmemişti ve kesilmemişti. İlk defa kesilmeden getirilen bir pizza gördüm ve sosisler bildiğiniz çiğdi.,6.0,1.0,2.0,1606421920
Gayet iyi.,5.0,10.0,10.0,1606421920
Pizzalarimiz harikaydı ama tatlı niyetine söylediğimiz kitkat çikolatalı pizza berbattı gerçekten çikolatayı koklatmışlar resmen sırf pizza hamuru var gibiydi bir daha asla söylemem kimseyede tavsiye etmiyorum.,10.0,8.0,8.0,1606335520
Çok küçüktü onun haricinde hersey güzel.,10.0,10.0,8.0,1606335520
"Bu lezzeti yemeğe başladığımdan beri en kötü siparişti. Buz gibiydi, içinde nerdeyse hiç döner yoktu 3 adet patates vardı. Gerçekten normalde daha iyi halini yememiş olsam bunu bir daha asla sipariş vermezdim ama içinin daha bol malzemeli halini yedim. Bir daha böyle denk gelirse sipariş vermicem.",1.0,1.0,1.0,1606335520
Soğumak üzereydi malesef. Paketci abimiz post sıkıntılarına rağmen getirdi fakat sonradan karar verilmişti muhtemelen.,8.0,8.0,8.0,1606335520
Patates istedik ve bu şekilde geldi?,1.0,1.0,1.0,1606249120
Yemeği getiren kişi gayet güler yüzlüydü. Pizzanın kenarında parmesana ait herhangi bir malzeme ya da tat yoktu. Yine de pizzanın tadı güzeldi.,10.0,10.0,8.0,1606249120
Boztanli dominos lezzeti cok daha guzel arada lezzet farki kesinlikle var.,8.0,8.0,5.0,1606249120
Servis elemanı adres bulamıyor siparişim yakın olmasına rağmen 50 dk geldi normal cola söyledim şekersiz geldi lezzetten kurtardılar işi joker yakaladım acaba ondanmı böyle oldu düşünmemek elde değil diyorum.,1.0,1.0,8.0,1606249120
Olmamış.,1.0,1.0,1.0,1606162720
"Bir saatte getirilen buz gibi pizza. Soğuk olduğunu, üstündeki yağın donduğunu bile bile verdiler iki pizzayı. Ama sözüm ona dominos! Rezalet!",1.0,3.0,1.0,1606162720
"Pişmemiş, soğuk bir hamuru pizza adı altında gönderebilen müşteriye saygısı olmayan bir restoran.",5.0,1.0,1.0,1606162720
Lezzet olarak tat alamadım.,5.0,5.0,1.0,1606076320
"Siparişin geç gelmesinin yanında, getiren kişinin kaba saba konuşmaları yemeği zehir etti. Adres yazmasına rağmen yazmadığını iddia edip telefonda bağırarak ve saygısızca konuşması son derece çirkindi. Yıllardır yemek sepetinden sipariş veririm. İlk defa bu derece bir saygısızlığa maruz kaldım.",1.0,1.0,4.0,1606076320
200 metre mesafeye 1 saate geldi ve soğuktu. Sonuç olarak pizzayı yiyemedik.,1.0,1.0,1.0,1606076320
55 dakikada buz gibi gelmesi dominosa yakışmadı.,1.0,1.0,3.0,1606076320
Kötüydü.,1.0,1.0,1.0,1606076320
Biraz daha sıcak olabilir servis hızlı fakat fırından çıkış süresinde biraz bekletiliyor sanırım.,10.0,10.0,10.0,1605989920
1 saatte geldi. Soğuktu. Diğer dominoslarla kıyaslamayın. Burası cidden çok kötü. O nasıl saçma bir sarımsaklı emekti. Rezalet.,1.0,1.0,1.0,1605989920
İki pizzanin ikisini de ince hamurlu söylemiştim biri normal hamurlu geldi. Bir de hiç hızlı gelmedi.,6.0,8.0,7.0,1605989921
Nasıl bi malzeme kullardılarsa midemi bozdum.,1.0,1.0,1.0,1605989921
Post cihazınız çekmiyor.,7.0,1.0,7.0,1605903521
Tşk.,5.0,5.0,5.0,1605817121
Hem geç hem de buzzzz gb geliyor bu sondu!,1.0,1.0,1.0,1605817121
Aşırı geç getirildi az önce bir daha spariş verdim yine aynı şey olursa yine en düşük puanı verip bu sefer asla spariş vermiyecem.,1.0,1.0,1.0,1605817121
Yediğim yemekten bir tad alamadım.,5.0,8.0,4.0,1605817121
1 saatte geldi ve buz gibi olmuştu pizzalar.,1.0,1.0,1.0,1605817121
2 adet kola vardı gelmedi patetes ve durum için ekstradan para odedim 50 tl boşa gitti kolay gelsin.,3.0,5.0,2.0,1605730721
"Hızlı, taze, sıcak ve lezzetli. Barbekü soslu sucukseveri denemek için söylemiştim ama sarımsak soslusu kadar iyi değil.",10.0,10.0,10.0,1605730721
Seviyoruz.,10.0,10.0,10.0,1605730721
0olsa 0 verirdim çok geç geldi çok soğuktu soğuk olduğu için öok sertti bir daha asla sipariş vermem tam bşr gayal kırıklığı.,1.0,1.0,1.0,1605730721
Güzel ve lezzetli.,8.0,8.0,8.0,1605730721
Soğuktu.,4.0,7.0,6.0,1605644321
"Ödeme yaparken pos cihazının çekmemesi sorunu var, sizin bozuk pos cihazınız yüzünden kaç kat aşağıya sokağa inmek durumunda kaldım. Ayrıca pizzaları orta boy söyledim ama çok küçük geldiler, ya boyutu küçülttünüz ya da ya yanlış gönderdiniz. Lezzet yerindeydi, colayı düzgün göndermişsiniz neyseki.",5.0,1.0,7.0,1605644321
Hız belirtilen servis süresine göre gecikmeli ama tolere edilebilirdi 50 dk yazılmıştı 65 dk da geldi. Ama lezzet kısmına gelince pizza bayağı soğuktu. Bu kuryenin hızıyla ilgili değil restoran yetkilisinin hatasıydı gerektiğinde restoranın yoğun olduğunu bildirmesi gerekiyor dominos kalitesi değil.,9.0,10.0,6.0,1605644321
Ayranlar 300ml yerine 200ml geldi. Onun haricinde sıkıntı yok.,10.0,7.0,10.0,1605644321
Beklediğimizden hızlı geldi. Gayet sıcaktı ve lezzetliydi.,10.0,10.0,9.0,1605644321
Mükemmel.,10.0,10.0,10.0,1605644321
Lütfen pişirirken özen gösterin bol malzemos diye azmalzemoz yedik servis.,10.0,10.0,1.0,1605644321
Pos cihazındaki arıza yüzünden ödemeyi yapabilmek için bekledim.,10.0,7.0,8.0,1605644321
Dünyanın en güleryüzlü kuryesi getirdi. Böyle insanların hatrına bile daha sık sipariş verilir.,10.0,10.0,10.0,1605557921
Tavuk kutusunun yanında gönderilmesi gereken soslar gelmedi. Dürümos başarısız.,10.0,1.0,6.0,1605557921
Zamaninda ve sicak ulasti.,10.0,10.0,10.0,1605557921
Soğuktu.,8.0,9.0,9.0,1605557921
Lezzetli ve güzel tavsiye ederim.,8.0,8.0,8.0,1605557922
Bisey eksikti jambon bulamadim. Zaten oydu galiba.,9.0,9.0,7.0,1605471522
Faturamda kola 1l yazıyor ama 330 luk geldi aradım ulaşamadım.,1.0,1.0,1.0,1605471522
"Sarımsak soslu sucukseveri çok sever, çok sık sipariş ederiz. Bu sefer yanlışlıkla bu şubenizden söylemişiz alaybeyde olmamıza rağmen bir saatte geldi ve pizzanın hamuru aşırı kalın ve sertti normalde cok severek yediğim pizzadan keyif alamadım. Şubeler arası bu lezzet farkı şaşırtıcı. Tavsiye etmem.",4.0,2.0,2.0,1605471522
Güzeldi.,9.0,9.0,10.0,1605471522
Citir tavuk gelmedi.,1.0,1.0,1.0,1605471522
İlk defa bu kadar yavaş ve tatsız soğuk geldi.,3.0,5.0,3.0,1605471522
Hayatımda gördüğüm en sorumsuz dominos şubesi siparişim yallnış geldi ayrıca düzeltmek için gönderdiğiniz sipraişte resmen yenilmişti büyün güvenimizi alt üst ettiniz teşkkür ederiz.,1.0,1.0,1.0,1605471522
Sipariş onaylandı maili gelmesinin üzerine 3 saat geçti. Ortada ne bir sipariş var ne de bir düzgün hizmet. Bravo!,1.0,1.0,1.0,1605471522
"Gerçekten lezzetli ve harikaydı,.",10.0,10.0,10.0,1605471522
İsa.,10.0,10.0,9.0,1605385122
Vasat.,8.0,7.0,7.0,1605385122
Pizzalar guzel kesilmisti 20 dkda geldi kurye arkadas cok kibar davrandi ve guler yuzluydu ama pizzanin kenarlari biraz citirdi.,10.0,10.0,10.0,1605385122
"Yaklaşık bir saatte ve ve soğuk geldi, lezzet dominos kalitesinin çok altında.",1.0,5.0,5.0,1605385122
Sipariş 45 dakikada geldi. Gelen kurye 30 dakika uygulaması kalktı dedi. Yemeksepeti aradı onlara 50 dakika garantisi veriyoruz dediler. Dominos şikayet ettim. Bana siz haklısınız 30 dakika kapsamındasınız denildi. Bu işin peşini bırakmıycam. Kimseye tavsiye etmem pizzalar gerçekten kötüydü. Deneyin görün!,1.0,1.0,1.0,1605298722
Yakin oldugu icin surekli ayni yerden siparis vermeme ragmen defalarca urun eksik geldi.,8.0,2.0,7.0,1605298722
Normalde surekli burdan siparis ederim. Herzaman sıcak ve vaktinde gelir. Ilk defa 1 saatte ve buz gibi bir pizza geldi kenarlari kurumustu hic memnun kalmadım.,5.0,5.0,3.0,1605298722
Harikaydı.,10.0,10.0,10.0,1605298722
Teşekkür ederim notumu ciddiye almışsınız her zaman böyle olsanız keşke ve keşke illa isyan etmeden not. Yazmadan olması. Gerektigi gibi sıcak hızlı ve özenli gelse.,8.0,8.0,7.0,1605298722
Yemek geç ve soğuk geldi. Temassız telimat istemiştik keske bir poşete koysaymışsınız kapıyı açmasam kurye pizza kutusunu ve dürümü yere bırakacaktı.,1.0,1.0,1.0,1605298722
Mükemmel ötesi.,10.0,10.0,10.0,1605298722
Hız yavaş olsada lezzeti ve malzemenin bol oluşu iyi.,5.0,7.0,8.0,1605298722
Nimete kötü söz soylenmez ama hayatımda yiyemedigim berbat bir pizzaydi patates te tuhaf bir tat vardı artı soğuk geldi bir daha sipariş vermem joker bile olsa.,4.0,6.0,1.0,1605298722
Kuryeniz çok kibardı.,10.0,10.0,10.0,1605212322
Yarım saat geç geldi iademi istiyorum.,3.0,3.0,6.0,1605212322
Sosları koymamışlar bi anlamı kalmadı.,10.0,10.0,1.0,1605212322
Sufle guzeldi.,10.0,10.0,10.0,1605212322
Efsane.,10.0,10.0,10.0,1605212322
Hızlı ve sıcak geldi. Ellerinize sağlık : ).,10.0,10.0,10.0,1605212322
Soguk ve geç geldi.,5.0,5.0,5.0,1605212323
70. Dk da kapiyi caldilar dominosa yakismayacak rezalet bi pizza yedik benim icin ve cevremdeki herkes icin dominos bitmistir.,1.0,1.0,1.0,1605125923
Gelen sucuk pizza harikaydı elinize sağlık.,10.0,10.0,10.0,1605125923
"50 dk bekledim, ve buz gibi geldi pizzalar. Tadı hiç güzel değildi ayrıca yanık ve kuruydu. Kurye abi çok kibardi ama o yüzden 2 verdim servise yoksa hepsi 1. Dominos kaliteyi çok düşürmüş. Üzücü cidden.",1.0,2.0,1.0,1605125923
Eksik gelmesi ve telafi edilmemesi dışında her şey yolunda.,8.0,6.0,7.0,1605125923
Başarılı.,10.0,10.0,10.0,1605125923
"Sos yoktu kuru kuru tavuk, ekmek, bayat patates yedik...",9.0,5.0,8.0,1605125923
Mutlyum.,10.0,10.0,10.0,1605125923
Ne istediğim pizza geldi ne zamanında geldi.,1.0,1.0,1.0,1605125923
Harikaydı çok teşekkür ederim.,10.0,10.0,10.0,1605125923
Gerçekten rezil bi mekan her seferinda ya soguk geliyor yada istemedigim mazemeyi koyuyorlar.,3.0,7.0,2.0,1605125923
Hep sufle alıyorum mükemmel ama bu seferki biraz cıvıktı üst keki yoktu çorba gibiydi.,10.0,10.0,8.0,1605039523
Eski lezzetler yok servis süresi uzamış gitmiş 300 metre mesafeye bile 50 dakikadan önce gelmiyor sarımsaklı ekmek iyice ufaltılmış ve lezzet gitmiş hamurparcacikli ekmek olan ürün küçücük yapılmış fiyatı 2 ye katlamış ürünlerin çoğu lezzetsiz soğuk geliyor malesef alaybeydominos rezil olmuş malesef.,3.0,4.0,6.0,1605039523
Servisimiz daha hızlı olsa sevinirim 90 dakikada alaybeyden karşıyaka çarşıya geliyor.,1.0,4.0,8.0,1605039523
Hızlı ve iyi servis edilmişti lezzetide iyi.,9.0,9.0,9.0,1604953123
2 sokak arkamızda olmasına ragmen sipariş çok geç geldi alasancaktan sipariş verdigim dönerli pizzayla alakası yoktu malzemeler yanık denicek kadar pişmişti ve azdı. Pizza soguk geldi.,3.0,3.0,3.0,1604953123
Kolanin yaninda bardak gondermemissiniz suffle iatedik kasik yok cok gec ve buz gibi geldi kayis gibi olmustu pizzalar.,1.0,1.0,1.0,1604953123
Paket çok geç geldi dolayısıyla soğuktu ve beklediğimiz pizza lezzetini bulamadık acelemiz olduğu için siparişi iptal edip başka yerden söyleyemediğimiz için yemek zorunda kaldık. Ne yemek sepetine ne de dominosa yakışmadı.,1.0,1.0,4.0,1604953123
80 dakikada buz gibi gelen ve etiketi açılmış paket bir daha asla sipariş vermem tam 1 saat yolda gözüktü.,1.0,1.0,1.0,1604953123
Light cola seçiyoruz normal gönderiyorlar.,9.0,6.0,7.0,1604953123
Zamanında hızli ve sıcak geldi tesekkurler.,10.0,10.0,10.0,1604953123
Ilk söylediğimde hadi dedim hava serindi soğumasi normal 2 gün sonra tekrar sipariş verdiğimde pizza yine buz gibi paketin içinde katlanmış bütün yağı herşeyi donmuş ince hamur istememe rağmen kapkalin bi hamur tek kelimeyle rezaletti bir daha asla söylemem.,1.0,1.0,1.0,1604866723
"Son zamanlarda yediğim en kötü pizzaydı, hamur o kadar inceydi ki altı, yanları yanık içindeydi, buz gibi geldi ki bu normal subenin yerini bilen varsa selcuk yasar okulunun karsı sokagına 1saat 15dk da geldi daha cok sey yazarımda pizzayı cöpe attıgım için puanlayıp geciyorum.",1.0,1.0,1.0,1604866723
Herseyi ile cok kotu.,1.0,1.0,1.0,1604780323
Sıcakken geldi hızlıydı ve güzeldi.,10.0,10.0,10.0,1604780323
Gayet iyiydi elinize sağlık.,10.0,10.0,10.0,1604780323
İyi pişsin yazdiğımız halde pişmemis geldi bilginize.,8.0,5.0,1.0,1604780323
