comment_text,comment_speed,comment_service,comment_taste,comment_time
"Ürünler taze ve lezzetliydi, çok çabuk teslim edildi kurye güler yüzlüydü. İkram için de teşekkürler.",10.0,10.0,10.0,1606681345
Her zamanki gibi taze lezzetli emeğinize sağlık.,10.0,10.0,10.0,1606681345
Eskisini aratıyor...,8.0,7.0,6.0,1606681345
"Hediye icin tskler, ekler beklediğimiz ekler, lezzette sorun yok fakat meyveli tart alman damagimi hitap etmedi, bu konu üzerinden çalışmalısınız bence, meyveler artık cansızdi bazi kısımları jöle ile kaplı olmadığı için, hamur ve krema da aradigim lezzeti bulamadim, cok daha güzel olabilir, tskler.",10.0,10.0,8.0,1606594945
Tek kelimeyle harıka.,10.0,10.0,10.0,1606594945
Denemek amaçlı 3 farklı tatlı söyledim hepsi de efsaneydi emeğinize sağlık.,10.0,10.0,10.0,1606508545
Çocukluğumdan bu yana hep super.,10.0,10.0,10.0,1606508545
Ürünler gayet özenli paketlenmiş. Taze ve lezzetliler. İkramları için işletmeye teşekkür ederim. Rahatlıkla sipariş verebilirsiniz.,9.0,9.0,9.0,1606508545
Çok teşekkür ederim siparişlerimi sorunsuz ve hızlı bir şekilde notumuda dikkate alarak teslim ettiğiniz için ayrıca teslim ettikten sonra beni arayıp bilgilendirdiğiniz için de ayrıca teşekkür ediyorum.,10.0,10.0,10.0,1606422145
Tulumba tatlısı mükemmeldi ekler çok iyi değildi.,10.0,10.0,10.0,1606422145
Harikaydı.,10.0,10.0,10.0,1606422145
Hızlı ve kaliteli. İkram için teşekkürler.,10.0,10.0,10.0,1606422145
Yapiyosunuz bu işi.,10.0,10.0,10.0,1606422145
Enfes tatlilar. İkraminiz icin ayrica cok tesekkurler.,10.0,10.0,10.0,1606422145
"Fiyat iyi, baklava kezzetliydi.. Ellerinize sağlık... Bu pandemi döneminde bol kazançlarınız olsun...",10.0,10.0,10.0,1606335745
Güzeldi.,9.0,9.0,9.0,1606335745
Super.,10.0,10.0,10.0,1606249345
Süper fiyat süper tat.,8.0,10.0,10.0,1606249345
Biraz geç gelmesi dışında hersey güzeldi.,8.0,10.0,9.0,1606249345
"Söylediğim bütün pastaların porsiyonları büyük ve lezzetliydi, kurabiye hediyeniz için teşekkürler.",10.0,10.0,10.0,1606249345
Herşey çok taze ve lezzetliydi. Kuryeniz aşırı kibardı ayrıca ikramlarınız içinde çok teşekkürler :).,10.0,10.0,10.0,1606162945
Çok güzel.,10.0,10.0,10.0,1606162945
"İyi ki doğdun kartı yazdığınız pastanın yanına mum koymamışsınız, komşulardan mum aradık.. Çokama çok büyük hata çünkü birçocuk için zaten bütün olay o mumu üflemekte. Sizin işiniz bu unutulmaması gerekirdi. Pasta taze ama içeriği azdı, gülen kurabiyeler ise yumuşamıştı, sizi severim ancak bu sefer olmadı.",6.0,1.0,2.0,1606162945
Super hiz guvenilir kalite tam lezzet kesinlikle siparis verin.,10.0,10.0,10.0,1606162945
Pasta siparişi verdim çok beklemedim taze ve lezzetliydi.,10.0,10.0,8.0,1606076545
Güzel ve tazeydi.,10.0,10.0,10.0,1606076545
"Kaliteli, taze ürünler... Lezzet biraz daha arttırılmalı...",10.0,8.0,8.0,1605990145
Hızlı ve güvenilir.,10.0,10.0,10.0,1605990145
Cok daha iyi eklerler satiliyor cevrede :/ biraz hayal kirikligina ugradim eklerden yana.,8.0,7.0,8.0,1605990145
Gerçekten harikasınız hız servis lezzet kalite 10 numara. İkramınız için de çok teşekkür ederiz :)).,10.0,10.0,10.0,1605990145
Her zaman ki gibi mükemmeldi saat kaç olursa olsun baklavaları taptaze çıtır çıtır.,10.0,10.0,10.0,1605990145
"Lütfen söylemeyin, daha kötü çok az tatlı yedm özellikle oreolu cup bildiğin krem şanti krema kaşıkladım.",2.0,1.0,1.0,1605990145
Harika harika harika!,10.0,10.0,10.0,1605903745
Gecenin 10nda bu kadar taze bir pastanın gelmesi harika ellerinize sağlık her türlü detayı düşünmüşler mumundan maytapına kadar hediye ekleriniz için de çok teşekkür ederim.,8.0,10.0,10.0,1605817345
Teşekkürler...,10.0,10.0,10.0,1605817345
Her zamanki gibi muhteşem!,10.0,10.0,10.0,1605644545
Tulumbayı beğenmedik daha önceden ikram gelirdi oda yoktu bu sefer ama diğer ürünleriniz güzel hayırlı işleriniz olsun...,10.0,10.0,10.0,1605644545
İkram için teşekkürler.,10.0,10.0,9.0,1605644545
Bir işletme ancak bu kadar naif olabilir. Her sipariş verdiğimizde kurabiye ekleyip müiteriyi gülümseten işletme. Zaten ürünlere laf yok tek tercihimiz. Özellikle kurabiyeleri denemelisiniz. Gülümseyerek sipariş teslim eden kuryede size özgü zaten :) teşekkürler.,10.0,10.0,10.0,1605644545
Gecenin bir yarısı söylediğiniz pastayı taze yemek istiyorsanız sipariş adresiniz burası olmalı. Kurabiye jestiniz için de ayrıca teşekkür ederim. 10/10 luk pastane.,10.0,10.0,10.0,1605644545
Sabah yada aksam hiç farketmez urunler her zaman taze süpersiniz lezzet mükemmel.,10.0,10.0,10.0,1605558145
Herzaman 10 numara.,10.0,10.0,10.0,1605471745
Lezzet güzel pastalar taze hızlı geldi kurye arkadaşa da güler yüzlülüğü için teşekkürler.,10.0,10.0,10.0,1605471745
Çikolatalı muzlu pasta söyledim 4 kişilik gayet taze ve lezzetliydi devamlı sipariş verdiğim yer yanındaki ikramlar içinde teşekkürler.,10.0,10.0,10.0,1605298945
"Cheesecakede ağır bir yumurta kokusu vardı ayrıca vişnelerin tadı oldukça kötüydü. Onun dışında halka tatlısı, supangle ve kazandibi çok güzel :).",10.0,10.0,9.0,1605212545
Hız ve servis iyidi ama lezzet konusunda aynı şeyi söyleyemem ekler bayattı malaga tatlısıda kötüydü içindeki muz çürüktü. Yorum yapmam için gönderilen kuru pastalar için teşekkür ederim ama onlarda güzel değildiii...,10.0,10.0,4.0,1605126145
"Kalite, tazelik, güleryüz, hızlı teslimat, uygun fiyat... Bir pastacıdan beklentiniz ne ise hepsi sizde:)teşekkür ederiz elinize sağlık...",10.0,10.0,10.0,1605039745
Her şey çok lezzetli ve tazeydi bağımlısı olduk teşekkürler.,10.0,10.0,10.0,1605039745
Her zaman söylerim ilk kez chesecake dağılmış bir şekilde geldi. Nazar boncuğu olsun diyelim :) tatlılarınızın lezzeti damak tadıma çok uygun.,9.0,7.0,9.0,1605039745
"Ben öyle her un kurabiyesini yemem herşey çook lezzetli idi, ellerinize sağlık. Küçük notunuz için ayrıca teşekkürler.",10.0,10.0,10.0,1604953345
Her şey çok güzeldi.,10.0,10.0,10.0,1604953345
İyi.,9.0,9.0,9.0,1604953345
Sadece kahveli ruloda hiç kahve tadı yoktu başka bir şey mi geldi emin olamadım ilk kez sipariş vermiştim bu üründen. Diğerleri güzeldi ikramlar için teşekkür ederiz.,10.0,10.0,9.0,1604953345
"Hem taze hem lezzetli hem de porsiyonlar yeterli. Bayıldım, müdavimi olacağım :).",10.0,10.0,10.0,1604953345
Ürünleri taze servis hızlı daha ne olsun.,10.0,10.0,10.0,1604780545
Herzaman ki gibi çok hızlı kibar kurye ve güzel lezzet.,10.0,10.0,10.0,1604780545
Çok gü zel.,10.0,10.0,10.0,1604694145
Her seyiyle mükemmel. Tam bir fiyat performans.,10.0,10.0,10.0,1604607745
Tam anlamıyla mükemmeldi taptaze baklavaları var.,10.0,10.0,10.0,1604521345
"Ekler çok güzeldi, ancaktr ilece kek gibiydi çok kalın yapılmış bundan dolayı sütü de yetersiz kalmıştı.",8.0,8.0,7.0,1604434945
Çok güzeldi.,10.0,10.0,10.0,1604175746
Gerçekten çok hızlılar ve pasta siparişimde notumu dikkate alıp mum yakıp getirmeleri de inanılmaz inceydiçok teşekkürler pasta da efsaneydi.,10.0,10.0,10.0,1604051600
Çikolatalı pançoyu begenemedik. Cheesecake fiyat performanstı. İkram getirmisler tesekkür ederiz.,10.0,10.0,8.0,1604051600
İdeal bir tercih.,7.0,7.0,7.0,1604051600
Chesecakeleriniz ve tatlılarınız çok lezzetli fiyat olarakta uygun. Ayrıca minik ikramlarınız da çok hoş. Çok teşekkürler.,10.0,10.0,10.0,1604051600
Başarılı..,10.0,10.0,10.0,1604051600
Hızı da tadi da enfesti zaten her sene dogumgunu pastalarimizi burda. Yaptiriyoruzz yine muhtedemdi yaniii :)).,10.0,10.0,10.0,1604051600
"Harikaydı, teşekkürler:).",10.0,10.0,10.0,1604051600
Çok güzel ve nazik hediyeniz için de teşekkürler. Torpil çok güzel.,10.0,10.0,10.0,1604051600
Tremusu bozuk çıktı çöpe atıldı.,7.0,7.0,1.0,1604051600
"Gayet hızlı geldi, lezzet fena değildi.",10.0,10.0,9.0,1604051600
Ikinci siparisim ve yine muhtesem lezzet cok tesekkur ederim.,10.0,10.0,10.0,1604051600
Mükemmeldi süpersiniz.,10.0,10.0,10.0,1604051600
Başarılı.,10.0,10.0,10.0,1604051600
Mükemmel.,10.0,10.0,10.0,1604051600
İkidir sipariş veriyorum gayet başarılı emeğinize sağlık.,10.0,10.0,10.0,1604051600
Kurye arkadaş çok efendi temiz biriydi bahşiş almamak için ısrar etse de zorla verebildik kazasız belasız işini güzel yapan insan.,10.0,10.0,10.0,1604051600
Süpoer.,10.0,10.0,10.0,1604051600
Her şey mükemmel.,10.0,10.0,10.0,1604051600
Mükemmel ama gecen yediğim profiterol daha iyi ve daha tazeydi bilginize.,10.0,10.0,10.0,1604051600
Jokerle aldım ona rağmen taze taze.,10.0,10.0,10.0,1604051600
"Hepsi muhteşemdi, ikramlar için ayrıca teşekkürler.",10.0,10.0,10.0,1604051600
Guvenilir adres... Tek yorumum iyileşmesi için olabilir... Kostebek pastanızın uzerindeki mavi krema heryeri masmavi yapıyor uzun süre cıkmıyor. Bu nedenle sağlıksız geldi... İç pasta be diğer tüm ürünler ikramlarınızı begenerek tuketiyoruz.,10.0,10.0,10.0,1604051600
Yanında ikram yollamıslardı tesekkurler.,9.0,10.0,9.0,1604051600
"Hızır gibiler, tr iliçeyi deneyin).",10.0,10.0,10.0,1604051600
4 kisilik pasta siparis ettim tad olarak pek kaliteli gelmedi ama gonderim olarak hizlilar ve gorunus olarak guzel.,8.0,7.0,4.0,1604051600
İzmirin en iyi pastanesi. Her şey inanılmaz lezzetli ve temiz. Servis ve hız da çok başarılı. Teşekkürler.,10.0,10.0,10.0,1604051600
Sık sık sipariş veriyoruz. Hediye ikramlar için teşekkürler. Ürünlerden genel itibariyle memnunuz. İlk defa tiramisu söyledik. Çok kötüydü. Kreması suyla hazırlanmıştı ve keki çok ıslaktı.,9.0,10.0,8.0,1604051600
Saray pastanesi gerçekten hiç şaşırtmıyor çok amaa çookkk lezzettli.,10.0,10.0,10.0,1604051600
İnce düşünüp gönderdiğiniz ikramlar için teşekkürler.,8.0,8.0,8.0,1604051600
Favorim oldular kendileri vallahi lezzet servis 10 numara.,10.0,10.0,10.0,1604051601
" çikolatalı kestaneli pastanın hammadesi a kalite değil fiyat performans olarak değerlendirmek gerekir, uygun fiyatlı. Sipariş harici hediye kurupasta göndermişler hoş bir hareket. Uygulamada lezzet puanı yüksek gözüktüğü için sipariş vermiştim, damak tadı herkesin farklı tabiiki.",7.0,7.0,5.0,1604051601
Gayet hızlı ve lezzetliydi.,10.0,10.0,10.0,1604051601
Daha önce 2 defa pasta söylemiştik sizden geçen seferki meyveli pasta ile şimdi gelen meyveli pasta arasında çok fark var ve meyve oranı düşük geldi lezzetli kaliteli beğendik ama belirttiğimiz gibi meyve oranı düşük geldi ve biz dışında kırmızı jolemsi bı kaplamasi olan pasta yemistik.,10.0,10.0,7.0,1604051601
Teşekkür ederim hızlı - temiz hizmet ve iyi lezzet için.,10.0,10.0,10.0,1604051601
Başarılı.,10.0,10.0,10.0,1604051601
Joker ile söyledik tatlılar cok güzeldi. İkramınız için ayrıca teşekkürler.,10.0,10.0,10.0,1604051601
Güzel.,10.0,10.0,10.0,1604051601
Şöbiyeti beğenmedik taze ve lezzetli değildi onun dışında güzeldi.,10.0,8.0,7.0,1604051601
Çok lezzetliydi yanındaki ikramlik ekler içinde teşekkürler.,10.0,10.0,10.0,1604051601
Keşkülün üstüne tarçın ya da fıstık atmayın lütfen.,10.0,10.0,10.0,1604051601
Pasta siparişi vermistim dakikalar icinde teslim edildi tadı da güzeldi. Ayrıca yanında hediye olarak küçük bir kutu kuru pasta yollamışlar.,10.0,10.0,10.0,1604051601
Supangle vetr ileçe çok taze ve çok lezzetliydi emeğinize sağlık valla helal olsun.,10.0,10.0,10.0,1604051601
Her şey çok taze lezzetli ve güzeldi. Kuryenizin de para üstünü kuruşu kuruşuna hazırlayıp getirmesine bayıldık. Ve küçük kuru pasta ikramları için teşekkür ederiz.,10.0,10.0,10.0,1604051601
Süper hızlı ve lezzetli.,10.0,10.0,10.0,1604051601
15 dk sürdü gelmesi emeğinize sağlık ikramınız için ayrıca teşekkür ederiz.,10.0,10.0,9.0,1604051601
Herşey çok taze ve lezzetliydiii.,10.0,10.0,10.0,1604051601
Ellerinize kollarınıza saglik ilk defa pasta sipariş istegimide yapmisiniz çok sağolun ikram içinde tesekurler.,10.0,10.0,10.0,1604051601
Her zamanki gibi leziz eklerler. İkram için teşekkürler.,10.0,10.0,10.0,1604051601
Mü kem mel.,10.0,10.0,10.0,1604051601
