comment_text,comment_speed,comment_service,comment_taste,comment_time
Geç gelmesinin sebebini malum gece saati olduğu için gelen urun gayet sıcak ve lezzetliydi yanındaki koz biberler için ayrıca teşekkür ederim gelen arkadaş samimi cana. Yakin tavrı vardı kendisine ve is yerine teşekkür ederim.,7.0,10.0,9.0,1606598516
"40 dakikada geldi, hız olarak iyiydi. Servis iyiydi fakat sanki her şeyden iki kaşık alınacak şekilde tasarlanmıştı. Mezeler 2 kaşıklık, salatalar iki kaşıklık, bulgur pilavı... Lavaş sertti, köftenin tadını bastırıyordu ve içine bir şey koyup yemeye çalıştığımızda dağılıyordu.",9.0,6.0,8.0,1606598516
Gaayet iyi.,10.0,10.0,10.0,1606425716
1. 5 saatte geldi çok yavaştı üzdü bizi bugün restoranı överken arkadaşlarıma mahçup oldum.,1.0,6.0,6.0,1606425716
Hic guzel deil.,1.0,1.0,2.0,1606252916
Bayılıyorum buraya 3.,10.0,10.0,10.0,1606166516
Servis biraz daha geliştirilmeli.,7.0,3.0,10.0,1606166516
Hızlı güzel.,10.0,10.0,10.0,1606080116
Sipariş hızlı geldi ama lezzet olarak gerçekten çok kötüydü özellikle hamile bayanlar asla tercih etmesin içindeki et azında sünüyor sanki çiğ gibi değişik bi tattı özenli bi et kullanmayı deneyebilirsiniz ve iyi pişirerek maydonoz istedim ods yoktu içinde yani gerçekten çok kötüydü.,10.0,1.0,1.0,1606080116
Buz gibi ve geç gelen ciğer dürümler...,1.0,1.0,1.0,1606080116
Urfa kebabimi yedim yoksa lastik kebabimi anlamadim sanirim ilk defa lastik yedim.,5.0,1.0,1.0,1606080116
10/10 lezzet hız servis harikulade.,10.0,10.0,10.0,1606080116
İyi.,8.0,8.0,8.0,1605993716
Soğuk lezzetsiz ve 2 km yeri 1 saatte geldiler nota da bakmamışlar.,3.0,1.0,2.0,1605993716
Maalesef adana dürümü bozmuşlar etin sakız gibi sinirleri vardı.,9.0,7.0,3.0,1605907316
Buz gibiydi.,8.0,7.0,7.0,1605907316
20-30 dk servis süresi yazmasına rağmen 1 saatte geldi ve buz gibiydi. Aşırı soğuktu. Evime yakın olmasına rağmen gayet geç geldi.,1.0,1.0,1.0,1605907316
Ciğerin lavaşın lezzeti çok yerinde. Çok fazla soğan konmuştu ama düzeltilmeyecek şey değil ben de not yazmadım. İlk kez söyledim daha söylerim. Beğendim.,10.0,10.0,10.0,1605907316
Ustama selam.,9.0,10.0,10.0,1604784116
1 saatte gelmedi.,1.0,1.0,1.0,1604611316
Cok iyi doyurucu.,10.0,10.0,10.0,1604055170
Lezzete diyebileceğim bir şey yok ama 1 saatte elime ulaştı ilk defa mağdur oldum.,1.0,1.0,9.0,1604055170
Urfa dürüm mukemmeldi ustam. Ellerine sağlık.,10.0,10.0,10.0,1604055170
"Bugün neden yoğunluktan veya mesafeden dolayımıdır bilmiyorum ama baya geç geldi(57 dakika). İlk defa geç geldi 5 puan vermek istemezdim ama her siparişi ayrı değerlendirmeliyim. Lezzet yine her zaman ki olması gerektiği gibi mükkemmeldi. Çok güzel bir adana yapıyorlar, ellerine sağlık şeflerimin.",5.0,10.0,10.0,1604055170
İlk defa tavuk durumunuzu begenmedim. Tam pismemisti ve tadi oncekilerden farkliydi. Daha onceki super lezzetli tavuk durumlerinizin hatirina puan kirmiyorum. Lutfen eski lezzetine döndürün. Seviliyorsunuz hayirli isler.,10.0,10.0,10.0,1604055170
Süper.,10.0,10.0,10.0,1604055170
Maydanoz yemiyorum o yüzden maydanoz istemediğimi belirtiyorum hep. Ama bu kez maydanoz konulup soğan konulmamıştı. Dikkat edilirse sevinirim.,8.0,5.0,9.0,1604055170
Bornovada bulabilceğiniz en iyi kebap evi dürüm lavaşı tam isteğim gibi ayrıyeten siparişi getiren görkem kardeşimede çok teşekkür.,10.0,10.0,10.0,1604055170
Harika.,10.0,10.0,10.0,1604055170
Herşey çok güzeldi.,10.0,10.0,10.0,1604055170
Süper.,10.0,10.0,10.0,1604055171
Gayet hızlı bir şekilde elime ulaştı. Servis olarak biberleri küçük bir kaba koyarak servis edilmesinin daha doğru olduğunu düşünüyorum. Lezzete gelirsek güzel bir adanası var lakin 2 tanesiyle anca doyuyorum. Gelen biberlerse bu kadar acı biber olamaz resmen ağzımın sularını akıttı. Ellerine sağlık.,10.0,9.0,9.0,1604055171
Rezalet 1. 5 saatte arka sokaga bir dürüm getiremediler.,1.0,1.0,1.0,1604055171
"Beklentiyi yükseltmek istemem ama benim yemeğim 13 dakikada geldi. Bu kadar hız beklemiyordum. Kurye nazikti, yemek de klasik urfa kebap lezzetindeydi.",10.0,10.0,10.0,1604055171
Lezzetli ve ekonomik. Tavsiye ederim ).,9.0,9.0,9.0,1604055171
Her zamanki gibi adana harikaydı.,10.0,10.0,10.0,1604055171
Adana dürümü efsane. Adana dürüm için adanaya gitmeyin.,10.0,10.0,10.0,1604055171
Watsaptan bilgi mesajı atmanız gereksiz olmuş. Zaten yeterince hızlısınız.,10.0,10.0,10.0,1604055171
Sipariş geç geldi online ödemeye rağmen para talep edildi. Lezzet guzel.,1.0,1.0,7.0,1604055171
Çok lezzetli birer adana yedik. Elinize sağlık.,9.0,9.0,10.0,1604055171
"3 arkadaş sipariş vermiştik kendim için içecek istememiştim kurye abi iyi niyetle deseydin getirirdik o da bizde olurdu dedi. Güleryüzlü hızlı teslimat, lezzeti yerinde daha nolsun.",10.0,10.0,10.0,1604055171
Adana dürüm adanada yediğim dürümler gibi lezizdi. Elinize sağlık.,10.0,10.0,10.0,1604055171
Gayet güzel.,10.0,10.0,10.0,1604055171
Naif insanlar çalışıyor bu işletmede. Ayrıca doğuya ait olan kebab kültürünü iyi icra ediyorlar.,10.0,10.0,10.0,1604055171
Kusursuzdu.,10.0,10.0,10.0,1604055171
Gayet güzeldi ellerinize sağlık çok beğendim.,10.0,10.0,10.0,1604055171
On numara tavuk dürüm. Bağımlısı oldum.,9.0,10.0,10.0,1604055171
Bulgur pilavi gelmedi.,10.0,1.0,1.0,1604055171
Notumu dikkate almalarına sevindim. Herşey eksiksiz geldi. Teşekkür ediyorum.,10.0,10.0,10.0,1604055171
10 numaraydı hepsi. Özellikle kurye abimize teşekkür ediyorum.,10.0,10.0,10.0,1604055171
Lezzetli yapıyosunuz hiç etmeyin yetişmiyosa kurye alın 1 saatte yemek gelmez.,1.0,8.0,10.0,1604055171
Menülere kola dışında adanus şalgam seçeneğide eklerseniz çok güzel olur.,10.0,9.0,10.0,1604055171
Fiyat porsiyona göre yuksek. Lezzet sıkıntısı yok.,9.0,7.0,7.0,1604055171
"İleri tarihli ve saatli siparis vermeme rağmen, istediğim zamanı işaretlemiş olmama rağmen siparişim 1. 5 saatte geldi. Gelen kuryeye durumu söylediğimde de yoğunuz, pazar yeri yakın gibi bizi ilgilendirmeyen bahaneler one sürdüler. Sonuçta 15 dakikada yemek yemek zorunda kaldık.",1.0,1.0,2.0,1601425425
Fena değil.,5.0,1.0,6.0,1601425425
Adana buyuk ve doyurucu ancak etin icinden sert likler çikti kiyma daha iyi cekilmeli.,9.0,8.0,7.0,1601425425
Güzel.,10.0,10.0,10.0,1601425425
Her zamanki gibi kusursuzdu.,10.0,10.0,10.0,1601425425
En lezzetli tavuk dürümü burdan yiyebilirsiniz.,10.0,10.0,10.0,1601425425
Söylenecek söz yok. İlk siparişimdi ama bayıldım. Ustasından kuryesine hepinize teşekkürler. O salatalar yok mu nefis nefis. Adana söyledim parmaklarımı yedim en iyisisiniz net.,10.0,10.0,10.0,1601425425
Her şey çok iyidi buradan her siparişimde olduğu gibi.,10.0,10.0,10.0,1601425425
Iki seferdir siparisimin gelmesi 1 saati buluyor.,1.0,7.0,8.0,1601425425
Lezzetli.,10.0,10.0,10.0,1601425425
Yemeği getiren beyefendinin ismini unuttum 50 li yaşlarda çok güler yüzlü mütevazi bir insan kesinlikle kurye bölümünde yer almaması gerektiğini düşünüyorum daha farklı yerlerde değerlendirilebilir mesela bir restoran da misafir karşılayabilir benim görüşüm.,10.0,10.0,10.0,1601425425
Oldukça güzeldi teslimatta güzeldi.,8.0,8.0,9.0,1601425425
Lezzet olarak ve hız olarak çok iyiler teşekkürler.,10.0,10.0,10.0,1601425425
Güzel.,8.0,8.0,8.0,1601425425
Hız ve lezzet süperdi.,10.0,9.0,10.0,1601425425
Herşey kusursuz etin tadı gayet güzel ve sıcak getirdikleri için de ayrıca teşekkür ediyorum.,10.0,10.0,10.0,1601425425
Yılaaaaaan.,10.0,10.0,10.0,1601425425
Her şey çok iyidi sadece bu sefer urfa dürümün eti biraz fazla tuzlu geldi. Onun dışında mükemmel.,10.0,10.0,9.0,1601425425
Bu işi biliyorlar.,10.0,10.0,10.0,1601425425
Bu tavuk şiş dürüm manyak bir lezzet ya.,10.0,10.0,10.0,1601425425
Çok iyiydi.,10.0,10.0,10.0,1601425425
İçecek türlerine dikkat edilmiyor.,8.0,7.0,9.0,1601425425
Normalden daha lezzetsizdi.,10.0,9.0,7.0,1601425425
Kuzu şiş güzeldi fakat porsiyon yetersiz geldi gözüme baba dedi bırçiyiz :d.,10.0,8.0,9.0,1601425425
Izgara köftenizi çok beğendim elinize sağlık.,10.0,10.0,10.0,1601425425
Süper.,10.0,10.0,10.0,1601425425
Eti baharatı iyiydi çok hızlı geldi beklenmedik bir şekilde tek eksisi lavaştı lavaşları berbattı 2 puan düşürecek hatta 3 düşürecek kadar.,10.0,10.0,8.0,1601425425
Acıların acısı.,6.0,6.0,6.0,1601425425
Biraz daha hızlı gelebilir ama çok lezzetli adana dürümü. Siparişi getiren abi de çol güler yüzlü.,6.0,10.0,10.0,1601425425
Güzel.,10.0,10.0,10.0,1601425425
Çok iyi.,10.0,10.0,10.0,1601425425
Hem lezzetli hem doyurucu.,10.0,10.0,10.0,1601425425
Tavsiye ederim.,10.0,10.0,10.0,1598795679
15 dakikada sıcak bir şekilde geldi tadıda güzeldi elinize sağlık.,10.0,10.0,10.0,1598795679
Gayet lezzetliydi.,8.0,10.0,10.0,1598795679
Lezzetli kuzu ciğeri yemek isteyen kişi tercih edebilir.,9.0,9.0,10.0,1598795680
Fena değildi.,10.0,10.0,7.0,1598795680
Fiyatına göre çok iyiydi.,9.0,9.0,9.0,1598795680
Çok kötüydü ciğer.,1.0,1.0,1.0,1598795680
Getirdiği ciğerden bir şey anlamadım.,10.0,1.0,1.0,1598795680
Adana biraz tuzlu. Onun dışında sıcak ve lezzetliydi.,9.0,9.0,9.0,1598795680
Cok tuzluydu.,8.0,8.0,3.0,1598795680
