comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızlı geldi lezzetliydi de ama porsiyonlar çok küçük be.,10.0,10.0,10.0,1606425997
Büyük boy pizza biraz küçüktü ama lezzeti güzeldi.,8.0,6.0,8.0,1606339597
Her seferinde bir şeyler eksik geliyor.,10.0,6.0,10.0,1606339597
Tatları sadce çok guzel.,1.0,1.0,1.0,1606253197
Buranın pizzaları çok iyi olmasada güzel.,8.0,9.0,9.0,1606166797
Hizli sicak geldi ama az pismisti ve cok leziz degildi.,10.0,10.0,7.0,1606166797
İlk açıldığı zamanlar pek lezzetli gelmiyordu fakat şimdi gerçekten lezzetli. Sadece hamuru ince seçmemize rağmen incecik hamur geldi ama yine de lezizdi ve gayet hızlıydı. Teşekkürler çalışan arkadaşlara.,10.0,10.0,10.0,1606166797
"Müşterilerini en iyi kandıran zincirlerden biri, birdaha karşıma çıkmaması dileğiyle.",1.0,1.0,2.0,1605993997
İdare eder.,6.0,6.0,6.0,1605993997
Tadı güzeldi 35 dakikada geldi.,10.0,9.0,10.0,1605907597
Sipariş 1saat sonra geldi oda yanlış geldi geri gitti ve bi 35 40 dk sonra geldi ha bu arada 30 dk geçince bedava medava yok yalan.,1.0,1.0,6.0,1605907597
Sipariş çok da yakın bir konumda olmamamıza rağmen 15 dakika gibi bir sürede henüz daha sıcacıkken geldi. Dürümosun lezzeti de çok iyiydi ellerinize sağlık.,10.0,10.0,10.0,1605907597
Lezzete sifir olmadığı icin veremedik. Et donerli durumls siparis verdik. Et doner disinda ıcinde butun malzemeler vardi. Kisacasi patates pureli durumos yemis olduk. Bir daha asla dominostan siparis vermicem.,6.0,5.0,1.0,1605821197
"Dilim başına 1 adet sucuk, yarım adet pastırma dilimi düşmüş, gerçekten malzemenin bolluğundan yiyemedim. Pastırmaların kömür olmuşluğunu saymıyorum bile. İyi kötü hamurun üstünde biraz malzeme olaydı onada razıydım.",7.0,3.0,1.0,1605821197
Domates sosunu fazla koymuşdunuz salçalı ekmek yioduk sanki ama onun dışında çok güzel sadece sosunu azaltsanız güzel olabilir.,9.0,10.0,8.0,1605734797
Tadsızdı.,1.0,10.0,5.0,1605561997
Pizzası hiç doyurmadı büyük boy pizza siperiş etmiştim orta boy geldi.,1.0,1.0,1.0,1605475597
Pizza birazcık kötü ya eski dominos özledik lütfen daha güzel ve daha dikkatli yapalım.,1.0,1.0,1.0,1605475597
Güzeldi.,10.0,10.0,10.0,1605475597
Hamur kalmıştı bu sefer.,10.0,10.0,8.0,1605475597
Siparişler geç geliyor. Ketçap mayonez koymuyorlar.,1.0,5.0,8.0,1605475597
Müthiş.,10.0,9.0,10.0,1605475597
Çok bekledik.,1.0,1.0,1.0,1605389197
"Islak mendil felan yoktu, bide bunları pizza diye satıyorsunuz millete, yazık paranıza arkadaşlar.",8.0,3.0,1.0,1605389197
"Hızlı, hijyenik servis, mesafe kuralına özen gösteren kurye, leziz pizza ve kanat menü. Teşekkürler.",10.0,10.0,10.0,1605216397
Getiren arkadas cok iyi niyetli belli saatten sonra ama az kisi calistiriliyor galiba yogunluktan getiremedigini ifade etti.,3.0,4.0,7.0,1605216397
Klasik dominos kalitesi güzel.,10.0,8.0,10.0,1605129997
Gelen tavuklar iyi pişmemişti.,10.0,1.0,1.0,1605129997
Yavaştı. 52dkda geldi.,6.0,7.0,8.0,1605043598
Buz gibi ve 1 saatte teslim edildi 2 mahalle öteye.,1.0,1.0,1.0,1605043598
Reklamda gösterilen pizza ve dürümün eve gelen siparişle alakası yok gösterilen ferrari eve gelen murat 124.,6.0,6.0,1.0,1605043598
"Sufle lezzet olarak harikaydı ama porsiyonuna göre fiyatı çok fazla, daha büyük olabilir. Ayrıca çok yavaş geldi maalesef.",1.0,10.0,10.0,1605043598
Servis çok kötüydü lezzet de kötüydü ekmek sertti.,9.0,3.0,5.0,1604870798
İki gündür aynı siparişten veriyoyorum sos lar gönderilmiyor ilgi ve sipariş kontrolü sıfır.,5.0,6.0,8.0,1604870798
"Suffle söyledim, paketi açılmış ve tatlının yarısı paket içine dökülmüştü. Notlara eklemezsek pizza baharatı koyulmuyor. Gece yarısı tek seçeneksiniz diye adamı pişman etmeseniz iyi olacak.",10.0,10.0,1.0,1604870798
Birdaha kine çalışanlarınoza biraz bozuk para verin.,10.0,8.0,10.0,1604784398
Orta boy pizzaların boyutu eskisine göre daha ufak.,9.0,9.0,8.0,1604784398
Yazık paraya.,1.0,1.0,1.0,1604784398
"Lezzet standartında sıkıntı yok, ancak son siparisimin gelmesi 1 saatten fazla sürdü. Üstelik pizzaları sarimsak kenarlı istememe ve bunun ücretini ödemis olmama rağmen yine pizzalarım normal kenar geldi. Sarımsak kenar kırmızı çizgim, lütfen dikkat edin buna. Kolay gelsin.",4.0,6.0,8.0,1604611598
Çoooook geç ve soğuk geldii! Tadı fena değildi.,1.0,1.0,7.0,1604611598
İyi.,7.0,7.0,7.0,1604611598
1 tanesi yanlış gelmişti.,7.0,8.0,6.0,1604525198
1 saat 15 dakikadan fazla bir sürede geldi 50 dakika geçtikten sonra arayıp kusura bakmayın 10 dakika sonra çıkacak dediler ondan sonra bi yarım saat daha geçti tadı iyiydi.,2.0,9.0,9.0,1604525198
Sadece sucuklu pizza söyledim fakat içinde sucuk yoktu hele ki 2diliminde hiç denk gelmemiş hadi sucuk yok ordan kostın pizzanın kendi sosu da yok!,5.0,9.0,1.0,1604438798
1 saat 20 dakika sonra geldi. Baya gecikti.,1.0,9.0,9.0,1604265998
2 dir aynı şey oluyor. 55 dk da siparis cikariyorlar.,1.0,1.0,6.0,1604265998
İlk defa sipariş verdik ama hiç memnun kalmadik bidaha kesinlikle dominostan sipariş vermem buz gibi geldi pizza ne ketçap ne mayonez var çok yazik.,1.0,1.0,1.0,1604179598
Papoyes kadar lezzetli değil ama idare eder...,1.0,1.0,6.0,1604055452
İçecek gelmedi.,10.0,2.0,5.0,1604055452
Biraz gecikti.,5.0,10.0,10.0,1604055452
Beklediğimden çok daha hızlı ve sıcak geldi. Teşekkürler.,10.0,10.0,10.0,1604055452
Kesinlikle hiç sektirmeden siparişler geç geliyor. En az 5 kere bir saati aşkın sipariş beklediğimi hatırlıyorum. Daha dikkatli olunmalı.,1.0,8.0,8.0,1604055452
"Sipariş belirtilen sürenin en az iki katı geç geldi ve soğuktu. Bol malzemeli diye sipariş ettim. İçinde ara ki malzemeyi bulasın. Paketleme çok kötü. Ketçap, mayonez yok, peçete, ıslak mendil yok. Fiyatlarına göre pizzaları yarı parası bile etmez. Kimseye tavsiye etmiyorum.",1.0,1.0,1.0,1604055452
Lezzeti güzel. Siparişimizi eksik getirdiler. Ama arayıp eksikliği söyleyince yolladılar. Telefonda ilgilenen arkadaşa teşekkür ederim.,8.0,8.0,10.0,1604055452
Berbat.,1.0,1.0,1.0,1604055452
"Boyut çok küçük yani doyurucu değil, bol malzemeli söyledim fakat içinde malzeme yok ve lezzeti de iyi değil.",8.0,4.0,2.0,1604055452
Euroleague büyük boy bol malzemos pizza söyledim kart geçilirken 32. 99 geçilmesi gerekirken 33. 99 geçilmiş. Bunun dışında pizza harika. Kolay gelsin.,9.0,9.0,9.0,1604055452
Gayet güzel.,8.0,8.0,10.0,1604055452
Gece aldığımız menüler daha lezzetli.,7.0,7.0,7.0,1604055452
