comment_text,comment_speed,comment_service,comment_taste,comment_time
Başarılı.,9.0,9.0,9.0,1606339619
Muhteşem lezzet ve hızlı teslimat.,10.0,10.0,10.0,1605130019
Kokoreç efsaneydi bergama da daha iyisini yemedim köfte de de çok lezzetliydi siparişim hızlı ve sıcak geldi ellerinize sağlık teşekkür ederim.,10.0,10.0,10.0,1604055473
Çiğköfte güzel değildi.,8.0,8.0,6.0,1604055473
10 numara 5 yıldız.,10.0,10.0,10.0,1604055473
Yarım ekmek arası tavuk döner çok güzeldi tavsiye ederim.,10.0,10.0,10.0,1601425727
Kokoreç lastik gibiydi ve katiyen yutulmuyordu az kalsın boğuluyordum. İlk defa bu kadar kötü bir kokoreç yedim. Sevdiğim bir mekandı buna üzüldüm.,10.0,10.0,1.0,1598795981
Malzemesi az ve çok diri.,1.0,1.0,1.0,1596166235
Güzeldi.,9.0,9.0,9.0,1596166235
Gayet lezzetliydi...,10.0,10.0,10.0,1596166235
Tavuk döneri güzel.,10.0,9.0,10.0,1596166235
Aşırı hızlı geldi. Tavuk döner mükemmeldi.,10.0,9.0,10.0,1596166235
Bence hiç güzel değildi.,7.0,6.0,3.0,1596166235
İki kokoreç istedim adamın dediği şu iki siparişe gelmiyoruz bu seferlik getirdim dedi ne yani 10 tane isteyip 8 zini çöpe mi atayım böyle saçmalık görmedim.,1.0,1.0,1.0,1593536489
Eskisi gibi özenli değiller malesef.,8.0,5.0,9.0,1593536489
Gayet güzel.,10.0,10.0,10.0,1593536489
Dikkat bağımlılık yapar.,10.0,10.0,10.0,1593536489
Düşük puan verenin aklı yoktur...,10.0,10.0,10.0,1593536489
Verdiğimize pişman olduk başka bişey demiyorurz.,1.0,1.0,1.0,1590906743
