comment_text,comment_speed,comment_service,comment_taste,comment_time
Hotdoglar çok iyi. Ama son siparişimde ekmekleri biraz bayat gibiydi..,7.0,9.0,8.0,1606687275
Güzeldi.,10.0,10.0,10.0,1606687275
Mükemmel.,10.0,10.0,10.0,1606687275
Güzel tat yakaladınız bozmadan devam.,10.0,10.0,10.0,1606687275
Süpersiniz.,10.0,10.0,10.0,1606600875
"Çok çok kötü. Hayatım da böyle bir hot dog görmedim. Böyle bir servis olamaz. Rezalet. Sosisin yarısı dışarda üstelik yanmış, ekmeğin yarısı yok. Çok yazık, bir daha asla tercih etmem burayı.",1.0,1.0,1.0,1606600875
Kuryeniz çok hızlıydı allah kaza bela vermesin. Servisinize diyecek lafım yok harika çok iyi düşünülmüş. Kendimde bir aşçı olarak lezzetinizi geliştirirseniz çok daha iyi olur bol kazançlar :).,10.0,10.0,5.0,1606600875
Abi cok iyi yaa.,8.0,10.0,10.0,1606514475
Porsiyon küçük fiyat ürüne göre çok fazla.,7.0,9.0,6.0,1606514475
Sıcak taze kaliteli lezzetli.,10.0,10.0,10.0,1606514475
Hotdog.,10.0,10.0,10.0,1606514475
Kajun baharatli patates neden sade geldi acaba? Her zaman baharatlı gelirdi o nefis patates bugün hayal kırıklığı oldu :(.,10.0,10.0,5.0,1606514475
İlk siparişim 1 saatin üzerinde bir sürede gelmişti ama bu sefer 20 dk bile sürmemiş olabilir.,10.0,10.0,8.0,1606428075
Siparişim soğuktu bir öncekindeki malzemenin yarısı bile yoktu.,4.0,4.0,2.0,1606428075
Hem hızlılar hem lezzetli bi de elma koymuşlar. Çok incesiniz bol kazançlar.,10.0,10.0,10.0,1606428075
Güzeldi.,10.0,10.0,8.0,1606341675
"Bir ara nerdeyse her gün sipariş veriyorduk. Bir süre ara vermişiz geçen aklımıza gelince yiyelim dedik, porsiyon boyutlarına inanamadık. Lezzet çok iyi ona bir lafımız yok çok da beğendik yine ama hotdoglar çok küçülmüş. Doymadık.",9.0,8.0,10.0,1606255275
Sweet chili sosunuzu lütfen yüksek gramajlı paketlerde satın kimse almazsa ben alırım gayet hoş.,10.0,10.0,10.0,1606255275
Çok güzel.,10.0,10.0,10.0,1606255275
Güzel.,8.0,9.0,9.0,1606255275
Alaturka pizza çok lezzetli ve doyurucu. Diğerlerini de deneyeceğim.,10.0,10.0,10.0,1606255275
