comment_text,comment_speed,comment_service,comment_taste,comment_time
Zbab ıvjj.,10.0,9.0,10.0,1606688506
Çok hızlı ve eksiksiz teslimat yaptılar.,10.0,10.0,10.0,1606688506
Güzeldi.,10.0,10.0,10.0,1606688506
"Çok hızlı geldi, teşekkürler. Fakat biraz daha sıcak gelebilirdi...",10.0,9.0,10.0,1606602106
Sıcak hızlı lezzetli.,10.0,10.0,10.0,1606602106
Beğendim mükememl.,10.0,10.0,10.0,1606515706
Harikaaa.,10.0,10.0,10.0,1606515706
3 cookie söylemiştim istediğim siparişim geldiğinde elimde 4 cookie vardı çok çok teşekkür ederim çok mutlu oldum.,10.0,10.0,10.0,1606515706
Işık hızında yemeğiniz gelsin istiyorsanız tek mekan.,10.0,10.0,10.0,1606429306
Yediğim en iyi subwaylerden biriydi ama notlara dikkat edilmiyor.,9.0,9.0,10.0,1606429306
Güzel.,10.0,10.0,10.0,1606429306
"İşte lezzet, işte servis, işte hız, işte kurabiye, işte sandwich, işte adam gibi adam kuryelik.",10.0,10.0,10.0,1606429306
Tek kelimeyle harika...,10.0,10.0,10.0,1606429306
Sizler çıldırmış olmalısınız her zaman farkla subway passage.,10.0,10.0,10.0,1606429306
Yeeesssss.,10.0,10.0,10.0,1606429306
"Kuryesinden mutfak çalışanına herkesin eline, emeğine sağlık. Siz muhteşemsiniz ikram kurabiye için ayrıca teşekkür ederim!",10.0,10.0,10.0,1606342906
Malzemelerim bir cogu bozuk gibiydi sicak istememe ragmen soguk geldi.,1.0,1.0,1.0,1606342906
Ben kapıyı maske takarak açtığım halde kuryeniz maske takmıyordu.,1.0,1.0,1.0,1606342906
Menü içeriğindeki 1 adet kutu cola unutulmuştu. Paketten çıkmadı. Bu konuda siparişlerde daha dikkatli olunmasını rica ediyorum :).,9.0,2.0,9.0,1606342906
Bugün yine bana bana subway yemek düşer.,10.0,10.0,10.0,1606342906
Yine çok başarılı.,10.0,10.0,10.0,1606342906
Baboşların showu :).,10.0,10.0,10.0,1606342906
İzmirin en hızlı en kibar en düşünceli en lezzetli sipariş çıkaran restoranı (alkış emojisi :).,10.0,10.0,10.0,1606342906
Kurabiyeler pişmemişti hamur gibiydi yiyemedim.,10.0,5.0,3.0,1606342906
Süpersiniz.,10.0,10.0,10.0,1606342906
Özellikle kolayı soguk istedim resmen dolaptan 10 saniye önce çıkmış gibiydi ama cipsleri çok ufak :(.,10.0,10.0,10.0,1606256506
Fena değil.,8.0,8.0,8.0,1606256506
Güzeldi.,9.0,8.0,9.0,1606170106
Sandvicimin icinde istedigim soslar bulunmuyordu.,9.0,7.0,9.0,1606170106
İsinlanma mi bulundu?,10.0,10.0,10.0,1606170106
Servise 1 vermemin sebebi bi tane teriyaki bi tane tavuk fleto söylememize rağmen ikiside teriyaki gelmişti ama lezzet tabiki çok iyiydi.,10.0,1.0,10.0,1606170106
Hersey kusursuz ve hizli servis.,10.0,10.0,10.0,1606083706
Hem hızlı hem de çok lezzetliydi.,10.0,10.0,10.0,1606083706
Her zamanki subway.,10.0,10.0,10.0,1606083706
Çok başarılı tavsiyemdir.,10.0,10.0,10.0,1606083706
Herşey için teşekkür ederim sizler bu kadar hızlı olmayı ve lezzeti desen her zaman aynı birde doğaç bey e çok teşekkürler subway passage.,10.0,10.0,10.0,1606083706
Müşteri memnuniyetini ön planda tutan bi yer tekrar tekrar söyleyeceğim:).,10.0,10.0,10.0,1606083706
Harika.,10.0,10.0,10.0,1605997306
9. Dakikada siparisim elimdeydi.,10.0,10.0,10.0,1605997306
Gayet güzel bi tık daha ucuz olsa efsane olabilir.,10.0,10.0,10.0,1605997306
"Hızlı, lezzetli, paket özenliydi. Ellerinize sağlık.",10.0,10.0,10.0,1605997306
Bence çok lezzetli şimdiye kadar herzaman aynı kalite. Ellerinize sağlık olsun ve böyle devam. Yes patates.,10.0,10.0,10.0,1605910906
Kuryelerin sağlık açısından daha dikkatli olması gerekiyor. Maske takmak zorunluluktur.,8.0,7.0,8.0,1605910906
5-10 dakika kadar gecikme oldu. Bunun için arayıp özür dilediler ve ikramda bulundular. Profesyonel olmak gerçekten başka bir şey. Teşekkürler..,10.0,10.0,10.0,1605824506
Güzel.,10.0,9.0,10.0,1605824506
45 dakika sonra geldi malesef.,1.0,7.0,8.0,1605824506
Gayet lezzetliydi memnun kaldım ama biraz geç geldi.,5.0,10.0,10.0,1605824506
Mesafe tanımaksızın gelen hızlı servis lezzetli bir sandviç ellerinize sağlık.,10.0,10.0,10.0,1605824506
"Hızlı, sıcak ve lezzetli, ellerinize sağlık. Teriyaki yiye yiye tiryaki olduk.",10.0,10.0,10.0,1605738106
Herşey için teşekkürler subway.,10.0,10.0,10.0,1605738106
Teşekkürler.,10.0,10.0,10.0,1605738106
Kuryenize ne kadar teşekkür etsem az sırf onun özverili hizmetinden ötürü yazıyorum. Bir önceki siparişimde ev adresim kalmış ve iş yerndeyken sizden sipariş verdim maalesef hatam yüzünden evime gitmiş ve hiç ses çıkarmayıp iş adresime siparişimi getirdi sen kendini biliyosun isimsiz süper kahraman.,10.0,10.0,10.0,1605738106
Ellerize sağlıkk çok lezzetli.,10.0,10.0,10.0,1605738106
2. Kez subway alışım yok bir türlü olmuyor lezzetli. Ucuz da değil anlmadıgım bişey var. Tadı tuzu kesinlikle yok. Tuz koyuyorum yine olmuyor. Dürüm istiyorum özenli diye düşünüyorum ama tatsız. Yine olmadı lezzet yok sıfır.,10.0,8.0,3.0,1605651706
Yilannnnssss.,10.0,10.0,10.0,1605565306
Çok hızlı ve sıcak geldi bu konuda teşekkürler ancak ekstra malzeme söylüyorsam müşteri olarak yediğim yemekte bunun tadını almayı umarım. Açıkcası bu özensizlik beni hayal kırıklığına uğrattı. Sadece cheddar seçmiştim ancak yok denecek kadar azdı ve seçtiğim soslar dikkate bile alınmamıştı.,10.0,7.0,5.0,1605565306
Herşey çok güzeldi ve herhan gibi bir aksaklık olacaginda arayıp haber veriyorlar.,10.0,10.0,10.0,1605478906
Çok lezzetli yedi elinize sağlık.,10.0,10.0,10.0,1605478906
My order was amazing thanks to your staff.,10.0,10.0,10.0,1605478906
"Kaşarlı dürüm çok kötü, yanında salata aldım salatayı görmeniz lazım servis biçimini görmesenizde olur kötü sevmedim afiyet olsun.",10.0,10.0,1.0,1605478907
Sadviçin sosları ve malzemesi ayarındaydı. Bütün sosları istememe rağmen bulamaç gibi gelmedi. Teşekkür ederim.,10.0,10.0,10.0,1605478907
Çok iyisiniz.,10.0,10.0,10.0,1605478907
Salatalarının lezzeti olduğunu bilmiyodum.,8.0,8.0,10.0,1605392507
Harikaydı 10 üzerinden 10.,10.0,10.0,10.0,1605392507
Gelen arkadaş pandemi sürecini bitirdi heralde maskesiz hijyen kurallarına uymamak hiç olmadi bence.,1.0,1.0,1.0,1605392507
"O kadar hızlı geldi ki biz de inanamadık, teşekkürler :d.",10.0,10.0,10.0,1605306107
Asansör bozuk olmasına rağmen ışık hızıyla geldi.,10.0,10.0,10.0,1605306107
Şahane.,10.0,10.0,10.0,1605306107
Yanında hediye kurabiye vardı.,9.0,10.0,10.0,1605306107
Gözlüklü ve sevimli arkadaşa selam.,10.0,10.0,10.0,1605306107
Süper.,10.0,10.0,10.0,1605219707
Duble biftekkaşar dürüm malzeme olarak gerçekten biftek doluydu ancak duble olması sizi şaşırtmasın dürümün boyu cidden bir karış bile yok. Menü fotoğraflarında dürümler daha uzun duruyor.,9.0,9.0,8.0,1605219707
Yogunluktan kaynakli gecikme olabiliyor ama hizmet ve lezzet her zaman ayni.,10.0,10.0,10.0,1605219707
Siz süpersiniz dostum.,10.0,10.0,10.0,1605219707
Hızlı servis güler yüzlü hizmet.,10.0,10.0,10.0,1605219707
Kurye yukarı çıkmadı beni arayıp aşağı indirdi zaman kazanıyormuş. Cipslerimin 1 i eksik geldi. Teriyaki soslu tavuğu lezzet olarak beğenmedim.,1.0,1.0,1.0,1605133307
Ticket istedik getirdikleri pos cihazı ticket uyumlu değildi. Tekrar aşağı inmemek için kredi kartıyla ödemek zorunda kaldık.,1.0,1.0,8.0,1605133307
"Servis elemanı maske takmıyor, uyarırsanız iyi olur.",8.0,5.0,8.0,1605133307
Güzel.,9.0,9.0,9.0,1605046907
Herzamaki gibi.,10.0,10.0,10.0,1605046907
Seviliyorsun subway passage.,10.0,10.0,10.0,1605046907
Her sey cok iyiydi özellikle hızı harikaydı. Kurye arkadaşa cok tesekkurler.,10.0,10.0,10.0,1605046907
İçinde seçtiğim sosların hepsi yoktu. Hız ve servis güzeldi.,10.0,10.0,8.0,1605046907
Subway yıllardır favori restoranım fakar passage şubesi izmirdeki en favori restoranım.,10.0,10.0,10.0,1604960507
Siparişini verdiğimiz zaten 2 ürün sandviç ve kola ikisini aynı anda getiremeyecek kadar zor değil işiniz.,1.0,1.0,1.0,1604960507
"Ürünlerin yanında fiş göndermediğiniz için servis notunu düşürdüm, onun dışında başarılı..",10.0,10.0,10.0,1604874107
Çok lezzetliydi ellerinize sağlık.,10.0,10.0,10.0,1604874108
Başarılıydı.,9.0,9.0,9.0,1604874108
Yanık geldi beğenmedim.,10.0,5.0,2.0,1604787708
Güzel.,9.0,9.0,9.0,1604701308
İnanılmaz hızlı ve sıcak geldi. Notlarımı okuduğunuz için teşekkür ederim.,10.0,10.0,10.0,1604528508
Lezzet çok iyi ve çok hızlı geliyor ancak ikidir soğuk seçmeme rağmen sıcak geliyor.,10.0,5.0,10.0,1604528508
Böyle güzel salata olur mu ya bu kadar hızlı bu kadar bol malzeme bitiremiyorum desem yalan olmaz mükemmell.,10.0,10.0,10.0,1604528508
Sıcak ve lezzetli.,10.0,10.0,10.0,1604528508
Güzeldi.,9.0,9.0,9.0,1604442108
Temassız teslimata uymadı.,7.0,1.0,9.0,1604442108
İstediğim soslar eklenmemişti maalesef.,9.0,7.0,8.0,1604442108
Teriyakiden baskasi yalan.,10.0,10.0,10.0,1604355708
Güzeldi.,10.0,10.0,10.0,1604355708
Herşey için teşekkür ederim her zaman aynı hız aynı kalite.,10.0,10.0,10.0,1604355708
Fenaydı.,10.0,9.0,10.0,1604355708
Nice.,10.0,10.0,10.0,1604269308
Ben niye hiç yememişim. Süpermiş.,10.0,10.0,10.0,1604269308
Güvenilir lezzet.,10.0,10.0,10.0,1604269308
Güzel.,10.0,10.0,10.0,1604182908
Sosları koymamışsınız kuru olmuş.,10.0,10.0,7.0,1604182908
Cookiler müthiş.,10.0,10.0,10.0,1604058762
Tam 10 dkda geldi inanılmaz hızlı ve güzel servis.,10.0,10.0,10.0,1604058762
Servis yeteri kadar hızlı. Siparişi getiren insanlar gayet temiz ve düzgün kişiler. Umarım kalite hep böyle devam eder. Teşekkürler...,10.0,10.0,10.0,1604058762
Efsaneler efsanesi.,10.0,10.0,10.0,1604058762
Gercekten kurabiyelerine bayiliyorum o kurabiyeler icin bile siparis verilir.,10.0,10.0,10.0,1604058762
Güzeldi.,10.0,10.0,10.0,1604058762
Aşmış.,10.0,10.0,10.0,1604058762
Hız ve lezzeti iyiydi fakt asıl servis konusunda çok iyiler. Telefonla arayarak sürekli sipariş hakkında bilgi verdiler. Çok teşekkür ederim.,10.0,10.0,10.0,1604058762
Elinize sağlık teşekkürler. Komşudan selamlar.,10.0,10.0,10.0,1604058762
O biftek salata favorim olabilir cok güzeldi.,10.0,10.0,10.0,1604058762
Hazırlayana teşekkürler.,10.0,10.0,10.0,1604058762
Kurabiyemi unutmuşsunuz eyv.,6.0,10.0,10.0,1604058762
Memnun kalmadım.,1.0,1.0,1.0,1604058762
Hız çok iyiydi fakat o kadar hızlı getirmişsiniz ki kolamı koymayı unutmuşsunuz.,9.0,1.0,5.0,1604058762
Muhammet bey e tesekkurler cok hizli ve ozenli bir sekilde getirdi.,10.0,10.0,10.0,1604058762
Kurye kardesimiz 15 dk surmeden getirdi boyle firmaaya calisanlara cann feda.,10.0,10.0,10.0,1604058762
Çok güzelsiniz ama çok pahalısınız.,10.0,10.0,10.0,1604058762
"Sandviçimi hazırlayan kişiye çok teşekkür ederim, aşırı lezzetli bir sandviçti. Servisim eksiksizdi. Getiren kurye arkadaşta da maske vardı. Böyle bir dönemde gösterdiğiniz hassasiyetten ötürü çok teşekkür ederiz.",10.0,10.0,10.0,1604058762
Şok şok şok böylesi ne görüldü ne duyuldu.,10.0,10.0,10.0,1604058762
Teşekkürler.,10.0,9.0,10.0,1604058762
"İlk siparişimdi, servis, lezzet, her şeyiyle on puanı hakeden bir işletme. Hıza da ayrı bi parantez açıyorum, nispeten uzak bir adrese 16 dk da geldi siparişim. Kurye arkadaş da gayet sıcakkanlıydı, ve uçarak gelse daha hızlı gelemezdi herhalde, hız en az 20yi hak ediyor.",10.0,10.0,10.0,1604058762
"Gayet hızlıydı, sandawich sıcak ve lezzetli kurye çok güleryüzlü ve kibardı.",10.0,9.0,9.0,1604058762
Harikasınız. İkram için çok teşekkürler.,10.0,10.0,10.0,1604058762
Sol kolu dovmeli arkadaşa teşekkür edrim hijyen kurallarına uyuyor vede çok nazik bir tavır segiriyor.,10.0,10.0,10.0,1604058762
Özellikle rica etmiştim zile basmayın bebek uyuyor diye.,6.0,6.0,9.0,1604058762
Harikaydi.,10.0,10.0,10.0,1604058762
Kurye ayranımızın motorda gelirken patladığını söyledi.,9.0,6.0,9.0,1604058762
"Kurabiyeler yanmişti, diger şubelerden aldığım tadı asla alamadim. Kurabiyeleriniz gerçekten soğuma sebebim oldu.",1.0,1.0,1.0,1604058762
Her zamanki gibi çok güzeldi.,9.0,8.0,8.0,1604058762
Güzel.,10.0,10.0,10.0,1604058762
Guzel diger subedekilerden daha ozenliler.,10.0,8.0,8.0,1604058762
"Hızlıydı, teşekkürler.",10.0,9.0,9.0,1604058762
"Daha önce de sipariş vermiştik, onda cookiemiz unutuldu bu sefer de kolamız gelmedi. Ek olarak paketi getiren arkadaşımız iki kere uyarmamıza rağmen maskesini takmadı.",2.0,2.0,8.0,1604058762
Biraz daha sıcak olabilirdi.,10.0,10.0,9.0,1604058762
Yanlis daire bırakmanız sonucu buz gibi bi sandviç yedim.. Üzücü.,6.0,6.0,6.0,1604058762
Gece yarısı sipariş vermeme rağmen 15 dk içinee sıcacık geldi her şey harikaydı.,10.0,10.0,10.0,1604058762
Keşke notu okusaydınız da gecenin bir vakti zilime abanmasaydınız.,8.0,1.0,8.0,1604058762
Hızlı teslimat için teşekürler :).,9.0,9.0,9.0,1604058762
Seçtiğim malzemelerin bazıları eksikti.,6.0,1.0,7.0,1604058762
Çok iyi.,10.0,10.0,10.0,1604058762
Menuye dahil olan icecek gelmedi ve kurabiye paketin icine oldugu gibi atilmisti.,9.0,7.0,8.0,1604058763
Güzel.,10.0,10.0,10.0,1604058763
Standart.,10.0,10.0,10.0,1604058763
Çoook uzun zamandır salata siparişi vermiyordum özlemişim. Nefisti nefis. Birde sanırım teriyaki salatada aradığım lezzet o tavukların küp küp olmasıymış heralde bayıldım efsaneydi. Her zamanki gibi yanındaki süpriz hediyeniz içinde çok teşekkür ederim.,10.0,10.0,10.0,1604058763
Yapımı 5-6 dk süren sandivic 43 dakikada geldi. Madem oraya 20-30 dakika yazmayın da ona göre vermeyelim sipariş gecikecekse. Yoğunluk varsada orda belirtilir biz de oradan kaç dakikada geleceğini görürüz cünkü öyle olması gerekiyor.,1.0,9.0,7.0,1604058763
İii.,10.0,10.0,10.0,1604058763
İki farklı sandwich istedik aynı geldi sağlık olsun.,8.0,1.0,7.0,1604058763
Tek geçerim her zaman kaliteli.,10.0,10.0,10.0,1604058763
Helaliniz var getiren arkadaşa ayrı tşkr ederim.,10.0,10.0,10.0,1604058763
Ömrümde yedigim en güzel subwaydi. 12dk da geldi sıcacıktı.,10.0,10.0,10.0,1604058763
İlk kez kötüydü subway.,8.0,8.0,5.0,1604058763
Mısır yoktu istememe rağmen koymamışsınız..,10.0,10.0,7.0,1604058763
Subway passege sen bitanesin.,10.0,10.0,10.0,1604058763
Icindeki buftek cok sinirli ve sertti en pahali urunlerinden biride olmasi cabasi malesef.,9.0,9.0,1.0,1604058763
Güzel hızlı.,10.0,10.0,10.0,1604058763
Lezzetli ama fiyata göre beni doyurmadı.,10.0,9.0,10.0,1604058763
Siparişimiz ters şekilde geldi yanlış ekmek yanlış iç.,4.0,5.0,7.0,1604058763
Güzel.,10.0,10.0,10.0,1604058763
"Hız lezzet servis gerçekten çok iyi, teşekkürler.",10.0,10.0,10.0,1604058763
Great food.,10.0,10.0,10.0,1604058763
Süperrr.,10.0,10.0,10.0,1604058763
