comment_text,comment_speed,comment_service,comment_taste,comment_time
Porsiyonlar oldukça küçüktü.,10.0,10.0,7.0,1606689766
Tek kelime süperdi.,9.0,10.0,10.0,1606689766
"Porsiyonlar, patatesler efsaneydi tek bize uymayan kısmı turşu bir tık fazla olmuş ve tuz tadı bastiriyordu ama onun dışında güler yüzlü kuryeyede teşekkür ederiz.",10.0,10.0,8.0,1606516966
"Bol cheddar çok güzel ve menü olarak alınca patatesler fazla bile geliyor. Doyurucu bir menü, tatlı ikramı için teşekkürler.",9.0,10.0,10.0,1606516966
"İçeceği ayrı ambalaja koymuşlardı, sanırım yiyeceği soğutmaması için bunu yapan çok az restoran var. Hamburger içindeki sos biraz tuzluydu bu sefer ama genel lezzet her zamanki gibi iyiydi. Menü seçimi getirmeniz çok iyi olmuş. Eti puf için teşekkürler.",10.0,10.0,10.0,1606516966
Lezzet gerçekten harikaydı. Kuryeniz de çok nazikti. Bu güzel yemek için emeği geçen herkese çok teşekkür ederim.,10.0,10.0,10.0,1606430566
Lezzetli ve hızlıydı.,10.0,10.0,10.0,1606430566
Herşey çok güzeldi teşekkür ederiz.,10.0,10.0,10.0,1606344166
Güzel ve lezzetliydi.,9.0,9.0,9.0,1606344166
Lezzet olarak beğendik gayet başarılı sadece soğuk olmasa daha iyiydi. Bu soğuk yemeğe de bı çare bulursanız 10 numara.,9.0,9.0,9.0,1606171366
Restauranttan çok memnun kaldım çok hızlı geldi lezzeti de şahaneydi tek sıkıntısı vardı sosu azdı :)) oda önemli değil.,10.0,10.0,10.0,1606171366
Bir aşçı olarak kuzu eti çok büyük risk köftede ben yedim ama arkadaşım yiyemedi. Lezzetiniz gayet güzel ancak 180 gr söylediğim ürün çiğ 130-135 pişmiş hali100 gr idi eğer jokerden söylemeseydim geri gönderirdim. Ayrıca köfteleri tekrar pişirdim sulu köfte ile çiğ köfte arasında çok fark var!,9.0,9.0,4.0,1605998566
Hayatımda yediğim en lezzetli en doyurucu hamburgerlerden biriydi. Ve yanında abartısız iki adet patates elma dilim olarak geldi. Uzak olmasına rağmen hızlıca yiyemeyeceğim kadar sıcaktı. Kurye gayet nazikti ve ilgiliydi. Yanında ekstradan tatlı da göndermişler. Böyle işletmeden puan kıramazsınız.,10.0,10.0,10.0,1605998566
Yemek tsk güzel.,10.0,10.0,10.0,1605998566
Uzun zamandır böyle iyi hamburger yememiştim. Elinize sağlık. Servis hızlıydı.,10.0,10.0,10.0,1605912166
"Çok ilgililer, bir de tatlı hoşluğu yapmışlar, teşekkürler.",10.0,10.0,10.0,1605912166
Güzeldi.,9.0,10.0,10.0,1605825766
Efsaneeee.,10.0,10.0,10.0,1605739366
Hamburger ezilmişti ve köfte biraz çiğ ve tuzluydu.,10.0,6.0,6.0,1605652966
Gercekten hızlı ve başarılı bir restorant.,10.0,10.0,10.0,1605652966
Kardeşim ben sarımsak lezzetini sevdiğim için senden alışveriş yapıyorum. Adını garlic koymussun ama para verip satın aldığım ekstra patates menüsüne sen normal patates kızartması gönderiyorsun. Saman gibi patatesti yenmedi bile. Yap şunu bolca sarımsak soslu güzel bir patates öyle gönder.,10.0,10.0,1.0,1605566566
Lezzetli hızlı temiz.,10.0,10.0,10.0,1605566566
Tatlıya kadar her şey çok iyiydi tatlı ikramdı ama keşke yollamasaymışsınız yanık tadında başka bi tad alamadım.,10.0,10.0,8.0,1605480166
Extra füme kaburga istedim içinde yok zannettim şükür en son denk geldi.,8.0,8.0,4.0,1605480166
Ne coleslaw salatamız geldi ne de aioli sosumuz. Eğer burgerin içine koyuyorsanız içinde de yoktu. Burgerin eti çok kötüydü. Joker olduğu için böyle ise neden joker hakkı veriyorsunuz.. Parasını verdiğimiz ürün bize ulaştırılmadı.,1.0,1.0,1.0,1605480166
Güzel.,10.0,9.0,8.0,1605393766
Cok ekstra bir sey beklemeyin ama standardin ustunde basarili bir hamburgerci.,8.0,9.0,8.0,1605307366
Herşey çok güzeldi. Tatlı ikramınız için teşekkürler. Kurye arkadaş ışık hızında getirdi. On numara beş yıldız.,10.0,10.0,10.0,1605307366
Sipariş vermeyi en sevdiğim yer ancak artık gönderim yapılmıyo oldugum adrese o yüzden bu puanı veriyorum :(.,1.0,1.0,1.0,1605307366
Mozaik pasta için teşekkürler.,10.0,10.0,10.0,1605220966
İçeceğim sipariş verdiğim halde gelmedi fakat hamburgeri gerçekten çok lezetliydi.,9.0,9.0,10.0,1605220966
Olmamış bu fiyatlara çok daha iyilerini yersiniz.,1.0,3.0,1.0,1605134566
Şahane bir burgerci keşfettim! Elinize sağlık!,10.0,10.0,10.0,1605048166
"Adresi yanlis isaretlemisim, sagolsunlar yemeksepetinin ilgilenmedigi kadar ilgilendiler, o kadar da ugrastirdim. Ellerinize saglik boyle devam edin.",10.0,10.0,10.0,1605048166
Herşey çok güzeldi kesimlikle herkese tavsiye ediyorum her seferinde başarılı 5. Siprişimdi bu.,10.0,10.0,10.0,1604961766
Lezzet kaliteli ve mukkemmel pasta ikramı da vad.,10.0,10.0,10.0,1604961766
Kuryeleriniz çok ince bence maaşlarda oynamalar yapılabilir.,10.0,10.0,10.0,1604961766
Mükemmel burger. Mükemmel hediye tatlısıyla geldi. Ellerinize sağlık.,10.0,10.0,10.0,1604961766
Hizli geldi. Kurye nazikti ve maske takiyordu. Hamburger koftesinin ic kismi pismemisti. Cheddar sosun tadini alamadim. Sadece cheddar peyniri vardi.,9.0,10.0,3.0,1604875366
"Kurye kardeşime çok teşekkür ederim, sessiz olduğu için çift yemek olayı harikaydı.",10.0,10.0,10.0,1604875366
Köftesinin tadını beğenmedim.,10.0,10.0,3.0,1604875366
Mustafa kardeşim eline sağlık.,10.0,10.0,5.0,1604788966
1 saatte geldı. Ama oncesınde arayıp bılgı verdıler. Ve promosyon tatlı gondermıslerdı.,5.0,5.0,10.0,1604788966
Her şey güzeldi. İkram için teşekkürler.,10.0,10.0,10.0,1604702566
En düşük puan olduğu için verebildim ki insanlar bu yorumu görsün sizin gibi insanlara para kazandirmasinlar köfte kokuyordu ekmek lastik gibiydi patates çok kötü ve azdı servis e sadece kurye arkadasin emeği için 3 verebildim.,1.0,3.0,1.0,1604702566
