comment_text,comment_speed,comment_service,comment_taste,comment_time
Burayı çok seviyorum hızlı uygun ve istediğimiz gibi geliyor sadece bu sefer sosu vbir tık az ve içinde bir yerde küçük bir deri vardı o kadar problem değil söyleyince yine dikkat ediyorlar.,10.0,10.0,9.0,1606690452
Tavuk döner sahane devamlı sipariş veriyorum tat hep mükemmel.,10.0,10.0,10.0,1606604052
"Hızlı, doyurucu, leziz ürünler. Et döner, tavuk döner ve sucuk güzeldi elinize sağlık.",10.0,10.0,10.0,1606604052
Tavsiye ederim. Hızlı ve lezzetli.,10.0,9.0,8.0,1606604052
"Joker olmasına rağmen gayet güzeldi. Et iskender porsiyonları baya fazlaydı, aşırı doyduk. Teşekkürler.",10.0,10.0,10.0,1606604052
Antakya dürüm siparişi verdim gayet iyidi. Kurye arkadaş maske takmıyordu. Maske kullanması daha sağlıklı olur. Elinize saglık.,9.0,10.0,9.0,1606517652
Güzel.,10.0,10.0,10.0,1606517652
Dönerde yanık tadı vardı ve yağlı idi daha önce yediklerimde bir sorun yoktu tadı güzeldi.,10.0,10.0,8.0,1606517652
"Maalesef içerisinde kaşar yoktu ya da yok denecek azdı ki hiç tadı yoktu. Bir dahaki siparişte de aynısı ile karşılaşırsam, ne yazık ki sipariş vermem için bir sebep kalmayacak...",8.0,8.0,5.0,1606517652
Merhaba lavaş dağılıyordu nazar boncuğu olsunkolay gelsin.,10.0,7.0,10.0,1606431252
Güzel.,10.0,10.0,10.0,1606431252
Azerbeycanlı kurye arkadaşımıza çok teşekkür ederiz kurallara uyup çok da saygıılı çok teşekkür ederiz.,10.0,10.0,10.0,1606344852
Guzel.,10.0,10.0,10.0,1606344852
Servis çok yazif.,1.0,1.0,1.0,1606344852
Keşke para üstünü getirseydi.,8.0,6.0,8.0,1606344852
Lezzet olarak güzeldi herşey güzeldi hatta ama tek sıkıntı birazcık malzemeleri az biraz çoğaltırsanız çok güzel olur ve acıyıda çok severim acı biber istemiştim fakat koyulmadı bunları düzeltirseniz çok iyi olur teşekkürler elinize sağlık.,10.0,10.0,10.0,1606344852
Lezzet süper. Bayıldım çok güzel olmuş ellerinize sağlık çok teşekkürler.,10.0,10.0,10.0,1606258452
Etin tadını daha çok almak isterdim elinize sağlık.,10.0,8.0,7.0,1606258452
Çok yakın bir mesafede olmasına rağmen bir dürüm için çok uzun sürdü.,3.0,8.0,8.0,1606258452
Belirlenen süre içerisinde eksiksiz geldi lezzet olarak gayet iyiler ayrica küçük ikramlık şekerleri insani gülümsetiyor.,10.0,10.0,9.0,1606172052
3 günde bir sipariş veriyorum mahallede doğru düzgün yemek yicek yer yok sizi de seviyorum ama kurye arkadaşın apartmanın önünde bağırarak telefonla konuşması sonra arabesk şarkı açarak siparişi getirmesi ve çıkarken kapıyı çarpması hiç hoş değil daha önceden efendi bir çocuk vardı böyle tipler size.,1.0,1.0,10.0,1606172052
Herşey tam istediğim gibi teşekkürler.,10.0,10.0,10.0,1606172052
Döner i tadı nasıldı anlamadım. Çünkü et gramajı çok çok azdı. Dürümler de çok küçük ve içindeki et miktarı yok denecek kadar azdı. Fiyatı kurtarmıyorsa ona göre ayarlanmalı bu şekilde insanlar kuru kuru ekmek yemeye mecbur edilmemeli.,8.0,8.0,8.0,1606172052
Allah var inkar edemem güzeldi gayet herşey ama 3 tane köfte koymuşsunuz çok degilmi abi :).,10.0,10.0,10.0,1606085652
Üst üste sipariş vermeye devam ediyorum adeta bağımlınız oldum teşekkür ederim.,10.0,10.0,10.0,1606085652
23 dakikada evka 4ten bornova ya geldi inanılmaz hız tebrikler.,10.0,10.0,10.0,1606085652
Hızlı güzel dürüm.,10.0,10.0,10.0,1606085652
"Düzenli tercih ettiğim, lezzetli ve temiz bir yer..",10.0,10.0,10.0,1605999252
Ellerinize sağlık. Jestiniz için teşekkürler :).,10.0,10.0,10.0,1605999252
Yediğim en lezzetli zurna tavuk dürümlerdendi küçük ikramınız içinde teşekkür ederim kaliteyi bozmadan devam inşallah kolay gelsin.,10.0,10.0,10.0,1605999252
Güzeldi.,9.0,8.0,9.0,1605912853
Hız lezzet ve ilgi mükemmel :).,10.0,10.0,10.0,1605912853
Mükemmel çok hızlı ve çok güzel.,10.0,10.0,10.0,1605912853
Her şey çok güzeldi dönerler inanılmazdı. Küçük hediye bizi çok mutlu etti. Çizginizi bozmadan böyle devam ederseniz müdaviminiz oluruz.,10.0,10.0,10.0,1605912853
Her şey iyiydi fakat minimum paket tutarının 30 liraya yükseltilmesi ile çok üzdü.,10.0,10.0,10.0,1605912853
Tatlı bir yorum i. İn ilk adımı hep siz atıyorsunuz zaten :) atatürk mahallesinde ve bornova da yedim en lezzetli et döner en içimi yakmayan karışık sandviç burda. Samimi söylüyorum pilav üstü et dönere bayılcaksınızz.. Ellerinize sağlık :) müşteri num 69.,10.0,10.0,10.0,1605912853
"İlk defa denedim, devamı olucak. İskender sıcak ve güzeldi.",10.0,10.0,9.0,1605912853
Her şey 10 numara sadece nuggetlar biraz az pişmişti yine de puan kırmadım elinize sağlık.,10.0,10.0,10.0,1605826453
Mükemmel.,10.0,10.0,10.0,1605826453
Doyurucu ve lezzetli tavsiye ederim.,10.0,10.0,10.0,1605826453
Ortalama dedikleri zamanda getirdiler hızlı servis kurye de kurallara özen göstermişti maskesi takiliydi çıkarmadı kibar da biriydi yani gönül rahatlığıyla sipariş edebilirsiniz.,9.0,8.0,8.0,1605826453
Esmer arkadaşa çok teşekkür ediyorum çok hızlı çok kibardı çalışan arkadaşlara da çok teşekkür ederim çok güzel yapmışlardı yemekleri her zamanki gibi çok lezzetliydi.,10.0,10.0,10.0,1605826453
Döner biraz fazla pişmişti ama ona rağmen her şey mükemmeldi.,10.0,10.0,10.0,1605826453
Çok tatlı hareket :)).,4.0,9.0,7.0,1605826453
Gayet güzeldi.,10.0,10.0,10.0,1605740053
Gayet doyurucu ve lezzetli idi hızlı da getirdiler.,10.0,8.0,8.0,1605740053
Karışık sandviçi biraz daha iyi yapsanız sevinirim. Tat yok sadece doyuruyor. Ama sürekli iyedigim bir yer oldugu için puan kıramıycam.,10.0,10.0,10.0,1605740053
Servis şekli güzel kuryesi guler yüzlü ve çok hızlı.. Kaliteli ve temiz malzeme kullanilmis fakat döner lezzeti için aynı seyi söyleyemem et döneri aşırı yağlı ve sanırım kuzu etinden kaynaklı bir koku var bana göre sınıfta kaldi.. Tavuk ise lezzetli ama sos oranı azaltılırsa çok daha iyi.,10.0,10.0,5.0,1605653653
Wq.,10.0,10.0,10.0,1605653653
Daha iyi puanları hakedıyorsunuz.,10.0,10.0,10.0,1605653653
Iskender çok güzeldi elinize sağlık tavuk dürüm de harikaydı.,9.0,10.0,10.0,1605567253
Tadı güzeldi.,8.0,8.0,8.0,1605567253
Servisi cok hızlı sorun yasamiyorum. Bazen siparişi eksik getirseler de hızlıca çözüyorlar. İşine önem veren bir yer.,10.0,10.0,10.0,1605567253
Hız servis ve lezzet bakımından ideal bir tercih. Teşekkür ederim. Tam vaktinde sıcak ve lezzetli olarak bu tecrübeyi yaşadım. Başarıların devamını dilerim...,10.0,10.0,10.0,1605480853
Çok lezzetli çok güzel.,10.0,10.0,10.0,1605480853
Tadı mükemmel normal tavuk dönerden daha iyi.,9.0,7.0,10.0,1605480853
Teşekkürler.,10.0,10.0,9.0,1605480853
Ayranı getırmedıler fakat parasını odedım?,7.0,7.0,4.0,1605394453
M0k.,10.0,10.0,10.0,1605394453
Çok hızlı geldi ve notu dikkate almışlardı. Teşekürler.,10.0,9.0,8.0,1605308053
"Gayet güzeldi, doydum.",10.0,10.0,10.0,1605308054
Et döner guzeldi. 10 dakikada geldi. Kurye maskeliydi. Teşekkürler.,10.0,10.0,10.0,1605308054
Herşey güzel ama not yazıyoruz okumuyorsunuz veya kuryeleriniz okumuyor biraz daha dikkat.,10.0,10.0,10.0,1605221654
"Dürüm istedik, ekmek arası geldi. Patates kızartmasını baharatlı istedik, baharatsız geldi. Siparişleri okursunuz umarım.",9.0,1.0,7.0,1605221654
"Paket serviste yediğim en güzel iskenderdi, jokere rağmen çok iyiydi. Sadece orta boy patates normalde verilen patatesten bile azdı, tahmini orta yerine küçük gönderdiniz diye düşünüyorum.",10.0,9.0,10.0,1605221654
Jalapeno biberini not eklememe rağmen ikidir koymuyorsunuz.,10.0,8.0,6.0,1605221654
İyi.,10.0,1.0,10.0,1605221654
"Çok beğendim. Dürüm sıcak geliyor. 20 dakika civarında elime ulaştı. Kürdan, ıslak mendil, peçete koyulmuş. Lezzeti harika, tabiki yağlı. Mayonez var sonuçta. Herkese teşekkürler.",10.0,10.0,10.0,1605221654
"Gozlemeniz güzeldi teşekkürler, elinize sağlık.",10.0,10.0,10.0,1605221654
Notlar sürekli dikkate alınıyor.,9.0,10.0,10.0,1605221654
Çok lezzetliydi..,9.0,9.0,10.0,1605135254
Herşey mükemmel kurye abim daha mükemmel.,10.0,10.0,10.0,1605048854
"Et döneri de tavuk döneri de çok başarılı, elinize sağlık, teşekkürler.",9.0,10.0,10.0,1605048854
Gerçekten güzeldi ellerinize sağlık sadece karışık sandiviçteki malzeme diğer restorantlarla karşılaştırınca bir miktar az kalıyor.,9.0,9.0,9.0,1605048854
Maskeli servis yapılmasından dolayı yüksek puanı hakediyor. Lezzetli sandvicin adresi :).,9.0,9.0,9.0,1605048854
"Tadı döner gibi değildi, ağır bir baharatı vardı sosu çok azdı ve lavaşı çok kalındı, sevemedim.",8.0,8.0,4.0,1605048854
Dönerinin bu kadar güzel olucağına tahmin etmemiştim.,10.0,10.0,10.0,1605048854
Son beş siparişimin dördünde sucuk olmasın notu yazdığım halde not dikkate alınmamıştı.,9.0,5.0,9.0,1605048854
Son beş siparişimin dördünde sucuk olmasın notu yazdığım halde not dikkate alınmamıştı.,9.0,5.0,9.0,1605048854
Son beş siparişimin dördünde sucuk olmasın notu yazdığım halde not dikkate alınmamıştı.,9.0,5.0,9.0,1605048854
Güzel.,10.0,10.0,10.0,1605048854
"Saat 8:30 gibi yediğim en taze en güzel tavuk dönerdi. Patates kızartması o saatte olmasına rağmen taze, yeni kızartılmışti. Tek sıkıntı domateslerin tadı bozuk gibiydi. Ona dikkat edilirse 10/10.",10.0,9.0,10.0,1605048854
Hız servis ve lezzet puaninin hakkini veriyorlar.. İşlerini severek yapıyorlar. Güvenerek sipariş verebilirsiniz.,10.0,10.0,10.0,1605048854
Antakya dürüm gayet iyidi.,8.0,9.0,10.0,1605048854
Ellerinize sağlık çok güzeldi.,10.0,10.0,10.0,1604962454
"Çok hızlı ve güler yüzlü servis, kaliteli malzeme gidip yerinde gördüm civardaki en iyi dönerci diyebilirim.",10.0,10.0,10.0,1604962454
Et dürüm beğenildi.,10.0,10.0,10.0,1604962454
Servise 3 vermemin sebebi gordugum tavirdan hoslanmadim. Gece siparis vermistim ve hemen sonra bana kisisel numaramdan ulasilip yemegi nasil buldugum soruldu. Zaten yorum yapacagimi soylemistim bu yuzden hic masum bulmadim ve rahatsiz oldum. Guvenim kirildigi icin bir daha siparis vermeyi dusunmuyorum!,7.0,3.0,8.0,1604962454
Harikaydı gerçekten.,10.0,10.0,10.0,1604876054
"Geldiğinde sıcacıktı yemeksepetinde pek rastladığım bir şey değil. Lezzetli ve tazeydi, yerken zevk aldım. Yorumları dikkate almış olsalar gerek kurye maske takıyordu.",9.0,9.0,9.0,1604876054
Çok iyi.,10.0,10.0,10.0,1604876055
"Tuzlu salçaya bulanmamış, gerçekten tadı olan dönerleri var. Tavsiye ederim.",10.0,10.0,10.0,1604789655
Kuryenin maskesi yok. Çok bir şey söylemeye gerek yok şeker falan yollamak yerine kuryenize maske takmasını söyleyin. Menüde yazan tatlı gelmemişti hadi şeker var derim sorun yok derim ama bu dönemde maskesiz kurye çalıştırmak en başta sizin sağlığınız için büyük bir tehdit.,10.0,10.0,9.0,1604789655
Kurye eleman maskesiz geziyoret dönerde gramaj seçeneği koymalısınız.,5.0,2.0,4.0,1604789655
