comment_text,comment_speed,comment_service,comment_taste,comment_time
Guzeldi.,10.0,10.0,10.0,1606691139
Yediğim en lezzetli beyti sarmaydı ikramı ve hızı yönünden de ayrıca teşekkür ederim.,10.0,10.0,10.0,1606691139
Çok lezzetliydi ellerinize saglık.,9.0,10.0,10.0,1606604739
Servisde lezzette çok güzeldi yediğim en güzel adana kebapti teşekkürker...,10.0,10.0,10.0,1606518339
Güzeldi teşekkürler.,10.0,10.0,10.0,1606518339
"Restorantta yeseydim bukadar hızlı gelmezdi, lezzeti fevkaladenin fevkinde.",10.0,10.0,10.0,1606518339
Ellerine sağlık ustaların tazecik bol mezesi ve sıcacık lahmacunuyla hem gözüme hem mideme hitap ediyor.,10.0,10.0,10.0,1606431939
3 kişiyiz dememize rağmen 2 kişilik meze ve servis geldi. Notlar okunsa keşke.,10.0,8.0,10.0,1606345539
Lezzet bakımından superdi ama hiz konusunda sinifta kaldi yaklasik 2 saatte teslim edildi..,6.0,7.0,8.0,1606345539
Pos cihazı çalışmıyor diye yarın alırız veya geçerken yarın bırakırsın deneceğine gidip getirseniz daha mantıklı olurdu hem mesai arkadaşına iş bindirmezdin... Ayrıca soğuk geldi yemekler cidden çok komik.,9.0,1.0,5.0,1606345539
Yalnız söylediğim ayran yoktu unutmuşlar galiba.,10.0,9.0,9.0,1606259139
Etlietmek çok güzeldi ama köfteler daha iyi olabilirdi.,10.0,9.0,9.0,1606172739
Etli ekmekte et veya kıymaya dair iz bulabilmek için mikroskop kullanmak gerekebilir. Büyükbir hayal kırıklığıydı.,10.0,10.0,1.0,1606172739
Kelle paça harika.,10.0,10.0,10.0,1606172739
Çok kötü servis.,1.0,1.0,1.0,1606086339
"Soğuk geldi biraz, lahmacunun yanında yesillik istedik yağsız limonsuz salata geldi..",4.0,6.0,6.0,1606086339
"Tavuk şiş sipariş ettik. Şişler tamamen göğüsten yapılmıştı, öncekiler böyle değildi. Tavukta da aşırı bir koku vardı. Manavkuyu şubesi müşteri görüşmelerini sağlayan hanım efendinin üslubu da ayrıca çirkindi. Çözüm bulmak adına arayan diğer hanım efendiye teşekkürler.",1.0,1.0,1.0,1605999939
Gelen corba soğuk.,4.0,5.0,2.0,1605999939
Muhteşemdi siparişi vermemle gelmesi bir oldu.,10.0,10.0,10.0,1605999939
Guzel.,10.0,10.0,10.0,1605913539
Mükemmel.,10.0,10.0,10.0,1605913539
Aşığım her lezzetineeee.,7.0,10.0,10.0,1605913539
Siparişim döner dürümün kalmadığını söylemek için önce telefon açtılar ve aslında bu ürünü sistemden 1 saat önce kaldırdıklarını halde ürünün silinmediğini söyleyip yerine urfa dürüm önerdiler. Kabul ettim. Evim restorana 900 metre olmasına rağmen istemiş olduğum diğer lahmacun geldiğinde buz gibiydi.,4.0,1.0,1.0,1605827139
Harika bir lezzet serviste cok iyi tesekkurler.,10.0,10.0,10.0,1605740739
"Yorumlara bakıp terettüt ettim ama kötü çıkmadı, iyiydi. 2 kele paça, bir urfa iskender.",10.0,10.0,10.0,1605740739
... Soğuk geldi.,5.0,5.0,5.0,1605567939
"Kaşarlı lahmacunu çok lezzetli, gerçekten, ama lahmacun sıcak güzel. Hızlı gelmesine rağmen ılık geldi, yarısını yiyemeden de soğudu. Mezeler taze ve lezzetliydi. Ellerinize sağlık.",9.0,9.0,8.0,1605481539
Sıcaklıkta sıkıntı vardı soğuk lezzetinide etkiliyor.,9.0,9.0,8.0,1605481539
"Evimize 1 km. Den az bir mesafe olmasına rağmen, bir buçuk saatte gelmesi, can sıkıcı oldu.. Sadece çorba ve içli köfte söylememize rağmen :(( ama, içli köfte, çok güzeldi, teşekkür ederiz..",1.0,3.0,7.0,1605481539
Gayet iyi.,10.0,10.0,10.0,1605395140
İsmi duyulan bir mekana göre çok kötüydü sadece 1 tane lavaş vardı ve yanında hiç bir ikram yoktu başka mekanda 25 tl kebap ve onun yanında bile ikram ve bir sürü lavaşını koyuyolar biraz gözden geçirmeniz lazım.,4.0,4.0,4.0,1605308740
Bir yada iki hadta önce spariş verdim kurye aradı beni yukarıya sercisimiz yok apartman önünden gelip teslim alın diyor ya böyle bir mantık kafa yapısı olabilirmi eve söylüyorum adı üstü aşağıya indikten sonra kendimde gelip alırım birde konuşması zaten dövcek gibi yani eş değer retorantlara göre 0.,1.0,1.0,2.0,1605308740
Tavsiye ederim.,10.0,10.0,10.0,1605222340
Muhteşem.,10.0,10.0,10.0,1605135940
"Herşey güzeldi,.",9.0,9.0,9.0,1605049540
Ben hayatımda bu kadar kotu bir pıde yemedim. Bu markadan hiç beklemezdim. Tavsiye etmiyorum.,5.0,5.0,1.0,1604963140
Güzel.,10.0,10.0,10.0,1604876740
Güzel. Tavsiye edilir.,10.0,10.0,10.0,1604876740
Çorbanin terbiyesi cok fazlaydi mama gibiydi daha seffaf orjinal bi corba beklerdim. Servis güzeldi ama.,9.0,10.0,7.0,1604876740
Bidaha asla sipariş vermem. Vaktinde gelmedi yemekler üst üste koyulmuştu tek poşete 70tllik yemek söylüyoruz tek poşete mi koyulur bu koy 2 poşete parası neyse verelim.,1.0,1.0,8.0,1604790340
Hız 9 numara ekmek bayat ve az çorbalar soğuk.,9.0,5.0,5.0,1604790340
Et dedikleri camur kiyma doner tadi eksi iade istedim etmediler kesinlikle kapisindan girmeyin.,1.0,1.0,1.0,1604790340
Çorbalar güzel.,10.0,10.0,8.0,1604703940
Yemekler çok berbat ve soğuk tu.,1.0,1.0,1.0,1604617540
"Multinet ile ödeme seçeneğini işaretlememe rağmen, geldiklerinde bu ödeme seçeneğinde sorun çıkardı. Nakit olarak ödemek durumunda kaldım. Lezzeti de çok kötüydü.",4.0,4.0,4.0,1604617540
Ustaların ellerine sağlık.,10.0,10.0,10.0,1604444740
Adana gerçekten kötü kullandığınız lavaş inanılmaz kötü.,1.0,1.0,1.0,1604271940
Buz gibiydi böyle bişey yok dolaptan çıkmış sankı.,1.0,1.0,1.0,1604185540
1 saat 15 dk sonra kıyması parca parca bosluk olan kenarları kararmıs pideler geldi. Normal saatlerde guzel ama yogun saatlerde iyi degil.,2.0,6.0,3.0,1604185540
Online ödediğim için iki gündür kurye yemeği dış kapının oraya koyup gidiyor. 4. Katta oturuyorum. Şaka gibi.,1.0,1.0,1.0,1604185540
Lezzet falan hepsi çok güzel. Tek olumsuz nokta: kartla ödemek istediğimi belirtmeme rağmen nakit ödemek durumunda kaldım. Daha sonra halledebiliriz eğer üzerinzde yoksa denilmesine rağmen ben yinede ödedim.,10.0,8.0,10.0,1604185540
Corba ve pide lezzetliydi. Yanlis adres isaretlemisim ancak kurye arkadas adrese getirdi hemen. Anlayisi icin tesekkurler.,10.0,10.0,10.0,1604099140
Çok garip bir kokusu vardı büyük ihtimalle bozuktu 1-2 ısırık alıp gerisini çöpe attım ve o yedikledim de midemi bozdu zaten.,8.0,8.0,1.0,1604099140
Hızlı ve güzel.,10.0,10.0,10.0,1604061394
Lezzet hız.,10.0,10.0,10.0,1604061394
Ezo ve lahmacun güzeldi.,10.0,10.0,10.0,1604061394
Hep burdan soyluyoruz. Ozellikle lahmacun ve servisi cok guzel.,8.0,10.0,10.0,1604061394
Durumun lavaş az daha inca yapsaydınız baklava hamuru olurdu yani meze getirmesenizde olur 3 adet çiğ köfte meşale yine durum soylicem ama sizden değil meze neyse de lavaş çok ince ustaya sırf o lavaş dan dolayı bi daha söylemem.,6.0,8.0,3.0,1604061394
Mercimek corbasi harika kesinlikle tavsiye ediyorum. Lahmun oldukca doyurucu ve lezzetliydi. Tesekkürler.,10.0,10.0,10.0,1604061394
İskender istedik ama yoğurdu sarımsaklı göndermeniz gerekmiyordu.,8.0,1.0,7.0,1604061395
