comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzet harika gürmelerin görmesi lazım. Daha önce lahmacun ve ciğer yemiştik herşey çok güzel çiğköfte enfes.,10.0,10.0,10.0,1606345570
Katmer denedim muazzamdı. Köpük içerisinde geldi ve geç yememe rağmen hala sıcaktı. Siparişimden 15 dk sonra teslim ettiler. Notlara dikkat ediyorlar ve çok kibarlar. Negatif olan yorumları anlayamadım. Kesinlikle denenmeli.,10.0,10.0,10.0,1606259170
Lahmacun çok güzeldi böyle devam.,10.0,10.0,10.0,1606259170
İkramlar bol çorba efsane.,10.0,10.0,10.0,1605999970
Fındık lahmacun yazıyor ama ben göremedim bari yazmasaydiniz.,8.0,7.0,4.0,1605913570
Ciğer şiş mükemmeldi. Ellerinize sağlık.,10.0,10.0,10.0,1605913570
Porsiyonu gercekden cok kucuk ve az pidenin kiymasi cok agir tadiyo hic begenmedimmm.,8.0,2.0,1.0,1605913570
Yiyip yiyebilceğim en soğuk ve en kötü çiğerdi.,1.0,1.0,1.0,1605740770
Çook lezzetliydi kuzu şiş.,10.0,10.0,10.0,1605654370
Lezzeti inanılmaz kötüydü bir daha almayacağım.,7.0,7.0,2.0,1605395170
Servis çok geç kaldı ve etlerin hepsi soğuktu kendimiz ısıtmak zorunda kaldık ama tadı için soyliycek biseyim yok harikayadi.,1.0,3.0,9.0,1605308770
Tadı cok kötüydü.,8.0,8.0,2.0,1605308770
"Lahmacun hamur gibi geldi, acılı olsun diyr not düştüm hiç acıda değildi memnun kalmadım.",1.0,1.0,1.0,1605308770
Çok hızlıydı. Porsiyonları ufak geldi bana ve fındık lahmacun koymamışlardı. Çok doyurucu değildi yani. Yarım kilo nane vardı:).,10.0,6.0,7.0,1605308770
Lahmacunu köpük tabağa koymanız iyi olmamış. Karton pizza kutusu olsa süper olurmuş.,9.0,5.0,10.0,1605222370
"80 dk da geldi, dükkan bari arayıp haber verse. İçerikte 2 defa yazan fındık lahmacun, bi tane avuç içi kadar geldi bari üstüne biraz kaşar atsaydınız.",1.0,10.0,4.0,1605222370
Kellepaça çorba siparişimde servis yoktu işyerinde olduğum için kaşıksız yemek zorunda kaldım ve salatayı filan yiyemedim.,8.0,1.0,8.0,1605222370
Güzeldi hızlı geldi.,10.0,10.0,10.0,1605135970
Ücreti kartınızdan 2 kez ve başka restoran ismiyle çeken firma.,1.0,1.0,1.0,1605135970
Notları okumaları guzel yemeklerde guzel.,10.0,10.0,10.0,1605049570
"Ciğer çok lezzetli, lavaş klasik lavaş değil farklı bir lezzeti var. Yanına konulan mezeler güzel. Hızlı geldi getiren arkadaşa teşekkürler.",10.0,10.0,10.0,1604963170
Ciğer sıcak geldi. Son zamanlarda yediğim en lezzetli ciğerdi. Lavaşta farklı bir lezzet var. Getiren arkadaşa teşekkür ederim.,10.0,10.0,10.0,1604876770
Porsiyon fiyata göre aşırı küçük gözden geçirilmesi gerek.,9.0,4.0,4.0,1604876770
Lahmacunun büyüklüğü yeterli doyurucu. İçli köftesi çok güzel ama pahalı biraz. Patates kızartması hazır gibi güzel değil. Servis ve hız iyi. Mezeler yetersiz çeşit az. Kebap normal.,10.0,10.0,8.0,1604876770
Ürün elime sıcak ulaştı. Çok lezzetliydi ve sunumunuza bayıldım. Teşekkürler..,10.0,10.0,10.0,1604790370
Domates çorbası siparişi vermiştim. Lezzeti çok güzeldi ve çorba sıcak gelmişti. Teşekkürler.,10.0,10.0,10.0,1604531170
50 lira paraya 100 150 gr maksimum kup kuru bir et ve bir kilo yeşillik yolladı arkadaşlar :d.,1.0,1.0,1.0,1604358370
Yanında bunca şey göndermeniz 10 tam puanı kazandırdı.,10.0,10.0,10.0,1604185570
Saygı sevgi lezzetin buluştuğu yer.,10.0,10.0,10.0,1604061424
Vasat.,8.0,8.0,2.0,1604061425
"Kargo hızı güzel. Çorba tadı güzel ve doyurucu çoklukta. Pide tadı güzel ve sıcak. İçli köftenin tadı yediğim en güzel içli köfte olabilir ama fiyatı biraz daha düşük olsa daha iyi olur. Meze çok güzel, çiğköftenin tadı on numara. İftarımı çok güzel yaptım elhamdülillah.",10.0,10.0,10.0,1604061425
Harika.,10.0,10.0,10.0,1604061425
Teşekkür ederim.,10.0,10.0,10.0,1604061425
Tava ciğeri sipariş verdim buz gibi geldi.,1.0,1.0,1.0,1604061425
Tavuk suyu corba istemistim ama mercimek corbasi geldi.,10.0,10.0,10.0,1604061425
Her zamanki gibi her şey lezzetli. Borncity sakinleri teşekkür ederim :).,10.0,10.0,10.0,1604061425
"Özellikle menüleriyle birlikte gelen mezeleri yeterli ve lezzetli, öneriyorum.",10.0,10.0,10.0,1604061425
Mamuller çok güzel sunum çok güzel ürünler de çok lezzetli.,10.0,10.0,10.0,1604061425
İyi ve özenli değildi.,1.0,1.0,1.0,1604061425
"3 tane kıymalı pide siparişi verdik yanında gönderdiğiniz salata, ezme, çiğ köfte öyle perişan bir durumdaydı ki sofraya koymaya utandım.",5.0,1.0,1.0,1604061425
Paketçi yok diye mekan sahibinin arabayla getirmesi muazzam hareket lokum efsane çiğ köfte efsane.,10.0,10.0,10.0,1604061425
Kurye arkadaş çok nazikti.,10.0,10.0,10.0,1604061425
Güzel.,10.0,10.0,10.0,1604061425
"Teşekkürler özellikle ikramlar şahaneydi. Tek sorun, işkembeler çiğnenmeyecek kadar sert idi.",10.0,10.0,10.0,1604061425
Herseyi fazlasıyla getirdiler cok teşekkürler.,10.0,10.0,10.0,1604061425
Kafam çok güzeldi hatırlamıyorum kurye arkadasıda uğraştırmışım o yüzden hepsine 10 veriyorum.,10.0,10.0,10.0,1604061425
Lezetli di teşekür ederim.,10.0,10.0,10.0,1604061425
Kurye hızlı ve ilgiliydi memnun kaldık.,10.0,9.0,9.0,1604061425
Bir kere siparişin yanında çiğköfte ve fındık lahmacun olması süper bir fikir bunların miktarı boyutu biraz artırılırsa müşteri patlaması olası. Köfte biraz soğuk gibiydi ızgara emareleri göremedim. Porsiyonlar fazlasıyla büyük ikramlar iyi.,10.0,10.0,8.0,1604061425
Leziz.,10.0,8.0,8.0,1604061425
Çok hızlıydı ve çok lezzetli kuryeye teşekkürler çok kibar güler. Yuzlu ellerinez saglik.,10.0,10.0,10.0,1604061425
Güzel ama azdı.,5.0,5.0,5.0,1604061425
Lezzeti mükemmel kurye çok hızlıydı bu işi biliyor ikramlarda çok taze ve lezzetliydi elinize sağlık favori mekanım.,10.0,10.0,10.0,1604061425
Hızlı geldi güler yüzlü kuriye ve son zamanlarda yediğim en güzel lahmacundu.,10.0,10.0,10.0,1601431679
Tek kelimeyle harika.,10.0,10.0,10.0,1601431679
Lahmacun mükemmeldi ve hızlı geldi. Elinize sağlık.,10.0,10.0,10.0,1601431679
Guler yuzlu kurye hakkini veriyosunuz helal olsun.,10.0,10.0,10.0,1601431679
İkramlar filan çok iyi ama çorbayla sınıfta kaldılar.,10.0,10.0,6.0,1601431680
Güzel ve leziz.,10.0,10.0,10.0,1601431680
Ciğer o kadar küçük doğranmaz. Hliyle kuruyor.,10.0,8.0,6.0,1601431680
Yemek hiç iyi değildi.,1.0,1.0,1.0,1601431680
Ciğer çok güzeldi. Bu kadar hızlı gelmesini beklemiyordum. Kolay gelsin.,10.0,10.0,10.0,1601431680
1 saate geldi. Ama tadı harika. Yan ürünleri harika denemekte fayda var.,6.0,10.0,10.0,1601431680
O ne öyle 2-3 parça pide 25 lira hamuru pişmemiş herşey gram gram hayır fiyatından değil de kalitesinden şikayetçiyim bu fiyatlara bu kalite çok kötü.,6.0,1.0,4.0,1601431680
"Temizlik ve hijyenle alakalı bi sorun yaşandı maalesef dün akşam, umarım daha dikkatli olursunuz.",7.0,1.0,7.0,1601431680
Kurye kibar ve hızlıydı. Gönderim süresinin yarı süresinde teslim etti.,10.0,9.0,8.0,1601431680
Hayatımda yedigim en iyi lahmacun paket calısanı güler yüzlüydü herseyden memnun kaldım.,10.0,10.0,10.0,1601431680
Beklediğim gibi geldi arnavut ciğeri hızı da iyiydi tam puan.,10.0,10.0,10.0,1601431680
Kötüydü.,1.0,1.0,1.0,1601431680
1 saatte servis geldi. Mezeler cok kotuydu.,1.0,1.0,1.0,1601431680
Çok lezzetli ve gayet doyurucu. Servis baya iyi. Zamanında ve sıcak olarak yemekleri getiriyorlar. Tavsiye ederim.,10.0,10.0,10.0,1601431680
Özensizdi.,8.0,5.0,5.0,1601431680
Buz gibiydi yemek.,1.0,1.0,1.0,1601431680
Beyti aşırı kötüydü abi. Hamur bi değişikti tarihi mi geçmiş?,5.0,5.0,1.0,1601431680
Hersey mukemmeldı mısafırlerım tadına bayıldı tesekkuler herşey ıçın.,10.0,10.0,10.0,1601431680
Ciğer iyiydi ama soğuk geldi.,8.0,6.0,7.0,1601431680
Aradığım lezzet burada.,10.0,10.0,10.0,1601431680
Epey zamandır böyle mercimek içmemiştim elinize sağlık kuryenizde bayaaa hızlıymış.,10.0,10.0,10.0,1601431680
Çorba iyidi.,10.0,10.0,10.0,1601431680
Çorbası mükemmeldi yanına bol ve lezzetli ikramlar i var çok doyurucu ekmek yiyebildigin kadar teşekkürler mersinli usta cigerci.,10.0,10.0,10.0,1601431680
"Servis, personel hizmeti harikaydı. Çorba ve lahmacunu kesinlikle tavsiye ediyorum. Mezeleriyle birlikte mükemmel. Teşekkürler usta ciğerci.",10.0,10.0,10.0,1601431680
Çorba harikaydı gerek ekmeği gerek çorba sıcak geldi meze bol ve güzel hızlı geldi kurye kibar ve güler. Yüzlüydü tafsiye ederim başarılı.,10.0,10.0,10.0,1601431680
"Mükemmel lezzet, ayrıca bol meze ile güzel sunum çok iyiydi. Kurye arkadaşın hızı ve güler yüzüde cabası. Harika bir işletme tebrikler.",10.0,10.0,10.0,1598801934
İkramlar çok iyidi.,10.0,10.0,10.0,1598801934
"Hızlı geldi, servis personeli güler yüzlüydü, yemeğin tadı ve aperatifleri çok iyiydi, kesinlikle tavsiye ederim.",10.0,10.0,10.0,1598801934
Salatanın yemeğin tadı tuzu yoktu.,1.0,1.0,1.0,1598801934
Güzeldi.,10.0,10.0,10.0,1598801934
İnanılmaz kötü.,1.0,1.0,1.0,1598801934
Fena değildi.,9.0,7.0,3.0,1598801934
Hakkını vermişsiniz yine ellerinize sağlık.,10.0,10.0,10.0,1598801934
Patlıcan kebabı gerçekten efsane! Ama çok yavaş geldi. Siparişiniz yolda bildirimi geldikten 45 dk sonra gelebildi.,5.0,10.0,10.0,1598801934
Berbat bir sunum kesinlikle söylemeyin.,1.0,1.0,1.0,1598801934
İyi.,8.0,8.0,8.0,1598801934
Salata tatsız tuzsuz.,10.0,10.0,5.0,1598801934
Sevmedşm.,1.0,1.0,1.0,1598801934
Şiddetle tavsiye ediyorum efsaneydi kuruye abiyede teşekkür ederim.,10.0,10.0,10.0,1598801934
Salata tatsız tuzsuz du.,10.0,10.0,5.0,1598801934
"Vali kebabı söyledik fındık lahmacun ve domatesi kebabı içinde gelmedi, içinde neler olduğuna büyüteçle baktık, meze ve salata rezaletti özellikle meze.",1.0,1.0,1.0,1598801934
Notlara daha çok dikkat edilirse gayet başarılı bir işletme.,10.0,10.0,10.0,1596172188
"Mercimek çorbası söyledim, kıvamı çok sıvı ve garip bir kokusu vardı.",7.0,7.0,3.0,1596172188
Lutfen dikkat... Corba siparis verdik. Siparis bayağı geç geldi. Yogunluk vardr olabilir bu normal. Ancak icinde ne salata ne meze hic birsey yoktu ustelik salata ile servis edilir yaxmasina ragmen... Hadi unutulmustur insanlik hali dedik aradik hemen yolluyoruz dediler hala gelecek. Lezzet harikaydi oysa.,1.0,1.0,7.0,1596172188
Ciğer efsane.,10.0,10.0,10.0,1596172188
Pilav zaten sevmem bir de bozuktu resmen korkuyordu :( yemek o kadar geç geldi ki buz gibiydi beklentiniz büyük olmasın.,7.0,3.0,1.0,1596172188
Mukemmel.,10.0,10.0,10.0,1596172188
Berbat ötesiydi.,1.0,1.0,1.0,1596172188
Bence harikaydı hele içli köfte çok güzeldi tek sıkıntı karışık çorba söyledim içindeki eti azdı onuda geçtim beyin yoktu için artı etide yok dene bilir geneli iskembeydi onun haricinde 10 numarayı.,10.0,10.0,10.0,1596172188
Eh.,5.0,5.0,5.0,1596172188
Çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1596172188
"Lavaşları kesmeden gönderidiginiz için, bu sefer bi özensiz gönderim yaptınız.",1.0,1.0,1.0,1596172188
Patlıcann kebabı efsaneydi bir gaziantepli olarak söylüyorum! Ciğer biraz soğuk geldi ama lezzetliydi. Ellerinize sağlık.,9.0,10.0,9.0,1596172188
"Az tuzlu olmasına özellikle sevindim. Bazı yerlerde tuz basıyorlar. Ciğerin yanında gönderilen salata, ezme ve çiğ köfte de gayet lezzetliydi. Ciğer iyi pişmiş ve yumuşacıktı. İçli köfteyi kendiniz yapmıyorsunuz diye tahmin ettim.",10.0,10.0,10.0,1596172188
Katmer tatlısı fena değil ama margarin kokuyordu. Havuç dilim baklava bayat ve lezzetsizdi.,9.0,6.0,3.0,1596172188
Ciğer kupkuruydu lahmacunda iyi değildi... Sanki önceden yapılmış ısıtılmış da gelmiş gibiydi tadsız tussuz bi ciğerdi kusura bakmayın ciğerler bide çook fazka küçük doğranmış salatada bi kaşık vardı bidahakine biraz daha az yaparsanız ziyan olmaz bu şekilde evlere servis göndermeyin bence.,1.0,1.0,1.0,1596172188
