comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzel.,9.0,9.0,9.0,1606691399
Fiyatına göre küçük.,8.0,10.0,7.0,1606691399
Hızlı ve lezzetli.,10.0,10.0,10.0,1606691399
Sucuk olmamasi icin isaretledim ona ragmen koymuslar.,8.0,8.0,6.0,1606691399
Sufleler harikaydı sıcacık tam olması gerektiği gibi.,9.0,10.0,10.0,1606691399
Lezzet güzel. Ürün biraz soğuktu ve yanında olması gereken ürünler katılmamış.,7.0,7.0,8.0,1606604999
Kuryeniz cem beye teşekkür ederiz çok hızlıydı ve güleryüzlüydü.,10.0,10.0,10.0,1606604999
Orta boy kucucuk.,10.0,10.0,10.0,1606604999
Belki 6-7 defa sipariş her seferinde özensiz her seferinde özensiz soğuk ve geç geldi. Bir daha dominostan sipariş vermeyeceğim.,1.0,1.0,1.0,1606604999
İstediğim gibi gelmedi kötüydü birdaha almam.,1.0,1.0,1.0,1606604999
Hızlı.,10.0,10.0,10.0,1606518599
Fevkaladenin fevkinin fevkinde hizli sicak geldi teşekürler dominos.,10.0,10.0,10.0,1606432199
Gece sipariş verdim açıklamaya zile basmayın yazmama ragmen zile basıldı hemde arka arkaya ufak bebeğimiz uyandı bütün hevesim kaçtı açıklamayı okuyun bir zahmet.,2.0,1.0,4.0,1606432199
"Kurye güler yüzlü, hızlı hizmet için teşekkürler.",9.0,9.0,9.0,1606432199
İlk kullanmaya başladığımdan beri hiç tereddüt etmedim yemek sepeti mükemmel dominos ve diğer firmalar gercekten yakışan bir catıda buluşmuşlar teşekkürler yemek sepeti teşekkürler görmediğimiz siz yemek sepeti çalışanları.,10.0,10.0,10.0,1606345799
"Suflelerde pudra şekeri olmasın, demiştim ama hepsinde vardı.",10.0,10.0,10.0,1606345799
Bekircan çok delikanlı bi kurye gerçten.,10.0,10.0,8.0,1606345799
Siparişimiz cok gec ve soguk geldi. Ayrıca icecek unutulmuş getirilmedi...,6.0,3.0,2.0,1606259399
Yanında gönderilen patates ve cıtır tavuk miktarı çok azdı.,4.0,3.0,7.0,1606172999
Mustafa beye teşekkürler.,10.0,10.0,10.0,1606172999
Orta boy küçücüktü.,7.0,5.0,9.0,1606172999
Bu defa çok iyiydi sıcak ve hızlı geldi teşekkürler.,10.0,10.0,10.0,1606172999
İyi.,10.0,10.0,10.0,1606086599
Gerçekten çok hızlıydı. Lezzeti de güzeldi. Teşekkürler.,10.0,10.0,9.0,1606000199
"Hayatimda gelen en hizli servisti. Kuryeniz cok guler yuzlu, ama servis gercekten korkunc. Dagilmis, patates cok azdi. Yine de tesekkurler.",10.0,1.0,7.0,1606000199
Yanlış sipariş...,8.0,1.0,1.0,1606000199
Sipariş 1 saatte geldi ve buz gibiydi.,1.0,1.0,1.0,1605913799
Çok beyendim elinize saglık.,10.0,10.0,10.0,1605913799
Bi pizzam rezil derecede yanık diğeri ise malzemeler diğer odadan fırlatılmış gibi üzerine ve soğuktu iyice soğuttunuz kendinizden.,5.0,3.0,1.0,1605827400
Karnı aç olan yiyecek bişeyler satan bir yere baksın çünkü buranın öyle bir amacı yok.,1.0,1.0,1.0,1605741000
Ellerinize sağlık.,10.0,10.0,10.0,1605741000
Sipariş 17 - 18 dakikada geldi. Pizza güzeldi fakat malzemesi çok azdı. Onun dışında normal.,10.0,10.0,7.0,1605654600
Çok kötü.,1.0,1.0,1.0,1605568200
Çok memnun kaldım çok güzel çok lezelletliydi ve çabuk geldi emeğinize sağlık.,10.0,10.0,10.0,1605568200
Ellerinize sağilık.,10.0,10.0,10.0,1605481800
Geç geldi ve soğuktu.,1.0,3.0,3.0,1605481800
Dürümoslar güzel.,10.0,10.0,10.0,1605481800
Pizza soğuktu. Bir ıslak mendil koysaydınız keşke yada peçete.,5.0,3.0,3.0,1605481800
"İncecik hamur ve malzeme kalitesi, dominos gibisi yok gerçekten harika lezzet.",10.0,10.0,10.0,1605481800
Güzeldi tavsiye edicem herkese.,10.0,10.0,10.0,1605395400
Her zaman sıcak geliyordu son siparişim geç ve soğuk geldi.,5.0,5.0,6.0,1605395400
"Servis hızı, pizza harikaydı.",9.0,9.0,9.0,1605309000
Yapanlarla ilgili değil dominos bu isi bilmiyor.,10.0,10.0,5.0,1605222600
