comment_text,comment_speed,comment_service,comment_taste,comment_time
Tesekkurler.,10.0,10.0,10.0,1606686332
Mis gibi keyifle doyduk efenim. Özellikle şu dönemde verilen para daha çok üzüyor insanı lakin burdan her yediğimde kendi kendime sen en doğrusunu yaptın diyorum. Haklıyımda! Sağlıcakla efenim ellerinize sağlık.,10.0,10.0,10.0,1606599932
İskenderi pek beğenmedim ama hızlı geldi.,8.0,8.0,8.0,1606599932
Et donerini tavsiye ederim.,9.0,7.0,8.0,1606599932
Çok doyurucu nefis.,10.0,10.0,10.0,1606513532
Et döner berbat.,10.0,5.0,1.0,1606513532
"1, 5 porsiyon söylememe rağmen tavuk kesinlikle 1, 5 porsiyon değildi. Tadı da kötüydü.",8.0,4.0,1.0,1606513532
Aynısı.,9.0,8.0,7.0,1606513532
6-7 dakika içerisinde geldi. Hızı tartisilmaz.,10.0,9.0,8.0,1606513532
Her şey güzeldi teşekkür ederim.,10.0,10.0,10.0,1606513532
Hayatimda yedigim en kotu doner o kurumus etleri habgi colden getirdiniz acaba muslum gursese cevirdiniz son pismanlik neye yarar diye evde dolandim durdum.,3.0,1.0,1.0,1606427132
Hayatimda yedigim en guzel tavuk donerdi.,10.0,10.0,10.0,1606427132
Siz harika bir esnafsınız. Herkese tavsiye ederim çok doyurucu ve lezzetli yemekleri var.,10.0,10.0,10.0,1606427132
Eskisinden 10 kat daha yavaş.,1.0,1.0,1.0,1606427132
Mükemmel.,10.0,10.0,10.0,1606427132
Yapıyorsunuz bu işi.,10.0,10.0,10.0,1606340732
Ellerinize sağlık çok lezzetliydi.,10.0,10.0,10.0,1606340732
Bayaa hızlıydı.,10.0,10.0,10.0,1606254332
Hizli geldi ama ayran patlamisti birazcik posetin icine dokulmustu tadi ise guzeldi.,8.0,6.0,8.0,1606254332
Adamın kralısınız hizmet herşey on numara uçak dan hızlısınız devam böyle.,10.0,10.0,10.0,1606254332
Tesekkurler.,10.0,10.0,10.0,1606081532
Soğuk geldiği için dönerin tadı yoktu ağızda donan bir yağ tabakası oluştu ilk ve son siparişti..,5.0,5.0,1.0,1606081532
