comment_text,comment_speed,comment_service,comment_taste,comment_time
101010.,10.0,10.0,10.0,1606689052
Valla lezzetliydi biz beğendik hızlı da servisi menmun kaldik yapip hazırlayan abimizin eline o soğukta motorla getiren abimizinde ayaklarınıza sağlık.,10.0,10.0,10.0,1606689052
"Sıcak, lezzetli ve hızlıydı elinize sağlık.",10.0,10.0,10.0,1606689052
Kurye arkadaşın yüzü suyu hürmetine veriyorum bu puanı çok düzgün nazik bi arkadaştimı uzun boylu yapılı sarı siyah ceketli arkadaş o kuryeye iyi bakın kaçırmayın işten...,10.0,10.0,10.0,1606689052
Haftanın üç günü sipariş veriyorum ellerinize sağlık bol kazançlarınız olsun.,10.0,10.0,10.0,1606689052
Teşekkürler.,8.0,8.0,8.0,1606689052
Öğrenci dostu hiç kırmadılar bu ekonomide karnımızı doyurdunuz hemde kaliteli teşekkür ederiz cansınız cannnnnnnnnn ne desem boş paramız yok dedik kapıdan döndünüz tatlı istedik verdiniz allah kapınızı kapatmasın iyi günümüzdede yanınmızda olacağız teşekkürler yürekten.,10.0,10.0,10.0,1606689052
Jumbo olmasina ragmen eti icinde cok yoktu tavuk doner gibi geldi.,10.0,8.0,7.0,1606689052
Elinize sağlık..,9.0,9.0,9.0,1606689052
Lezzet ilk günkü gibi mükemmel.,10.0,10.0,10.0,1606689052
Bi tavuk dürüm gecenin 4 ünde bile bu kadar güzel gelmez be.,10.0,10.0,10.0,1606689052
Hariiikaaa 13 dk da siparis mi gelir adamlar isinlanmayi bulmuş kralsiniz.,10.0,10.0,10.0,1606602652
Tavuk döneri bu kadar lezzetli hiç yemiştim hemde porsiyonları çok doyurucu pilav üstü tavuk döner söyledim çok iyiydi.,10.0,10.0,10.0,1606602652
"İzmirdeki tek gerçek antakya usulü döner, ellerinize sağlık.",10.0,10.0,10.0,1606516252
Lezzet ortalama. Paketlemeyi açmak imkansız denizci düğümü de atsaydınız üstüne. Hız roket gibi. İyi çalışmalar.,9.0,7.0,7.0,1606516252
Süper.,10.0,10.0,10.0,1606516252
Lavaşı çok lezzetli. Standart menü 90 gr değilde 100 gr olsa. Bir de servis daha hızlı olsa da sımsıcak yesek. Patron lütfen daha fazla elaman çalıştır.,8.0,9.0,10.0,1606516252
"Tavuk dürümün içinde tavuktan çok patates kızartması vardı, içi boş gibiydi. Ama lezzeti yine de güzeldi keşke tavuk da olsaydı.",9.0,9.0,3.0,1606516252
Fiyatına göre fazla iyi bi lezzet.,8.0,8.0,10.0,1606516252
Gecenin ilerleyen saatlerinde sipariş vermiştim. Buna rağmen dürümler sıcak ve tazeydi üstelik tadları şahaneydi. Ayrıca nota dikkat etmeniz gerçekten çok önemliydi ayrıca tekrardan hem kurye kardeşime hem de sizlere çok teşekkür ederim.,10.0,10.0,10.0,1606516252
Kapıyı duymayıp bekletmemize rağmen güler yüzlülüğünden taviz vermeyen kuryeci abim hatrına dönüyor bu dünya böyle bi insanla çalıştığınız için çok şanslısınız sırf o abi için bile sipariş verilir elinize emeğinize sağlık.,10.0,10.0,10.0,1606516252
Hiç düşünmeden söyleyin hiç direkt sonunda sürekli yiyebileceğim bir restorant fiyatlarıda gayet uygun böyle restorantlar olsa keşke sürekli.,9.0,10.0,10.0,1606516252
 büyük boy patates söyledim patatesin büyük olduğunu hiç kimse kanıtlayamaz arayıp yanlış mı oldugunu sordum değişim talep ettim muhattap bile bulamıyorsunuz tavsiye etmem.,1.0,1.0,1.0,1606429852
Hem geç geldi hemde notumu dikkate alamadınız.,1.0,1.0,1.0,1606429852
Hız olayıni acilen çözmeniz lazım.,1.0,10.0,10.0,1606429852
Güzeldi ama notlara dikkat lütfen.,10.0,8.0,9.0,1606429852
1 saat 20 dakika sonra gelen ürün buz gibi olunca daha yükseğini veremedim..,1.0,1.0,8.0,1606429852
Tadı gayet güzel. Lavaş çıtır çıtır. Hızlı ve sıcacık geliyor.,10.0,10.0,10.0,1606429852
İzmirin en leziz tavuk döneri. Umarım sarımsaklı mayonez ve fiyatı değişmezz.,10.0,10.0,10.0,1606429852
20dakikada geldi. Harika :).,10.0,10.0,10.0,1606429852
Bence onlarca seçenek arasında kesinlikle daha güzel söyleyebilirsiniz.,10.0,10.0,10.0,1606429852
Mükemmelldi fiyatının hakkını verdi hem uygun hem leziz ağzımıza layık dürümü ağzımıza soktuk.,9.0,10.0,9.0,1606343452
Çok lezizdi ellerinize sağlık hayırlı bereketli işler dilerim :d.,10.0,10.0,10.0,1606343452
Dürümlerin sosu fazla olursa mükemmel olur başarılı.,10.0,10.0,9.0,1606343452
Yorumsuz olmazdı ilk defa yedim harbi antakyaydı.,10.0,10.0,10.0,1606343452
Soğuk geldi ve ilk defa oldu net dönerden soğudum.,4.0,6.0,2.0,1606343452
Enfes tavuk döner.,10.0,10.0,10.0,1606343452
Yapımda ve yayında emegi geçenlere teşekkür ederim süüüüüperdi.,10.0,10.0,10.0,1606343452
Gğzel lezzetli ve hızlı.,10.0,10.0,10.0,1606257052
"Zurna et olan dürümün sosu azdı, ama günlerdir buradan yiyoruz ve muhteşem, gerçekten bayılıyoruz sosunuza. Ellerinize sağlık, iyi çalışmalar.",10.0,10.0,10.0,1606257052
Öncelikle ellerinize sağlık. Dürümü yedikten sonra baya bi mide yanması yaşadım. Daha önce böyle bir şikayet olmadıysa benden kaynaklı da olabilir.,8.0,6.0,6.0,1606257052
Keşke soğuk olmasaydı ama her zaman söylediğim yer beğeniyorum da o yüzden 10.,10.0,10.0,10.0,1606257052
Herşey çok güzel ama fiyat biraz tuzlu.,5.0,10.0,10.0,1606257052
1 saatte anca geldi teşekkürler.,1.0,1.0,5.0,1606257052
"Zurna dürüm porsiyon büyük, doyurucu fena sayılmaz. Vejeteryan pizzası çok kötü hamuru özellikle yemedik. O yüzden lezzete düşük puan.",8.0,8.0,4.0,1606257052
Mükemel.,10.0,10.0,10.0,1606257052
Farklı siparişlerin üzerine neyin ne olduğunu yazsanız keşke.,8.0,5.0,8.0,1606257052
Çok hızlı geldi. Geç saat olmasına rağmen ortalama lezzette.,9.0,8.0,8.0,1606257052
Hızlı geldi. Her şey ortalama.,8.0,8.0,7.0,1606257052
