comment_text,comment_speed,comment_service,comment_taste,comment_time
Vasat tatta bir makarnaydi.,8.0,9.0,7.0,1606607241
Sevdiğimden 10 verdim yoksa bu sefer güzel değildi.,10.0,10.0,10.0,1606520841
Güzeldi.,9.0,9.0,9.0,1606434441
Çok geç geldi. Bir saati aştı. Lezzet olarak idare eder sosuna biraz daha baharat katılabilir.,1.0,5.0,6.0,1606434441
Mükemmel.,10.0,10.0,10.0,1606348041
Özellikle mantarsız olsun dedim ikisi de mantarlı idi ve tavuk çok kötüydü.,8.0,7.0,1.0,1606261641
Paketciniz çok güzel yüzlü.,10.0,10.0,10.0,1606175241
Mantının sosu akmayaydı iyiydi.,7.0,8.0,10.0,1606088841
Köri soslu tavuklu makarna söyledik efsaneler efsanesiydi lezzet apayrı puanlanmalı :).,8.0,8.0,10.0,1606002441
Köri soslu kötüydü köri tadı gelmiyor makarna da beklemiş gibiydi.,8.0,8.0,6.0,1606002441
İyi diyelim.,4.0,9.0,7.0,1606002441
Penne arabiatta efsane.,10.0,10.0,10.0,1606002441
Mantı abacus.,10.0,10.0,10.0,1606002441
Güzel doyurucu.,10.0,10.0,10.0,1605916041
"Patatesler bayat, her seferinde aynı terane, hız desen yavaş, ıslak mendil bile yok.",1.0,1.0,1.0,1605916041
Herşey guzeldi ama peçete falan koysaydınız mükemmel olurdu.,10.0,6.0,8.0,1605916041
"Hayatımda yediğim en kötü tavuk mantar penne, sos yerine kremalı mantarlı corba koymuşlar gibi tavuklar da leşti.",1.0,1.0,1.0,1605916041
Çiğ köfte çiğ köfte değil. Makarna kötü yapılmak için özenli bi çalışma ile hazırlanmış daha kötüsünü daha önce yemedim.,5.0,3.0,1.0,1605829641
Fesleğenli soslu tavuklu arabiatta soslu kremalı makarna söyledim. Çorba gibi geldi fesleğen sos yok.,7.0,7.0,3.0,1605829641
Kremalı mantarlı tavuklu makarna hayatımda yediğim en kötü makarnalardandı.,10.0,8.0,3.0,1605743241
Sıcacık geldi teşekkürler.,10.0,10.0,10.0,1605570441
Fena değildi.,8.0,8.0,8.0,1605570441
Cok gec geldi gec geldiği için soguk ve lezzetsizdi.,1.0,1.0,1.0,1605570441
Kurye çok güleryüzlüydü. Makarna gayet lezzetliydi ve getirildiğinde sıcaktı. Tercih edilebilir bir işletme.,7.0,10.0,10.0,1605570441
Mantı öylesine lezzetliydi ki... Teşekkür ederiz.,10.0,10.0,10.0,1605570441
Buz gibi geldi buz.,4.0,3.0,7.0,1605484041
Domates sos yoktu neredeyse.,9.0,8.0,3.0,1605397641
Güzel.,7.0,7.0,7.0,1605397641
Her türlü istek itinayla yerine getiriyor çok anlayışlı bir işletme kaç ıldu söylüyorum hiç sıkıntı yaşamadım.,9.0,10.0,10.0,1605397641
Bklnıı.,10.0,10.0,10.0,1605311241
Kesinlikle mükemmel sıcak geliyor ve doyurucu.,9.0,10.0,10.0,1605311242
Turşu neden yollamadınız notta belirtmiştim.,8.0,9.0,8.0,1605224842
Guzellll.,10.0,10.0,10.0,1605224842
Mantı çok güzeldi ama hiç tuzu yoktu :).,8.0,10.0,10.0,1605138442
1. 5 saate geldi lezzetsiz berbattı sakın söylemeyin paranıza yazık.,1.0,1.0,1.0,1605052042
İlk defa siparis verdim beğendim.,10.0,10.0,10.0,1604965642
Güler yüzlü hızlı servis ve lezzetli teşekkürler.,10.0,10.0,10.0,1604965642
Güzel.,10.0,10.0,10.0,1604965642
Çig köftesi güzeldi.,10.0,10.0,10.0,1604965642
Hayatımda yediğim en iyi mantılardan biriydi. Harikasınız.,10.0,10.0,10.0,1604965642
Lezzetli ve düzenliydi.,7.0,8.0,8.0,1604879242
Aşırı sıcak geldi ve tazeydi tavsiye ederim.,7.0,10.0,8.0,1604792842
Gayet iyi.,8.0,8.0,9.0,1604792842
"Gerçekten 10/10. Bir makarnacıdan beklenen ger şey var. Makarna sıcak, sosu tam, servis kaliteli, kurye iyi daha ne olsun.",10.0,10.0,10.0,1604792842
"Hoş, uygun fiyat, tercih edilir.",8.0,8.0,8.0,1604706442
Patates kızartması güzeldi fakat makarna güzel değildi. Tavuklar pişmemiş ve mantarlar çok az ve ince kıyılmıştı.,8.0,8.0,3.0,1604706442
Harika porsiyon bol.,10.0,10.0,10.0,1604706442
Lezzetli.,10.0,10.0,10.0,1604533642
Çok lezzetli indirimli fiyatlarıyla çok ucuz ve menü seçenekleri oldukça geniş daha ne olsun.,10.0,10.0,10.0,1604447242
Berbat.,1.0,1.0,1.0,1604274442
Teşekkürler.,10.0,10.0,9.0,1604101642
1. 5 mantı az miktardaydı.,9.0,6.0,9.0,1604063896
Kuryeci abi çok güleryüzlüydü ve makarna sıcacik geldi tesekkurler.,10.0,10.0,10.0,1604063896
 muazzam.,10.0,10.0,10.0,1604063896
Bu defa kötüydü şaşırttınız ve üzdünüz..,6.0,10.0,2.0,1604063896
Tşk guzel yemek guzel fiyat.,10.0,10.0,10.0,1604063896
"Tavuklu pilav iyi değildi, makarna da ise biraz daha mantar ve tavuk olsa daha güzel olabilirdi. Geç geldi.",7.0,8.0,8.0,1604063896
Soslar güzel fena değil ama şu hamur olarak gelme işini çözmeniz lazım. Sisteminizi biliyorum makarna önceden haşlanıp bekliyor siparişe göre sosla çevriliyor. O makarnayı suda haşlarken daha az pişirmeyi deneyebilirsiniz. Sosla beraber tavada ve yolda pişmeye devam ediyor zaten ve yenilemeyecek halde.,8.0,7.0,1.0,1604063896
Bayıldım mükemmel.,10.0,10.0,10.0,1604063896
Mantısı güzel ama sanki biraz daha pişse daha harika olacak.,10.0,10.0,9.0,1604063896
"Makarna tamamen ezilmiş, hamur olmuştu. Yediğim en kötü kremalı makarna idi.",5.0,5.0,1.0,1604063896
Elinize saglik.,8.0,8.0,8.0,1604063896
Soğuktu biraz.,7.0,8.0,8.0,1604063896
Adamların makarnası evsooo yedikçe yiyesi geliyo insanın çok manyakcasına bi lezzet yemeden ölmeyin sakın..,10.0,10.0,10.0,1604063896
Makarna daha güzel olabilir di diğerleri güzel di.,10.0,10.0,8.0,1604063896
Bu fiyata gayet iyiydi makarnanın kıvamı gayet iyiydi çiğköfte başarılıydı.,8.0,8.0,9.0,1604063896
Hızı servisi idare ediyor ama tadı gerçekten kötü. Ve çatalı sokarken makarna parçalanıyordu çatal ile tutamadım makarnayı.,5.0,2.0,1.0,1604063896
Hız lezzet servis. Tavsiye ederim on numara.,10.0,10.0,10.0,1604063896
Mantı sosu dedikleri şey sulu yoğurttu. Porsiyon çok azdı.,8.0,7.0,7.0,1604063896
On numara 5 yıldız superdi.,10.0,10.0,10.0,1604063896
Pilavı ve fesleğenli makarnası gayet iyi. İndirim günlerinde malzemeden kısmayan nadir yerlerden biri.,10.0,10.0,10.0,1604063896
Nbmvj.,9.0,9.0,9.0,1604063896
Kremasi berbatti.,1.0,1.0,1.0,1604063896
Elinize sağlık.,10.0,10.0,10.0,1604063896
Çok iyi.,10.0,10.0,10.0,1604063896
Tavuk pisirmeyi gelip ogretcem size bu kacinci siparişim bi az pismis bi yanmis karar verin.,10.0,10.0,5.0,1604063896
Makarnanın içindeki tavuk kavrlmş olmsı gerekir azda olsa bldgm kadryla ayrca en cok tükettgm şeydir makrna dışarda ama bu bildgn haslma tvk yiyemdn cöpe attm cok bastan sağma..,8.0,8.0,1.0,1604063896
Çok iyidiiiiii.,10.0,10.0,10.0,1604063896
"Yeni açılmasına rağmen mükemmel hizmet 10 üzerinden 11 veriyorum, güler yüzlü bir kurye ve doyurucu bol bir menü. Teşekkürler burn.",10.0,10.0,10.0,1604063896
Yemekler sıcacık lezzetli ve servisi çok hızlıydı.. Ellerinize sağlık..,8.0,8.0,8.0,1604063896
Pilav gerçekten çok güzeldi.,10.0,10.0,10.0,1604063896
Biraz hız konusunda gelişmesi gerek.,3.0,9.0,9.0,1604063896
Mantarı ve eti tadımlık koymasanız çok başarılısınız.,9.0,6.0,8.0,1604063896
"Körili makarna tuzluydu, kremalı makarna ise iyiydi onun dışında gayet başarılı tavsiye edilir sosları bol.",9.0,10.0,8.0,1604063896
Makarna tek kelimeyle harikaydı.,8.0,8.0,10.0,1604063896
Eh.,7.0,7.0,7.0,1604063896
Kusura bakmayn makarna cok kötüydü kremasi cok fazla olmus kori suyu gibiydi tavk ilave etmeme ragmn 2 3 tane tavk vardı ve pişmemiş tam olarak yin3de ziyan etmedm yedm elinize sağlık brz daha dikkat ederseniz memnuniyet sağlarsınız bn frma değiştiriyorm ama dger müşterilerine karsi dikkat oln.,9.0,5.0,2.0,1604063896
Munchiese düstük diye mi bilmem ama cok iyidi.,10.0,10.0,10.0,1604063896
Makarnaları lezzetli serviste hiç hata olmadan hızlı bir şekilde geliyor hayet iyi bir restorant.,10.0,10.0,10.0,1604063896
Joker söyledim herşey 10 numaraydı elinize sağlık.,10.0,10.0,10.0,1604063896
Gönderdiğiniz tavukları hiç tattiniz mi kıtır kıtır tavuk yedim ya resmen pismemisti.,8.0,3.0,1.0,1604063897
Harika.,10.0,10.0,10.0,1604063897
4 5 keredir sipariş veriyorum lezzet inanılmaz çok güzel hız da sıkıntı yok lakin sipariş notlarını pek dikkate almıyorlar galiba makarnanın içine ekstra dan sos ekletiyorum ve diyorum ki bol acılı olsun 4 5 keredir verdiğim her siparişte bunu dile getiriyorum ama gelmiyor.,8.0,8.0,9.0,1604063897
Sporcu 1 menü - lezzet konusunda hiçbir sıkıntı yok fakat genel fiyatlarınıza göre bu menünün yanında ki çiğköfte dürüm olmalıydı. Bir sorun yok beğendim.,10.0,10.0,10.0,1604063897
Lezzetliydi.,8.0,8.0,9.0,1604063897
Tavuklar pişmemiş baya makarnanın içinde ki tadı da kötüydü çöpe atmak zorunda kaldım.,7.0,1.0,1.0,1604063897
Makarna su icinde yuzuyodu.,10.0,8.0,1.0,1604063897
Bozdunuz sanki eski abacus yok.,5.0,5.0,5.0,1604063897
Bu kadar tatsız tuzsuz bi makarna daha yememiştim.,7.0,5.0,1.0,1604063897
"Apartmana yapıştırdığınız sticklerin çöplerini apartmanın içerisine attığınız için bu puanı veriyorum. Reklam yapacaksanız adabı ile yapın, çöpünüzü arkanızdan toplamak zorunda değiliz. Bundan sonra sipariş vermeyeceğim.",1.0,1.0,1.0,1604063897
Kurye abi her zaman ki gibi 10 fakat kremalı yerine bu sefer fesleğen söyliyim dedim gerçekten 2 kaşık alıp çöpe döktüm. Bence bi kontrol edin.,10.0,1.0,1.0,1604063897
Fazla iyi.,10.0,10.0,10.0,1604063897
Berbat.,1.0,1.0,1.0,1604063897
Ürün daha yeni yapılmış gibi sıcacık geldi ve tadı harikaydı bu saatte bunu cidden beklemiyordum çok memnun kaldım.,10.0,9.0,10.0,1604063897
Makarnanın tadı rezaletti yiyemedik verdiğimiz paraya yazık hamurdu resmen.,3.0,1.0,1.0,1604063897
Her seferinde 10 numara.,10.0,10.0,10.0,1601434151
İyi.,10.0,10.0,10.0,1601434151
Verdiğim para boşuna gitti kusura bakmayın pizanın alltı hamur daha terlemiş ti tat sıfır pişirim sıfır.,8.0,1.0,1.0,1601434151
Maalesef :/.,8.0,7.0,4.0,1601434151
İdare eder pek tavsiye edemeyeceğim.,4.0,6.0,4.0,1601434151
Hayatımda yediğim hiç abartmıyorum en kötü makarna ve çiğ köfteydi makarnanın tavuğu kokuyordu bir tek ayran iyiyidi onu allahtan onlar yapmamış 18 liraya ayran içtim.,4.0,1.0,1.0,1601434151
"Teşekkürler uygun fiyat ve lezzetiniz için, kurye abi de her zaman güleryüzlü, umarım kaliteyi daha da yükseltirsiniz.",9.0,9.0,9.0,1601434151
Tavuk ve mantar gören varmı.,1.0,1.0,1.0,1601434151
Köri soslu makarna siparişi verdim krema artı ekstra krema istememe rağmen öyle gelmedi çok büyük ümitle söylemiştim hayal kırıklığına uğradım.,8.0,9.0,6.0,1601434151
Yapamıyorsan zorlamayacaksın.,7.0,3.0,2.0,1601434151
Servis ve paketleme başarılıydı lezzeti 6.,6.0,8.0,6.0,1601434151
Spariş biraz geç geldi ama tadı gayet mükemmeldi.,8.0,10.0,10.0,1601434151
Genel manada iyiydi ama ıslak mendil falan da koysanız ya.,10.0,7.0,9.0,1601434151
2. Kez asla notu okumadan siparis getiriyorsunuz. Okumamaya devam edin!,1.0,1.0,1.0,1601434151
Abi feslegenin tadını alabilmek için tüm dikkatimi makarnaya vermem gerekti. Ayrıca çok. Pismis ve hamur olmuş ve içinde mantar yok denecek. Kadar azdı...,10.0,9.0,8.0,1601434151
Çok uygun fiyata çok lezzetli tavsiye ederim ellerinize sağlık çok güzeldi.,10.0,10.0,10.0,1601434152
Güzeldi.,10.0,10.0,10.0,1601434152
İyidi.,9.0,8.0,8.0,1601434152
Güzel ve en önemlisi sıcaktı.,7.0,9.0,8.0,1601434152
Hızlı ve lezzetli.,10.0,10.0,10.0,1601434152
Kreması az körisi çoktu bu seferkinin.,10.0,10.0,8.0,1601434152
Gercekten sosu kotuydu para verdiginize pisman oluyosunuz o derece.,7.0,5.0,1.0,1601434152
Çiğ tavuk.,7.0,7.0,5.0,1601434152
Güzel.,9.0,9.0,9.0,1601434152
Gayet güzel hesaplı.,10.0,9.0,8.0,1601434152
10 numara çok hoş bi iletişim kurduk daha çok yardımcı olabilmek için arayıp bilgi veriyorlar çok teşekür ler.,10.0,10.0,10.0,1601434152
Çok geç geldi.,1.0,1.0,3.0,1601434152
Mantı çok güzel.,10.0,10.0,10.0,1601434152
Gayet güzel hesaplı. Malzemeyi az daha arttır ve usta.,10.0,9.0,9.0,1601434152
Bir çiğköfteciden makarna söylenmeyeceğini bilmeliydim tavuklar konuşuyordu ve de kullandıkları krema şimdiye kadar gördüğüm en kötü kremaydı söylerken şüphelerim vardı keşke şüphelerime güvenseydim.,8.0,5.0,1.0,1601434152
Hem hızlı hem güzel.,10.0,10.0,10.0,1601434152
Tavuklu olmasını düşünerek yaptığınız için tavuklu yazdığınızı düşünüyorum. Kuryeci abinin hakkını yemem ama hızlı geldi.,9.0,9.0,1.0,1601434152
Çok iyi.,10.0,10.0,10.0,1601434152
Çok iyi.,8.0,10.0,9.0,1601434152
Tavuk çiğ yapılmış.,10.0,1.0,1.0,1601434152
Müthiş.,10.0,10.0,10.0,1601434152
Olmamis bu sefer yakistiramadim köri sosu çok fazlaydi tavuklarin lezzetinde bi gariplik vardi.,6.0,7.0,4.0,1601434152
İdare eder zor durumlarda.,7.0,7.0,6.0,1601434152
İyi.,10.0,10.0,10.0,1601434152
Köri soslu makarna hiç güzel değildi sosu azdı tavuğu azdı mantının tadı güzeldi fakat çok soğuk geldi.,10.0,10.0,8.0,1601434152
Güzel.,10.0,6.0,9.0,1601434152
Mazınsal.,10.0,10.0,10.0,1601434152
Hjjjj.,8.0,8.0,6.0,1601434152
Mükemmelll.,10.0,10.0,10.0,1601434152
Hız ve paketleme berbat.,5.0,3.0,9.0,1601434152
