comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızlı geldi. Sıcak geldi. Ve süper lezzetliydi. Servis de süperdi.,10.0,10.0,10.0,1606695565
Çok tşk ederim lezzetinden doyamadım resmen malzeme koymaya kiyamamisssiniz.,1.0,1.0,1.0,1606522765
Hızlı geldi. Bu yüzden sıcaktı. Tadı da fena değildi.,8.0,7.0,7.0,1606436365
Lahmacun efsane notu dikkate almislar boyledevam.,10.0,10.0,10.0,1606436365
Çok iyi.,10.0,10.0,10.0,1606349965
Efsane lahmacunlarrr.,10.0,10.0,10.0,1606349965
Pidenizin yanında lahmacun yetersiz kaldı.,7.0,7.0,7.0,1606263565
Kötü çorba.,8.0,7.0,6.0,1606263565
Hayatımda yediğim en kötü işkembe çorbasıydı. Ilık gelse tamam buz gibi çorba geldi ve lezzet yoktu. Not yazıyorum notu okumuyorlar bile. Devamlı yemek söylerdim ama son zamanlarda çok kötüye gitmeye başladı umarım tekrar düzeltirsiniz tadı ve servisi.,5.0,1.0,1.0,1606263565
Inanilmaz hizli geldi fakat corbanin yan urunu eksikti.,10.0,9.0,9.0,1606177165
Yauw sanki borekci gibi isitip gondermeyin su malzemeleri.,1.0,1.0,1.0,1606004365
Hiçbir siparişimde 9 vermedim elinize yüreğinize sağlık.,10.0,10.0,10.0,1605917965
Çorba her zaman sıcak geliyor ve mezeleri harika.,10.0,10.0,10.0,1605917965
"Çorbanın yarısı tüm pakede dökülmüştü, lahmacunun da kıyması kötüydü bu sefer. Bu sefer olmadı konyalı.",1.0,1.0,1.0,1605831565
Hem kaliteli hem hızlı hem lezzetli. Teşekkürler.,10.0,10.0,10.0,1605831565
Lahmacunu efsaneeekesinlikle tavsiye ederim.,10.0,10.0,10.0,1605831565
Hızlı eksiksiz ama lahmacun konusunda diğer yorumlara hak verdim çok kötüydü üzerinde harcı durmuyodu dökülüyodu beytiye gelecek olursak hamur o kadar kötü ve yumuşaktı ki tamam yumuşaklık istersin ama dünyanın en yumuşak 3 şeyinden biri olabilirdi çatal batıramiyodum et ayrılıyodu anında yazık.,10.0,10.0,2.0,1605831565
Teşekkürler. Hız ve lezzet gayet iyi.,9.0,9.0,9.0,1605831565
Hava biraz yağmurluydu ama üzülerek söyledim getiren kurye abimize de çok teşekkür ediyorum.,10.0,10.0,10.0,1605745165
Her şey çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1605745165
Kuryede maske yok rahat tavırlar keşke dikkat etseler hijyen için soru işareti kaldı :(.,10.0,1.0,7.0,1605745165
Kurye yaşlı amcayı cok sevdim servis 10/10.,9.0,10.0,8.0,1605658765
Çok hızlı ve çok iyiydi.,10.0,9.0,9.0,1605658765
"Pidesi güzel ama lahmacun için aynısını söyleyemeyeceğim, onun dışında servis ve hız çok iyi.",10.0,10.0,6.0,1605658765
Sürekli tercih ettiğim bir yer kesinlikle online ödeme yapmayın buz gibi geliyor sipariş.,5.0,10.0,10.0,1605658765
Lahmacunu beğenmedik. İçindeki etler dökülüyordu lahmacun kokusu tadı yoktu sıfır.,5.0,6.0,1.0,1605572365
