comment_text,comment_speed,comment_service,comment_taste,comment_time
Notlari dikkate aliyorlar. Cok tesekkurler. Lavaşlar son derece tazeydi. Karisik izgarada ki koftede lezzet iyi degil ve pilav bence olmamis. Tavuk sis cok kucuk. Daha iri olmalı. Gelen adana kebap degil kofte. Youtube da cok ornegi var incelemenizi tavsiye ederim. F/p iyi. Tesekkurler.,9.0,9.0,5.0,1606522120
"Uygun fiyatlar tertemiz servis doyurucu porsiyonlar ve hız, daha ne olsun :).",10.0,10.0,10.0,1606349320
Biraz soğuktu ama güzel tadı tavuk şiş dürüm.,9.0,9.0,8.0,1606090120
Bugüne kadar yediğim en kotu yemeklerdi.,1.0,1.0,1.0,1606003720
Sıcak geldi lavaşı taptazeydi ellerinize sağlık.,10.0,10.0,10.0,1605917320
Her şey çok güzeldi. Normalde umursamaz biriyim ne yorum yazarım ne puan veririm ama sırf lezzetten dolayı yazmak istedim. Umarım kendinizi bozmaz ve fiyatlara zam yapmazsınız.,10.0,10.0,10.0,1605830920
"Hız ortalama, servis güzel ancak fiyatlar fazla geldi bana.",7.0,8.0,9.0,1605744520
Özenli paket. Her şeyin birbirine girmiş olmaması iyi.,10.0,10.0,10.0,1605658120
Hem cok hizli geldi hem sicak geldi hem de cok lezzetlitdi tavuk şiş joker olmasina ragmen hersey 10 numaraydi tskler.,10.0,10.0,10.0,1605485320
Maalesef beğenmedim içinde aşırı derecede soğan vardı köftenin tadını bile alamadım soğandan.,5.0,5.0,4.0,1605485320
Fiyat biraz ucuza ama köfte sayısı çok az 3 değilde 5 olsa iyi olur.,8.0,8.0,8.0,1605398920
Çok iyi cidden efsane.,10.0,10.0,10.0,1605398920
Adana güzel ama tavuk sisler kötüydü :(.,8.0,8.0,5.0,1605312520
"Karışık ızgara 45 tl joker ile verdim, herhalde ücret ile beraber porsiyon da küçülüyor. 3 adet köfte dışında diğerleri hem boyut olarak hem lezzet olarak kötüydü. Bırakın 2 kişiyi 1 kişi doymaz. Eğer jokere böyle gönderiliyor ise yazık normalde de boyle karışık ızgara gönderiyorlar ise daha yazık.",1.0,1.0,2.0,1605312520
Güzel.,10.0,10.0,10.0,1605139720
Jkhıj.,10.0,10.0,10.0,1605139720
Beğendim baya iyiydi.,10.0,10.0,10.0,1605053320
"Jokerden karışık ızgara söyledim 40 tl normalde 25 tl ye, porsiyon ufaktı 25 tl yi bile haketmiyor sucuk yerine içli köfte koymuşlar bir daha söylemem madem ufak göndericeksiniz joker yapıp insanları kandırmayın.",6.0,1.0,3.0,1605053320
Vbnjkk.,10.0,10.0,10.0,1604966920
Turşu biber koyulmamıştı ve ayvalık tostu ekmeği çok çok küçük zayıf bi insan bile ondan 3 tane ile zor doyar adanada öyle 1 lavaş gibi gözüküyor içi daha fazla olabilir tad olarak güzel.,8.0,3.0,8.0,1604966920
58 dk da sipariş geldi pilav yağlıydı tadı kötüydü tatlıları ve ikram çiğköfteleri dışında lezzetli birsey yok tavuk şişlerde evde yapsam daha güzel olurdu.,3.0,6.0,6.0,1604880520
Başarılı.,10.0,10.0,9.0,1604880520
Ya abicim yazdimda yani sicak olsun dedim.,10.0,10.0,6.0,1604880520
Adana buz gibiydi hergün söylüyorum aslında buraya yazmak istemezdim aradım açılmadı ondan yazıyorum.,10.0,8.0,1.0,1604794120
"Yeşillik ve maydanoz koyulmasın şeklinde işaretlemiştik, ancak koyulmuş. Ayrıca dürümler soğuktu.",6.0,4.0,5.0,1604794120
Her zamanki gibi.,10.0,10.0,10.0,1604275720
Malzemeden kaçmamışlar. Lezzet iyiydi tavsiye edilir.,10.0,10.0,9.0,1604189320
Tam fiyat/performans yeri.,10.0,10.0,10.0,1604065174
Harika.,10.0,10.0,10.0,1604065174
Tavuklu pilav biraz yağlı geldi o yüzden 9 verdim ama köfte ekmek çok iyiydi.,10.0,10.0,9.0,1604065174
"Köfteler pişmemişti, fiyatına göre gelen ürün çok azdı birdaha asla.",5.0,4.0,1.0,1604065174
Çok kötü.,6.0,5.0,4.0,1604065174
Dürüm işini çözmüşsünüz harika.,10.0,10.0,10.0,1604065174
0 puan olsa onu vericem lavaslar buz gibi ısıtılamadan gelmiş adana varla yok arasında dürümün içinde ufacık bir daha asla.,1.0,1.0,1.0,1604065174
Seviyoruz.,10.0,10.0,10.0,1604065174
Güzeldi.,10.0,10.0,10.0,1604065174
2. Siparişim ve 2. Aldığımda köfteyi daha fazla koymuşlar çok doyurucu ve lezzetliydi.,9.0,9.0,9.0,1604065174
Güzel.,10.0,10.0,10.0,1604065174
Siparişlerde karışıklık olmasına rağmen kurye gayet güzel bir şekilde telafi etti.,10.0,10.0,10.0,1604065174
Soğuk ve sadece lavaştan ibaret bir dürüm geç gelmeside cabası joker diye mi bilemem ama asla sipariş vermem bir daha.,1.0,1.0,1.0,1604065174
Fiyatlar cok iyi performans da cok iyi yediğim en iyi dürümler.. Yok özel sos yok şu yok bu hiç bir şey yok çıtır çıtır tavuk şiş yiyorsunuz. Ekmek ve içindeki yeşillikler de hep taze oluyor. Yalnız boyutu birazcık küçük zaten fiyatı da ona göre uygun halde ilk kez söyleyecek arkadaşlar için bilgi.,10.0,10.0,10.0,1604065174
3 köfte fiyatına göre iyi ama normalde köfte ekmek 14 tl fln o 4tl den baya marul fln kısmışsınız soğan ekleyebilirsiniz.,10.0,9.0,9.0,1604065174
Menüler cok iyi.,10.0,10.0,10.0,1604065174
Tavuk şiş yumuşak ti kurumamis begendim.,10.0,10.0,10.0,1604065174
Notu dikkate aldığınız için ayrıca teşekkür ederim :).,10.0,10.0,10.0,1604065174
Hızlı geldi. Kurufasülyenin yanında soğan gönderme inceliğini gösteren bir işletme ne kadar kötü olabilir ki? Teşekkürler.,10.0,10.0,10.0,1604065174
Lavaş arası lavaş geldi.,9.0,10.0,3.0,1604065174
Güzel.,10.0,10.0,10.0,1604065174
İdare eder lezzet olarak.,10.0,7.0,7.0,1604065174
10 tlye iyidi tavuk şiş dürüm.,10.0,10.0,10.0,1604065174
Güzeldi soğan yoğun du sanki dürümlerde ama beğendim.,8.0,8.0,8.0,1604065174
Tavuk pilav bozulmuş gibi kokuyordu.,5.0,3.0,1.0,1604065174
Tavuk yoktu neredeyse tavuk şişte:(.,10.0,5.0,1.0,1604065174
Beğenmedim adana dürümü.,1.0,1.0,1.0,1604065174
Harika.,10.0,10.0,10.0,1604065174
Adana ve köfte lezzetliydi.,9.0,9.0,9.0,1604065174
Köfte serviste pilav yazmışsınız tadımlık koymuşunuz.,10.0,7.0,7.0,1604065174
Efsane.,10.0,10.0,10.0,1604065174
Kuryesi cok duzgundu ondan puanlari veriyorum ekmek aradi sucuk cok guzeldi. Ancak adanaya marul koyulmus resmen şok oldum. Pilav da yenecek gibi degildi.,6.0,5.0,7.0,1604065174
Adana dürüm iyidi.,9.0,9.0,9.0,1601435428
Teşekkür ederim.,10.0,10.0,10.0,1601435429
Kaliteniz çok iyi hız lezzet servis muheteşem tereddütte kalmıyacağım adreslerden birisi oldu ellerinize sağlık iyi çalışmalar.,10.0,10.0,10.0,1601435429
Hımmmmmmmmmm...,10.0,10.0,10.0,1601435429
Lezzet konusunda 9 verme sebebim içli köfteniz maalesef çok kötüydü. Geri bildirim olsun size diye yazıyorum. Onun dışında herşey çok iyiydi ellerinize sağlık.,10.0,10.0,9.0,1601435429
Yedigim en iyi adanaydi bence ellerinize saglik.,10.0,10.0,10.0,1601435429
Güzel.,8.0,8.0,8.0,1601435429
Cokk güzeldi ellerinize sağlık.,10.0,9.0,10.0,1601435429
Vasat.,9.0,7.0,3.0,1601435429
İyi.,8.0,8.0,8.0,1601435429
İyiydi.,8.0,8.0,8.0,1601435429
İyiydi.,9.0,9.0,9.0,1601435429
Sucukları çok pişirmişler çoğu yanıktı ekmeğin içinde sucuk haricinde birşey yok ekmekte sucuk yağı bile yoktu kuru ekmekti.,8.0,7.0,4.0,1601435429
Bol bol biberli bir köfte ekmekti harikaydı teşekkürler notları dikkate alıyorlar.,10.0,10.0,10.0,1601435429
Hiç göze hitap etmiyo ve lezzetsiz.,5.0,1.0,1.0,1601435429
Çok soğuk geldim tam tamına 63 dakikada geldi hız konusunda 1 vericem servis konusunda problem yoktu güleryüzlü ona 10 vericem ama lezzet konusunda ağır problem var adanada çok yaban böyle biraz sos olsa domates felan içine koysanız daha iyi olur genede elinize sağlık.,1.0,10.0,1.0,1601435429
"1, 5 saat sonra gelen siprariş soğuk ve istediğimizle pekte ilgisi olmayan şeylerdi. Üstünkörü hazırlanmış. Puanı fazla diye sipariş verdim ama pişman oldum.",1.0,1.0,1.0,1601435429
İyi.,9.0,9.0,9.0,1601435429
Kurye güleryüzlüydü. Köfte de lezzetliydi. Teşekkürler.,10.0,10.0,10.0,1601435429
Merhaba öncelikle süpriz ikraminiz için teşekkür ederim dürümün içerisindeki garnitür gerçekten zayifti ve bence dürüm de maydanoz kesinlikle kullanılmalı elinize emeğinize sağlık tekrar deniycez hayırlı isler.,10.0,7.0,7.0,1601435429
Bu adamlar işi biliyor çok lezzetli gayet iyiydi sipariş getiren kurye abi de güler yüzlüydü teşekkür ederim...,10.0,10.0,10.0,1601435429
Başarılı.,10.0,10.0,10.0,1601435429
