comment_text,comment_speed,comment_service,comment_taste,comment_time
Tşkler 3.,10.0,10.0,10.0,1606694573
Tek kelime ile efsaneeee ellerine sağlık.,10.0,10.0,10.0,1606694573
Mükemmel.,10.0,10.0,10.0,1606694573
Her şey çok iyi ve hızlı geldi bomba söylemiştim o da sıcaktı tavsiye ederim.,10.0,10.0,10.0,1606694573
Güzel.,10.0,10.0,10.0,1606694573
Mag lar bir harika.,9.0,10.0,10.0,1606694573
Frambuazli mag efsane.,10.0,10.0,10.0,1606608173
Taze ve lezzetli...,10.0,10.0,10.0,1606608173
Her zamanki gibi çok nefis...,10.0,10.0,10.0,1606608173
Pizzayı acil düzeltmeniz lazım bana hep yanıklar denk geliyor.,8.0,8.0,5.0,1606608173
"Yas pasta tazecik,.",8.0,10.0,10.0,1606608173
Harika sevdiğim yerlerden birisi.,9.0,10.0,9.0,1606608173
Magnolia inanılmaz lezzetli ve tazeydi.,10.0,10.0,10.0,1606608173
Labnesi harika.,9.0,9.0,9.0,1606521773
Iki zeytinli pogaca soylemistik ama bi tanesi patatesli gelmis.,9.0,5.0,9.0,1606521773
Zeytinli boyozun icinden 2 tane çekirdek cikmasi disinda guzeldi.,7.0,7.0,5.0,1606521773
Gece sipariş verdim not iletmek için aradım çok yardımcı oldular müşteri memnuniyeti süper elinize sağlık.,10.0,10.0,10.0,1606521773
Hızlı geldi teşekkür ederim erdal kardeşimize teşekkür ederim hayırlı işler.,10.0,10.0,10.0,1606521773
Sosçeem kalp ben.,10.0,10.0,10.0,1606521773
Hiç bir zaman tazeliği ve lezzeti konusunda yanıltmayacak bir pastane arıyorsanız doğru yerdesiniz.,10.0,10.0,10.0,1606521773
"Gecenin 23ünde de olsa tadını asla unutmayacağım boyoz ve efsane dereotlu poğaça, tek gectiğim yer!",10.0,10.0,10.0,1606521773
Hep yesa.,8.0,9.0,10.0,1606521773
Şu bucada cikolatası güzel profiterol yapan niye yok ya ama fena değil burasıda.,10.0,10.0,8.0,1606521773
Yanlış ürün gönderildi istediğim börek ve meyve suyu gelmedi.,1.0,1.0,1.0,1606521773
On numara.,10.0,10.0,10.0,1606435373
Tatlı çeşitleri tazecik.,10.0,10.0,10.0,1606435373
Taze ve sıcaktı.,10.0,10.0,10.0,1606435373
Nnnönj.,10.0,10.0,10.0,1606435373
Kazandibi bu değil.,10.0,10.0,9.0,1606435373
Biraz daha hızlı olabilr.,7.0,10.0,10.0,1606435374
Harika.,10.0,10.0,10.0,1606435374
Güzeldi teşekkürler.,9.0,9.0,9.0,1606435374
"Pastalar taze ve lezzetli, teşekkürler.",10.0,10.0,10.0,1606435374
Süperdi herşey sıcak geldi böreklerin lezzeti çok iyi.,10.0,10.0,10.0,1606435374
Güzel.,9.0,9.0,9.0,1606348974
Krokanlı pasta söyledim ama farklı bir pasta geldi... Düz çikolatalı pasta sevseydim çikolatalı pasta söylerdim zaten. Kaç gündür canım krokanlı pasta çekiyordu çok üzüldüm.,10.0,1.0,5.0,1606348974
1 saat kadar sürüyor aç değilseniz değer.,1.0,1.0,7.0,1606348974
Hayatımda daha kötü tulumba tatlısı yemedim. Kayış gibi şerbeti hiç yok ve bayattı.,7.0,1.0,1.0,1606348974
10/10.,10.0,10.0,10.0,1606348974
Çok iyiiii.,10.0,10.0,10.0,1606348974
Güzeldi ve hızlıydı.,10.0,10.0,10.0,1606348974
"4 kaşarlı 2 domatesli söyledik tam tersi geldi, 330luk meyve suyu yerine de küçük kutu geldi. Sanırım benim istediğimi değil usta o an canı ne istediyse ondan yollamış.",10.0,1.0,10.0,1606348974
Lezzetli ama geç geldi.,4.0,10.0,10.0,1606348974
Güzel.,10.0,10.0,10.0,1606348974
Taze ve sıcaktı.,10.0,10.0,10.0,1606348974
Dere otlu peynirli ev poğçası ben hayatım da böyle mükemmelini yemedim teşekkürler.,10.0,10.0,10.0,1606348974
Süper.,10.0,10.0,10.0,1606262574
Eksiksiz sıcacık geldi çooook teşekkür ederim. Kuryeniz de çok güler yüzlü. Paketlemer de çok şirin hız servis lezzet 10/10 sizden iyisi yok. Bombee.,10.0,10.0,10.0,1606262574
