comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi.,7.0,9.0,9.0,1606437792
Emeyzink.,10.0,10.0,10.0,1606264992
Orta idare eder.,7.0,7.0,7.0,1606178592
Gayet güzeldi.,7.0,8.0,10.0,1606178592
40 liralık sipariş verdik 50 liralık meze geldi :d ellerinize sağlık her şey süperdi.,10.0,10.0,10.0,1606092192
Lezzetli değildi.,8.0,8.0,3.0,1605919392
Yorumları dikkate almayıp sipariş verdim 1 saat 20 dakikada soğuk geldi.,1.0,1.0,1.0,1605919392
Başarılı sunum güzeldi.,8.0,10.0,10.0,1605746592
"İşletmeyle aynı mahallede olmama rağmen geç geldi üstüne buz gibi, bakın ılık bile değil buz gibi yemek geldi ve tadı da güzel değildi. Buradan sipariş vermeden önce düşünün.",1.0,1.0,1.0,1605660192
Notta çok pişkin olmasını rica etmiştim sanki bilerek dahada az pişirerek göndermişler ve daha önce istedigimdeki 500 gr ile bu seferki 500 gr arasında miktar olarak büyük bir fark vardı.,10.0,1.0,1.0,1605660192
Tavukları yakmışlar muhtemelen de zebil olmasın diye bize göndermişler. Ayrıca çiğ hali 1kilo siparişmedecekseniz ona göre düşünün 2 kişiye 1kilo yetmiyor.,6.0,3.0,3.0,1605573792
Kurye ölü gibiydi özür dileyecektim sipariş verdiğim için tavukların da tadı bayatti.,9.0,4.0,5.0,1605573792
Lezzeti ve mezeleriyle harika bir yemekti. Ellerinize sağlık.,10.0,10.0,10.0,1605487392
Biraz geç geldi fakat güzeldi.,7.0,7.0,7.0,1605400992
Tavuklar bayattı kokuyordu.,10.0,7.0,1.0,1605314592
Enfes.,10.0,10.0,10.0,1605228192
Max süresini aştı. Servis olarak fena değil. Lezzeti ise pilavın tadına bakmadım sadece pirzola yedim ve çok da taze olduğunu düşünmüyorum.,5.0,7.0,5.0,1605141792
İyisiniz.,10.0,1.0,8.0,1605055392
Bulgur bozuktu. Köfte hazır köfte gibiydi.,10.0,1.0,1.0,1604968992
Lezzet aslında iyiydi ama yerken çok kemik çıktı içinden ufak ufak dişlerimi hissetmedim 2 gün.,9.0,9.0,7.0,1604882592
Yaniiii.,7.0,7.0,6.0,1604882592
Siparişimiz çok hızlı ve sıcak geldi çok ta lezzetliydi. Biz 1 kiloluk tavuk pirzola söyledik yarısı kanat olabilir mi diye rica ettik. Yapmışlar sağolsunlar. Deneyin sizde memnun kalırsınız. 10/10/10.,10.0,10.0,10.0,1604796192
Herşey çok lezzetli ve boldu. Tavsiye ederim.,10.0,10.0,10.0,1604796192
Köftelerde degisik bir koku vardı ama damak tadiylada ilgili olabilir.,10.0,10.0,10.0,1604796192
Hayatımda yediğim en kötü köfteydi.,5.0,1.0,1.0,1604623392
Harikaydı...,10.0,10.0,10.0,1604536992
En az 3-4 saat once siparis verin. Benim ilk ve son siparisimdi. Saygilar.,1.0,5.0,10.0,1604450592
"Menüler oldukca doyurucu ve lezzetli, ikramların çeşitliliği ve bolluğu da güzel. Elinize sağlık.",9.0,10.0,10.0,1604450592
Güzeldi beğendim.,10.0,10.0,10.0,1604191392
Gayet iyi bir fiyat performans ürünüydü.,8.0,9.0,8.0,1604104992
Güzeldi elinize sağlık:).,10.0,10.0,10.0,1604104992
"Bayağı lezzetli ve doyurucu, emeğinize sağlık.",9.0,8.0,10.0,1604104992
Ellerinize saglik...,9.0,10.0,10.0,1604067246
3 saatte geldi.,1.0,1.0,1.0,1604067246
Çok memnun kaldığımızı belirtmek isterim ilk kez sipariş verdik amaa yediğimiz yemeğin tazeliği doyuruculuğu kuryenin hızı naifliği süperdi ustamızın ellerine sağlık..,10.0,10.0,10.0,1604067246
Keşke tüm herşeyi aynı yere koymasaydınız soganı domatesi pilavı ayrı bi tabakta yollasaydınız onunla toplam 1kg onu anlamadık çünkü tavuk 1 kg gbi degldi pek memnun kalmadık açıkcası.,8.0,4.0,6.0,1604067246
Uzun bir sürede geldi ve tavuğun 1 kg olduğunu sanmıyorum.,2.0,3.0,5.0,1604067246
Oldukca doyurucu.,8.0,9.0,10.0,1604067246
"Kupkuru tavuk, yarisini yiyebildim.",7.0,7.0,2.0,1604067246
Teşekkür ederim.,10.0,10.0,10.0,1604067246
30 lira ile iki öğün doydum herşey çok güzeldi inşallah çizginizi kalitenizi bozmazsınız ekstra gönderfiğiniz çiğlöfte çok güzeldi.,10.0,10.0,10.0,1604067246
Kurya arkadaşa samimi ve güler yüzlü bi arkadaş ilgisi için teşekkür ederim.,10.0,10.0,10.0,1604067246
Tavuklar yanık geldi.,8.0,9.0,5.0,1604067246
Hız dışında her şey güzeldi.,7.0,9.0,10.0,1604067246
Yarım saat geç geldi ama sıcak geldiği için mutluydum fiyat çok uygun olunca acaba nesi kötü gelecek diye düşündüm ama kötü olan hiçbir şey yoktu 3 kişi ye ye zor bitirdik zaten umarım çizgi bozulmaz.,7.0,10.0,10.0,1604067246
Güzeldi.,8.0,8.0,8.0,1604067246
"Tavuk pirzola çiğ kalmıştı, çöpe attım.",10.0,10.0,1.0,1604067246
Çok teşekkürler servis hızlı sıcak ve lezzetliydi ellerinize sağlık. Çekinmeden sipariş verebilirsiniz.,10.0,10.0,10.0,1604067246
Herşeyiyle güzeldi.,10.0,10.0,10.0,1604067246
Cok hızlı ve cok lezzetliydi teşeekürler.,10.0,10.0,10.0,1604067246
