comment_text,comment_speed,comment_service,comment_taste,comment_time
Teşekkürler elinize sağlık çok güzeldi :).,10.0,10.0,10.0,1606632420
Elinize sağlık..,10.0,8.0,9.0,1606632420
"Güzel, kıyması temiz, yanına acı biber turşu gibi ekstralar eklenebilir.",9.0,9.0,9.0,1606546020
1 saatte teslim edildi ama kıymalı affettirdi.,1.0,8.0,8.0,1606546020
Çok güzeldi elinize sağlık kıymalı orjinal kiymaydi soğan oranı yok denecek kadar az kıyma oranı olduğunca fazlaydı malzemeden kaçılmamış çok güzeldi. Peynirlisi ise adeta sünüyordu çok leziz ve sıcacıkti kurye kardeşde sabah sabah çok ilgiliydi sağolun varolun.,10.0,10.0,10.0,1606459620
Peynirli çok daha güzeldi kıymalıyı çok beğenmedim. Elinize sağlık.,10.0,10.0,7.0,1606459620
3. Siparişim hepsinde de memnun kaldım. Lezzetli ve hızlı geliyor.,10.0,10.0,10.0,1606459620
Adana akışkanlı börek yazmışsınız kusura bakmayın ama akmüyür. Hemde azdı sanki doymadım. Ellerinize sağlık :d.,7.0,8.0,5.0,1606373220
Tek kelimeyle muhteşemdi ellerinize sağlık...,10.0,10.0,10.0,1606373220
Güzeldi.,10.0,10.0,10.0,1606373220
Ufffffff bune böyle süperdi aynı gün 2 kez siparişte bulundum durdurulamaz bir şey kıymalıydı süper peynirlide çok beğendik emeği geçenlerin eline sağlık teşekkurler.,10.0,10.0,10.0,1606373220
"Çok lezzetti, şiddetle tavsiye ediyorum, peynirli ayrı güzel kıymalı ayrı. İkisinden de sipariş verin derim.",10.0,10.0,10.0,1606286820
Yola gideceğimizi ve hızlı olması gerektiğini söylediğimde bu denli hızlı geleceğini bilmiyordum. Akşam vakti olmasına rağmen sabahtan kalma börek havası yoktu bu da taze üretim içindeler demek ayrıca sıcacık gelmesi muazzam. Yağlı olmuş diyenler bu böreğin böyle olduğunu bilmiyor elinize sağlık.,10.0,10.0,10.0,1606286820
Enfes lezzetliydi on numara süperdi kim bulduysa süper bisi valla.,10.0,10.0,10.0,1606286820
Kime tadına baktırdıysam çok sevdi.,10.0,10.0,10.0,1606114020
İlk kez böyle böyle börek yedim sabah kahvaltıda börek gelince tadının alınca diğer yiyecekleri unuttum doyurucu ve güzeldi çikolata ikramınız içinde teşekkürler :) :).,10.0,10.0,10.0,1606114020
Gayet güzel ve doyurucu.,10.0,10.0,10.0,1606027620
"Tadı da, paket içerigi de kısacası harika, ben hayatım da böyle bir lezzet görmedim, ayrıca aşırı hızlı geldi...",10.0,10.0,10.0,1606027620
Her şey mükemmel. Ah bir de benim ayranı unutmasaniz.,10.0,10.0,10.0,1606027620
Enfes kahvaltı keyfi bu böreklerle olur tavsiye ederim deneyim derim favori si olcaksınız.,10.0,10.0,10.0,1606027620
Sabah olsa tekrar yesek.,10.0,10.0,10.0,1605941220
Peynir orani cok az.,10.0,10.0,5.0,1605941220
İyi fena degil.,7.0,7.0,7.0,1605854820
Gayet iyi.,10.0,10.0,10.0,1605854820
"Siparişi verdikten sonra arayıp teyit ettiler, hazırladıkları paketin fotosunu attılar. Teslimat lezzet ilgi alaka çok iyiydi. Çikolatalar ve yazılmasını istediğim not için de ayrıca teşekkür ederim.",10.0,10.0,10.0,1605854820
50 dakika da geldi. Ben beğenmedim 20 tl ye 5 parca börek tadını da sevmedim maalesef.,1.0,1.0,1.0,1605854820
Efsane ötesi umarım pastırmalı peynirliyide getirirsiniz.,10.0,10.0,10.0,1605854820
Surekli yiyorum baklava hamuru baklava yagsı ile yapilan mukemmel lezzeti kayseriyw getirdiginiz icin sizlere cok tesekkurler gozunuz kapali guvenerek yiyin arkadaslar istanbul dan da biliyorum on numara bir marka.,10.0,10.0,10.0,1605768420
"15 dk sürmeden geldi, sıcak ve lezzetliydi. 10/10.",10.0,10.0,10.0,1605768420
Kurye süper. Lezzet güzel ama çok aşırı yağlı. Ağır geldi. Teşekkürler.,9.0,9.0,7.0,1605768420
Çok lezzetli kıymalının da tadına bakmak isteriz çikolata hediyesi için teşekkrler.,10.0,10.0,10.0,1605682021
Çok lezzetliydi ve çok hızlı geldi. Biraz soğuktu ama gayet güzel bir tadı vardı. Ellerinize sağlık!,10.0,10.0,10.0,1605682021
Adanadaki gibi.,10.0,10.0,10.0,1605682021
Yorumlara baktım çoğu kişi yağlı demiş hayır anlayamıyorum baklava yufkasiyla yapılan bir böreğin yağsız olmasını mı bekledinizacabagayet güzel kurye de gayet kibar lezzeti süperdi. Ayrica çikolatalar içinde teşekkürler. Yagsiz börek isteyenler fit menüleri tercih etsin. Burasi adana akışkanlı börek.,10.0,10.0,10.0,1605595621
Resmen yarım kilo börek yedim ama pişman değilim şahaneydi.,10.0,10.0,10.0,1605509221
Seviyoruz.,10.0,10.0,10.0,1605509221
Aşırı yağlıydı peynirli daha güzel fiyat performans açısında bence gereksiz pahalı.,10.0,10.0,6.0,1605422821
Hem lezzet hemde müşteri ilişkileri bakımından mükemmel bir işletme. Kesinlikle tavsiye ederim.,9.0,10.0,10.0,1605422821
500 gr sipariş ettim 500 gr parası ödedim 7 parça börek geldi merak ediyorum 500 gram börek 7 parça mı?,2.0,2.0,1.0,1605422821
Çok beğendik ben peyniri daha çok beğendim ellerinize sağlık sabah kahvaltısı sıcak ve lezzetti oldu.,10.0,10.0,10.0,1605422821
"Lezzetli, hızlı.",10.0,10.0,10.0,1605422821
Fena değil.,9.0,9.0,8.0,1605336421
"Kurye çok güleryüzlüydü, enerjisiyle sabah sabah uykumu açtı:)) börekler de fazla yağlı ama yine de beğendim.",9.0,9.0,9.0,1605336421
Geç geldi soğuktu bir daha yemem değmez.,1.0,1.0,1.0,1605336421
Kıymalı ve peynirli börek söyledik not olarak soğan varsa çıkarır mısınız börekte dedim arayıp var bile demediler gün boyu beni rahatsız etti 3 dilim yememe rağmen. Soğanda içinde yanmış ve acıydı. İki tane söylememizden anlamaları lazımdı 1 tane çatal bıçak koymuşlar. Peynirli börek güzeldi.,9.0,4.0,5.0,1605336421
Çok beğendim biraz gecikmesine rağmen sıcaktı kurye arkadaş sağ olsun çok kibar:).,10.0,10.0,10.0,1605250021
Sipariş karışmıştı. Zaten geç geldiği için yanlış da olsa yemek zorunda kaldım.,7.0,7.0,9.0,1605250021
Börek güzel ve sıcaktı yanındaki ikram çikolatanız için teşekkürler.,10.0,10.0,10.0,1605163621
Börekler efsane. Normalde kıymalı daha çok severim ama peynirli börek çok hoşuma gitti. Kuryenin efendiliği samimiyeti on numara. Kayseride böyle bir hizmet verdiğiniz için çok teşekkür ederim.,10.0,10.0,10.0,1605163621
Bağımlılık yapıyor.,10.0,10.0,10.0,1605163621
"Çok lezzetli ama biraz geç geliyor, çok acıkmadan siparis verin.",6.0,6.0,10.0,1605077221
Lezeetli.,10.0,10.0,10.0,1605077221
1 saat 20 dakikada geldi.,1.0,8.0,8.0,1604990821
