comment_text,comment_speed,comment_service,comment_taste,comment_time
Kelle paca efsaneee.,10.0,10.0,10.0,1606719145
Süper.,10.0,9.0,9.0,1605682345
Her zamanki gibi gayet iyi.,10.0,10.0,10.0,1605682345
Hem lezzet hem hız on üzerinden on teşekkürler.,10.0,10.0,10.0,1605163945
10 numara.,10.0,10.0,10.0,1605163945
Ustam yemek leriniz harika ellerinize sağlık.,10.0,10.0,10.0,1605077545
"Yemek epey geç geldi. Köfteler yanıktı. Tavuk filetolar da keza lezzetsizdi. Daha fazla kötü konuşmak istemiyorum, lütfen bone kullanın.",6.0,5.0,5.0,1604991145
Çok güzel ve kaliteli.,10.0,10.0,10.0,1604731945
Köfteler harika.,10.0,10.0,10.0,1604386345
İnsan köfteyi bu kadar da çiğ bırakmaz ya insan sağlığını da mı hiç düşünmüyorsunuz köftede az pişme diye birşey yoktur.,8.0,4.0,4.0,1604089399
Pilav sipariş verdim buz gibiydi sanki dolaptan çıkarılmış gönderilmişti kelle paça çorbası aşırı katıydı sanki çorba değil kuru fasulye gibi ilk ve son siparişim oldu tavsiye etmem arkadaşlar.,1.0,1.0,1.0,1604089399
Yemeği getiren kardeşim çok serisin.,10.0,10.0,10.0,1604089399
Çok aşırı koyu bir çorbaydı tadı hoşuma gitmedi.,1.0,1.0,1.0,1604089399
Mükemmelllllllll.,10.0,10.0,10.0,1604089399
1 saat önce sipariş vermeme rağmen paketim gelmedi ve şimdi de kapalı gözüküyor :d.,1.0,1.0,1.0,1604089399
En iyisi...,10.0,10.0,10.0,1604089399
Güzeldi ellerinize sağlık.,10.0,10.0,10.0,1604089399
"İlk kez sipariş verdim, oldukça lezzetliydi ve hızlı geldi.",10.0,10.0,10.0,1604089399
Hız güzel lezzet güzel ama işkembe çorbasının yanında sarımsaklı sos yada ne bileyim 1-2 dilim limon göndermemek. Gece 5 diye mi oldu bilmiyorum ama allahtan evde sirke vardı.,10.0,5.0,10.0,1604089399
Lezzetli ve hızlıydı.,10.0,10.0,10.0,1604089399
İşkembe çorbasının yanında sarmısak sirke konması gerekiyordu. Eksikti. Salata da olabilirmiş.,10.0,6.0,6.0,1601459653
Çok hızlı teslimat. Güler yüzlü bir kardeşimizdi. Tanesi bol başarılı kelle paça çorbası... Hayrabolu tatlısına biraz daha tahin eklenebilirmiş ama yine de puan kırmaya değecek bir eksik değil. Emeğinize sağlık...,10.0,10.0,10.0,1601459653
Tavuk suyu çorbanın içinde neredeyse tavuk yoktu ve yanında ekmek gelmemişti. Normalde ekmek göndermiyor olmaları mı daha kötü yoksa unutmuş olmaları mı? Ben kararsız kaldım...,8.0,1.0,6.0,1601459653
Her zaman ki gibi mükemmel.,10.0,10.0,10.0,1601459653
Pilav yağlı çorba tanesiz ilave limon istedim o da yoktu. Serviz ve hız başarılı.,8.0,8.0,6.0,1601459653
Yazdığım not çok önemli olmasada dikkat edilmesini isterdim. Servisi dışarıya söylüyorum. Islak mendil ve peçete koymamışsınız. Elimizi ağımızı silemedik. Tatlıya çatal koymamışsınız. Bu sefer maalesef olmadı.,10.0,3.0,8.0,1601459653
Müşteriye 15 tl şarti koşuyor 15 tl altinda tlfla arayip siparis verdigimizde getiremiyoruz diyorlar o yüzden tavsiye etmiyorum.,1.0,1.0,1.0,1601459653
İlk defa denedim ve efsana.,10.0,10.0,10.0,1601459653
2. 28de sipariş vermişiz yemek bittiğinde saate baktım 2. 46ydı.,10.0,9.0,9.0,1601459653
Mükemmel.,10.0,10.0,10.0,1601459653
10 numara 5 yıldız.,10.0,10.0,10.0,1601459653
Hersey guzel harika dir.,9.0,10.0,10.0,1601459653
Kırklarelinde eve sipariş getiren ev yemekçisi yok en azından buradan kuru fasulye yiyebiliyoruz.,8.0,8.0,8.0,1601459653
Köftesi biraz az pişmişti çorba güzeldi.,10.0,10.0,10.0,1601459653
Her zaman sipariş veririm başarılı.,8.0,9.0,9.0,1601459653
Köfteleri güzel. Fiyatlama uygun. Güler yüzlü çalışanları var. Tavsiye ediyorum.,10.0,10.0,10.0,1601459653
Siparişim 1 saatte zor geldi böylede olmazki.,3.0,7.0,7.0,1601459653
Çorba güzeldi ama yanında limun sirkesi acısı hiç bir şey yoktu.,9.0,6.0,9.0,1601459653
İyi lezzet güleryüzlü çalışan.,8.0,10.0,9.0,1598829907
4 dakikada geldi.,10.0,10.0,10.0,1598829907
Güzeldi teşekkür ederim.,9.0,9.0,9.0,1598829907
Kurye güler yüzlüydü fakat tavuk çorbasını hiç beğenmedik maalesef.,6.0,9.0,6.0,1598829907
Çok hızlı geldi fakat pilavın yanında ayran unutulmuş..,10.0,4.0,9.0,1598829907
"Çorba lezzetli, güzeldi. Tavuklu pilav kokuyordu ve çok büyük ihtimalle bozuktu, yiyemedim, döktüm.",8.0,9.0,5.0,1598829907
"Çok kötü köfteler fındık kadar, sütlaç pilav gibi.",8.0,1.0,1.0,1598829907
Harika bir hizmet.,10.0,10.0,10.0,1598829907
Yanında ekmek yoktu.,9.0,1.0,5.0,1598829907
Kuru fasulye pilav gayet güzel.,9.0,9.0,10.0,1598829907
Çok lezzetli.,10.0,10.0,10.0,1598829907
Daha hızlısı yok.,10.0,10.0,10.0,1598829907
İyi.,10.0,10.0,10.0,1598829907
Gerçekten mükemmel kuru fasulye ve soğan ikilisini daha önce hiç yemedim elinize sağlık.,10.0,10.0,10.0,1598829907
"Kaliteli malzeme ve işçilik, paketleme çok iyiydi ayrıca siparişimizi hızlı ve güler yüzlü bi şekilde teslim eden furkan kardeşime ayrıca teşekkür ediyorum hayırlı işler bol kazan.",10.0,10.0,10.0,1598829907
Her saatte hizmetin kalitesi hiç değişmiyor.,10.0,10.0,10.0,1598829908
Gerçekten bu işi yapıyorlar.,10.0,10.0,10.0,1598829908
Sekeri biraz fazla kacmis. Yoksa mukemmel.,10.0,10.0,10.0,1598829908
Ne limon ne sarımsak ne de sirke vardı. Keşke bunlardan birisini koysaydınız.,1.0,1.0,1.0,1598829908
Çok iyi.,10.0,10.0,10.0,1598829908
Istanbula göre oldukça iyi fiyat lezzet olarak değerini bilin.,10.0,10.0,10.0,1598829908
"Hızlı, hijyenik ve çok lezzetli.",10.0,10.0,10.0,1598829908
Lezzetli gerçekten.,10.0,10.0,10.0,1596200162
Sarımsaklı sirkeyi fazla iştemiştim az gelmiş. Bunun dışında lezzet çok güzeldi. Notlara biraz daha dikkat edilmesi gerekiyor. Teşekkürler.,10.0,8.0,10.0,1596200162
En iyi kuru fasulye...,10.0,10.0,10.0,1596200162
Paketçi kardeşim çok sevecen samimi pilavda gayet güzel.,10.0,10.0,10.0,1596200162
Efsane.,10.0,10.0,10.0,1596200162
Güler yüzlü hizmet tavsiye ederim.,10.0,10.0,10.0,1596200162
Süper lezzet.,10.0,10.0,10.0,1596200162
Bişeyler dökülmeden daha lezzetli.,6.0,1.0,7.0,1596200162
Hız güzel servis güzel lezzet güzel.,8.0,8.0,8.0,1596200162
Ellerinize sağlık...,10.0,10.0,10.0,1596200162
Çok güzeldi.,10.0,10.0,10.0,1596200162
Corba tadi kotuydu.,1.0,1.0,1.0,1596200162
Very good.,10.0,10.0,10.0,1596200162
Daha iyi yapan yoktur herhalde.,10.0,10.0,10.0,1596200162
Kuru fasulyeniz muazzam. Servis ve hız on numara 5 yıldız. İyi ki varsınız...,10.0,10.0,10.0,1596200162
Çorbalar kral.,10.0,10.0,10.0,1596200162
Tavuklu pilavı çok güzel çorbalar zaten harika yanindaki baharatlar eksiksiz üstelik çokta hızlı 5dk da geliyo.,10.0,10.0,10.0,1596200162
Hiz ve servis mukemmeldi. Lezzet iyiydi.,10.0,10.0,10.0,1593570416
Başarılı.,10.0,10.0,10.0,1593570416
Çok geç geldi.,4.0,7.0,7.0,1593570416
Çorba efsane.,10.0,10.0,10.0,1593570416
Tavuklu pilav yedik 4 kişi hepimiz beğendik yanında gelen servis olsun getirme hızı olsun herşey çok iyiydi.,10.0,10.0,10.0,1593570416
Pilav ve çorba çok güzeldi.,8.0,8.0,9.0,1593570416
Herşey cok iyiydi.,10.0,10.0,9.0,1593570416
Ellerinize sağlık. Her zamanki gibi.,10.0,10.0,10.0,1593570416
Hayrabolu tatlısı bayatti.,7.0,7.0,6.0,1593570416
Yediğim en iyi güveç kuru fasulye diyebilirim.,10.0,10.0,10.0,1593570416
Çorba efsane.,10.0,10.0,10.0,1593570416
Çok lezzetli.,10.0,10.0,10.0,1593570417
