comment_text,comment_speed,comment_service,comment_taste,comment_time
İlk siparişim ve çok lezzetli ydi emeğinize sağlık tekrar görüşmek üzere.,10.0,10.0,10.0,1606546625
Ekmek arası piliç efsane.,10.0,10.0,10.0,1606201025
Elinize sağlık piliç güzel doyduk.,10.0,10.0,10.0,1605596225
"Aslinda hersey gayet guzeldi ama sandvicin icinden tas gibi birsey cıktı, sanirim kemik parçası. Boyle oldugu icinde yarisinda biraktim. Umarim bidaha olmaz :).",10.0,10.0,8.0,1605250625
Ekmek arası piliç doyurucu güzel.,10.0,10.0,10.0,1604559425
Piliç güzel.,10.0,10.0,10.0,1604089679
Buz gibiydi ekmek arası piliç ayıp yahu.,1.0,1.0,4.0,1604089679
Ekmek arası piliç güzel.,10.0,10.0,10.0,1604089679
Piliç harika.,10.0,10.0,10.0,1604089679
Atom tost güzelmiş beğendim.,10.0,10.0,10.0,1604089679
Şefin tostu harika tavsiye ederi m malzemeler o kadar bolki dışarı taşmış.,10.0,10.0,10.0,1604089679
Sandeviç güzeldi.,10.0,10.0,10.0,1604089679
Tost tamam doyurucuydu ama içindeki sucuklar oldukça kalitesiz ve lezzetsizdi.,9.0,9.0,5.0,1604089679
Guzel.,10.0,10.0,8.0,1604089679
Şefim tostun güzelmiş eline sağlık acı süperdi.,10.0,10.0,10.0,1604089679
Ekmek arası piliç harika doyurucu teşekkür ederim.,10.0,10.0,10.0,1604089679
Patates kızartması güzel değildi paketinden dolayı sanırım hoşuma gitmedi.,10.0,10.0,10.0,1604089679
Soğuk sandviç ve piliç tavuk çok iyiydi.,10.0,10.0,10.0,1604089679
Ekmek arası piliç tavuk döner den daha güzel turşu ilave etmenizi tavsiye ederim elinize sağlık.,10.0,10.0,10.0,1604089679
Ekmek arası piliç çevirme için söylenecek tek kelime var muhteşemdi.. Elinize sağlık...,10.0,10.0,10.0,1601459933
Piliç süper elinize sağlık.,10.0,10.0,10.0,1601459933
Ekmek arası piliç harika.,10.0,10.0,10.0,1601459933
Denildiği gibi varmış. Ekmek arası piliç çevirme harika olmuş...,10.0,10.0,10.0,1601459933
Atom tost adı gibi atom olmuş tek kelime mükemmel elinize sağlık acı süperdi.,10.0,10.0,10.0,1601459933
Yediğim en güzel sandwich olabilir.,10.0,10.0,10.0,1601459933
Ekmek arası piliç harika doyurucu elinize sağlık.,10.0,10.0,10.0,1601459933
Taze ekmek kullanın.,1.0,1.0,1.0,1601459933
Patso değil somon ekmek yedik sağ olun lan patates yoktu.,8.0,8.0,1.0,1601459933
"Çok lezzetliydi, ben çok beğendim. Ketçap mayonezi içine değil de yanına koymalarına ayrıca memnun oldum. Siparişte ketçap koyma yazamıyordum, içinde değil yanında gelince çok sevindim.",9.0,10.0,9.0,1601459933
"Şefin tostu gayet guzel, patates kızartmasının taze kesim olması çok iyi kolay gelsin.",9.0,9.0,9.0,1598830187
Dönerin lavaşı çok kötüydü artı olarak dönerden 2-3 tane kemik çıktı.,1.0,1.0,1.0,1598830188
Ekmek arası piliç çevirme tek keimeyle mükemmel ve doyurucuydu... Elinize sağlık...,10.0,10.0,10.0,1598830188
Köfte ve hamburger efsane iyiki varsınız.,8.0,9.0,10.0,1596200442
Hamburger çok lezzetli beğendim elinize sağlık sabırsızlık ile diğer lezzetlerinizi de tatmak istiyorum.,10.0,9.0,10.0,1596200442
Çok lezzetliydi elinize sağlık...,8.0,9.0,10.0,1596200442
Bayatlamış sandviç ekmeği kullanmanız hiç olmamış.,10.0,10.0,1.0,1596200442
"Paketçinizi değiştirirseniz çok iyi olur, hizmet sektöründe çalışan insan bir afiyet olsun der güler yüz gösterir ben böyle biriyle daha önce hiç karşılaşmamıştım.",7.0,1.0,5.0,1596200442
Sandviç tek kelimeyle harika ve doyurucuydu ellerinize sağlık.,10.0,10.0,10.0,1596200442
Tek kelime mükemmel.,10.0,10.0,10.0,1596200442
Her zamanki gibi lezzetliydi.,10.0,10.0,10.0,1596200442
Daha iyisini yapabilirsiniz.,6.0,6.0,5.0,1590940950
