comment_text,comment_speed,comment_service,comment_taste,comment_time
Yeni geldi diye tavuk kovasını denedim tabular güzel ama fiyatına göre boyutları küçük 1 kişi doayabilir yalnızca.,10.0,8.0,9.0,1606719879
Kurye kardeşlerim ayağıza taş değmesin!,10.0,10.0,10.0,1606719879
Güzel.,10.0,10.0,10.0,1606633479
Güzel.,8.0,8.0,7.0,1606633479
Yanıltmadı teşekkürler.,10.0,10.0,10.0,1606547079
Beklediğimden çok hızlı geldi 20 dk yı bulmadı sıcaktı lezzeti de normal dominos gibi arada tercih edilebilir.,10.0,10.0,8.0,1606547079
Kurye olmasa 1.,9.0,8.0,7.0,1606547079
Güzel...,9.0,9.0,9.0,1606547079
Güzel.,10.0,10.0,10.0,1606547079
Hız lezzet var ama mazemeden çok kaçıyor fazla para vermeme ramen az geliyor doymuyoz ilginiz için tşk.,9.0,10.0,8.0,1606547079
Çok lezzetliydi.,8.0,9.0,10.0,1606547079
Hamur çok ince.,10.0,7.0,5.0,1606201479
Mükemmel.,10.0,10.0,10.0,1606201479
Sezarin hakkini sezara normalde tereddütle sipariş veriridim dominostan ama lüleburgaz şubesi iyi sanırım..,10.0,10.0,10.0,1606028679
Elinize saglik luleburgazda en iyisi elinize saglik ustam.,10.0,10.0,10.0,1605942279
Bir saatten fazla beklememe rağmen siparişimi alamadım ve üstüne kurye tarafından tehdit edildim.,1.0,1.0,1.0,1605942279
İyi.,9.0,9.0,9.0,1605942279
Kuruydu yine ve çok fiyat arttı.. Ortalama zamanda getiriliyor sipariş yarım saat 40 dakika.,7.0,7.0,4.0,1605942279
"Belirtmeme rağmen sözünü tutmayan, dürüst olmayan bir mağaza yöneticisi var. Her hangi bir söz verirse yalan olduğunu söyleyebilirim.",1.0,1.0,1.0,1605855879
Berbat.,1.0,1.0,1.0,1605855879
Lezzetli ve zamanında geliyor.,10.0,9.0,9.0,1605855879
Pizzaya et döner hiç yakışmamış ve et dönerden çok soğan konmuştu lezzetin düşük olma sebebi.,10.0,9.0,3.0,1605769479
Lezzeti güzeldi fakat sıcak değildi.,9.0,8.0,10.0,1605769479
Kötü.,1.0,1.0,6.0,1605683079
Berbat.,8.0,1.0,1.0,1605683079
Lezzetli ve güzel.,10.0,9.0,9.0,1605596679
Teşekkürker.,10.0,10.0,10.0,1605423879
İyi.,6.0,5.0,8.0,1605423879
İyi.,10.0,10.0,10.0,1605423879
Bu kaçıncı yanlış ürün gönderimi?,5.0,1.0,5.0,1605337479
Güzel fakat fazla duyurucu değil.,10.0,9.0,8.0,1605337479
İyi...,9.0,9.0,9.0,1605251079
Dürüm yanık geldi ve et döner diye incecik 1 stack uzunluğuna döner koyulmuştu pizzanız iyi olabilir ama dürüm işini bırakmanız lazım.,1.0,1.0,1.0,1605251079
"Yanik durumos, soguk patates, xl ama icindeki malzeme xs.",7.0,7.0,5.0,1605164679
İyi.,9.0,6.0,5.0,1605078279
İdare eder fiystı çok doyurmuyor.,7.0,7.0,7.0,1605078279
Artık pizzaların eski tadı yok çok kuru geliyor.,9.0,7.0,1.0,1605078279
Güzeldi.,10.0,10.0,10.0,1604991879
Güzel.,10.0,10.0,10.0,1604905479
Güzeldi...,7.0,10.0,10.0,1604905479
Süper.,10.0,10.0,10.0,1604905479
Eski dominosları hatırlatıyor güzel yapıyorsunuz tebrik ederim.,10.0,10.0,10.0,1604905479
Standart fast food sonuçta...,9.0,9.0,9.0,1604905479
Olmaz abi olmaz.,6.0,6.0,5.0,1604819079
Ketçap mayonez neden koymadiniz çok uzuldum.,8.0,8.0,5.0,1604819079
Soguktu.,7.0,7.0,7.0,1604819079
Hızlı geldi lezzetliydi ama malzemesi çok azdı fiyatına göre malzemesini arttırmanız gerekiyor.,10.0,8.0,8.0,1604732679
Klasik dominos lezzeti gayet güzel.,10.0,10.0,10.0,1604646279
Lezletli.,10.0,10.0,10.0,1604559879
Güzeldi.,10.0,10.0,10.0,1604473479
Teşekkürler.,10.0,10.0,10.0,1604387079
Gayet hızlı geldi ve sıcacıktı.,10.0,10.0,10.0,1604387079
"Zamanında geliyor, lezzetli.",9.0,9.0,10.0,1604300679
Xl durum alıyorsunuz içinde malzeme neredeyse yok denecek kadar az resmen yanmış lavas yiyorsunuz.,10.0,5.0,3.0,1604214279
Hız güzel ama servis ve lezzet geliştirilmelidir.,10.0,3.0,5.0,1604214279
"1 bucuk saat beklemenin ardindan, daha da bekleticegim icin arandigimda urunu iptal ettim. Teslimat yapilmamistir, ancak yemek sepetinde teslim edildi olarak gorunmekte.",1.0,1.0,1.0,1604214279
"İçinden çıkan patatesler ne gramına eşitti, içinden çıkan diğer tavuk topları gramına eşitti yani inadına mı yapıyorsunuz anlamıyorum arkadaş.",1.0,1.0,1.0,1604090133
Teşekkürler.,10.0,10.0,10.0,1604090133
Bi pizza söyledik 3 saatte geldi sanki istanbuldan geliyo.,1.0,1.0,7.0,1604090134
Yağmurda bile çok hızlı getiren görevliye çok çok teşekkürler ellerine ayaklarına sağlık.,10.0,10.0,10.0,1604090134
Sıcak dürümos ve patatesi kolanın dinine koymuşlar. Patatesin poşetini kola eritmiş zaten. Kötü servis.,8.0,6.0,8.0,1604090134
Hızlı bir şekilde geldi teşekkürler.,10.0,10.0,10.0,1604090134
Lütfen pandemi dönemindeyiz ve çalışanlarınızı maske konusunda uyarın. Maske takmayan çalışanlar tarafından ürün almak istemiyorum!,8.0,4.0,9.0,1604090134
Her zamanki gibi.,9.0,8.0,7.0,1604090134
Çok geç geldi pizza ılıktı ama sadece çikolatalı pizza söylediğim için böyledir belki de bilmiyorum.,5.0,7.0,5.0,1604090134
Sevmedim.,1.0,1.0,1.0,1604090134
Pizzanın fast food olanı yani...,10.0,10.0,10.0,1604090134
Kahve secenegini ekliyorsaniz servise hazır olması gerekir. Makinaniz yoksa bu bizi iki sufle yemeye zorluyor hoş degil.,6.0,1.0,7.0,1604090134
Harika olmuş.,10.0,10.0,10.0,1604090134
Yanmaktan bir tık önce fırından alınmış gibiydi.,8.0,8.0,5.0,1604090134
Orta boy pizza istedik 3 tane küçük boy geldi.,1.0,1.0,1.0,1604090134
Sucuksever pizza çok çok kötüydü. Kesinlikle üzerine döktükleri sos çok kötü kokuyordu. Verdiğim paraya acıdım resmen. Pizzanın tadını mahvetmiş.,3.0,3.0,1.0,1604090134
Patates çok az geldi ve pizza soğuktu.,7.0,1.0,9.0,1604090134
Çok kötü.,1.0,1.0,1.0,1604090134
Durumler sicak sekilde posete konuldugu icin islakti.,9.0,9.0,1.0,1604090134
Özellikle kurye arkadaşa çok teşekkür ederim zilde isim yazmadığı için bütün zillere sıra sıra basmak yerine telefon ile arayıp kapıyı acmamı rica etti hem apartmandakılerı de rahatsız etmedi böyle kuryeleriniz olduğu için çok sanslınız.,10.0,10.0,10.0,1604090134
Gayet sıcak ve vaktinde geldi. Tadi guzel malzemesi boldu.,10.0,10.0,10.0,1604090134
Güzeldi.,9.0,9.0,9.0,1604090134
Sarımsaklı ekmeğin tuzu fazlaydı. Bol peynirli ekmekler de fazla baharatlıydı.,9.0,8.0,4.0,1604090134
Farklı zamanlarda 3. Defadır aynı sorun pizzanın malzemeleri az.,9.0,9.0,4.0,1604090134
Keşke lavaşın içinde malzeme olsaydı.,1.0,1.0,1.0,1604090134
Hızlı geldi ama yanık lavaş içinde soğuk ve bayat patates yemek istemiyorsanız dürümos xl sipariş etmeyin ilk defa bir yemeği yiyemeden çöpe atmak zorunda kaldım.,7.0,7.0,1.0,1604090134
Fast food sonuçta!,9.0,10.0,9.0,1604090134
Baya iyi.,10.0,10.0,10.0,1604090134
Herzaman mükemmel.,10.0,10.0,10.0,1604090134
Çok kötü.,1.0,1.0,1.0,1604090134
"Servis kötü, hız ortalamanın üstünde, ama tadı güzeldi :).",7.0,1.0,8.0,1604090134
Dominos battımı acaba ne ketçap mayonez ne pizza baharatı hiç birşey yoktu soğumuş pizza kutu içinde okadar.,1.0,1.0,1.0,1604090134
Her zaman ki lezzet ve samimiyette.,10.0,10.0,10.0,1604090135
Güzel.,9.0,9.0,9.0,1604090135
Kuryeniz gerçekten çok iyi ayrıca çok hızlı geldi.,10.0,10.0,10.0,1604090135
İlk defa bu kadar soğuk bir pizza yedim.,5.0,4.0,8.0,1604090135
Beğendim.,1.0,1.0,1.0,1604090135
40 dk gibi bir zamanda bir zamanda geldi siparişiniz hazırlanıyor bilgilendirmesinden sonra siparişiniz yolda bilgilendirmesi gelmedi sipariş geldiğinde de biraz sogumustu ancak hamurun inceliğinden memnun kaldık.,7.0,8.0,8.0,1604090135
Oysa sadece ayran istemiştim...,10.0,6.0,10.0,1604090135
Güzeldi.,10.0,10.0,10.0,1604090135
"İstediğim pizza başkaydı, 1-2 kere daha böyle bir karışıklık durumu oldu. Bu konuda daha dikkatli olmanızı tavsiye ederim.",10.0,1.0,4.0,1604090135
Güzel.,10.0,10.0,10.0,1604090135
Sorunlu sipariş eskisi gibi değil.,1.0,1.0,1.0,1604090135
Süper.,10.0,10.0,10.0,1604090135
Paker servis her zamanki gibi efsane hızlı lezzet zaten 10/10.,10.0,10.0,10.0,1604090135
Çok hızlılar.,10.0,10.0,10.0,1604090135
Güzel.,10.0,10.0,10.0,1604090135
Çok güzeldi.,10.0,10.0,10.0,1604090135
Hızlı bir hizmetti.,10.0,10.0,10.0,1604090135
Sarimsak kenarlı soyledim pizzayı klasik kenarlı geldi ve bu tarz olayları defalarca yaşıyorum kac kere belirtmeme rağmen dikkata almiyorlar. Artik dominoston siparis almamaya karar verdim.,10.0,1.0,7.0,1604090135
Herşey harikaydı fakat barbekü soslu pizzamızda çok gario bir sos vardı ve arkadaşım yiyemedi diğer herşey iyidi.,10.0,10.0,7.0,1604090135
Parasını odedigim halde çıtır tavuk topları gelmedi iade ile ilgili herhangi bişey yapamadim.,8.0,2.0,8.0,1604090135
Sarımsak kenarlı istediğim ve bunun için ekstra ödeme yaptığım halde normal kenarlı pizza geldi. Bu 2 oldu. Demek ki burada bir sorun var. Her defasında kutuyu açıp kontrol etmemiz mi gerekiyor? Neden ekstra para verilen bir istek ciddiye alınmıyor?,10.0,1.0,1.0,1604090135
Iyinin kotusu...,7.0,5.0,8.0,1604090135
