comment_text,comment_speed,comment_service,comment_taste,comment_time
Börekleriniz ve tatlınız mükemmel ötesi. Ellerinize sağlık.,10.0,10.0,10.0,1606202701
Hamburgerin köftesi pişmemiş kıpkırmızıydı. Çiğ olarak gelmişti. Yanında gelen patatesler taş gibiydi. 3-4 gün önce pişmiş ısıtıp getirmişler galiba.,1.0,1.0,1.0,1604993101
Kiymali borek lezzetliydi fakat biraz porsiyon küçük sanki çok aç olsaydim doymazdım.,10.0,10.0,10.0,1604820301
Mükemmel.,10.0,10.0,10.0,1604733901
"Güzel ilgi, müthiş lezzet, mükemmel tat...",10.0,10.0,10.0,1604733901
Kıymalı ve peynirli sünen böreğiniz harika. Soğuk baklavanızın hayranıyım.,10.0,10.0,10.0,1604733901
"Kıymalı börek içi ya kıyma ya da içinin soğanı bozulmuştu, yemeyi bırakın kokusundan ağzıma yaklaştıramadım.. Maalesef büyük hayal kırıklığıydı..",8.0,1.0,1.0,1604561101
"Hızlı, lezzetli fakat porsiyon çok az.",9.0,8.0,9.0,1604215501
Börek geldiginde buz dolabından çıkarılıp getirilmişti sanki.,1.0,1.0,1.0,1604091355
Peynirli börek harika kıymalı için aynı şeyi soyleyemem yanına peçete çatal ıslak mendil koysalar iyi olurdu bu paraya bu şunum kötü olmuş.,10.0,5.0,8.0,1604091355
Siparişi teslim edildi mi.,8.0,8.0,8.0,1604091355
Çok başarılı ve lezzetli umarım daima böyle devam eder.,10.0,10.0,10.0,1604091355
Siparişim hızlı geldi ama lezzeti orta seviye.,10.0,7.0,5.0,1604091355
"Böreğiniz çok güzeldi, özellikle sıcak ve erken gelmesi bizleri memnun etti, kibar karşılamanız ve kaliteniz için teşekkür ederim...",10.0,10.0,10.0,1601461609
Sipariş etmiş olduğum peynirli börek harika. Böyle bir lezzetin kırşehire daha önce gelmesi gerekliydi. Teşekkür ediyorum.,10.0,10.0,10.0,1601461609
Paketçi çok nazik ama börekelrin yanında hiç mi ikram olmaz peçete bile mi koyulmaz servis yok tat idare eder.,9.0,1.0,6.0,1601461609
Elinize emeğinize sağlık herşey çok güzel :).,7.0,9.0,9.0,1601461609
Yemekler 10 dk da geldi ama börek ortalamaydı börek porsiyonu çok azdı yani doymadım hamburger vasatın altındaydı hamburger ekmeği bayattıve köft değişik kokuyordu onunda nedeni yağın kalitesiz oluşu köfte zaten tam pişmemişti patates bim patatesi ve daha bir çok şey buradan son siparişimdi sanırım.,10.0,3.0,4.0,1601461609
"Öncelikle şunu ifade edeyim, karışık tost fiyatınız çok uçuk. Sunumunuz berbat ötesi 20 tl ye sıradan bir tost yapmışsınız en ucuzundan köpük kutuya koyarak göndermişsiniz. Peçete yok, ketçap mayonez yok, çatal yok. Kırşehir şartlarında ortalama 5-6 tl fiyatlı tostlar emin olun sizden daha lezzetli.",6.0,1.0,1.0,1601461609
Telefonda ilgilenen cengiz bey gerçekten çok iyi bir işletmeci ne arzu ettiysek hepsini eksiksiz ve memnun şekilde gönderdi kırşehirde böyle börekçi ilk defa gördüm çok lezzetli ve her şeyi tam anlamıyla yerindeydi. Kuryeniz enes beye acil getirir misiniz dedim5dakika içinde getirdi çok memnun olduk.,10.0,10.0,10.0,1601461609
Siparisten sonra musteri memnuniyetini degerlendirmek icin arayan ilgili bir kurum. Sabah siparis ettigim kiymali borek guzeldi. Daha güzel menülerinizi bekliyoruz.,10.0,10.0,6.0,1601461609
"Börek çok güzel, fiyatta da güzellik bekliyoruz.",10.0,10.0,10.0,1601461609
17 liraya kıymalı börek söyledim bu kadar az olacağını beklemiyordum.,5.0,1.0,1.0,1601461609
Pecete islak mendil yok. Karisik tost 20 lira yazinca bisi sandim sasirdim beklentimin cok cok altindaydi. Ayrica içecek soyledim unutulmuş. O da ardindan geldi. İlk defa verdigim paraya acıdım.,10.0,1.0,1.0,1601461609
Guzel ilgilenmeleri umarim bu sekilde devam eder.,10.0,10.0,10.0,1601461609
20 dk icinde geldi. Servis guzel fakat lezzet icin ayni seyi diyemeyecegim.,10.0,8.0,8.0,1601461609
