comment_text,comment_speed,comment_service,comment_taste,comment_time
Tek kele mükemmel.,10.0,10.0,10.0,1606723280
Çok yağlıydı. Güzeldi ama hakkınızı yiyemem.,9.0,9.0,7.0,1606723280
Gayet iyi.,10.0,10.0,10.0,1606636880
Yanında az miktarda patates kızartması verirseniz daha doyurucu olur hatta birde içecek ekleyin tam menü yapın daha iyi bir seçenek olacağını düşünüyorum.,9.0,9.0,9.0,1606636880
Hayırlı işler.,10.0,10.0,10.0,1606550480
Durum aşırı yagliydi.,10.0,10.0,1.0,1606291280
Bekledigimden daha hızlı servis geldi ve lezzetli.,10.0,10.0,10.0,1606291280
"Buz gibi geldi, ayrıca 1 buçuk saatte geldi, tavsiye etmem.",1.0,1.0,1.0,1606204880
Şu kaplara özen gösterseniz keşke...,10.0,8.0,8.0,1606118480
Lezzeti güzeldi çabuk ve sıcak geldi ama tek sorun çok yağlı olmasıydı duzeltilirse güzel olur.,9.0,1.0,8.0,1606118480
Sıcak ve lezzetliydi teşekkürler.,10.0,10.0,10.0,1606118480
Gitgide kaliteden dusuyorsunuz.,1.0,1.0,1.0,1606032080
Kardeşim çok beğendi fakat hangi yağı kullanıyor iseniz mideme çok dokundu onun dışında bir problem yok servisi ve getirme hızı gayet güzel bir problem yaşamadık.,10.0,10.0,4.0,1606032080
Tertemiz mis gibi yemak.,10.0,10.0,10.0,1606032080
Çok yağlı.,10.0,10.0,7.0,1605945680
Mükemmel.,10.0,10.0,10.0,1605945680
Mersinde memos tantuni darica da aden tantuni.,10.0,10.0,10.0,1605945680
Teşekkürlerçalışan pos cihazı önemli.,10.0,10.0,10.0,1605945680
Teşekkürler güzeldi.,10.0,10.0,10.0,1605945680
Minimum paket tutarı istasyon bölgesi için fazla.,1.0,1.0,1.0,1605859280
Dürüm istemiştim ekmek yolladılar.,1.0,1.0,1.0,1605859280
Paketlemeyi daha özenli yapabilirsiniz.,8.0,6.0,7.0,1605772880
Yorum yok. Yasaklar başlamış farkında değilim çok yoğunlar haklılar ama tedbir alacaksın çok ama çok geç geldi haliyle soğuktu. Neyse boşverin.,1.0,5.0,10.0,1605686480
Hızlı servis için teşekkür ederim. Özellikle kuryeniz atilla beyin ayağına sağlık.,10.0,10.0,10.0,1605600080
Çok ıslak gelmemesi dışında lezzet servis mükemmel.,10.0,10.0,10.0,1605600080
"Bi tık daha sıcak gelseydi, on numaraydı :).",9.0,9.0,9.0,1605600080
Lezzeti güzeldi ama paketleme kötüydü tantuninin yağı poşetin içine akmış dikkat edilirse daha güzel olur.,8.0,2.0,8.0,1605513680
Sıcacık geldi ve tadını çok begendik ellerinize sağlık.,8.0,8.0,9.0,1605513680
Tadi guzel ama 11 lirayi hakkettigini dusunmuyorum.,8.0,5.0,9.0,1605427281
Hız lezzet güzel servise birazdaha dikkat edelim.,8.0,3.0,8.0,1605427281
Lezzet mükemmel fakat çok yağlı eve gelene kadar hışır olmuş durum! Servis 50 dakika da anca geliyor. Teşekkürler.,2.0,6.0,10.0,1605427281
Normalde en geç 25 dakikada gelirdi ama bu sefer gelmesi 1 saati geçti gelirken yan yatmış sanırım tabak serviste sorun vardı bu sebeple umarım bir daha böyle bir talihsizlik yaşamayız çünkü sizi çok seviyoruz tantuniniz cidden çok lezzetli.,1.0,8.0,10.0,1605340881
Tesekkurler.,10.0,10.0,10.0,1605340881
Güzel lezzetli.,9.0,9.0,9.0,1605254481
Çok güzeldi tavsiye ederim. Et tantunide olursa daha güzel olur.,10.0,10.0,10.0,1605168081
