comment_text,comment_speed,comment_service,comment_taste,comment_time
"Karışık tostta, sucuk yazıyor ama sucuk yoktu. Kaşar küçük tost ekmeğinin ortasına bulaşmış gibi çok az. Salam derseniz, açbitir salamdan 2 dilim anca var içinde... Son siparişim oldu.",10.0,10.0,1.0,1606464145
Sandviç güzel geldi.,10.0,9.0,9.0,1606377745
İlk söylediğim saltanat köfte efsane güzeldi. Bol tereyağlı ve köftesi de sosu da enfes güzeldi. Bu seferkinde tereyağı namına bir şey yoktu komple biber sosuna bulanmış kuru köfteler vardı. Ve kıyması kokuyordu. Bu beni çok üzdü :( peynir çubukları her zamanki gibi gayet güzeldi.,8.0,9.0,4.0,1606291345
Harika çorbaları var ama günün çorbası süpriz geliyor yani ne geleceği belli olmuyor.,10.0,10.0,10.0,1606204945
Sandviçler ıslak geliyor..,7.0,7.0,7.0,1605859345
Lezzetli ve hızlı.,10.0,10.0,10.0,1605859345
Hızlı ve lezzetli.,9.0,9.0,9.0,1605772945
Seyidoğlu tatlı işinde çok başarılı.,10.0,10.0,10.0,1605513745
Ayranım unutulmuştu ama yemeğim hem görsel hem lezzet olarak çok güzeldi.,8.0,7.0,10.0,1605254545
Valla hızlıydı felan ama mantı söyledik sos olsun dedik sarımsaklı yoğurt lu dedik ama sos yoktu sarımsak desen zaten hiç yoktu hiç tadı gelmedi bile hızlı geliyor ama keşke böyle olmasaydı.,10.0,1.0,1.0,1605254545
Tadlar biraz karışmış iç içe koyulunca. Biraz daha özenle kahvaltı menüsü hazırlanabilir. Güzel paketlenmiş ama teşekkür ederim.,8.0,8.0,8.0,1605168145
Klasik kahvaltı tabağında su böreği yoktu. Peynirli menemen açıklamasında kaşar peyniri yazıyordu. Menemen beyaz peynirli geldi.,4.0,4.0,4.0,1605168145
Ne yorum yapacağımı bilemedim gerçekten. Kolay gelsin.,10.0,10.0,8.0,1604995345
Burger lezzetli ve sıcaktı.,8.0,10.0,10.0,1604476945
Siparişim hızlı geldi. Taze ve lezzetliydi.,10.0,10.0,10.0,1604304145
Kalitenin adı.,10.0,10.0,10.0,1604093599
