food_id,food_name,food_price,food_category,food_score
9579ca9e-0f89-4077-a82c-013f844b2143,Sade Pilav,"10,00 TL",Pilavlar,7.0
c7a730f1-13e5-40b9-9449-c8c7374fe180,Nohutlu Pilav,"11,00 TL",Pilavlar,5.0
266f8cab-77a6-4f9f-a270-a13b0e6e14fd,Tavuklu Pilav,"12,00 TL",Pilavlar,10.0
66e95fde-198b-448d-b06b-f6933a403bf3,Tavuklu Nohutlu Pilav,"13,00 TL",Pilavlar,5.0
4fe6fbca-7627-435a-ba8a-9342f2a0d66a,Ciğerli Pilav,"17,00 TL",Pilavlar,3.0
a3a50809-5db2-4f88-8716-12dee7bafcb7,Kavurmalı Pilav,"21,00 TL",Pilavlar,5.0
954529af-b231-47fb-9eda-4b0ed6af0041,Double Sade Pilav,"14,00 TL",Pilavlar,7.0
c063543e-2c7a-4496-b532-ee027ea561c1,Double Nohutlu Pilav,"15,00 TL",Pilavlar,5.0
be913121-29fd-4265-9fb1-a7663f56c771,Double Tavuklu Pilav,"17,00 TL",Pilavlar,10.0
f013583e-dfaf-447a-9246-e357d8fb91e3,Double Tavuklu Nohutlu Pilav,"18,00 TL",Pilavlar,10.0
0a81f21d-4824-4628-9167-ce651533a5c6,Double Ciğerli Pilav,"25,00 TL",Pilavlar,3.0
ce278aa5-f7bc-4cf6-a08f-417f7e156ed3,Double Kavurmalı Pilav,"30,00 TL",Pilavlar,5.0
f6f700f2-94a6-4dbf-981d-fc40e13f42ee,Poşet,"0,25 TL",Poşet,5.0
