comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızlı ve lezzetli elinize sağlık.,10.0,8.0,9.0,1606638941
Normalde hiç yorum yazmam ama buna yazmam gerektiğini düşünüyorum çünkü her konuda 10 numara 5 yıldız tebrik ediyorum hızı tadı lezzeti herşeyi mükemmel umarım bozmazsınız sürekli siparis verebileceğim yer.,10.0,10.0,10.0,1606379741
Havaların soğumaya başlaması yiyeceklerin de gelene kadar soğuması demek oluyor. Onun dışında gayet iyi.,9.0,7.0,9.0,1606034141
Mukemmeldi.,10.0,10.0,10.0,1605688541
Adana kebap çok lezzetliydi. Hızlı da ulaştı elimize. Sağ olsunlar bol meze isteğimizi reddetmedi.,10.0,10.0,10.0,1605688541
Bu fiyata bizlere son derece güzel pisirilmis jumbo kanat sunduklari için teşekkür ederim. Mezeler de cok lezzetli ve boldu.,9.0,9.0,9.0,1605342941
Baya lezzetli bir mekan köftesini ve pidesini çok begendik. Fiyatlarda gayet makul. İnsallah böyle devam eder.,9.0,8.0,9.0,1605256541
"Porsiyonlar gayet doyurucu, getiren kurye de güleryüzlüydü.",10.0,10.0,10.0,1605170141
Hızıda lezzetide malzemesi de çok güzel ama paketlemesi çok kötü inşallah onu da düzeltirlerse çok güzel olur.,10.0,6.0,10.0,1604910941
Sicak ve lezzetli.,10.0,10.0,10.0,1604651741
"Çok hızlı, sıcak ve düzgun getirdiler. Kurye no 1 yerine no 11 in kapısına aşıp gitmiş. Boş dairede asılı poşeti görmesem, öyle bekleyecek. Ellerine sağlık.",10.0,10.0,10.0,1604306141
"Pideler geldiginde sicakti, gayet hizli ve ozenli idi.",10.0,9.0,9.0,1604095595
"Söyleyecek cümle bulamıyorum. Servisiyle, lezzetiyle ve hızıyla mükemmeldi. 100 liraya 5 kişi tıka basa doyduk ve keyif alarak yedik. Kesinlikle tavsiye ederim.",10.0,10.0,10.0,1604095595
"Gayet hızlı geldi, mezeleri vs falan hepsi bol kepçi pişman olmazsınız ancak servis konusunu geliştirmeleri gerekiyor onun haricinde lezzeti de çok güzel ben sadece servisinde sıkıntı olduğunu düşünüyorum onu da biraz daha özenli yaparlarsa 10 numara 5 yıldız.",9.0,7.0,9.0,1604095595
Tavuk ve kıyma ikiside ayrı lezzetli servis konusunda zayıf sadece ıslak mendil ve yanında biber beya küçük mezeler yok.,10.0,6.0,10.0,1604095595
Gönderim süresi 30 dk yazıyor. 1 saatte geldi. Nota sıcak olsun lütfen yazdım. Buz gibiydi. Kurye hızlı getirsin giye konum bile atmıştım. Her hangi bir değişim yapmadılar. Paranız boşuna gitmesin. Ne sunumu ne tadı ne de hizmeti iyi. Verdiğiniz paraya aldığınız hizmet berbat. Puanım 0.,1.0,1.0,1.0,1604095595
Pilav soğan ve ezme gelmedi sipariş eksikti. Vaad edilenden çok geç geldi. Ama lezzet mükemmeldi. Servis daha güzel olabilirdi biraz karman çormandı.,7.0,8.0,10.0,1604095595
Hızlı ve kaliteli hizmet için teşekkürlerlahmacun güzel ve lezzetliydi. En önemlisi sıcak bir şekilde ulaştırıldı.,10.0,10.0,10.0,1604095595
Harika her anlamda :).,10.0,10.0,10.0,1601465849
Lezzeti ve yanındaki malzemeler çok güzeldi bol boldu ancak salatanın suyu poşete akmıştı orası kötü oldu.,8.0,6.0,9.0,1598836103
Gerçekten çok iyiydi hizmeti.,10.0,10.0,10.0,1598836103
Yağ ve tuz oranı biraz yüksekti.,8.0,8.0,6.0,1593576611
