comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızlı servis lezzetli yemekler.,10.0,10.0,10.0,1606725655
Kesinlikle kebap konusunda bölgenin en iyisi. Yanında verilen ikramları ve lezzeti aynı oranda güzel oluyor. Ters durum olmadığı müddetçe vermiş olduğunuz siparişten kesinlikle pişman olmazsınız.,9.0,10.0,9.0,1606639255
Tubitak gibi bir mesafeden daricaya yemegi sıcak bir şekilde getiren arkadasi takdir ediyorum. Bölgede pideyi en güzel yapan restaurant oldugunu iddia edebilirim.,10.0,10.0,10.0,1606639255
"Her zamanki gibi çok lezzetliydi. Malum pandemi yasakları yüzünden yoğunluk oluyor sanırım, ondan biraz geç geliyor ama olsun, sorun değil.",10.0,10.0,10.0,1606639255
Sıcak geldi ve hızlıydı tadı gayet güzeldi.,10.0,10.0,10.0,1606552855
Kaşarlı kuşbaşılı pide çok iyi. Üçüncü siparişimizdi her seferinde aynı lezzet. Yarim saat içinde sipariş ulaştı. Teşekkür ederiz.,10.0,10.0,10.0,1606552855
Pideler sıcak ve doyurucuydu sipariş hızlı geldi pakatleme çok güzeldi salata ve sos ta mükemmeldi.,9.0,9.0,9.0,1606552855
Güzeldi memnun kaldım.,10.0,10.0,9.0,1606552855
Tek rakipleri türk hava yolları.,10.0,10.0,10.0,1606466455
Cok iyiydi.,10.0,10.0,10.0,1606466455
Adana söyledim porsiyonu gayet bol ve üzerine lahmacun da koymuşlar ikram olarak çok beğendim. Müşteri memnuniyetine önem veren bir işletme taktir ettim.,10.0,10.0,10.0,1606466455
Abonesiyiz...,10.0,10.0,10.0,1606380055
1 saatte geldi ve buz gibiydi karışık ızgarada bence fiyatını haketmiyor.,5.0,6.0,6.0,1606380055
Kavurmalı pidenin içinde kavurmayi mumla arasakta elinize sağlık ne diyeyim.,9.0,9.0,9.0,1606380055
Yemeklerin tadi guzel sicak ve hizliydi.,10.0,10.0,10.0,1606380055
Salata biraz daha bol olabilir. Lahmacun lezzeti harika.,9.0,10.0,10.0,1606380055
10 tane lahmacun için gönderilen salata azdı yemek 2 kişilik salata tek kişilik adet artınca salatayı da arttırmak gerekiyor lütfen unutmayın.,10.0,8.0,9.0,1606380055
Tadı mükemmeldi yemeği sıcak yetiştiren kuryeci aliye çok teşkkür ediyorum.,10.0,10.0,10.0,1606380055
"Lezzet yok, 2 saatte sipariş getirşldi. Buz gibi olmuştu zaten.",1.0,1.0,1.0,1606293655
Ürün 1 saat sonra geldi. Adana buz gibiydi. Doğal olarak hiçbir tat almadım. Paketçi arkadaşın güler yüzü yetti. Umarım düzelir.,3.0,8.0,4.0,1606207255
Domates ve yeşillik yok kuru kuru lahmacun geldi.,10.0,1.0,10.0,1606207255
Siparis getiren kurye gayet kibar ve nezakatli idi lezzete süper servis şahane iyi çalışmalar.,10.0,10.0,9.0,1606207255
Hızlı ve lezzetli.,10.0,10.0,10.0,1606034455
Hizli geldi.,10.0,10.0,10.0,1606034455
Servis icin gönderdiğiniz plastik tabak daha iyi olabilirdi. Kurye arkadaşa selamlar.,10.0,9.0,10.0,1606034455
Puanına göre hayal kırklığı. Çok fazla lavaş vardı. Salata ve lavaş çok fazla ama et o kadar yoktu. Başka yerden 10 tl daha ucuza bundan daha fazla et geldi. Bir de puanı daha düşük olmasına rağmen.,7.0,7.0,7.0,1606034455
Herşeyi ile çok iyi.,10.0,10.0,10.0,1606034455
Hizli geldi pide iyidi ama cigkofteler cok kotuydu 4 kisilik siparis vermemize ragmen cok az meze geldi 1 kisilik falandi salatada kotuydu iyi olan sadece pide.,10.0,8.0,7.0,1606034455
İlk defa sipariş verdim. Genel olarak güzeldi. Hızlı ve sıcak geldi.,9.0,9.0,8.0,1606034455
Dün akşam 1. 5 porsiyon karışık pide söyledim pideler üst üste koyulmuş hepsi çamur gibi olmuş ekstra kaşar peynir konulmasını istedim oda konulmamış ama 1 tl parası almayı biliyorlar. Madem ki 1. 5 porsiyon pide bir kutuya sığmıyorsa ikinci bir kutuya koyarsın kardeşim. Hakkımı helal etmiyorum.,5.0,1.0,5.0,1606034455
Corba sicacik ve cok guzel bir ekmekle geldikasarli pide de guzeldi ancak daha sicak olabilirdi.,10.0,10.0,9.0,1605948056
Lahmacun sipariş ettim geç geldi gelen posta temassız geçmedi para verdim para üstü geç geldi lezzet olarak iyi ama yanındaki ürünler zayıf.,6.0,6.0,6.0,1605948056
Teşekkürler ellerinize sağlık herşey çok güzel di.,9.0,9.0,9.0,1605948056
"Çok lezzetli ürünler hızlı, efendi servis ali.",10.0,10.0,10.0,1605948056
Tadı servisi herşeyi ile mükemmeldi yanında gelen çiğ köfte de cok iyi kuryesine kadar hepsi çok iyi uygun fiyat herşey çok iyi kurye de güler yüzlü teslim etti herşey mükemmel gönül rahatlığıyla sipariş edebilirsiniz.,10.0,10.0,10.0,1605861656
Hemen favorime ekledim gerçekten cok hosuma gitti. Lahmacunu mükemmel ayrica kuryeci arkadasa da tesekur ediyorum nazik biri.,10.0,10.0,10.0,1605775256
"Hyatt housedsn söylemiştim, fındık lahmacun dahil ikramlar iyiydi memnun kaldım tekrar söyledim.",10.0,9.0,10.0,1605775256
Lahmacun değil sankim cennetten meyveee.,10.0,10.0,10.0,1605775256
Dürümün hamuru daha ince olsa daha güzel olurdu.,10.0,10.0,9.0,1605688856
Yemekleriniz çok güzel ellerinize sağlık ayrıca siparişlerini getiren abi kadar neşeli bi insan görmedim çok teşekkür ederiz.,10.0,10.0,10.0,1605602456
"Pide kocaman allah bereketlendirsin, ustanin eli bol masallah 2 kisi yer gercekten. Adana durumde lavasi degistirmisler bu halini cok begendim pufur pufurdu lavasi. Kurye ali bey cok temiz bir cocuk gercekten isi gucu rast gitsin.",10.0,8.0,9.0,1605602456
"Lahmacunlar epey soğuktu, bir aksilik olmuştur diye düşündük sorun değil sonrakine dikkat edersiniz.",10.0,10.0,10.0,1605602456
Lahmacun 10 puanı her zaman hak ediyor. Teşekkürler.,10.0,10.0,10.0,1605602456
Çiğköftelerin tadı yoktu ama lahmacun güzel beğendim.,9.0,8.0,8.0,1605602456
İlk defa sipariş verdiğim bir yerdi gayet güzel hem lahmacunu hem kebabı bence düşünmeden şipariş verin.,10.0,10.0,10.0,1605602456
Pide cok güzeldi. Tavuklari güzel pişmiş. Ilk defa denememe rağmen memnun edici. Servisi yapan kurye arkadas özenli tasimasindan dolayi takdiri haketti. Başarılı.,10.0,10.0,10.0,1605516056
"Yol tarifi konusunda çok yetersiz, açıkça adresi tarif etmeme rağmen baya ugrasildi yinede 1 vermeyeyim emek sonuçta, lezzeti güzeldi.",5.0,7.0,8.0,1605516056
Gayet guzeldi elınıze saglık.,10.0,10.0,10.0,1605429656
Sıcak ve hızlı geldi lezzetliydi tekrar sipariş vericem kesin.,10.0,7.0,10.0,1605343256
Evet yorum yapmayı hatırlatan genç yakışıklı ali beye selamlar lezzet ve hız yine mükemmeldi.,10.0,10.0,10.0,1605256856
Hizli ve cok doyurucu.,10.0,10.0,10.0,1605170456
Salata yetersizdi.,1.0,1.0,1.0,1605170456
Harika hizmet.,10.0,10.0,10.0,1605170456
Herşeyçok güzel salatada çokcimrisiniz. 12 lahmacuna 4 lahmacunda biten salata. Bol salata istiyoruz :).,9.0,9.0,7.0,1605084056
Daha onay maili gelmeden siparis geldi. Aliden hizlisi mezarda:).,10.0,10.0,10.0,1605084056
Hız çok iyi servis yapan arkadaşlar çok güler yüzlü öncelikle teşekkür ediyorum hepsine. Karışık pide üstüne kaşar ve yumurta takviyeli aç olanlar için mükemmel tercih. Pideler gayet büyük ve doyurucu. Lezzeti oldukça iyi ve en güzel yanı yağın içinde yüzmüyor. İyi çalışmalar diliyorum :).,10.0,9.0,10.0,1604997656
İlk kez lahmacunun tadini begenmedim. Halbuki cok lezzetli olurdu. Umarim usta degismemistir.,8.0,7.0,6.0,1604997656
Salata yok denicek kadar azdı. Yorumlara bakarak sipariş verdik. Beklentiler çok yüksekti. O yüzden hayal kırıklığıda o kadar yüksek oldu.,7.0,4.0,4.0,1604997656
Lezzeti gayet güzeldi. Sipariş hızı da ve ilgileri de cok iyiydi.,10.0,10.0,10.0,1604997656
Gebzede böyle lahmacun yapanlar kalmışmıydı :d.,10.0,10.0,10.0,1604911256
İşlerini hakkıyla yapıyorlar.,10.0,10.0,10.0,1604911257
Pide hamurunuz çok kalın.,6.0,6.0,4.0,1604911257
8 lahmacun için salata cok azdı ama lahmacunlar lezzetliydi. Yeterince hızlıydı. Servis konusunda çatal falan olmaması kötüydü.,10.0,8.0,9.0,1604824857
"Çok lezzetli, çok taze teşekkürler...",10.0,10.0,10.0,1604738457
"Hızlı servis, iyi hizmet.",10.0,10.0,9.0,1604738457
"Kurye arkadaş bize getirirken kaza yapmış, buradan tekrar geçmiş olsun diyorum. Yemekler çok güzel, sıcak geliyor. Aynı zamanda çalışanlar çok düşünceli.",10.0,10.0,10.0,1604738457
Kurye arkadaşımıza çok teşekkür ederiz. Hatayla adresi yanlış seçmiş olmamıza rağmen hızlı bi şekilde ulaştırdı. Geldiğinde sıcacıktı. Çok lezzetliydi.,10.0,10.0,10.0,1604565657
Herşey çok güzel teşekkürler.,9.0,9.0,9.0,1604565657
Hızlı servis bol malzeme tavsiye ederim.,10.0,10.0,10.0,1604565657
Süper ötesi.,10.0,10.0,10.0,1604565657
"Daha önce birkaç kez pide almıştık, bu sefer lahmacun deneyelim dedik ancak lezzetli değildi, damakta donuk yağ tadı kaldı. Bir de fındıklı sipariş ettiğim sütlaç fındıksız geldi.",9.0,9.0,5.0,1604565657
Kesinlikle tavsiye ediyorum bölgenin en iyi restoranı.,10.0,10.0,10.0,1604479257
Her zaman sipariş veririm genelde memnun kalırım hizli ve sicakti tesekkurler ama biraz çiğdi eti ve ekmeği. Elinize sağlık.,10.0,8.0,8.0,1604392857
Hızlıydı herzamnki gibi teşekkürler kurye arkadaşa selamlar.,10.0,10.0,10.0,1604133657
Lezzetli bol malzemeli pide. Sıcak teslimat. Bu işte iyisiniz.,10.0,10.0,10.0,1604133657
"Hızlı servis, lezzetli ürünler.",10.0,10.0,10.0,1604133657
Lahmahcunlar yanık ve özensizdi ilk kez başımıza geldi bi daha olmaz inş daha dikkat.,7.0,1.0,1.0,1604095911
Gerçekten çok hızlı geldi ve güzel de paketlenmişti. Lahmacun son zamanlarda yediğim en lezzetli lahmacun olabilir. Adanası da gayet güzeldi. Emeği geçenlerin ellerine sağlık.,10.0,10.0,10.0,1604095911
Böyle bir şey gizli kalmamalı kuşbaşı pide arkadaşım söylemiş bende lahmacun gerçekten de enfes.,10.0,10.0,10.0,1604095911
Kusbasili pide cok lezzetli ve doyurucu. Teşekkürler.,10.0,10.0,10.0,1604095911
Müthiiişş.,10.0,10.0,10.0,1604095911
"Lahmacunları güzel ve lezzetli.. Sıcak geldi, yanındaki garniturde tazeydi.",10.0,10.0,9.0,1604095911
"Hızlı, lezzetli, fiyatı uygun ve en önemlisi pide yağ içinde değil kutusuna bile neredeyse hiç bulaşmıyor servis elemanları da çok güler yüzlü insanlar. Tüm çalışanlara teşekkürler bu arada serviste gelen çiğköfteler de çok hoşuma gidiyor:).",10.0,10.0,10.0,1604095911
Servis çok hızlı tadı ise mükemmel teşekkürler.,10.0,10.0,10.0,1604095911
2. Siparişimdi gayet memnun kaldım yine.,10.0,10.0,10.0,1604095911
Her şey çok lezzetli ve güzeldi. Gönderilen ikramlar da harikaydı. Porsiyonlar oldukça doyurucu. Emeklerinize sağlık.,10.0,10.0,10.0,1604095911
Çok hızlı geldi ve gayet lezzetliydi.,10.0,10.0,10.0,1604095911
"Tad, lezzet, koku harika... Paketlerinin kalitesine kadar özenli. Severek sipariş veriyorum.",9.0,9.0,9.0,1604095911
Tek kelimeyle enfes..,10.0,10.0,10.0,1604095911
Siparişi yanlış okumanız dışında sorun yoktu pideniz lezzetli.,9.0,5.0,9.0,1604095912
Çorba tamamen dökülmüş pideler ezilmiş.,8.0,1.0,8.0,1604095912
Gayet güzel bir adanaydı.,10.0,10.0,10.0,1604095912
4 kez sipariş verdim gayet lezzetli ama pidenin hamuru biraz daha pisirilirse güzel olur ve kenar yağı bol olursa da ellerinize sağlık.,10.0,10.0,10.0,1604095912
"Sipariş verdiğim içecek kalmamıştı, sağolsunlar hemen arayıp bilgilendirdiler. Siparişin teslim hızı ve ikramlardan oldukça memnun kaldık. Teşekkür ederiz.",10.0,10.0,9.0,1604095912
Çok çok iyiydi.,10.0,10.0,10.0,1604095912
Gerçekten lezzetli ve kaliteli malzeme kullanılıyor.,10.0,9.0,10.0,1604095912
"Çok lezzetliydi, ellerinize sağlık.",8.0,9.0,9.0,1604095912
Yemeğin yanında gelen çiğ köfte gerçekten çok kötüydü.,8.0,8.0,7.0,1604095912
Hamuru ince içi lezzetli ama malzeme bir lahmacun malzemesinin yarısı kadar serpiştirilmiş. Şimdiye kadar bu kadar az malzemeli bir lahmacun yememiştim. Buralarda hep böylemi yapıyorlar bilmiyorum ama sebzeli lavaş yedim sanki.,9.0,8.0,7.0,1604095912
Servis ve lezzet olarak çok iyi tavsiye ederim. Kuryeci ali arkadaşada hizmetinden dolayı çok teşekkür ederim.,10.0,10.0,10.0,1604095912
"Hızlı sipariş, güzel tat.",10.0,10.0,10.0,1604095912
"Lezzet değişmiş, pidede ekşimiş bir tat vardı ve kötüydü. Yaklaşık 1 saatte geldiği için soğumuştu zaten, mesafeyi anlıyorum fakat bu kadar uzun sürecekse yakın mesafe dışına sipariş almasanız keşke. Yanında gelen ikramlar sünmüş ve özensizdi, hiç getirmeseniz daha iyi. Çok sevdiğimiz bir yerdi, üzüldük.",6.0,3.0,5.0,1604095912
Sipariş gayet hızlı ve sıcak geldi. Lezzeti de bi o kadar iyiydi. Teşekkürler.,10.0,10.0,10.0,1604095912
Herşey çok güzel teşekkürler.,9.0,9.0,9.0,1604095912
Kurye arkadaşa selamlar. Hız olarak gayet iyiydi ama servisin geliştirilmesi lazım.,10.0,8.0,9.0,1604095912
Lezzetli.,10.0,10.0,10.0,1604095912
Mercimek çorbası sıcaktı. Tadı da güzeldi urfa bir tık daha pişirilebilirmis ama böyle de güzeldi.,10.0,7.0,8.0,1604095912
Good.,8.0,8.0,8.0,1604095912
Güzeldi. Ali kardeşime teşekkürler.,10.0,10.0,10.0,1604095912
"Çok begendim, kurye arkadaşa da ayrıca teşekkür ederim.",10.0,10.0,10.0,1604095912
"Hizli, lezzetli ve doyurucu. Lahmacun gercekten harikaydi.",10.0,10.0,10.0,1604095912
Hızınız iyi lezzetiniz iyi bide çatal falan göndersenizde parmaklarımı çatal niyetine kullanmasak.,8.0,3.0,7.0,1604095912
Lavaş çok sertti umarım düzeltirsiniz.,9.0,6.0,1.0,1604095912
Sinan bey teşekkür ederim o yağan yağmura rağmen siparişim elime ulaştı gerçekten işinizi layıkıyla yapıyorsunuz.,10.0,10.0,10.0,1604095912
İlk defa sipariş verdiğim bir yerden bu kadar memnun kaldım fiyat olarak cazip lezzet olarak iyi servisçi abi de mükemmel bir insan teşekkür ediyorum umarım böyle devam edersiniz.,10.0,10.0,10.0,1604095912
Sinan beye hızlı ve sıcak sipariş için teşekkür ederiz.,10.0,10.0,10.0,1604095912
Güzeldi.,9.0,10.0,9.0,1604095912
"Çok yumuşaktı çıtır istemiştim yumuşamış, kutuyla gelmesine ramen. Endişeliydim beğenmeyeceğim diye ama çıtır olsa belki lezzeti daha iyi alabilirdim. Teşekkürler.",10.0,10.0,7.0,1604095912
Hızlı teslimat.,9.0,9.0,9.0,1604095912
Herşey çok güzel teşekkürler.,10.0,10.0,10.0,1604095912
Lahmacunlar gerçekten lezzetliydi. Parasını sonuna kadar hakediyor. Sinan beye ayrıca teşekkür ederim.,10.0,10.0,10.0,1604095912
Müthiş.,10.0,10.0,10.0,1604095912
Uzak olmamıza rağmen pideyi 22 dk pişirip getirdiler aşırı doyurucu ve servis hakkında her şey düşünülmüştü. Tadı da gayet güzeldi ellerinize sağlık.,10.0,10.0,9.0,1604095912
Kurye arkadaşa çok teşekkür ederim. Gerçekten çok hızlı bir şekilde getirdi ve çok kibardı. Lahmacunu çok beğendim ama adana kebap tam bir hayal kırıklığı yarattı. Eti gerçekten güzel değildi.,10.0,10.0,6.0,1604095912
Mükemmel.,10.0,10.0,10.0,1604095912
Kurye sinan çok iyi biri çok güzel lezzetli teşekkür ederim.,10.0,10.0,10.0,1604095912
 lezzet:.,10.0,10.0,10.0,1604095912
Her zamanki gibi hızlı ve lezzetli. Ayrıca kuryede ilgiliydi.,10.0,10.0,10.0,1604095912
"Yorumlarda abartıldığı kadar üst düzey bir tat yoktu ama güzeldi lahmacun, kurye çok güler yüzlü ve hızlıydı. Yanındaki ikramlar çok fazlaydı güzel bir işletme anlayışı, çiğköfte bu çevrede yediğim en iyisiydi diyebilirim, yalnız ezme tatsızdı. Genel toplamda gebzede en alınabilir lahmacun burada.",10.0,10.0,8.0,1604095912
"Geliştirelebilir, salata içindeki çiğköfte detayı güzel olmuş.",8.0,8.0,8.0,1604095912
Sinan beye hızlı teslimat ve güleryüzü için teşekkür ederim.,10.0,10.0,10.0,1604095912
Lezzetsiz dürüm söyledim lavaşı kurumuştu.,1.0,1.0,1.0,1604095912
Her şey güzeldi ama lahmacunu yapan usta mı değişti tadı biraz farklı geldi.,10.0,10.0,9.0,1604095912
Kurye sinana teşekkürler.,10.0,10.0,8.0,1604095912
Herşey çok güzel teşekkürler.,10.0,10.0,10.0,1604095912
Çok lezzetliydi ellerinize sağlık kurye sinan beyde çok güler yüzlüydü tekrar teşekkürler.,10.0,10.0,10.0,1604095912
Her zamanki gibi çok lezzetli ve hızlıydı tşkler.,10.0,10.0,10.0,1604095912
Kuşbaşı et sertti onun haricinde güzeldi.,10.0,9.0,7.0,1604095912
Lezzet süper fakat çatal tuz peçete neden yoktu anlamadım.,10.0,1.0,10.0,1604095912
Çok hızlı geldi sinan abimize teşekkür ediyoruz güler yüzlü birisi. Yemeklerin lezzeti mükemmeldi.,9.0,9.0,10.0,1604095912
