comment_text,comment_speed,comment_service,comment_taste,comment_time
Beklediğimden hızlıydı. 20 dakika erken geldi. Yiyecekler sıcaktı. Kurye çok iyi biriydi. Kesinlikle tavsiye ederim. Pişman olmazsınız. Teşekkürler.,10.0,10.0,10.0,1606725705
Gecen seferkinde tatlimizin bitanesi eksikti simdide cocuk menusundeki oyuncak yok hep eksik biseyler var.,10.0,6.0,10.0,1606639305
Hamburgerler soğuktu.,7.0,7.0,8.0,1606639305
"Gayet hizli, temiz ve lezzetliydi...",9.0,10.0,10.0,1606639305
1. 5 saatte geldi.,5.0,5.0,9.0,1606639305
Soğuk ve buz gibi ve patatesler king boy değildi.,5.0,5.0,5.0,1606639305
Gayet güzel di.,10.0,8.0,8.0,1606552905
Menü soğuk geldi.,7.0,8.0,7.0,1606552905
Yemekler cok soğuk geldi patates kızartması ni hiç söylemeye gerek yok buz gibi geldi o yüzden sipariş verirken bunları goz önünde bulundurmak gerek.,7.0,8.0,4.0,1606552905
"Şaşkınım, ilk kez şaşırtıcı derecede hızlı getirdiler, yorumlar ve rekabet işe yarıyor gerçekten.",10.0,10.0,10.0,1606552905
Rezalet sakın söylemeyin.,1.0,1.0,1.0,1606552905
Hızlı geldi ama patatesler ve hamburgerler soğuktu?,9.0,9.0,6.0,1606552905
Efsane bir lezzet yakışıklı kurye çağrı beye çok teşekkür ederim böyle hızlı ve sıcak siparişim ilk defa geldi.,10.0,10.0,10.0,1606552905
Soğuk.,1.0,1.0,1.0,1606466505
Soguktu.,9.0,6.0,7.0,1606466505
"Cok hizli geldi ama yemekler, patates cok soguktu, hic tadi cikmadi malesef.",10.0,10.0,1.0,1606466505
5 tl ödedik dev patates istedik. Yolladiklari küçük patates. Aradık onu yemeyin bekleyin yolluyoruz dediler bizi tam 4 saattir bekliyoruz hala patatesi yollayacaklar tabi biz bekleyene kadar herşey de buz gibi oldu hiçbirini yiyemedik hepsi cope gitti sonuç almayin ac kaldik 51 tl çöpe gitti.,1.0,1.0,1.0,1606466505
İstediğimiz menüler gelmedi. Yine karıştırılmıştı. Artık düzelir umarım.,8.0,6.0,8.0,1606466505
Peçete koyulmamış. Kurye abimiz güler yüzlüydü.,10.0,7.0,9.0,1606466505
Uzun sürede geldi ve soğuktu.,5.0,8.0,8.0,1606466505
Bekledigimdebn kucuk geldi.,10.0,10.0,5.0,1606466505
Soğuk geldi.,8.0,8.0,5.0,1606466505
Lan cok guzellll.,10.0,10.0,10.0,1606466505
Biraz gecikti ayrıca pek de sıcak değildi...,9.0,7.0,7.0,1606380105
1 saate geldi buz gibiydi. Peçete koymamislar patatesler dokulmus. Paramizla rezil oluyoruz.,1.0,1.0,4.0,1606380105
İki gun ust uste buz gibi hamburger getirdiniz ya helal!,7.0,1.0,1.0,1606380106
Whoper burgerı kafalarına göre tek kat yapıp göndermişler. Söylediğimiz 3 ayrı soğan halkasını tek kaba sokup ezik bir şekilde göndermişler. King boy patatesler sanki mini mini boy gibi geldi. Bu kadar yanlış olunca servisin hızlı olması normal.,10.0,5.0,5.0,1606380106
Hayatımda yedıgım en kötu hamburgerdır net. Ilkı soguk geldı buz gıbı. 2 kez gönderdıklerınde de wooperla uzaktan yakından alakası yoktu. Inın malzemelerı cocuk menusu gibi desem yerıdır. Lütfen bıraz özen özveri.,1.0,1.0,1.0,1606380106
Kurye beye teşekkür ederim.,10.0,10.0,10.0,1606380106
Tek sorun ketcap mayonez yok diyoruz 2 dir geliyo ve yiyemiyoruz hamurgerler kaliyo!,10.0,10.0,1.0,1606380106
Mükemmel.,10.0,10.0,10.0,1606380106
Gayet hızlı ve başarılı.,10.0,10.0,10.0,1606380106
Hiç memnun kalmadım sadece köfteleri pişirmiş göndermişsiniz ne peyniri erimiş ve patatesler soğuktu hemde çok gerçekten beğenmedim.,5.0,5.0,3.0,1606380106
Patatesler yağ çekmiş ve beklemiş geldi. İlk defa böyle bişeyle karşılaştık.,9.0,9.0,7.0,1606380106
Getiren kuryenin termos çantası yoktu ve hepsi buz gibiydi. Patates ve soğan halkaları yağ çekmiş soğuyunca hiç yenmedi.,6.0,7.0,6.0,1606380106
Geç teslimeksik ve soğuk ürün0 memnuniyet ilk ve son siparişimdi..,1.0,1.0,1.0,1606293706
Açıklamayı okumaktan acizler.,1.0,1.0,1.0,1606293706
Siparisin gelmesi 10dk surmedi ama hamburger dunden kalma buz gibi icecek yanlis patatesler pismemis bu kadar da olmaz be.,10.0,1.0,1.0,1606293706
Sos istedim koymamışlar..,8.0,7.0,1.0,1606293706
"Ekmek bayattı bir kere, o konuda netim. Etin bağzı yerleri iyi pişmemişti. Patateste garip bi tat vardı. Her zaman yediğimden daha kötüydü, gebze şubesi kalitesizliği sanırım. Midem bulandı.",9.0,8.0,2.0,1606293706
15 dk da geldi şaşırdım aha dedim sıcak ama buz gibiydi yani 15 dk gelen sipariş bile soğuk helal olsun size.,10.0,10.0,1.0,1606293706
Beklediğimden de hızlı geldi çok sıcaktı her şey güzeldi uygulamayla alakalı küçük bir sorun var siparişiniz hazırlanıyor gösterirken sipariş geldi.,10.0,10.0,10.0,1606293706
Furkan bey e çok teşekkür ediyorum. Konuşmasıyla duruşuyla efendiliğiyle nadir bulunan bır kışiliğe sahip. Yemekler çok sıcak geldi. Furkan bey ıle beraber calişmak ısterım cok tatlı ve şeker bır kışılıge sahıp. Her burgerkıng e boyle furkan lar lazım. Tessekkur ederım burger aılesı furkan için :).,10.0,10.0,10.0,1606293706
20 dakikada sıcak bir şekilde geldi siparişim.,9.0,7.0,7.0,1606293706
Yemek çok soğuktu patatesler aşırı kuru ve tatsızdı. Cola çok sıcaktı.,1.0,1.0,1.0,1606293706
Etli brioche söylemiştim ekmeğinin lezzeti için fakat normal ekmek ile geldi.,10.0,7.0,7.0,1606293706
"Kova boy patates istememe rağmem kids patatesten hallice 150 gramdan biraz az bir patates gönderildi. Çalılanlarınıza doğru sipariş çıkarmaktan önce de öğretmeniz gereken şey hal ve tavırlarındaki şekil olmalı! Merdivende yürüyen insana omuz atmak, şiparişi teslim alan kişiyi azarlamak! Rezalet.",8.0,1.0,1.0,1606293706
Bi an yemek gelmeyecek sandık ama geldi. Soğuktu yemekler ama allah razi olsun doyduk.,6.0,7.0,8.0,1606293706
Çocuk menüsü söyledim kız diye belirtmeme rağmen erkek oyuncağı çıktı.,3.0,5.0,8.0,1606293706
Tam 15 dk da geldi ve mükemmeldi.,10.0,10.0,10.0,1606293706
İlk defa ürünler sıcak geldi. Servis yapan mustafa bey e nazikligi ve hizliligi için teşekkür ederim.,10.0,10.0,10.0,1606293706
Patatesler çok soğuk geldi. Servis hızlı olmasına rağmen.,10.0,10.0,7.0,1606293706
13 dkda geldi.,10.0,10.0,10.0,1606293706
Gelen patatesler bayattı hamburger biraz dagilmisti ve hepsi soğuktu.,8.0,1.0,2.0,1606293706
Fenaaaaaa.,10.0,10.0,10.0,1606293706
Smokehouse söyledim 50tlye 20 tlye mc chicken söylediğimde böyle hızlı getirmiyorsunuz ama neyse.,10.0,10.0,10.0,1606293706
Keşke bir peçete bir tuz bir pipet koysaydınız efsane olurdu. Hızlı geldi ama servis berbattı.,9.0,1.0,9.0,1606293706
Çok soğuk ve hiç güzel değil di.,7.0,7.0,4.0,1606207306
Patates ve hamburger çok soğuktu.,10.0,1.0,1.0,1606207306
"12dakikada geldi şaka gibi, ve tabiki sıcaktı güzeldi.",10.0,10.0,10.0,1606207306
Şu pandemi ortamında kurye arkadaşın kutu kolayı cebinden çıkarıp vermesi hijyene ve gıda güvenliğine gösterilen özenin en net ifadesi zaten. Smokehauseın füme etleri tamamen çiğdi. Patatesler de kızartıldıktan sonra epey beklemişlerdi ki kendilerinden geçmiş halde geldiler. Genel olarak iyi değild.,8.0,1.0,1.0,1606207306
Standart.,7.0,7.0,7.0,1606207306
Gelen ürünler soğuktu.,8.0,5.0,5.0,1606207306
Diger malzemeler nerde.,1.0,1.0,1.0,1606207306
Biraz daha bol malzemeli olabilirdi.,7.0,6.0,8.0,1606207306
Soğuktu ama mükemmeldi.,10.0,10.0,9.0,1606207306
İstediğimiz hiç ürün gelmedi ne istediysek tam tersini getirdiler rezaletti.,1.0,1.0,1.0,1606207306
Saatinden sorunum yok tadı kötüydü önermiyorum yerindeki gibi olmuyor daha sipariş vermem beklemiş üründü galiba o lezzeti alamadım.,10.0,1.0,1.0,1606207306
Yemekler belirtilen zaman aralığında gelmesine rağmen buz gibi geldi. Hem burgerler hem patatesler saman gibi olmuştu. Getiren arkadaş kapıdan yüzümüze attı gitti neredeyse.,5.0,2.0,1.0,1606207306
Kotu.,1.0,1.0,1.0,1606120906
Kötü.,1.0,1.0,1.0,1606120906
Buzburger.,1.0,1.0,1.0,1606120906
