comment_text,comment_speed,comment_service,comment_taste,comment_time
Cok güzel di ve servisi vok hızlıydı getiren arkadaşa ve ekip de çalısan arkadaşlara çok teşekkür ederim sıcak ve güzel di.,10.0,10.0,10.0,1606639332
Güzeldi tenks canisi.,7.0,10.0,10.0,1606552932
Tadı güzel ama porsiyon küçük. Bahalı.,9.0,8.0,8.0,1606552932
Kalpli hamur istemiştik paramparca bir sekilde geldi birazda yanmıstı pizzanın altı tavuk parçalarının lezzetini beğenmedik.,10.0,6.0,9.0,1606466532
Herşey çok güzeldi.,10.0,10.0,10.0,1606466532
Soguktu.,8.0,8.0,8.0,1606466532
Sıcacıktı...,10.0,10.0,10.0,1606380132
Arkadas insan bi pecete yollar.,10.0,1.0,10.0,1606380132
Pizzada kavurma vardı.,8.0,7.0,8.0,1606380132
Siz olmasanız ben naparım hiç bilmiyorum.,10.0,10.0,10.0,1606380132
Margarita donmuş gibi geldi ballı hardallı tavuk aldık hardal deil bal yedik sadece.,7.0,4.0,5.0,1606293732
Yoğun soğanlı.,7.0,8.0,8.0,1606293732
Lezzet bitmiş.,2.0,1.0,1.0,1606207332
2 orta boy pizzayı unutmasalardı iyiydi.,8.0,1.0,8.0,1606207332
Not bad.,7.0,8.0,8.0,1606207332
Çok iyi.,10.0,10.0,9.0,1606034532
Hizli ve leziz.,10.0,10.0,10.0,1606034532
Kolayı özellikle listeden orijinal olanından seçip not kısmınada: lütfen şekersiz getirmeyin yazdığım halde yinede şekersiz yollamışlar notlar pek ciddiye alınmıyor herhalde.,8.0,4.0,8.0,1605948132
"Yağmur çamur demeden getiren personelinize özel 10 puan yoksa çok da hızlı degildi, bu sefer salam sosisleriniz 5. Kalitelimiydi neydi lezzetsizdi.",10.0,8.0,7.0,1605948132
İyiiii.,10.0,10.0,10.0,1605948132
Dürümos berbattı!,1.0,1.0,1.0,1605948132
Müşteriye önem verilmiyor.,1.0,1.0,1.0,1605948132
Vireko.,6.0,6.0,6.0,1605861732
Harika bir pizzaydı. Ellerine sağlık.,10.0,10.0,10.0,1605688932
Harikaydi :).,10.0,10.0,10.0,1605602532
"Her zamanki gibi çok hızlı geldi ve bol malzemos zaten bildiğimiz gibiydi. Lezzeti yerindeydi. 4 peynirli pizzayı ilk kez söyledik, o kadar tuzluydu ki yiyemedik. İnanılmaz bir tuz oranı vardı. Tuz konusunda kesinlikle bir şeyler yapılmalı. Yemek için teşekkürler.",10.0,10.0,8.0,1605602532
Küçük pizzanın adını mini pizza olarak değiştirin bence.,10.0,10.0,1.0,1605602532
Not yazıyorum okumuyorlar.,1.0,1.0,1.0,1605516132
Guzeldi.,10.0,8.0,8.0,1605516133
Çok kötüleşti artık.,1.0,1.0,1.0,1605516133
Pizza tadı berbat özellikle ipince pizza tadı çok kötü idi.,6.0,3.0,1.0,1605429733
Notları okumuyorlar.,8.0,1.0,8.0,1605429733
Wazgecılmez.,10.0,10.0,10.0,1605429733
Güzeldi.,10.0,10.0,10.0,1605429733
Dürümoslar beklediğimden küçük geldi ama tatları gayet güzel.,7.0,7.0,7.0,1605343333
2 orta boy malzemos istedim birinde mantar olmayacak ve klasik hamur farkını vererek aldım ikiside ince hamur ve mantarlı geldi.,7.0,1.0,3.0,1605343333
Aşırı küçük.,6.0,1.0,6.0,1605343333
Kolam gelmedi.,1.0,1.0,1.0,1605343333
Lezzetli durumos.,10.0,10.0,10.0,1605256933
Lezzetli ve hızlıydı. Teşekkürler.,7.0,7.0,8.0,1605256933
Durumlerin icerigi zayif.,10.0,8.0,7.0,1605170533
"Siparisim hizli geldi, her zamanda zamaninda getiriyorlar sorun yasamiyorum ancak, durumlerin boyutlari zaman zamam degisiyor.",10.0,8.0,7.0,1605170533
Ayrıca notta sos belirtmiş olmama rağmen onlar gelmedi.,9.0,8.0,7.0,1605170533
Pizza soguktu tas gıbıydı.,2.0,1.0,2.0,1605170533
Kutuplardanmı gönderdiniz anlamadim ama elinize sağlık.,1.0,1.0,1.0,1605084133
Good jobs.,10.0,10.0,10.0,1605084133
Beğenmedim dürümos ve yarım ekmeği.,7.0,7.0,5.0,1604997733
İyidi.,10.0,10.0,10.0,1604911333
Teşekürler güzeldi.,8.0,8.0,10.0,1604824933
Kuryeniz melih gerçekten harika önceden pizzabulstan sipariş veriyodum hep o geliyordu gerçekten efsane lezzet.,10.0,10.0,10.0,1604738533
Anlatmaya hiç gerek yok mükkemmel.,10.0,10.0,10.0,1604738533
Her zaman ki gibi çok güzeldi.,10.0,10.0,10.0,1604652133
Geç geldi ve firmaya ulaşamadım süreç içerisinde. Siparisin iptal olduğunu düşündüm bir ara.. Sonunda 1 saat 10 dk sonra civarı ürünler geldi.,1.0,8.0,6.0,1604652133
Hızlı.,10.0,10.0,10.0,1604565733
Ekmeğin üzerine 3 kere peynir 3 kere sarımsak sosu diyip üflemişler de öyle gönderilmiş gibi ne peynir vardı nede doğru düzgün sos biraz daha özen göstermenizi rica ediyorum.,8.0,6.0,5.0,1604565733
Atakan abimiz çok hızlı getirdi teşekkür ederim.,10.0,10.0,10.0,1604565733
"Durumosu çok beğendim ama ekmek arası çok hoşuma gitmedi, teşekkürler:).",10.0,10.0,9.0,1604479333
"Pizza gayet güzel ve lezzetliydi, ayrıca 18 dk da elime ulaştı kuryeci abi çok hızlı ve güler yüzlüydü :).",10.0,10.0,10.0,1604392934
Yanlış sandviç geldi.,7.0,1.0,1.0,1604392934
