comment_text,comment_speed,comment_service,comment_taste,comment_time
Herşey çok güzel teşekkürler.,10.0,10.0,10.0,1606640079
Çok güzeldi bozmayalım abi.,9.0,9.0,10.0,1606467279
"Yeşillik çok azdı, meze vb. Yoktu.",6.0,6.0,7.0,1606380879
Siparişin gelmesi 1 saati geçti. Pahalı fiyatına rağmen yemeğin yanında hiçbir şey gelmiyor. Etli ekmek lezzetli.,5.0,7.0,9.0,1606380879
Lezzetli.,9.0,9.0,9.0,1606380879
Güzeldi.,10.0,10.0,8.0,1606294479
Ürün yanlış geldi.,7.0,6.0,6.0,1606208079
Tadi harika... Ev yapimi gibi. Cok asiri yag kullanilmiyor. Corbalar simsicak geliyor. Her anlamda cok lezzetli.,10.0,10.0,10.0,1606035279
Yavaş olmasa guzel.,3.0,8.0,9.0,1605862479
Ya sen ne mükemmel ne lezzetli birşeysin kendimi konyada gibi hissettim umarım böyle devam edersiniz.,10.0,10.0,10.0,1605776079
Çok yavaş gelio 1 saati buluyor.,6.0,9.0,9.0,1605689679
Sıcak pideler için çok teşekkür ederiz.,10.0,10.0,10.0,1605689679
İlk defa denediğim bir çorbaydı ama bayıldım! Çok lezzetliydi ellerinize sağlık. Çok kısa sürede geldi. Herkese teşekkürler.,10.0,10.0,10.0,1605603279
Elınıze sağlık.,10.0,10.0,10.0,1605603279
 yemekleriniz gercekten cok lezzetli elinize emeğinize sağlık. :).,10.0,10.0,10.0,1605516879
"Ne çok iyiydi, ne de çok kötü. Etli ekmek biraz soğuktu. Onun dışında kurye hızlı getirdi diyebilirim.",6.0,6.0,5.0,1605257679
Lezzet çok güzel servis berbat 1 saat sonra sipariş geldi kurye efendi ve maskeliydi bidaha asla..,1.0,1.0,10.0,1605171279
Etli ekmek şehrinde okuyup etli ekmeğe hasret kalmak yaşamayan bilemez. Özlemim gitti sayenizde.,10.0,10.0,10.0,1605084879
Ellerinize sağlık. Her şeyiyle çok güzeldi.,10.0,10.0,10.0,1604566479
Bu işi biliyorsunuz. Teşekkürler.,10.0,10.0,10.0,1604393679
Herşey çok güzel teşekkürler.,9.0,9.0,9.0,1604220879
Servis kötü pideler iç içe girmiş.,5.0,1.0,7.0,1604134479
Yerinde daha güzel ama pakette de oldukça başarılı. Normalde çok etli ekmeği sevmem karadeniz pidelerini daha çok severim ama burası gerçekten başarılı.,9.0,9.0,10.0,1604096733
"Bir saat on beş dakikada geldi. Kola istemiştim, yerine ayran geldi. Lezzeti her zamanki gibi yerindeydi ve sıcaktı.",1.0,1.0,9.0,1604096733
Yapıyorlar bu işi. Ellerine sağlık çok memnunum.,10.0,10.0,10.0,1604096733
Herzaman söylerim vazgeçilmez lezzetli.,10.0,10.0,10.0,1604096733
Gerek hızı gerek lezzetli olsun 10 numara hijyen konusunda çok titizler gönül rahatlığıyla sipariş verebilirsiniz.,10.0,10.0,10.0,1604096733
"Hız cidden yavaş, bu sebeple soguk geliyor, buna dikkat edebilirsinz.",4.0,9.0,8.0,1604096733
"Gebze-konya arası hızlıtr en ile 4saat yaklaşık. Siparişim elime 1saat 15dk ulaştı. Açıkçası adresi kontrol ettim, gerçekten konyadan mı sipariş ettim diye. Üstüne üstlük siparişim eksik geldi ve buz gibiydi. Baştan sona fiyasko. Gerçekten buradan söylediğim son siparişti. Koca bir yazık.",1.0,1.0,1.0,1604096733
Bir çok lezzetini tattik. Verdiğimiz her siparisten memnun kaldık. Sayenizde başka bir restoran arama gereksinimi duymuyoruz. Teşekkürler..,10.0,10.0,10.0,1604096734
Harika bir restaurant konyadaki tüm lezzetler burada güleryüzlü hizmet. Hızlı lezzetli ve sıcak servis herkese tavsiye ederim. Teşekkürler konya lezzetleri. Özellikle yasin beye teşekkür eder bol kazançlar dilerm.,10.0,10.0,10.0,1604096734
Superdi.,10.0,10.0,10.0,1604096734
"Tavuk şiş söyledik közde olacağını sandık tavada pişirilmis, hız çok yavasti tam 1 saat 10 dakikada geldi.",1.0,5.0,1.0,1604096734
Güzel bir işletme.,10.0,10.0,10.0,1604096734
"Servis hızı gayet iyiydi, teşekkür ediyoruz. Fakat bir pidede bu kadar çok biber olmamalı. Sanki etten az koymak için biberi fazla kullanmışlar. Ayrica 26 lira veriyorsun ve hiç doymuyorsun bir pideyle. Ki çok aşırı yiyen biri değilim. Son olarak, ezme salatayı o kadar tuzlu yapmislarki yiyemedik :(.",9.0,6.0,2.0,1604096734
Herşey mükemmel çok beğendik sadece biraz daha hızlı gelmedi bize çok yakın sonucta.,10.0,10.0,10.0,1604096734
