comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızlı bir şekilde teslimat gerçekleşti. Kalitesi de çok güzel çok memnun kaldım.,8.0,8.0,8.0,1606640173
Çok lezzetliydi yemekler.,10.0,10.0,10.0,1606640173
Yanık sorununu acil düzeltmeniz lazım.,10.0,8.0,8.0,1606553773
Yanık sorununu acil düzeltmeniz lazım.,10.0,9.0,7.0,1606553773
İdare eder.,5.0,8.0,10.0,1606553773
Tavuk dürüm aldık çok lezzetliydi ama sosu daha yoğun olmalı bence biraz içi kuru kalıyor.,9.0,10.0,10.0,1606553773
Soğuktu 1 vede yok turşu koymuşsunuz hızı hiç söylemiyim :).,1.0,1.0,1.0,1606294573
Buz gibiydi içinde malzeme eksikti.,1.0,1.0,1.0,1606294573
Birader ekmek buz gibi et dessen içine yicek tavuk bile koymamışsınız ekmek darmadagın gelmiş sürekli söylüyorum ama iyice bozdunuz.,1.0,1.0,1.0,1606208173
Buzzzzz gibi bir durum yedim sabah saat 11 buçukta yoğunluk olmadığı halde bir saatte geldi.,1.0,1.0,1.0,1606208173
Gelen patatesi ve dürümü mikrodalgayada ısıtıp yemek ve yazdığım notu okumayıp gecenin bi yarısı personeli bilgilendirmeden yollayıp zile bastırmak gibi hiç beklemediğim şeylerle karşılaşmam her zaman sipariş verdiğim yer adına üzdü beni. Lütfen yazdığımız notları okuyun. Geç gelmesine de razıyız yani.,2.0,2.0,2.0,1606208173
Çok kuru biraz daha sos koyulmalı.,7.0,7.0,7.0,1606121773
Iyı.,8.0,8.0,8.0,1606121773
Teşekkkürler.,10.0,10.0,10.0,1606035373
Aso.,10.0,10.0,10.0,1605948973
Dönerler biraz çiğdi. Sanırım gece olduğu için fazla özenmediniz.,6.0,8.0,4.0,1605948973
Süper.,10.0,10.0,10.0,1605862573
İskenderi asla almanızı tavsiye etmem.,8.0,3.0,1.0,1605862573
Malzeme eksikliği.,1.0,1.0,1.0,1605862573
Döner dürüm istemiştim ne olduğu belli olmayan birşey değil.,1.0,1.0,1.0,1605862573
Hiç getirmeseydiniz ben yemeği beklerken doydum zaten.,1.0,10.0,7.0,1605862573
Tşkler.,10.0,10.0,10.0,1605862573
Mükemmel.,10.0,10.0,10.0,1605862573
İdare eder.,7.0,7.0,7.0,1605776173
Iyı.,8.0,8.0,8.0,1605689773
Kurye yemegimi tam bir saatte getirdi evime yakın olan bir restoranda yola çıkıpta 1 saat sonra yemegin gelmesi şaşırtıcı. Ben burdan kuryenizin dışarda gezip sonra yemegi getirdigini düşünüyorum zaten dürümde soguktü rezalet.,1.0,1.0,1.0,1605689773
Beğenmedik.,1.0,1.0,1.0,1605689773
Öncü dönerden vazgeçemiyorum. Yok böyle bir lezzet. Her geçen gün servisde hızlanmalar oluyor artı olaraktan.,7.0,8.0,9.0,1605689773
"İstemediğim şeyleri içine koymazsanız çok güzel olur, tavuk sos ve patates yeterli.",6.0,10.0,5.0,1605603373
Berbat.,1.0,1.0,1.0,1605603373
Berbat.,1.0,1.0,1.0,1605603374
Eskisi gibi degil soguk ve lezzetsiz. Bir daha alacağımı sanmıyorum.,3.0,5.0,2.0,1605603374
Teşekkürler :).,10.0,10.0,10.0,1605603374
Son zamanlarda yapılan işe ilgi yok kalite düşüyor demekki artık öncü den yemiycez.,1.0,1.0,1.0,1605516974
"Hızınıza hayran kaldım, bi durum 1 saat 15 dakika da geldi. Ayrıca bir teşekkür de yazlık bir dürüm yapmışsınız yalnız yanlış mevsimde geldi, o kadar soğuk geldi ki içim üşüdü yerken, bir teşekkür de o paketi öylece müşterisine yollayan işletme sahibine mükemmelsiniz...",1.0,1.0,1.0,1605516974
İyice kalite düşüyor.,5.0,1.0,1.0,1605516974
Yavaş.,1.0,1.0,10.0,1605516974
Çok güzeldi ancak çok geç geldi ve çok soğuktu.,5.0,6.0,10.0,1605430574
Tavuk besleyip büyütüp kesip pişirseydim bu siparişimden daha hızlı olurdu.,1.0,1.0,3.0,1605430574
Et döner harika şiddetle tavsiye ederim.,8.0,8.0,8.0,1605430574
Dürümleri lütfen biraz soslu yapın.,1.0,1.0,1.0,1605344174
Adı gibi öncü bi döner.,8.0,8.0,8.0,1605257774
Servis güzeldi fakat eski lezzet kalmamış lavaş erimiş yapışmış tavuk tadı yok eski sos bolluğu yok hız deseniz rezalet ayıp ettiniz öncü döner.,4.0,9.0,6.0,1605171374
Sosu bol olsaydı çok daha iyi olurdu elinize sağlık.,9.0,9.0,8.0,1605171374
Kötü baya kötü.,1.0,1.0,1.0,1605171374
Lezzet on numara hız da gayet iyi.,7.0,10.0,10.0,1605084974
Çok geç geldi 2 saatte teslim etti.,1.0,3.0,7.0,1605084974
Combo diyerek insanları kandirmayin.,1.0,1.0,1.0,1604998574
Good.,8.0,8.0,8.0,1604998574
Yemek soguk kokuyor.,1.0,1.0,1.0,1604998574
Malzeme eksikliği var hala.,1.0,1.0,1.0,1604998574
"Kurye çok saygılıydı, teşekkürler.",8.0,10.0,10.0,1604912174
"Gayet hızlı geldi. Diğer yerlere göre daha uygun. Dürüm gayet büyük ve doyurucu. Sosu da gayet lezzetli. İçinde turşu, kürdan, tuz, ıslak mendil, peçete hepsi vardı. Çok beğendim.",10.0,10.0,10.0,1604912174
Geç.,1.0,1.0,1.0,1604912174
"Servis 1. 5 km 1 saat sonra geldi zaten soğumuştu, içinde turşu ve sos istememe rağmen hiçbirşey yoktu. Biraz siparişler detayina dikkat edin soğuk ve sossuz yedikten sonra hiçbir anlami yok boş yani dikkat lütfen.",4.0,3.0,4.0,1604825774
1 saati geçiyo gelmesi vede geldiğinde soğuk oluyor daha ilgili olabilirler bu konuda.,3.0,3.0,4.0,1604825774
Geç geliyor.,1.0,1.0,1.0,1604825774
Dükkandaki döner ile alakası yok ve sipariş bir buçuk saat sonra geldi.,1.0,1.0,1.0,1604825774
Çok yavaş berbat.,1.0,5.0,8.0,1604825774
Çok yavaş 60 dk sürmemeli 300 metre var arada.,1.0,1.0,6.0,1604825774
Kuryeniz iyi ve güler yüzlü böyle kurye görmeyeli uzun zaman oldu böyle arkadaşlarla çalışmanız güzel bir şey ismi hasandı galiba ellerinize sağlık.,10.0,10.0,10.0,1604825775
Gerçekten harika dönerler ellerinize sağlık.,10.0,10.0,10.0,1604825775
"Rica ediyorum her defasında aranmiyim, evin adresi var ne zaman sipariş versem abi ev nerdeydi diye aranıyorum.",7.0,1.0,10.0,1604739375
İçerisindeki malzemeler eksik geliyor gün geçtikçe lezzeti kaçıyor.,1.0,1.0,1.0,1604739375
Döner cok kuruydu. Hiç beğenmedim.,3.0,3.0,1.0,1604739375
Efsane lezzet süper hız. Siyah motoru olan orta yaşlı abi ne zaman gelse hızlı geliyo. Benim paketlerimi abi getirsin rica ediyorum.,10.0,10.0,10.0,1604566575
Seviyoruz öncü döneri ama biraz daha güzel yapabilirler isteseler.,7.0,8.0,7.0,1604480175
Öncü tavuk döner lezzeti tam gaz devam ediyor. Çok seviyorum soslu döner yemeği. Ellerinize sağlık. Hızlı geldi ayrıca. Çok doyurucu ve lezzetli.,8.0,10.0,10.0,1604480175
Sosu az ve soğuk geldi.,6.0,7.0,6.0,1604393775
Dürümler çok kuru biraz fazla sos koyarsanız iyim olur.,7.0,7.0,2.0,1604393775
Eski soslu dürümleri özlüyoruz.,1.0,1.0,1.0,1604393775
Lavaş ful yanıktı 2 ısırık alıp çöpe attım. Normalde restorantınıza geldiğimde güzel yapıyorsunuz paket servisler neden böyle anlamış değilim.,8.0,8.0,1.0,1604393775
Super.,10.0,10.0,10.0,1604307375
Elinize sağlık.,9.0,9.0,10.0,1604307375
Günün tatlısı gelmedi ve dürüm soğuktu.,7.0,1.0,5.0,1604220975
Verilen süreden çok sonra geldi servis güzel sayılır farklı poşetlerle geldi kola ve dürüm sosu lezzetliydi.,1.0,9.0,9.0,1604220975
Acı biber hic koymamişsiniz.,9.0,6.0,9.0,1604220975
Her siparişimde tavuk biraz daha azalıyor resmen patatesli soslu dürüm yedik tavuk nerdeydi.,10.0,10.0,7.0,1604220975
"Daimi müşteriniz olarak belirtiyorum. Açıkçası bugünkü siparişten memnun kalmadım. Hayal kırıklığına uğradım. Dürümün içinde bir kaç patatesten başka pek birşey yoktu. Nerdeyse hiçbir şey yoktu. Sarılmış, içi boş dürüm yemiş oldum.",6.0,5.0,2.0,1604134575
1 tane dürümü getirmek bu kadar zor olmamalı ya 1 saatte 1 dürüm gelmez mi.,1.0,1.0,1.0,1604134575
Çok yavaş.,2.0,7.0,9.0,1604134575
"Hızlı teslimat, lezzetli.",9.0,9.0,9.0,1604134575
Gayet guzeldi.,10.0,10.0,10.0,1604096829
Arkadaşlar çok kötü yemeyin çok soğuk geldi bir de hiç tat yok yani yani yani tavuk tavuk yoktu yani ya.,1.0,1.0,1.0,1604096829
Patatesleri çok az gönderiyorsunuz vetaze değil onun haricinde güzeldi.,9.0,7.0,8.0,1604096829
Kuruye çok hızlı geldi dönerin lezzetide gayet iyiydi.,10.0,10.0,9.0,1604096829
Eski lezzeti kalmamış soğuk geldi.,6.0,7.0,7.0,1604096829
Efsane.,10.0,10.0,10.0,1604096829
Çok hızlı geldi ve çok lezzetliydi.,10.0,10.0,10.0,1604096829
Bildiğimiz lezzet hoştu. Islak mendilde olsaydı iyiydi.,8.0,7.0,9.0,1604096829
Öncü benim için bitmiştir...,1.0,1.0,1.0,1604096829
Tavuk dönerden 5/6 tane küçük kemikler çıktı idare ederdi çok güzel değildi.,8.0,7.0,5.0,1604096829
Döner her zman aldığımızdan daha kuru soslanmamış ve soğuk geldi yoğunluktan da olsa bu şekilde olmaması gerekirdi.,5.0,4.0,2.0,1604096829
Bugün gelen motor cunuz genelde hep getirdiği zaman erken geliyor diğerleri hep geç geliyor tebrik ederim siyah tişörtlü arkadaşa çok tskr ederim.,10.0,10.0,10.0,1604096829
Orta halli bir siparişti. Yiyecekler ılıktı. Düz döner işte övülcek birşeyi yok.,7.0,7.0,7.0,1604096829
"Hız çok yavaş belirttikleri gibi bana 10 dk yürüme mesafesinde olan yerden 40 dk da teslimat, servis te hicbir sorun yok gayet iyi, lezzet döner tavuk dönerdi benim tavuk tadı ağzıma. Hic gelmedi içi bol soslu ve ıslak, lslak salçalı gibi bı lavaş cook lezzetli değildi bence begeneni vardır belki.",5.0,10.0,5.0,1604096829
Pidenin içi menemen gibiydi..,4.0,4.0,3.0,1604096829
Güzeldi geçti yendi bitti.,8.0,7.0,10.0,1604096829
Kuryeniz oktay bey çok nazikti ve kibardi durumleriniz efsaneydi emeği geçen herkese çok teşekkür ederim.,10.0,10.0,10.0,1604096829
Öncü döneri değerlendirmeye gerek olmadığını düşünüyorum bizzat kendim gelerek ve arayarak sipaaris veriyorum ve memnunum yalnız sizi çok güzel temsil edenide gördüm bir kuryeniz var güler yüzlü hızlı mı hızlı hasancan kadar speedy ve iyi kurye görmedim böyle boyle işletmeye böyle işlem helal olsun.,10.0,10.0,9.0,1604096829
Özellikle ismini sordum gelen kurye arkadaşın hasancan imiş güler yüzlü ve çok saygılı bi arkadaş.,10.0,10.0,10.0,1604096829
Güzel.,9.0,9.0,9.0,1604096829
Yani 3 yi de yanınızda taşıyamazsanız paket servisi bırakın o zaman.,1.0,1.0,1.0,1604096829
Abi çok güzel dürüm leriniz tüm utalarımın eline sağlık.,10.0,10.0,10.0,1604096829
2 dürüm 1 saatte nasıl geliyor? Max 1 bucuk kilometre yere yahu insaf kardeşim insaf buz gibi soguk birde. 10 dkda yola çıktı gözüküyor ama bir türlü ulaşmıyor. Sırf sosu için vaz geçemiyoruz belki düzelir belki düzelir diyoruz sizin düzeleceğiniz flan yok. Dahada almıyorum. Alırsam namerdim.,1.0,1.0,1.0,1604096829
Gayet basarili.,10.0,10.0,10.0,1604096829
Kurye hasan can artik favori kuryem ahahah cok tatli ve guleryuzlu masallah diyorum.,10.0,7.0,10.0,1604096829
Hızlı geldi lezzetliydi.,10.0,10.0,10.0,1604096829
Super.,10.0,10.0,10.0,1604096829
"Servis 1, 5 saatte geldi. Gelesiye dürüm soğumus kola ılımış.",1.0,1.0,1.0,1604096829
Kuryeniz hasancan çok nazik ve canayakın birisiydi servise ve lezzete onun sayesinde bu puanı veriyorum.,10.0,10.0,10.0,1604096829
Hayatımda yediğim en berbat dürümdü. Aldigim menü eksik olarak bana ulaştı. Normalde hiç bir şekilde yorum yapmıyorum ama siz bunu hakettiniz. Dürüm yanmıştı yenmiyordu bile. Buz gibiydi hepsi. Servis desen 1 saatte geldi desem yeridir.,1.0,1.0,1.0,1604096829
Soguktu ve bekletilmistik.,1.0,1.0,1.0,1604096829
Hasan can kardeşime teşekkür ederim ama inatla dürümlere konulmasin dediklerimi koymuşsunuz bidaha soylemiycem sanirim ama kurye adamdir.,10.0,7.0,5.0,1604096829
Sipariş getiren kişi hakan bey çok kibar ve ilgiliydi bu tarz kişilerin çalıştırlması çok faha güzel ileyişim önemli.,8.0,8.0,8.0,1604096829
Öncü kalitesi.,10.0,10.0,10.0,1604096829
Sarımsak soslu döner mi olur ya berbat.,7.0,8.0,1.0,1604096829
Sadece bir dürümde turşu istemediğimi söylememe rağmen ikisine de konmamış ve kuryenizin bozuk parası yoktu 2 tl eksik para üstü verdi benim için 2tl çok önemli değildir lafını yapmam ama yapanlar olabilir kuryenin bozuk parasız dolaşması garip bir durum. Lezzeti ve hızı iyiydi her zamanki gibi.,7.0,5.0,8.0,1604096829
Çok hızlı geldi. Sosu çok lezzetli. Doyuruyor.,10.0,10.0,10.0,1604096829
55 dakikada geldi sıcak değildi ve döneri kuruydu servis süresi kısalırsa hepsi normale döner diye düşünüyorum.,7.0,7.0,7.0,1604096829
Iyı.,8.0,8.0,8.0,1604096830
Tadı yok ekmek sert.,4.0,4.0,4.0,1604096830
Good.,10.0,10.0,7.0,1604096830
Değişmez lezzet öncü farkı gerçekten orjinal kaliteli dürüm.,10.0,10.0,10.0,1604096830
Nerdeyse her gün söylüyorum ama bu sefer özenilmemişti bekletilmişdi sanırım ve geç geldi :(.,6.0,6.0,5.0,1604096830
Döner içine bence soğan domates maydanoz girmeli ama genede güzel.,10.0,10.0,8.0,1604096830
Lavaşı biraz kuruydu.,6.0,6.0,7.0,1604096830
Güzeldi kurye skntisi vardı yazdığım nota çok dikkat edilmemiş gerisi iyidi.,7.0,10.0,10.0,1604096830
Her zaman öncüden yerim fakat 2 seferdir tavuklar hep yanık geliyor.,10.0,10.0,4.0,1604096830
Fena değil.,8.0,8.0,8.0,1604096830
"Baba böyle bi lezzet olamaz, hız desen dışardaydım benden önce gelmiş. Hijyen mükemmel. Nazar değmesinn :).",10.0,10.0,10.0,1604096830
Tam 1 saatte getirdiler önceki siparişim 20dk içinde gelmişti.,1.0,8.0,8.0,1604096830
Jdkdk.,10.0,9.0,9.0,1604096830
Enson 10 gün önce verdim daha lezetliydi ama bugün yediğime pişman oldum patates çiğ falan di yane iyi değil.,6.0,10.0,2.0,1604096830
Tadıda çalışanlarıda muazzam bir işletme. Özellikle kuryeleri sipariş hiç geciktirmiyor.,10.0,10.0,10.0,1604096830
Soğuk geç geldi kötü.,1.0,1.0,1.0,1604096830
13. 28de yola çıkan paketim 14. 52de elime ulaştı kuryenin değişmesi lazim kargoyla yollasaniz daha hızlı gelirdi tabiki yemekte buz olmuş bu süre zarfında.,1.0,5.0,2.0,1604096830
Çok lezetli biraz çabuk çıkılsa 10 numara.,5.0,8.0,10.0,1604096830
Bütün gece miğde yansami geçirdik ayıp ya biraz insan özenir de yapar döneri kapatın öncü döneri.,1.0,1.0,1.0,1604096830
Muy bueno.,10.0,10.0,10.0,1604096830
Hızlı ve lezzetli.,10.0,10.0,10.0,1604096830
"Etler pişmemişti, yenilcek durumda değildi. Sepsertti. Direk çöpe gitti.. Sağolun.",1.0,1.0,1.0,1604096830
Lezzetli ve sıcak geldi.,10.0,10.0,10.0,1604096830
Lezzetli.,10.0,10.0,10.0,1604096830
Normal geldi servis iyidi ama tavuk dürümü ne kadar kötü yapabilirseniz o kadar kötü yapmışsınız. Tavuk bu dürüm için kesildiğini görseydi kahrından ölürdü. Bi tavuk dürüm yapmak bu kadar zor olmamalı malzemeleri bana yollasaydınız kendim yapar yerdim be.,7.0,9.0,3.0,1604096830
Öncü dönerden çok memnun kaldım herkese tavsiye ederim.,10.0,10.0,10.0,1604096830
Başarılı.,10.0,10.0,10.0,1604096830
Çok yavaş getiriyolar.,1.0,8.0,7.0,1604096830
Hızlı ve lezzetli. Gerçekten de lezzette öncü :).,10.0,10.0,10.0,1604096830
3 puani hiz icin verdim. Lezzet hic yok. Yedigün istedim pepsi ginderdiler. Yemek karti ile oducem diye belirttim gelen kurye bende pos makinesi yok dediler. Menunun yaninda tatli var fakat kasik yok neyle yicez. Kardeşim madem hizmet veriyorsunuz lezzeti servisi gectim az ozenin ya.,3.0,1.0,1.0,1604096830
Ne zaman sipariş versem hep soğuk geliyor siparişler birikme den siparişe çıkmıyorlar.,1.0,1.0,1.0,1604096830
Hızı çok iyiydi 15dk ya geldi. Lezzet olarak da güzeldi.,10.0,8.0,10.0,1604096830
Tamam o halde ben bu kadar mı zor bir şey yok ki benim için çok teşekkür ederim canım benim ya da meslek yüksekokullarının ilgili programlarına devam edebilirler veya bu alana en yakın programların uygulandığı meslek yüksekokuluna ek puanları ile yerleşebileceklerdir merhaba ben sizden haber bekliyo.,1.0,1.0,1.0,1604096830
Kuryenin 50 kuruşu yokmuş.,7.0,5.0,8.0,1604096830
Sıcak geldi fakat qr kod ile ödeme yapacağımı söylememe rağmen yapamadım.,7.0,7.0,7.0,1604096830
Cok yavaşlar.,1.0,10.0,8.0,1604096830
"Çok geç geldi, buz gibiydi.",1.0,1.0,1.0,1604096830
Güzel.,5.0,9.0,9.0,1604096830
Dürüm hayatımda yediğim en kötu dürüm olabilir soğuktu yaninda gelen patatesler sogumustu ha bide gunun tatlisi diye 50krlik puding yolluyorlar şaka gibi almayin aldırmayın.,1.0,1.0,1.0,1604096830
20 tl zam gelmiş 1 tl fazla aldılar. Bir daha da vermem sipariş.,1.0,1.0,7.0,1604096830
Güzeldi teşekkürler.,10.0,10.0,10.0,1604096830
Turşu daha çok olabilir.,8.0,8.0,8.0,1604096830
Çok hızlı ve lezzetli.,10.0,10.0,10.0,1604096830
Yemin ederim sırf o yakışıklı kuryeniz için sipariş veriyorum kaç gündür o gelmiyor gerçekten yaptığınız ayıp.,1.0,1.0,1.0,1604096830
Yavaş.,1.0,1.0,1.0,1604096830
Tat neden bu sefer kötüydü anlamadım.,10.0,5.0,1.0,1604096830
Domates koymayin dememe ragmen doldurmuslar notlar okunmuyor.,10.0,10.0,5.0,1604096830
Dürümün biri sırf kıkırdaklardan oluşmuş gibiydi.,10.0,10.0,8.0,1604096830
"Bi gününüz birini tutmuyor o neydi öyle, nimettir sonuçta.",1.0,4.0,4.0,1604096830
Perfecto.,10.0,10.0,10.0,1601467084
Çok soğuk geliyor.,1.0,9.0,4.0,1601467084
Çok soğuk geliyor.,1.0,8.0,7.0,1601467084
Soguk ve ilgisiz geldi içine deri ve kemik tarzı şeyler koymayın dediğim halde koydunuz yazıklar olsun.,1.0,1.0,1.0,1601467084
Sony sincap.,10.0,10.0,10.0,1601467084
Acıkınca kafam öncüye gidiyo.,10.0,10.0,10.0,1601467084
Tadını bu sefer güzel değildi sanırım zam da gelmiş.,10.0,1.0,1.0,1601467084
Ccok gec geldii zaman zaman hız degisiyor.,7.0,8.0,8.0,1601467084
Bu gün gelen kurye arkadaşın ismi neydi bilmiyorum ama cidden güler yüzlü sizin yaptığınız hatayı kendi yapmış gibi özür diliyo.,10.0,10.0,10.0,1601467084
Good.,8.0,8.0,8.0,1601467084
Good.,8.0,8.0,8.0,1601467084
Efsane ama hız yavaş.,4.0,9.0,10.0,1601467085
Çok güzel soslu ve harika lezettliydi ama biraz geç geldi. Geç gelmesi dışında başka bir olumsuz tarafi yoktu gayet güzel.,9.0,10.0,10.0,1601467085
Lezzetli.,10.0,10.0,10.0,1601467085
Yemek saatte geldi buz kuranıma.,1.0,1.0,1.0,1601467085
Son siparişimde çok memnun kaldım. Sırf sosu için her gün yiyebileceğim bir döner.,9.0,9.0,10.0,1601467085
Her seferinde 1 saati geçkin gonderiyorlar ve aradığımda konuşmamı ağzıma tıkayıp teli kapiyorlar. Kelime bile edemiyorum. Bu çalışanlar öncü döner e leke sürüyor.,1.0,1.0,4.0,1601467085
Et ve lavaş yanmıştı hep burayı tercih ederim ama bu siparişi beğenmedim.,4.0,9.0,4.0,1601467085
Ticket pos u yok diye insanlardan nakit istiyorsunuz.. Pos cihazı yoksa siparişi iptal edin o halde bizde başka yerden sipariş verelim..,9.0,1.0,10.0,1601467085
Çok geç geliyor.,1.0,1.0,1.0,1601467085
Güzeldi.,10.0,10.0,10.0,1601467085
"Güzeldi ve hızlıydı, teşekkürler.",10.0,10.0,10.0,1601467085
Gerçekten harikaydı ellerinize sağlık.,10.0,5.0,10.0,1601467085
Muhteşem tat burda hazırlanıyor olarak gözükse de 10-15 dakika içinde geldi siparişim. Ama keşke poşeti acamayacagim şekilde baglamasaydiniz :(.,10.0,7.0,10.0,1601467085
Hızı bu sefer çok iyiydi 20 dkda geldi her zaman geç gelen sipariş. 1 saat 20 dakka civarı beklediğimi bilirim. Servis neden 5 özellikle belirttim turşu koyun içine diye malesef salatalık turşusu yoktu içinde.,10.0,5.0,10.0,1601467085
Aşırı geç geldi en az 1 30 saat 5 6 defa sipariş verdim hep aynı ve içerisinde mayonez başkada bişey yok basmışlar mayonezi.,1.0,1.0,3.0,1601467085
"Et iskender aşırı derecede çok yağlıydı, etler çok kalın kesilmişti. Dürümde bile etler kalın olduğu için ısırılmıyordu.",9.0,1.0,1.0,1601467085
