comment_text,comment_speed,comment_service,comment_taste,comment_time
10 numara.,10.0,10.0,10.0,1606637919
Kiyma aradik icinde resmen.,10.0,10.0,5.0,1606637919
Lahmacunlarin lezzetini bozmayin cok iyi boyle devam.,10.0,10.0,10.0,1606119519
"Ellerinize sağlık, cok guzeldi.",10.0,10.0,10.0,1606033119
Kuşbaşılı kaşarlı pideniz cok iyiydi ellerinize saglik.,8.0,8.0,8.0,1606033119
Kuşbaşılı kaşarlı pide efsane.,10.0,10.0,10.0,1605946719
Gercekten mükemmel bir lezzet ve servis biraz geç geldi ama yoğunluktan ve hava şartlarından olsa gerek teşekkürler.,10.0,10.0,10.0,1605860319
Son derece kibar bir kuryeleri var. Drümleri efsane.,10.0,10.0,10.0,1605860319
Güzel lahmacunlar etide kokmuyor güzel sıcakta geldi sadece biraz geç geldi ama yinede lahmacunlar sıcaktı lezzetliydi.,10.0,10.0,10.0,1605773919
1 aydır ilk defa dört dörtlük bi restoranta rastladım. Tebrikler :)).,10.0,10.0,10.0,1605773919
Gayet basarili.,10.0,10.0,10.0,1605773919
Harikasınız valla ellerinize sağlık artık yeni mekanımızsınız lahmacunlar kanatlar çok güzel seviliyosunuz 3.,9.0,10.0,10.0,1605687519
Harikaydı çalışan çok iyi.,10.0,10.0,10.0,1605601119
Lahmacun lezzetli idi fakat 1 saat 15 dk da geldi.,3.0,6.0,9.0,1605428319
Çok geç geldi lahmacunlar soğuktu ama pideler güzeldi ama.,1.0,1.0,2.0,1605428319
Teşekkürler.,10.0,10.0,10.0,1605255519
Teşekkürler.,10.0,10.0,10.0,1605255519
Gayet lezzetli ve bol teşekkür ederiz.,10.0,10.0,10.0,1605255519
Gayet hızlı ve sicakti teşekkürler.,10.0,10.0,10.0,1605169119
Dürüm ve lahmacun yenilir.,9.0,8.0,8.0,1605169119
Çok güzeldi çok memnun kaldım buraya ikinci kez sipariş ettim gayet memnunuz.,10.0,10.0,10.0,1605169119
Çok geç geliyor ve soğuk geliyor.,5.0,9.0,8.0,1605082719
Lahmacun ve pideler mükemmel di ellerinize sağlık.,10.0,10.0,10.0,1604996319
"Paketleme, servis, güzeldi. Ürünler fırından yeni çıkmış gibi sıcaktı, ve lezzetliydi memnun kaldık. Ellerinize sağlık.",9.0,9.0,8.0,1604909919
Kaliteli hizmet kolay gelsin.,10.0,10.0,10.0,1604823519
Lezzetliydi gerçekten de.,10.0,10.0,10.0,1604737119
Ellerinize sağlık guzeldi hersey.,10.0,10.0,10.0,1604737119
İnanılmaz bir hızla geldi. Dürümleri yerken gerçekten ağzım yandı. Ocaktan henüz çıkmış gibiydi.,10.0,10.0,8.0,1604564319
