comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok doyurucu hızlı geldi fazlasıyla yetiyor sosu daha lezzetli olabilir.,7.0,9.0,8.0,1606724382
Kuryeniz çok guler yuzluydu.,7.0,10.0,7.0,1606637982
Biraz sosu eksikti.,10.0,10.0,8.0,1606637982
Hızlı sıcak ve doyurucu bi ürün bozmadan bu şekilde devam etmeniz dileğiyle teşekkürler:).,10.0,10.0,10.0,1606551582
Herşey güzeldi ustamın eline sağlık kuriye abide hızli getirdi tek sıkıntısı kaşarlı söylemistim ama kaşar tadı alamadın.,10.0,7.0,8.0,1606551582
Bu alanda bir numara..,10.0,10.0,10.0,1606551582
Çok hızlıydı.,10.0,10.0,10.0,1606465182
Yanında ketçap mayonez olsa çok daha iyi.,8.0,6.0,9.0,1606465182
Kurye maskesizdi dikkat edilmesini beklerdim. Lezzet olarak ise doyurucuydu evet ama lezzetli sayılmazdı.,6.0,3.0,7.0,1606378782
Güzeldi fazla lafa gerek yok.,8.0,8.0,9.0,1606378782
İyi.,10.0,10.0,10.0,1606205982
Gayet güzeldi hızlı geldi ve sıcak geldi.,10.0,9.0,8.0,1606205982
Zurnaaaaaaaaaaaaaaaaaaaaaaaaaaaa.,10.0,10.0,10.0,1606119582
İdeal.,9.0,9.0,9.0,1605946782
Hep hızlı.,10.0,10.0,10.0,1605946782
Oww.,8.0,9.0,9.0,1605946782
Baya iyi.,10.0,10.0,10.0,1605860382
Usta siparis nerde kaldi ya.,10.0,10.0,10.0,1605860382
Baya iyi dürümdü.,10.0,10.0,10.0,1605860382
Hız gayet güzel ama dürümün içi biraz daha dolgun olabilirdi.,9.0,8.0,7.0,1605860382
Emeğinize sağlık hayırlı işler bol kazançlar.,10.0,10.0,10.0,1605773982
Harika.,10.0,10.0,10.0,1605773982
Biraz geç kaldı.,6.0,8.0,9.0,1605773982
İyi.,9.0,8.0,9.0,1605687582
Hızlı teslimat.,9.0,9.0,9.0,1605687582
Gebzedeki en lezzetli zurna dürum adresi.,8.0,10.0,10.0,1605687582
Kuryeniz çok güler yüzlü biribol kazançlar.,9.0,10.0,8.0,1605687582
Bir arka sokağımdan tam 40 dk ya geldi. Geri göndericektim yemeği ama acıkmıştım yedim. Bir daha olursa geri gönderirim.,1.0,10.0,10.0,1605687582
Yakın yerde olmama rağmen yarım saatten uzun sürdü sipraişin gelmesi.,7.0,9.0,9.0,1605601182
Güzeldi.,10.0,10.0,10.0,1605514782
"Arkadaşlar fiyat performans olarak gayet uygun. Eğer karnınız aç ve fazla para harcamak istemiyorsanız kesinlikle sipariş edin. Karnınız doyuyor, geri kalan özellikleri boşver.",9.0,10.0,5.0,1605428383
Gayet doyurucu ve güzeldi. Keşke biraz daha fazla biber olsaydi.,9.0,8.0,9.0,1605341983
