comment_text,comment_speed,comment_service,comment_taste,comment_time
Beş baharatlı büyük boy patates söyledim haşlama patates geldi komedi hayatımda gördüğüm gerçekten kötü şubelerden birisi gölcükteki tavuk dünyası işine özen göstermiyor.,1.0,1.0,1.0,1606383291
2 adet ekmek istememe rağmen 1 adet geldi ve ücretini seve seve ödedim çünkü kuryenin yanında pakete bakma şansım olmadı birdahaki sefere daha dikkatli olmanızı rica ediyorum onun dışında herşey çok güzeldi ellerinize saglik.,10.0,5.0,10.0,1606296891
Tavuk çiğ idi.,8.0,9.0,7.0,1606296891
Menü siparişi vermiştim çorba yerine sütlaç geldi ayranda patlamış tamamı poşetin içine dökülmüş.,6.0,5.0,8.0,1606124091
Kapımda not olmasına rağmen yemeğin karşı dairenin kapısına bırakılmış olması dışında bir sorun yoktu.,9.0,9.0,9.0,1606124091
Her siparişimde ya eksik gönderiliyor ya yanlış gönderiliyor post istesem post gelmiyor. Dikkatsizlik mi diyelim ikisine de.,1.0,1.0,1.0,1606124091
Yorumlara bakıp çok tereddüt de kaldım ama hızlı geldi lezzet muazzam her şey 10 numara idi.,10.0,10.0,10.0,1606037691
Sıcak ekmekler kekiklim müthiş fakat gönderdiğiniz salatada çürük domates olması solusmus kararmış marullar olması moral bozucu.,10.0,10.0,10.0,1605951291
"Siparişin adı, lezzet dolu üçlü! Ama gelen ürün 2 tane. Çorba içeceğim diye 2 adet ekmek söylemişim. O ne çorba yok. Çok açım diye yemeğe başlıyorum, buz gibi bir makarna. Siz siz olun, buradan online-peşin ödemeli sipariş vermeyin. Kuryeyi bekletin. Gelen ürünleri kontrol edin, ödemeyi o zaman yapın.",1.0,1.0,1.0,1605864891
Çok acılı yazsa da genelde benim acı isteğimi bastırmıyor ama bu fülfül baya iyiydi.,10.0,10.0,10.0,1605432891
Yalnız tatlı siparişini pakete koymamışlar.,8.0,8.0,10.0,1605432891
"Üçlü olarak almıştım çorba, şefin tavası ve ayran olarak ama çorba gelmedi lezzet olarak güzel..",7.0,6.0,9.0,1605432891
Patatesin üstüne tuzluk düşmüş galiba ama değiştirmemişler başka açıklamasınyok.,10.0,10.0,5.0,1605260091
Fırın sütlaç bozuktu.,10.0,10.0,1.0,1605173691
Kesinlikle tavsiye etmem ilgi alaka sıfır menü eksik geldi hiç bir şekilde muhatap yok ayran çorba eksik ama ücreti menü alıyor tavuk dünyası firmasına yakışmayan bir durum...,1.0,1.0,1.0,1604482491
Kotu.,1.0,1.0,1.0,1604099145
Notları artık dikkate alın.,1.0,1.0,1.0,1604099145
10 numara.,10.0,10.0,10.0,1604099145
Süper..,10.0,10.0,10.0,1604099145
Sipariş hem geç geldi hemde içecegimi getirmediler. Üstelik kuryenin uslubu berbat. Gidin restoranda yiyin derim.,1.0,4.0,7.0,1604099145
1 saat 20 dakika sonra geldi siparişim.,1.0,1.0,1.0,1604099145
Keske makarnalar biraz daha sıcak olsaydı ama sorun değil her şeyi çok beğendik.,8.0,10.0,8.0,1604099145
Siparişmdeki kola ile çatal yoktu.,6.0,6.0,6.0,1604099145
Siparişim gec geldi ama lezzet olarak güzeldi sadece tavukla makarna ayri olmasi bana gore degil.,5.0,7.0,8.0,1604099145
Makarnanın sosu çok azdı tavuklar biraz soğumuştı ama yinede ellerinize sağlık efendim.,9.0,9.0,6.0,1604099145
Güzel sunum ve lezzetleri iyiydi.,10.0,10.0,10.0,1604099145
