comment_text,comment_speed,comment_service,comment_taste,comment_time
Bir saatte geldi ama zaten min 60 dk idi o sebeple gayet memnunum lezzeti de sıcaklığı da yerindeydi teşekkürler.,9.0,9.0,9.0,1606558198
Bu siparişin üzerinden 3 gün geçti oda 1 saati geçtik zaman da geldi şu anda da yeni bir şipariş vermiştim onu bekliyorum 1 saat 10 dakika oldu siparişi vereli ücret ödemicem siparişi alıp kapıyı kapatıcam bu nedir arkadaş 20. 000 ışık yılı mesafeden mi geliyorsunuz.,1.0,1.0,5.0,1606385398
Soguk geldi ve sipariş eksik geldi parası tam alındı ama bu yemek sepeti den kacıcıncı eksik sipariş.,1.0,1.0,1.0,1606385398
Yavaş getirmeseniz güzelsiniz aslında.,4.0,9.0,9.0,1606298998
"Çoy uygun ve lezzetli, sadece servis geç geldi ama normal. 15 tl lik bir döner için o kadar yolu hızlı gelmek beklenemez. Dağıta dağıta geliyor normal.",6.0,10.0,10.0,1606298998
Orta.,7.0,6.0,7.0,1606126198
Ürün 85 dk da falan geldi döner soğuktu.,3.0,3.0,5.0,1606039798
Elinize sağlık teşekkürler.,10.0,10.0,10.0,1605866998
Abi hız lazım kurye alın.,1.0,2.0,10.0,1605866998
İçinde karanfil çıktı özen yok eti yanık onermiyorum.,1.0,6.0,4.0,1605694198
Geç geliyor ama yinede güzeldi.,2.0,7.0,10.0,1605607798
Hayatımda yediğim en kötü tavuk dürümdü. Dışındaki kağıdı kopartırken lavaş bile kopuyodu lezzeti zaten berbattı. İlk defa aldım bidaha aslaaaa.,1.0,1.0,1.0,1605434998
Kurye pos cihazı kullanmayı bilmiyor kanser etti bizi rezalet.,1.0,1.0,1.0,1605262198
).,10.0,9.0,10.0,1604916598
2 saatte geldi ve kurye bir özür bile dilemedi.,1.0,10.0,10.0,1604830198
2 saatte geldi kapıya asılıp kapı çalınmadan zil çalınöadan gitmişler kötü çok kötü.,1.0,1.0,1.0,1604657398
Gelen dürüm buz gibiydi.,1.0,1.0,1.0,1604570998
1 saat 15 dakika bekledim yemeğimin gelmesi için geldiğinde yemek soğuktu birkaç turşu vardı içinde çok söylediğim bir yer ama bu sefer hız konusu çok aşıldı.,1.0,3.0,4.0,1604570998
Cok gec geldi ve guzel deyildi.,1.0,1.0,4.0,1604484598
Adresi bulamadı çok geç geldi elime ulaştığında sogumustu.,1.0,5.0,7.0,1604398198
Gayet güzel ve lezzetli ve başarılı.,10.0,10.0,10.0,1604138998
Yine rezalet yine...,1.0,1.0,1.0,1604101252
2 saatte geldi dosu filsn güzeldi ama lavaş kuruydu biraz servis dede prçete ıslak mendil yoktu.,1.0,4.0,8.0,1604101252
Beni çok yanılttı bu sefer tam bir buçuk saat te geldi.,1.0,1.0,1.0,1604101252
Çok iyi lezzetli.,8.0,10.0,10.0,1604101252
