comment_text,comment_speed,comment_service,comment_taste,comment_time
Paranızla rezil olmak isterseniz burayı tercih edin gerçekten para ile rezil ediyorlar yazık yazık yazık...,1.0,1.0,1.0,1606384238
4 lahmacuna bir paket yeşillik gönderildi yettiremedik.,10.0,10.0,10.0,1606038638
"Çok hızlı, çok lezzetli, çok özenli...",10.0,10.0,10.0,1606038638
"Sıcak ve hızlı geldi gayet güzeldi lakin 10 lahmacuna bir salata yetersiz geldi inşallah bu giderilir teşekkürler,.",10.0,10.0,10.0,1605952238
Deneyin pişman olmicaksiniz eminim. Teşekkür ederiz...,10.0,10.0,10.0,1605865838
Lahmacunlar çok lezzetliydi elinize sağlık. Çok hızlı geldi fırından yeni çıkmış gibi dumanı üzerindeydi.,10.0,10.0,10.0,1605520238
"10-15 dk gibi bir sürede geldi, ellerinize sağlık.",10.0,10.0,8.0,1605520238
Güzeldi.,9.0,9.0,8.0,1605347438
5 tane lahmacun için gönderilen yeşillikler çok azdı.,10.0,5.0,9.0,1605261038
Pidenin hamuru güzel değildi.,10.0,10.0,6.0,1605174638
Bence güzeldi ama dağılmıştı ve sıcaktı yani beğendim.,10.0,8.0,10.0,1605088238
"Eskiden çok daha güzeldi. Artık lahmacun boyutları çok küçük, hamuru çok kalın ve fazla gevrek. Umarım en kısa zamanda eski haline döner.",10.0,10.0,4.0,1605001838
Teşekkürler.,10.0,10.0,10.0,1605001838
Lahmacunlar fena değildi. Kavurmalı pide de söyledik pek alışık olmadığımız şekilde üzeri hamurla kapalı şekilde geldi bizim damağımıza hitap etmedi.,10.0,10.0,6.0,1604742638
Yeşillikler kokuyordu ve lahmacunda yumuşaktı çıtır değildi. Çok kötüydü..,1.0,1.0,1.0,1604742638
Çok güzeldi herşey. Servis hızlı yemekler sıcaktı.,10.0,10.0,10.0,1604656238
Her zamanki gibi süper hızlı ve lezzetli. Birde içine kırmızı biber eklerseniz efsane olur..,10.0,10.0,10.0,1604656238
Kusbasili istedim yine kusbasi kasarli geldi salatada yok.,8.0,6.0,6.0,1604483438
Cok begendik herşeyiyle ve cok hızlı geldi teşekkur ederiz.,10.0,10.0,10.0,1604137838
Güzel.,10.0,10.0,10.0,1604100092
Harika servisleri var kibar ve lezzetli lahmacunun adresi.,10.0,10.0,10.0,1604100092
Lahmacunun hamuru kalındı ve iç malzemesinde kıymadan çok domates vardı. Ekmek arası domates yemiş gibi olduk yani. Bu restoranı seviyoruz ancak bu sever olmadı maalesef.,10.0,8.0,4.0,1604100092
Iyı.,8.0,8.0,8.0,1604100092
Lezzet herzamanki gibi güzeldi ama iki kaşarlı lahmacun u içleri birbirine dönük koymuşsunuz ayırınca üsttekinin kıyması altındakinde kaldı yani birimiz bol malzeme birimiz sadece ekmek yedi.,8.0,8.0,10.0,1604100092
Her zaman hızlı ve lezzetli.,10.0,10.0,10.0,1604100092
"Güler yüzlü abime teşekkür ediyorum. Pide baya lezzetliydi, başta salata yok sandım ama o da varmış. Ben beğendim. ).",9.0,10.0,10.0,1604100092
Lahmacun çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1604100092
Lahmacun aldık. Acılısı da acısızı da enfesdi. Umarım fiyatlarını arttırmazlar. Kesinlikle devamı gelecek.,10.0,10.0,10.0,1604100092
Her zamanki gibi chok guzeldi.,10.0,10.0,10.0,1604100092
Çok guzel.,10.0,10.0,10.0,1604100093
Acılı söylemiştim ancak normal geldi poşetin içinde pul biberde çıkmadı. Hızlı geldiği ve tadı güzel olduğu için sorun :) bir dahakine acıyı unutmazsanız daha iyi olur :).,10.0,10.0,10.0,1604100093
"Elinize saglik pide cok basariydi ancak lahmacun icin malesef o kadar basarili degildi,.",8.0,9.0,8.0,1604100093
Çok tuzluydu hepsi. Daha önce de aldık ama böyle tuzlu değildi öncekiler.,7.0,8.0,8.0,1604100093
"Lahmacunlar güzeldi, yalnız sarımsak biraz fazla gibi geldi. Hız ve servis 10 numara harika.",10.0,10.0,10.0,1604100093
Herşey çok güzeldi teşekkür ederim.,10.0,10.0,10.0,1604100093
Kuşbaşılı pideniz gayet güzel ellerinize sağlık.,7.0,8.0,8.0,1604100093
Ellerinize sağlık lahmacunlar çok lezzetliydi 10 numara.,10.0,10.0,10.0,1604100093
Harika lahmacun hızlı servis sıcak yemek.,10.0,10.0,10.0,1604100093
Çok hızlı ve başarılıydı. Teşekkürler.,10.0,10.0,10.0,1604100093
Lahmacun güzel. Hız süper. Teşekkürler.,10.0,10.0,10.0,1601470347
Hız lezzet her şey harika yorumlara da dikkat edilmiş 10/10.,10.0,10.0,10.0,1601470347
"Hızlı ve lezzetliydi, teşekkürler.",9.0,8.0,8.0,1601470347
Ellerinize sağlık.,9.0,9.0,9.0,1601470347
Hız servis ve lezzette benzersiz!,10.0,10.0,10.0,1601470347
Dominos a pizza siparişi vermektense karışık pide siparişi veriyorum süper.,10.0,10.0,10.0,1601470347
Yemek çok lezzetliydi ve sıcacıktı servis elemanı da çok samimi ve içten birisi çok nazik sadece madke takmamıştı takarsa çok daha iyi olacak.,10.0,10.0,10.0,1601470347
Sürekli burdan alıyorus aşırı hızlı ve güzel.,10.0,10.0,10.0,1601470347
Çok hızlı servisti. Ancak 2 tanesini acılı sipariş etmemize rağmen hepsi acısız geldi siparişlerin. Yoğunluktan olsa gerek.,10.0,9.0,7.0,1601470347
Pide hamuru kalındı.,10.0,6.0,6.0,1601470347
Hızlı servis güler yüzlü hizmet lahmacun tam tadında.,10.0,10.0,9.0,1601470347
Güzeldi.,10.0,10.0,10.0,1601470347
Cok hızlı ve lezzetli.,10.0,8.0,9.0,1601470347
Pppphhppp.,9.0,8.0,8.0,1601470347
Lahmacunu çok güzeldi ama bu sefer hamuru çok kalındı.,9.0,8.0,1.0,1601470347
Lahmacun hamuru dediğin ince olur artı salatının yanında da limon gönderilir.,5.0,7.0,3.0,1601470347
Lahmacun üstünde biraz daha çalışılması lazım. Tadı lezzeti iyi değildi.,10.0,5.0,4.0,1601470347
Lahmacunun lavası çok kalındı ekmek gibiydi ve asla bildiğimiz lahmacun tadı yoktu yani kıyma vs ben begenmedim yine de ellerinize saglık.,8.0,1.0,1.0,1601470347
Lahmacunun alışık olduğumdan farklı bi tadı vardı pek beğenmedik ama pide güzeldi.,9.0,9.0,7.0,1601470347
Salata rica etmeme rağmen pidenin yanına azcık salata koymamış.,5.0,1.0,5.0,1601470347
Her şeyiyle mükemmel ötesiydi.,10.0,10.0,10.0,1601470348
Başarılı.,10.0,10.0,10.0,1601470348
Daha fazla puan olsa daha fazla veririm ama max 10 çok iyi.,10.0,10.0,10.0,1601470348
Lahmacun bilmiyorum ama pide lezettli ve doyucuydu tek sorun acılı ve acısız olarak sipariş etmiştik lahmacunu hepsini aynı yere sarmışlar ayırt edemedik..,10.0,8.0,10.0,1601470348
10 numara her zamankı gibi.,10.0,10.0,10.0,1601470348
Herşey gayet güzeldi.,10.0,10.0,10.0,1598840602
Hızlı ve lezzetli yerli pizza :).,10.0,10.0,10.0,1598840602
