comment_text,comment_speed,comment_service,comment_taste,comment_time
Motorları bozulmasına rağmen gayet hızlı geldi üstelik telefonla bilgilendirme yaptılar oldukça kibarlar lezzet olarakta gayet iyi.,10.0,10.0,10.0,1606470691
Çok taze ve lezzetliydi lavaşları tazeydi.,10.0,10.0,10.0,1606297891
Kurye çok yakışıklı -davut.,10.0,10.0,10.0,1606038691
Daha öncekilerden farklı bir tat var çiğköftede.,10.0,10.0,8.0,1605952291
Yarım kilo çigkofteye konulan yesillik ve 4 tane lavas oldukca yetersiz. Siparis yanina yazılan notlara dikkat edilirse çok iyi olur. Lezzet hız on numara ama yanında yollananların miktarına dikkat edilsin lütfen...,10.0,1.0,10.0,1605693091
Bayıldım harıka bir ellerinize sağlık.,10.0,10.0,10.0,1605606691
Rakipsiz ).,10.0,10.0,10.0,1605520291
500 gram çigkofteye konulan göbek salata miktarını az buldum. Yanındaki lavaslardan bir kacı parçalanmıştı bunlar dışında lezzete diyecek lafim yok memnunuz.,10.0,6.0,10.0,1605174691
Gayet güzel tşk.,10.0,10.0,10.0,1605174691
Yediğim en güzel çiğkoftelerden biri fakat marul ve sos az geldi.,8.0,5.0,10.0,1605001891
Tşk. Ler.,10.0,10.0,10.0,1604310691
Son derece hizli bir teslim oldu çok teşekkur ederim. Ayrica mutinin lezzet tavsiyeleri bir harika. Çok ilgili ve titiz bir isyeri. Tebrik eder başarilar dilerim...,10.0,10.0,10.0,1604100145
Organızazyonumuza gösterdiğiniz ilği ve alaka için çok tşk ederim gelen misafirlermizde lezzetinizi ve sunumuzu beyendiler hayırlı işler.,10.0,10.0,10.0,1604100145
Enfes ellerinize sağlık.,10.0,10.0,10.0,1604100145
Gecenin bu saatinde hızlı bir şekilde geldi. Lezzette mükemmel teşekkürler :).,10.0,10.0,10.0,1604100145
Tek kelimeyle mükemmelsiniz tebrikler.,10.0,10.0,10.0,1604100145
Lezzet ötesiydi ellerinize saglık tavsiye ederim.,10.0,10.0,10.0,1604100145
Beğendim elinize sağlık :).,10.0,10.0,10.0,1604100145
Her zamanki gibi harıka.,10.0,10.0,10.0,1604100145
Ellerinize sağlık.,10.0,10.0,10.0,1604100145
İstediğim gibi geldi ve lezzetliydi.,10.0,10.0,10.0,1604100145
Çok teşekkür ederim.,10.0,10.0,10.0,1604100145
Tşk. Ler.,10.0,10.0,10.0,1604100145
Mükemmellikte son nokta.,10.0,10.0,10.0,1604100145
"Çiğ köftesini beğendim, güzel yoğurulmuş, takır takır ağıza gelmiyor, tadı, acısı, baharatı olması gerektiği gibi. Servisi de iyiydi, yeşilliği, sosu vs yeteriydi. Gayet lezzetli, tavsiye ederim.",10.0,10.0,10.0,1604100145
500 gram çiğköfteye 30tl ödüyorum. Kuş kadar 1 adet acı sos konuyor. Bu acı sos nedir anlamadım ne kadar değerli bir şey. Göbek de çok azdı.,10.0,3.0,8.0,1604100145
Çok hızlı servis mükemmel lezzet.. Kesinlikle tavsiye ediyorum.,10.0,10.0,10.0,1604100145
"Tşk ederim. Herzaman taze, her zaman güzel hizmet.",10.0,10.0,10.0,1604100145
Ellerinize sağlık çok güzel.,10.0,10.0,10.0,1604100145
Lezzetli mükemmel.,10.0,10.0,10.0,1604100145
Mükemmel bir lezzet.,10.0,10.0,10.0,1604100146
Çok güzel olmuş teşekkür ederim.,10.0,10.0,10.0,1604100146
Beyenmedim.,1.0,1.0,1.0,1604100146
Her şey mükemmel.,10.0,10.0,10.0,1601470400
Her zamanki gibi harika :).,10.0,10.0,10.0,1601470400
Tavsiye ederim hem hijyenik hem lezzet mükemmel.,10.0,10.0,10.0,1601470400
Çok güzel olmuş ellerinize sağlık.,10.0,10.0,10.0,1601470400
Lezzeti.,10.0,10.0,10.0,1601470400
Ellerinize sağlık.,10.0,10.0,10.0,1601470400
Fena değil.,8.0,8.0,8.0,1601470400
Teşekkürler elinize sağlık.,10.0,10.0,10.0,1601470400
Enfes lezzetli.,10.0,10.0,10.0,1601470400
Harikasınız ellerinize sağlık.,10.0,10.0,10.0,1601470400
Herzaman ki gibi mükemmelsiniz.,10.0,10.0,10.0,1601470400
Gayet güzeldi ellerinize sağlık.,10.0,10.0,10.0,1601470400
Mükemmel lezzet kesinlikle tavsiye ederim.,10.0,10.0,10.0,1601470400
Mükemmel.,10.0,10.0,10.0,1601470400
Ayranimi getirmeyi unuttular.,9.0,3.0,8.0,1601470400
Sipariş verirken adresi yanlış verdiğim için ufak bir karışıklık oldu kuryeyi biraz uğraştırdım. Yine de güler yüzünü eksik etmedi anlayışlı bir şekilde siparişimi teslim etti. Lezzet desen zaten mükemmel :) tekrar teşekkür ederim. Ellerinize sağlık :).,10.0,10.0,10.0,1601470400
Harika ellerinize sağlık.,10.0,10.0,10.0,1601470400
Gayet hızlı ve lezettli tek sorun limonun içi geçmişti.,10.0,10.0,9.0,1601470400
Ef sa nee.,9.0,9.0,10.0,1601470400
Ellerinize sağlık.,10.0,10.0,10.0,1601470400
Lezzet servis 10 numara daha iyi bi çiğköfte yiyebiliceğimi düşünmüyorum.,10.0,10.0,10.0,1601470400
Çok güzeldi herşey için teşekkürler..,10.0,10.0,10.0,1601470400
"İlgili, ve alakalı bir işyeri, ve çok lezzetlitşk ederim.",10.0,10.0,10.0,1601470400
Harıka mükemmel enfest.,10.0,10.0,10.0,1601470400
Tşklr harıkaydı.,10.0,10.0,10.0,1601470400
Çok güzeldi hizmette 10 numara herkese tavsiye ederim.,10.0,10.0,10.0,1601470400
Harikaydı teşekkürler.,10.0,10.0,10.0,1601470400
Musteri memnuniyeti gayet guzel tesekkurler.,10.0,10.0,10.0,1601470401
Çok güzel bir lezzet herkesin yemesini tavsiye ederim.,10.0,10.0,10.0,1601470401
Harikaydı servis lezzet ellernize saglik bayildim.,10.0,10.0,10.0,1601470401
Her zamanki gibi mükemmel lezzet.,10.0,10.0,10.0,1601470401
Hizli ve lezzetliydi teşekkürler hayırlı işler.,10.0,10.0,10.0,1601470401
Her zamanki gibi mükemmel...,10.0,10.0,10.0,1601470401
Kötü.,1.0,1.0,1.0,1601470401
Yorumlar gerçektende yerinde çünkü mukemmeldi utandım gece birdaha soylemeye.,10.0,10.0,10.0,1598840655
Siparişi verir vermez sağolsun ilgilendiler. Lokmalar geldiğinde hala sıcacıkti. Tadı da gayet güzeldi. Kendileri de gayet kibar ve anlayışlı. Bir müşteri kazandılari kesin :).,10.0,10.0,10.0,1598840655
Limonlar kötü suyu lek çıkmıyor onun dışında iyi.,10.0,8.0,9.0,1598840655
Siparişi almaya beni çağırdılar acelesi varmış arkadaşın.,5.0,1.0,8.0,1598840655
Gayet güzeldi.,9.0,9.0,9.0,1598840655
Çok güzel ama çok dağınık geliyor.,10.0,10.0,10.0,1596210909
Güzel normal sait çiğköfte. Bir dürüm getirmiyorlarmış ama kırmayıp getirdiker bu seferlik.,10.0,10.0,10.0,1596210909
Tek çiğköfte dürüm söylememe rağmen kırmadılar getirdiler.,9.0,9.0,8.0,1596210909
Teşekkürler.,10.0,10.0,10.0,1596210909
Herzaman buradan sipariş veriyorduk ama min. Tutar arttığı için maalesef başka çiğköfteci denemek zorunda kaldık.,10.0,7.0,10.0,1596210909
Tek sorun adresi okumadan telefondan aldığı iki üç bilgiyle ilerlemeye çalışmasıydı onun haricinde her şey çok güzeldi:).,10.0,10.0,10.0,1596210909
Her şey çok güzeldi thank you.,10.0,9.0,9.0,1596210909
"Hızlı, lezzetli ve paraya değer.",10.0,10.0,10.0,1596210909
Çok hızlıydı.,10.0,10.0,10.0,1596210909
Ben böyle birşey görmedim mükemmeldi.,10.0,10.0,10.0,1596210909
Efsane.,10.0,10.0,10.0,1596210909
Efsane.,10.0,10.0,10.0,1593581163
Aşiri hizli ve lezzetliydi zaten 10 puan verdim sadece islak mendil vs koymamislardi. Ama yinr siparis veririm.,10.0,9.0,10.0,1593581163
"Lezzet, hız vs süperdi. Sadece ıslak mendil koyulsa daha iyi olur.",10.0,9.0,10.0,1593581163
Gerçekten 10 puanın hakkını vermişsiniz teşekkürler.,10.0,10.0,10.0,1593581163
 önceden sadece adıyaman çiğ köftesi yiyen biri olarak açık bi şekilde söyleyebilirim ki hem hız hem lezzet konusunda birebir elinize emeğinize sağlık.,10.0,10.0,10.0,1593581163
Cigkoftenin yanina 2 ayran istemistim gelmemis.,9.0,2.0,2.0,1593581163
Efsaneydi.,10.0,10.0,10.0,1593581193
Ayran patlamış ve tüm ürünleri ıslatmıştı kendi sosu da poşete akmıştı hızlı geldi ama sağlam gelmedi poşetin içinde hepsi birbirinine karışmış haldeydi.,8.0,3.0,4.0,1593581193
Esnaf olarak belki gölcükte cımbızla seçilip tercih edilecek kişilerden ama lezzet ve servis konusunda biraz daha toparlanmalisiniz teşekkürler iyi insan iyi esnaf olduğunuz için.,10.0,8.0,7.0,1593581193
Çok lezzetliydi.. !,10.0,10.0,10.0,1593581193
Muticim dürümünüz çok güzeldi ellerinize sağlık çok teşekkür ederim...,10.0,10.0,10.0,1593581193
Elime çok hızlı ulasdi ve lezzeti de gayet iyiydi her şey için teşekkürler.,10.0,9.0,10.0,1593581193
Güzel diğer ikisinden daha iyi ve bol malzemeli.,10.0,10.0,10.0,1593581193
Bu civarda yediğim en güzel çiğköfteydi ellerinize sağlık servistende çok memnun kaldım işinizin hakkını veriyorsunuz yeni favorim artık sizsiniz.,10.0,10.0,10.0,1593581193
