comment_text,comment_speed,comment_service,comment_taste,comment_time
Hız servis lezzet çok güzeldi.,10.0,10.0,10.0,1606721601
Herşey çok güzel teşekkürler.,10.0,10.0,10.0,1606635201
Sıcak ve tazecik geldi teşekkürler.,10.0,10.0,10.0,1606635201
Herşey harika teşekkür ederim. Hayırlı işler.,10.0,10.0,10.0,1606635201
Hayatımda yediğim en lezzetli börekti pasta ikraminiz icinde çok teşekkürler.,10.0,10.0,10.0,1606635201
Tatlı ikramınız için çok teşekkürler. Çok incesiniz. Açmalar börekler tartışmasız en iyisi.,10.0,10.0,10.0,1606635201
Mantarlı kaşarlı su böreği sipariş etmiştim. Peynirli su böreği geldi.,10.0,7.0,10.0,1606635201
Cok lezzetliydi.,10.0,10.0,10.0,1606635201
Lezzetli ve çok güzel bir şekilde geldi bütün ürünler. Herkese tavsiye ediyorum. Güvenle alabilirsiniz.,10.0,10.0,10.0,1606635201
"Uzun süredir sipariş verdiğimiz bir yer göçmen. Ürünlerden, lezzetten ve hızlı gelmesinden memnunuz. Teşekkür ederiz. Bu zor günlerde kaliteli hizmet vermeye çalışan nadir işletmelerden. Tavsiye ederiz.",10.0,10.0,10.0,1606635201
Cok guzeldi ve yanin da ikram selamun aleyküm verdiler. Harikasiniz.,10.0,10.0,10.0,1606635201
Börek sıcak ve tazeydi ayrıca ikram için teşekkür ederim.,10.0,10.0,10.0,1606635201
Her şey çok güzeldi. Yanında gönderdiğiniz tatlı için de teşekkür ederim.,10.0,10.0,10.0,1606635201
Ürünlerin sıcacık geldi kesinlikle denemelisiniz ikram içinde teşekkür ederiz.,9.0,10.0,10.0,1606548801
Lezzeti güzel bazen sipariş ettiğiniz ürün olmayabiliyor arayıp düzeltiyorlar elinize sağlık.,9.0,9.0,9.0,1606548801
Ürünler lezzetli ve tazeydi. Siparişte değişiklik olmak durumda kalmıştı ancak fazlasıyla telafi edildi kesinlikle tavsiye ederim.,10.0,10.0,10.0,1606548801
Hayatımda yediğim en iyi börekti. Sipariş çok hızlı geldi. Mükemmel hizmet için teşekkürler.,10.0,10.0,10.0,1606548801
Cadde alyansa 15 dk da geldi. Sicakti begendikkk.,10.0,10.0,10.0,1606548801
Taze sıcak hızlı.,10.0,10.0,10.0,1606462401
Geç saat olmasına rağmen çok beğendik.,10.0,10.0,10.0,1606462401
Efsane.,10.0,10.0,10.0,1606462401
"Sabah kardeşim börek sipariş etmiş, ikram olarak 4 tane tatlı koymuşlardı. Sonra tatlıları aşırı beğendiğimiz için söyleyelim dedik bana da joker geldi misafirlere de kurtarıcımız oldu resmen:) her şey mükemmeldi ilginize çok teşekkür ederiz bunca zaman yanınızdan geçerken fark etmemişiz bu lezzeti.",10.0,10.0,10.0,1606462401
"Öncelikle fazla çatal rica etmiştim koymamışlar. Kaşarlı su böreği sipariş ettim, kavurmalı geldi. Lezzetliydi fakat yanlış siparişti. Sıcak, lezzetli ve hızlı.",10.0,10.0,10.0,1606462401
Muhteşemdi.,10.0,10.0,10.0,1606462401
Çok hızlı geldi. Börekler harika. Şu an favorim simit pizza.,10.0,10.0,10.0,1606462401
Gerrcekten gözüm kapalı sipariş veriyorum lezzette harika notlarida es geçmeyen bir biyer minik ikraminiz içinde ayrıca teşekkür ediyorum çok naziksiniz hayırlı işler diliyorum.,10.0,10.0,10.0,1606462401
Gerçekten börekleri harika. Sipariş hızlı geldi kurye arkadaşlara teşekkür ederim.,10.0,10.0,10.0,1606462401
Helal olsun her şey çok güzeldi.,10.0,10.0,10.0,1606462401
Patatesli açma istedim 2 tane poğaça geldi bu 2 oldu birdaha sipariş vermeyelim diye mi yapıyosunuz acaba anlamadım gerçekten.,10.0,4.0,6.0,1606376001
Her zamanki lezzet yok borekte yağ kokusu var ve çok fazla pişmiş son gelen iki siparis.,10.0,10.0,1.0,1606376001
Her zamanki lezzet yok borekte yağ kokusu var ve çok fazla pişmiş son gelen iki siparis.,10.0,10.0,1.0,1606376002
İlk defa sipariş verdim ve memnun kaldım. Siparişim vaktinde geldi. Lezzet olarak su böreğine bayıldım. Kıymalı böreği de güzeldi. Ekler tatlısını beğenenler varsa tavsiye ederim.,10.0,10.0,10.0,1606376002
Lezzet güzeldi de keşke içeçeği unutmasaydınız.,10.0,7.0,10.0,1606376002
Notu dikkate aldığınız için teşekkür ederim. Her şey tek tek paketlenip sıcak şekilde geldi. Söylerken aklımda soru işaretleri vardı ama verdiğim parayı sonuna kadar hakediyorsunuz. Çok beğendik.,10.0,10.0,10.0,1606376002
Sıçak ve hızlı servisti küçük hediyeniz içinde teşekkürler.,10.0,10.0,10.0,1606376002
Her şeyiyle çok beğendim lakin bir tek ricam var gebzede yemek taşıyan neredeyse istisnasız tüm kuryelerintr afik canavarı olmaları sebebiyle kuryelerinizetr afik canavarı olmamaları konusunda uyarıda bulunmanızı o sınıfa dahil olmamak adına ellerinden geleniyapmalarıkonusundadesteğiniziricaederim.,10.0,10.0,9.0,1606376002
Çok iyi idi.,10.0,10.0,10.0,1606376002
Karantina zamanı tek börek aldığım adrestir.,10.0,10.0,10.0,1606376002
Efso.,10.0,10.0,10.0,1606376002
"Siparişte gecikme olduğu için ekler ikram edilmiş, çok incesiniz teşekkür ederim.",8.0,10.0,9.0,1606289602
Çok hızlı geldi ve çok lezzetliydi.,10.0,10.0,10.0,1606289602
İkinci siparişim ve lezzet gerçekten süperdi fırından yeni çıkmış gibiydi teşekkürler.,10.0,10.0,10.0,1606289602
Eğer siparişi bu restorandan veriyorsanız börek yemenin bir saati olmaz.,10.0,10.0,10.0,1606289602
Efsane.,10.0,10.0,10.0,1606289602
Her şey çok lezzetliydi çok keyif aldık. Hız ve servis için de çok teşekkür ederiz.,10.0,10.0,10.0,1606203202
Börek yemek isteyene kesinlikle tavsiye ederim özellikle küt böreği.,10.0,10.0,10.0,1606203202
"Yaş pastası mükemmeldi. Çikolata yoğunluğu, meyvelerin tazeliği harikaydı. Misafirlerim bayıldı. Bundan sonra tek adresim burası.",10.0,10.0,10.0,1606203202
Geç saatte sipariş vermemize rağmen oldukca taze geldi. Joker projesine rağmen diğer restoranlar gibi kısmamışlar. İkram için çok tşk. Elinize sağlık..,10.0,10.0,10.0,1606203202
