food_id,food_name,food_price,food_category,food_score
2996c238-863a-4dcc-b034-08abfa6d93fc,Klasik Kahvaltı Tabağı,"33,00 TL",Kahvaltılıklar,4.0
989d47a6-4925-4847-b862-8b164039bf3b,Sıcak Kahvaltı Tabağı,"38,00 TL",Kahvaltılıklar,5.0
a5bb5779-8f15-4dbe-97c9-1b65dd807d2f,Klasik Menemen,"20,00 TL",Kahvaltılıklar,3.0
a6e4c010-1d7a-457d-a26b-1b834ccaaa57,Sucuklu Menemen,"23,00 TL",Kahvaltılıklar,4.0
ec297cff-c02a-435f-8113-5d7042d033e6,Peynrili Menemen,"21,00 TL",Kahvaltılıklar,9.0
d51c5a2c-3de7-4cfa-9d89-e777ab7dfc0b,Tereyağlı Yumurta,"16,00 TL",Kahvaltılıklar,5.0
ee60f4ba-1228-4d9c-9ea5-16f8594f5ce5,Tereyağlı Sucuklu Yumurta,"22,00 TL",Kahvaltılıklar,5.0
a04a39da-8b8c-43ef-8f17-b4c5b6ef7bbc,Rafadan Yumurta,"3,00 TL",Kahvaltılıklar,5.0
9672d4eb-1fab-4a3d-a1f7-4c34e8f19010,Simit,"3,00 TL",Kahvaltılıklar,5.0
3c61dda0-1ef5-4b82-b4a4-98c44a58bf9e,Kaşarlı Simit,"8,00 TL",Kahvaltılıklar,5.0
138a29ff-d79c-4302-b148-731720b7608c,Beyaz Peynirli Simit,"7,00 TL",Kahvaltılıklar,4.0
f6ccd862-03d5-401e-a2ab-9500ef7cbddb,Sade Omlet,"18,00 TL",Omletler,4.0
f298bf85-6ddd-43e5-b02c-ae4759a2440f,Sucuklu Omlet,"22,00 TL",Omletler,5.0
db2b7fcb-425b-49fb-8cc5-1ef50975225c,Kaşarlı Omlet,"21,00 TL",Omletler,5.0
7a194450-add6-4750-88f3-af4514f8e7c9,Karışık Omlet,"23,00 TL",Omletler,3.0
15ca3172-1ff9-41df-825d-e58889af7e1d,Mantarlı Omlet,"20,00 TL",Omletler,5.0
fefea13e-7b98-4d83-a772-855b6be1c664,Patatesli Gül Böreği,"6,00 TL",Börekler,5.0
16881b3a-13a3-4d6a-99f4-d11414ea8e17,Kıymalı Kol Böreği,"12,00 TL",Börekler,5.0
ea2a1f81-093c-4451-b56f-48f5b04ace2e,Patatesli Kol Böreği,"12,00 TL",Börekler,6.0
b88e694e-8d99-4331-9f9b-49e8d78eeeb5,Kaşarlı Tost,"12,00 TL",Tostlar,4.0
3876a5a8-bc36-4449-b951-d97c626a4078,Sucuklu Tost,"14,00 TL",Tostlar,4.0
10663ffe-1107-4476-90b5-9327aa823e72,Karışık Tost,"15,00 TL",Tostlar,7.0
bfa9de59-6684-45cf-9952-94f57dbc6070,Diyet Tost,"12,00 TL",Tostlar,4.0
1a144dc0-a9d4-4f61-baed-df8d3b54df7e,Seyidoğlu Spesiyal Tost,"21,00 TL",Tostlar,6.0
71048a51-5403-43a3-a77e-95ad97df1c44,Beyaz Peynirli Simit Sandviç,"8,00 TL",Sandviçler,5.0
db3c128c-3ef0-4beb-8511-47f87bbc539f,Kaşarlı Simit Sandviç,"8,00 TL",Sandviçler,6.0
3355e9af-b6a4-4245-ad88-f0e4ae808191,Baget Ekmeğie Klasik Sandviç,"17,00 TL",Sandviçler,5.0
0b1f43a5-3913-4a57-857f-a767886f75e5,Klasik Kepekli Sandviç,"14,00 TL",Sandviçler,4.0
