comment_text,comment_speed,comment_service,comment_taste,comment_time
Patateslerin tuzlu olmasi disinda sorun yoktu begendik kofteler guzeldi doyurucu ve lezzetli tesekkurler.,10.0,9.0,10.0,1606733217
Bayılıyorum buraya! Hem lezzetli hem doyurucu hem de uygun fiyatlı olması muhteşem! Hep böyle kalın lütfen.,10.0,10.0,10.0,1606646817
Kuryedeki arkadaş çok içten samimi ayağına sağlık tek eksiğiniz acı ve nar ekşisi acıyı geçtim nar ekşisiz çiğköfte olmaz.,10.0,10.0,10.0,1606646817
Çok hızlı geldi bana uzak olmanıza rağmen bunun için teşekkür ederim. Lezzet olarakta güzel sadece bir eleştirim olacak patates almıştım en büyük boyu 13 tl di sanırım 13 tl ye göre azıcık patates geldi ya fiyatını azaltın ya patatesi biraz daha koyabilirsiniz :).,10.0,10.0,10.0,1606560417
Hız hizmet çok güzel ama köfteyi hazır köfte kullanmasanız herşey çok daha güzel olabilir.,10.0,10.0,7.0,1606474017
Hem sıcak hem lezzetliydi elinize sağlık.,9.0,10.0,10.0,1606474017
Kurye abiye selamlar hem hizli geldi hemde ikram yapmislar ekstra olarak. Gayet sicak ve lezzetli idi tesekkurler.,10.0,10.0,10.0,1606474017
Kurye abiye selamlar 10 numara adam 10 dakikada getirdi.,10.0,10.0,10.0,1606387617
Patso daha güzel olabilirdi.,8.0,8.0,8.0,1606387617
"Soğan halkaları yanık derecesinde çok pişmişti sadece o yüzden eksik puan verdim, onun haricinde servis, hız, ilgi alaka ve lezzet çok iyi.",10.0,10.0,8.0,1606387617
Gelirken patateslerin hepsi poşete dökülmüştü. Jokerle aldık diyemi bilmiyorum ama mega patatesin fiyatı 18 tl ama kutuda çok az vardı bir patates kızartması için 18 tl porsiyonuna göre değildi çok azdı. Tavuk döner güzel ama ekmeği çok küçük. Kızım bile doyamadı.,8.0,5.0,8.0,1606387617
Sizden ikince kez siparisim lezzetiniz hızınız için teşekkür ederim ürünler gayet sıcak ti tostunuzuda denedim bayıldım hizmetiniz için teşekkür ederim.,10.0,10.0,10.0,1606387617
Gerçekten efsane bir tosttu hem sıcak hemde hızlı geldi. Teşekkür ederim ilginizden dolayı.,10.0,10.0,10.0,1606387617
Herşey çok güzeldi ellerinize saglık bir kaç kişi kötü yorum yapmış oyuzden cekinmistim aslında ama iyiki vermişim sipariş cok lezzetli sıcak ve hızlı geldi.,10.0,10.0,10.0,1606387617
