food_id,food_name,food_price,food_category,food_score
A764EAC7-D7C3-4366-B7AE-8DE394452BD2,Acıktım Menü 1,"19,00 TL",Günlük Ev Yemeği Menüleri,10.0
C6BFC4C3-A0D5-4888-9BBA-7511D4C7F36A,Acıktım Menü 2,"16,00 TL",Günlük Ev Yemeği Menüleri,3.0
6502673e-5028-48f0-8355-088ba6d9c359,Güveçte Furu Fasulye Menü,"19,00 TL",Günlük Ev Yemeği Menüleri,5.0
44061e56-b0ce-41c6-ac3a-847621cee43f,Acıktım Menü 4,"16,00 TL",Günlük Ev Yemeği Menüleri,5.0
d8ef594f-943d-424d-99b6-83e9849de975,2'li Çıtır Tavukburger Menü,"18,00 TL",Ekonomik Menüler,5.0
3412b2db-0698-44bb-bb37-6a464c8c7d0d,2'li Schnitzel Menü,"20,00 TL",Ekonomik Menüler,5.0
da4daa29-de4e-4d7a-940b-a3b67e1b1e28,3/4 Ekmek Arası Nugget Menü,"16,00 TL",Ekonomik Menüler,5.0
adae3d88-c141-4c41-bd75-60cdcc2e3154,Adapazar Usulu Islama Köfte Menü,"25,00 TL",Ekonomik Menüler,6.0
90aac3fd-a593-4eb0-a623-db53876b7f46,Ev Yapımı Köfte Menü,"20,00 TL",Ekonomik Menüler,6.0
67172f0c-c256-455b-a133-c2a623552598,Hamburger Menü,"22,00 TL",Ekonomik Menüler,5.0
e28d2b2f-002c-455a-9443-e6d97d68a7e6,Tam Ekmek Arası Nugget Menü,"20,00 TL",Ekonomik Menüler,5.0
6b63e475-6a47-4926-8737-1858cd476a63,Tam Ekmek Arası Schnitzel Menü,"20,00 TL",Ekonomik Menüler,5.0
d17a04e9-a31d-46a8-a997-2f1f36c41a94,Yarım Ekmek Arası Nugget Menü,"15,00 TL",Ekonomik Menüler,5.0
8ec7688a-eed5-40ef-b95a-df397f24a022,Yarım Ekmek Arası Schnitzel Menü,"15,00 TL",Ekonomik Menüler,5.0
babc0b18-0c11-4fa8-ad78-d8c1a3fa2045,Yengen Tost Menü 1,"18,00 TL",Ekonomik Menüler,5.0
9a77a078-1cde-40f1-b4d6-4fe8dfcb8aea,Yengen Tost Menü 2,"21,00 TL",Ekonomik Menüler,3.0
adc0227e-84b9-41ce-a4e6-50f4ebeb780f,Yengen Tost Menü 3,"24,00 TL",Ekonomik Menüler,5.0
bb73c981-5003-44a3-aafa-e7195ab25d65,3/4 Ekmek Arası Ev Yapımı Izgara Köfte Menü,"21,00 TL",Ekonomik Menüler,4.0
062fa513-28a1-4c0f-930a-4f1adbd40f4e,3/4 Ekmek Arası Tavuk Döner Menü,"18,00 TL",Ekonomik Menüler,9.0
32fd57d3-f480-4fe2-9853-77db702615b5,3/4 Ekmek Arası Tavuk Tantuni Menü,"18,00 TL",Ekonomik Menüler,5.0
fcf51a64-225f-448e-a4b5-6502e7a3d153,Ekonomik Öğrenci Menü,"19,00 TL",Ekonomik Menüler,5.0
0a708c10-8820-4eb4-a6cf-f88bf81c56fe,Ekonomik Öğrenci Menü 2,"17,00 TL",Ekonomik Menüler,3.0
d6fe5506-ffc9-413d-9637-4a42479404a2,Ekonomik Öğrenci Menü 3,"17,00 TL",Ekonomik Menüler,5.0
92000ca0-35a4-4b46-b2fe-4d36d77a547c,Tam Ekmek Arası Izgara Köfte Menü,"25,00 TL",Ekonomik Menüler,4.0
8cd337c9-aa8e-43d9-9e30-5974514f56ba,Tam Ekmek Arası Tavuk Döner Menü,"21,00 TL",Ekonomik Menüler,9.0
f6ae31c4-987c-44af-a2bf-4e2612111f0a,Tam Ekmek Arası Tavuk Tantuni Menü,"21,00 TL",Ekonomik Menüler,5.0
55fa3bb1-58c5-4009-a38e-1826445c4146,Yarım Ekmek Arası Ev Yapımı Izgara Köfte Menü,"16,00 TL",Ekonomik Menüler,4.0
c43c1bcd-2a8b-43de-9d5e-b782f9a8dafe,Yarım Ekmek Arası Tavuk Döner Menü,"16,00 TL",Ekonomik Menüler,9.0
97772b13-83c8-4c91-8d05-2370092d537e,Yarım Ekmek Arası Tavuk Tantuni Menü,"16,00 TL",Ekonomik Menüler,5.0
defab28e-7220-4c5e-8a70-1e7c3060f3ca,Bol Bol Tavuk Şiş Menü,"20,00 TL",Tavuk Menüleri,9.0
940708b1-a952-4ccf-8316-a2387e1c6531,Bol Bol Tavuk Kanat Menü,"21,00 TL",Tavuk Menüleri,9.0
E4633851-1FD9-4628-95F2-64431BB93CE1,Tavuk Şiş Menü 1,"20,00 TL",Tavuk Menüleri,9.0
846FE4D5-6C98-404D-BAB6-4B6ADB22267E,Tavuk Şiş Menü 2,"23,00 TL",Tavuk Menüleri,7.0
9584CF98-CF64-4345-A3F2-029C4F8A3288,Karışık Izgara Menü 1,"35,00 TL",Tavuk Menüleri,3.0
3524B8A9-6FF6-489D-97DB-4B5EEFE9EB50,Karışık Izgara menü 2,"27,00 TL",Tavuk Menüleri,1.0
dfbd7e61-dad7-4835-8099-04b288d5299d,Çoklu Hamburger Menü,"32,00 TL",Çoklu Menüler,5.0
3bda525f-8e8b-4aa7-a5b4-2d2f9098c97d,4'lü Çıtır Tavukburger Menü,"28,00 TL",Çoklu Menüler,5.0
a37df2f1-30a8-4f24-941b-fc6eab56136b,Çoklu Tantuni Dürüm Menü,"22,00 TL",Çoklu Menüler,1.0
259f2f68-2be5-4823-a5c0-fdb463e2fd1a,Çoklu Tavuk Döner Dürüm Menü,"22,00 TL",Çoklu Menüler,9.0
872aab05-9a28-4663-9b20-51a1b499b1c1,Çoklu Çiğ Köfte Dürüm Menü,"11,00 TL",Çoklu Menüler,6.0
A9CB6D9B-E0D5-4FF0-985B-38AFA6EB4ED4,Kahvaltı Tabağı,"18,00 TL",Kahvaltılıklar,5.0
F7229C8E-6A05-41F4-8596-89BD34AAE18B,Kaşarlı Menemen,"15,00 TL",Kahvaltılıklar,5.0
288a8580-eafc-448d-a7ac-42c932567ad9,Menemen,"13,00 TL",Kahvaltılıklar,10.0
146adab4-a957-4cff-94cb-075ee0b632ed,Sade Omlet,"8,00 TL",Kahvaltılıklar,5.0
83757c30-a103-44e7-b8e4-485d0610cb16,Peynirli Omlet,"10,00 TL",Kahvaltılıklar,5.0
ddfe2c63-53f0-491e-8faa-103ecda6b3f4,Sucuklu Omlet,"10,00 TL",Kahvaltılıklar,5.0
4bcccb4f-8082-44ba-b087-cbe504e4a8bc,Sosisli Omlet,"10,00 TL",Kahvaltılıklar,5.0
fcbdabf1-2f05-4e15-a1e8-2af028e41602,Karışık Omlet,"12,00 TL",Kahvaltılıklar,5.0
4c9c6a15-613c-4ddf-905f-9a879ce51a91,Güveçte Kuru Fasulye,"11,00 TL",Ana Yemekler,5.0
25a3e553-65c9-4727-a458-31b7716fcb67,Kıymalı Yeşil Mercimek Yemeği,"10,00 TL",Ana Yemekler,5.0
