comment_text,comment_speed,comment_service,comment_taste,comment_time
Guzeldi.,7.0,10.0,8.0,1606649363
Vasatın üstü.,7.0,7.0,7.0,1606476563
Her zaman ki gibi çok lezzetli ve porsiyonu kocaman olarak geldi.,10.0,10.0,10.0,1606476563
Başarılı.,10.0,10.0,10.0,1606390163
Döner mükemmel ama soğansız istediğimiz halde soğanlı geldi :(.,9.0,10.0,10.0,1606390163
Mükemmel.,10.0,10.0,10.0,1606390163
Muazzam ben böyle birşey görmedim hergün tavuk döner yiyoruz evde.,10.0,10.0,10.0,1606303763
Fazla iyi.,10.0,10.0,10.0,1605958163
Maşallah allah nazarlardan saklasın dayıcım.,10.0,10.0,10.0,1605871763
Tavuk gayet lezzetli. Tam ekmeğin içi bir tık azdı. Elinize sağlık.,8.0,10.0,10.0,1605871763
Dürümler efsane gerçekten küçükken 2 tlye yediğim enfes dönerleri hatırladım mukemmelsiniz gerçekten urunleriniz hizmetiniz kaliteli bravo.,10.0,10.0,10.0,1605871763
Her siparişimde aynı kalite ve hız.,10.0,10.0,10.0,1605698963
Tavuk işinde daha iyisi yok.,10.0,10.0,10.0,1605439763
İlk ısırışlarda farklı bir baharat geliyor kekik sanırım ama harika tabiki elinize.,10.0,10.0,8.0,1605094163
Her zamanki gibi güzel ve hızlı.,10.0,10.0,10.0,1605007763
Kurye abi yağmurlu havada bile çok hızlı ve sıcak bir şekilde getirmişti üstelik döner çok da lezzetliydi belki yanında turşu da yollanabilirdi ama yinede bu güzel hizmet için teşekkür ediyorum.,9.0,9.0,9.0,1605007763
"Tavuk kanat çok başarılıydı, kurye bey de çok kibar ve güler yüzlüydü. Teşekkürler.",9.0,10.0,9.0,1604834963
Herzaman soukeyip lezzetini beğendiğim yer. Ellerinize sağlık. Ayrıca kurye çok güler yüzlü.,10.0,10.0,10.0,1604748563
10 numara.,10.0,10.0,10.0,1604748563
Marketlerde satılan hazır döneri ısıtıp soğuk ekmeğin arasına koyup müşteriye et döner diye satmak nasıl bir esnaflıktır... Çöpe attık. Allah günah yazmasın..,1.0,1.0,1.0,1604575763
Teşekkürler.,10.0,10.0,10.0,1604575763
10/10.,10.0,10.0,10.0,1604489363
İsteklerimiz dikkate alınmış. Servis hızı iyi. Lezzet güzel.,9.0,9.0,8.0,1604316563
Güzeldi.,8.0,8.0,8.0,1604316563
Baya iyi.,9.0,9.0,10.0,1604106017
Ekmek arası tavuk döner tadını en orjinal alabildiğim yer bence kararında bi lezzeti var turşu biberi bile çok iyi hem fiyat olarakta gayet uygun tavsiye edilir.,10.0,10.0,10.0,1604106017
Baya güzeldi.,10.0,10.0,10.0,1604106017
Her zaman olduğu gibi harika.,10.0,10.0,10.0,1604106017
Köfte mükemmel. Herzaman yediğim ve pişman olmadığım restaurant. Kurye zaten ayrı bir guleryuzlu.,10.0,10.0,10.0,1604106017
Güzel ama soğuk geldi.,5.0,7.0,7.0,1604106017
"Lezzet, hız, servis her şey 10 numara. Kesinlikle tavsiye ederim.",10.0,10.0,10.0,1604106018
Gayet hızlı ve lezzetliydi.,10.0,10.0,10.0,1604106018
Arkadaşlar tavuk dönerleri çok güzel herkese öneriyorum herkesin yemesi dileğiyle hayırlı günler.,10.0,10.0,10.0,1604106018
Gözüm kapalı sipariş verebildiğim tek tavuk.,10.0,10.0,10.0,1604106018
İzmitte yediğim en harika döner. Bir yıldır falan sadık müşterinizim inşallah hep böyle devam edersiniz teşekkürler.,10.0,10.0,10.0,1604106018
Her zaman sipariş verdiğim restorant. Ayrıca kurye çok güler yüzlü. Kiloluk ızgara çeşitleri de olursa sevinirim. Ellerinize sağlık.,10.0,10.0,10.0,1604106018
Güzel.,10.0,10.0,10.0,1604106018
