comment_text,comment_speed,comment_service,comment_taste,comment_time
"O kadar sıcak geldiki dumanlar çıkıyordu, lezzet süper ötesi tek kelime ile mükemmel... !",10.0,10.0,10.0,1606563493
Efsane lahmacun yine harika ellerinize sağlık teşekkür ediyorum.,10.0,10.0,10.0,1606477093
Muh te şem!,10.0,10.0,10.0,1606217893
Lahmacunlar biraz yumusamış ve fazla yaglıydı. Onun dısında hersey on numara:) olur öyle arada yınede sızı sevıyoruz.,10.0,10.0,9.0,1606045093
Lahmacunun değişmeyen adresi.,10.0,10.0,10.0,1604835493
Gayet güzel.,10.0,10.0,10.0,1604489893
Hızlı geldi ve gayet güzeldi.,10.0,10.0,10.0,1604403493
Güzel.,10.0,10.0,10.0,1604317093
Harika bir lahmacun ellerinize sağlık teşekkür ediyorum.,10.0,10.0,10.0,1604106547
Tesekkurler cok guzeldi. Sadece mezeler ayni tabakta hep karismisti.. O kotuydu.,10.0,7.0,10.0,1604106547
Süper.,10.0,10.0,10.0,1604106547
Ayranı getirmeyi unutmasaydınız iyiydi.,9.0,1.0,8.0,1604106547
Sude her zaman kalitedir.,10.0,10.0,10.0,1604106547
Tadı tuzu çok güzeldi ailemizle afiyetle yedik çok beğendik elinize emeğinize sağlık. Saygı ve sevgilerimi iletiyorum.,10.0,10.0,10.0,1604106547
Çok güzel servis edilip yollanılmıştı ve gelene kadar da yemek soğumamış servis için sağolun.,8.0,9.0,10.0,1604106547
Çabuk ve sıcak geldi. Pidenin lezzeti ortalama..,10.0,9.0,7.0,1604106547
Lezzet mükemmel ama hız saat konusunda yavas servis konusunda cok mennun olamadım.,4.0,7.0,10.0,1604106547
Bir lahmacun ancak bu kadar güzel yapılabilir.,10.0,10.0,10.0,1604106547
Ciğer güzeldi ama tavuk kanat için aynı şeyi söyleyemeyeceğim bozuk gibi tadı vardı yiyemedim.,10.0,10.0,8.0,1604106547
İzmitin en iyi lahmacunu.,10.0,10.0,10.0,1604106547
İyiydi.,10.0,10.0,10.0,1604106547
Yediğim en iyi lahmacunlardan biriydi. Full sogansız tavuk kıymasız nihayet bi lahmacun yedım içi et dolu malzemesi yeni kıyılmış ve cok lezzetliydi. Kurye arkadasa ayrıca tesekkurler nezaketı on numara.,10.0,10.0,10.0,1601476801
Efsane.,10.0,10.0,10.0,1601476801
Yine süper.,10.0,10.0,10.0,1601476801
Uzak olmama rağmen hızlı ve sıcak geldi siparişler özenle hazırlanmış ve çok lezzetliydi. Emeği geçen herkesin ellerine sağlık saygı ve sevgilerimi iletiyorum...,10.0,10.0,10.0,1601476801
 lahmacunu efsane.,10.0,10.0,10.0,1601476801
Sipariş hızı ve lezzeti çok iyi :).,10.0,10.0,10.0,1601476801
Pastırmalı pide lezzetliydi ama özel bol etli lahmacun için fiyat performansına göre kesinlikle beklenen lezzeti karşılayamadı.,9.0,8.0,7.0,1601476801
Servis hızı siparişlerin lezzeti olarak gerçekten teşekkür ederiz. Paketleme de göstermiş olduğunuz ilgi için de teşekkür ederken tek bir konu da fikrimizi söylemek istiyoruz. Adana dürüm lavaş konusunda bir tık daha iyi olabilir. Kesinlikle kötü değil ama geliştirilmesi gerekiyor diye düşündük.,10.0,10.0,10.0,1598847055
"İlk siparişimdi. Her şeyiyle çok beğendim mezeler boldu, hızlı ve aşırı sıcak geldi.",10.0,10.0,10.0,1598847056
Fiyatlar belki bir tık pahalı gelebilir. Ama servis ve lezzet gelirsek de çok takılacak bir konu değil. Gayet iyi.,10.0,10.0,10.0,1598847056
Süper.,10.0,10.0,10.0,1598847056
Gayet hızlı bir servis lezzetli bir yemekti. Tek bir konu üzerinde düşündük lahmacunlar bir tık daha çıtır olabilir miydi acaba diye ama sıcak olması ve paket halinde gelmesine yorumladık bunu da. Ellerinize sağlık ama bu çıtırlık derecesini ustanız ile değerlendirmenizi tavsiye ederim.,10.0,10.0,10.0,1598847056
"Puan ortalaması yüksek diye sipariş verdik fakat maalesef lahmacunlar vasatın bile altında, gerçekten çok lezzetsizdi. Lahmacunun eti yok denecek kadar az belki hatta hiç yok. Baharat çeşni tadı pek yok. Servis ve hızına iyi denebilir lakin lezzet benim için sınıfta kaldı. Üzgünüm.",8.0,8.0,3.0,1598847056
Lezzet ve hızlı gönderi için kesinlikle tercih etmelisiniz.,10.0,10.0,10.0,1598847056
Hizli.,8.0,8.0,8.0,1596217310
Başarılı.,10.0,10.0,10.0,1596217310
Siparişim hem hızlıydı hemde gerçekten lezzetliydi.,10.0,10.0,10.0,1596217310
