comment_text,comment_speed,comment_service,comment_taste,comment_time
Limondan nar ekşisinden baya az konuluyor. Tadı tuzu yoktu böyle olunca.,9.0,6.0,3.0,1606390950
Yavaş geldi ama yeşillikler güzeldi ve güzelce yıkanmıştı çiğ köfte lezzetliydi teşekkürler.,1.0,9.0,9.0,1605958950
Cikoftesi gayet iyiydi getiren dayida cana yakindi :).,9.0,9.0,8.0,1605786150
Teşekkürler süpermen.,9.0,8.0,8.0,1605699750
"Min 30 tl olduğu için, tavuk pilav menü, 400gr lık çiğ köfte ve büyük ayran almıştım. Sanırım büyük ayran aldığım için menüdeki küçük ayranı unuttular:/ çiğ köfteleri çok güzel, pilavın lezzeti konusunda kararsız kaldım ama çiğ köfte çok lezzetli.",9.0,6.0,8.0,1605354150
Çok lezzetliydi. Teşekkürler.,10.0,10.0,10.0,1605008550
Güzel.,10.0,10.0,10.0,1604576550
Çiğ köfteleri gerçekten güzel.,10.0,10.0,10.0,1604230950
Fena değil. Hızlı geldi. Teşekkür eder tavsiye ederiz.,9.0,9.0,6.0,1604106804
Çiğ köfteleri çok taze.,10.0,10.0,10.0,1604106804
Güzell.,10.0,10.0,10.0,1604106804
Gayet başarılı.,10.0,10.0,10.0,1604106804
"Gerçekten de harika, çiğköfteleri çok taze.",10.0,10.0,10.0,1601477058
Her şey çok güzeldi. Eksiksiz ve hızlı geldi.,10.0,10.0,10.0,1601477058
Bulgurlar biraz diri onun dışında güzel.,9.0,9.0,8.0,1601477058
Herşey çok guzeldi.. Çiğ köftesi cok şaşırtıcı derecede guzel..,10.0,10.0,10.0,1601477058
Sipariş belirtilen sürede geldi yeşilliği çeşitli ve boldu çiğ köftesi de gayet lezzetli.,8.0,9.0,9.0,1598847312
Çok yavaş geldi baya 1 saat falan bekledik.,1.0,10.0,10.0,1598847312
Hz allah işini güzel kaliteli yapan tüm esnaflarımıza daha çok versin.,10.0,10.0,10.0,1598847312
Her şey dört dörtlüktü. Çizginizi bozmamanız dileği ile hayırlı işler diliyorum.,10.0,10.0,10.0,1598847312
