comment_text,comment_speed,comment_service,comment_taste,comment_time
Cigkoftede vazgeçilmez yerim. Lavaslariniz zaten bir harika. Cigkoftede inanılmaz. Sonuna kadar hakediyorsunuz.,10.0,10.0,10.0,1606564190
Çok güzeldi.,10.0,10.0,10.0,1606564190
Mükemmel lezzet.,10.0,10.0,10.0,1606477790
Guzel.,10.0,10.0,10.0,1606304990
Cok hızlı servis tadı cok güzel ve taze lavas.,10.0,10.0,10.0,1606304990
Lezzeti şahane.,9.0,10.0,10.0,1606304990
Çok iyi teşekkürler teslimat hızlı güvenilir.,10.0,10.0,10.0,1606132190
Her zaman ki gibi kaliteli.,10.0,10.0,9.0,1606045790
10 numara.,10.0,10.0,10.0,1605872990
Dürüm sıkıca sarilmamisti genis duruyodu.,8.0,9.0,8.0,1605872990
Kesinlikle tavsiye ederim.,10.0,10.0,10.0,1605527390
İyiydi memnun kaldık tekrar söyleriz.,10.0,10.0,10.0,1605354590
"Kurye gayet nazik, özenle paketlenmis servis guzeldi. Nota yazdığım küçük isteğide yerine getirmişler memnun kaldım teşekkür ederim.",9.0,10.0,10.0,1605181790
Lezzet bakimindan güzeldi yalniz biraz kuruydu ve biraz da erken gelseydi daha güzel olabilirdi ama herseye rağmen değdi.,4.0,5.0,6.0,1605095390
Güzeldi eyw ellerinize sağlık.,10.0,10.0,10.0,1604749790
Kurye de 10 numaraydı :).,10.0,10.0,10.0,1604663390
Ekstra limon isterseniz gelmiyor.,1.0,1.0,1.0,1604576990
Biraz geç geldi ama çok acılı dürüm gayet güzel.,6.0,9.0,10.0,1604576990
Tek kelime ile mükemmel çoğu zincir çiğköfteciden daha iyi.,10.0,10.0,10.0,1604107244
Gayet lezzetli ve güzeldi. Kurye güler yüzlü ve saygılıydı.,10.0,10.0,10.0,1604107244
Paketleme gayet özenli ve güzeldi. İçerisinde bulunan ufak şekerler yüz gülümsetti:) düşünülmesi gayet ince ve hoş teşekkürler.,8.0,10.0,9.0,1604107244
Güzeldi.,8.0,8.0,8.0,1604107244
Çiğ köftede herşey beklediğimiz gibiydi. Teşekkür ederiz.,9.0,9.0,9.0,1604107244
10/10 işletme helal olsun.,10.0,10.0,10.0,1604107244
Gec saatlerde sipariş etmemize rağmen çiğ köfte taze ve lezzetliydu. Tesekkurler.,9.0,9.0,9.0,1604107244
Cig köftelerin lezzetleri hiç güzel degil. Bir daha buradan söyleyeceğimi sanmıyorum. Diger ürünlerin lezzetleri hakkında yorum yapamiyorum.,5.0,5.0,1.0,1604107244
Herşey güzel. Ama nar ekşisi bazı siparişlerde akıyor. Dürümün dışı felan nar ekşisi olyor o sorunu çözerseniz on numara. ).,9.0,9.0,9.0,1604107244
Teşekkür ederim güzeldi.,10.0,10.0,10.0,1604107244
Herşey muhteşem di.,10.0,10.0,10.0,1604107244
Tavsiye ederim.,7.0,9.0,10.0,1604107244
Her cmt 2 çiğköfte söylemeden rahat edemiyom.,10.0,10.0,10.0,1604107245
Çiğ köfte öncekilere göre biraz daha yağlıydı daha güzel olmuş.,10.0,10.0,8.0,1604107245
Hizli ve lezzetli.,10.0,10.0,8.0,1601477499
"Lezzeti gayet güzel, evime de yakın olunca süper hızlı. Uzun zamandır aradığım yeri bulmuş oldum. Tekrar tekrar sipariş vereceğim.",10.0,8.0,10.0,1601477499
Memnunuz.,7.0,7.0,7.0,1601477499
Güzeldi.,8.0,8.0,7.0,1601477499
Çiğ köftenin tadı olması gerekenden çok çok çok acıydı.,10.0,10.0,3.0,1601477499
Çiğköftesini en çok beğendiğim restoran. Hızlı ve lezzetli. Kuryesi de güler yüzlü. 10/10.,10.0,10.0,10.0,1601477499
Aşırı yavaş geliyo 40 dk bekliyoruz neredeyse çok saçma yapacağiniz işe ben sizin.,2.0,4.0,3.0,1601477499
Harika tavsiye ederim bayildimsiparis verdum 7dk da kalde.,10.0,10.0,10.0,1601477499
