comment_text,comment_speed,comment_service,comment_taste,comment_time
"Ne yazacağımı bilemiyorum, hayranlık duyulası bir lezzet, ışık hızında teslimat ve sıcacıkkkkk servis. Hayran kaldım...",10.0,10.0,10.0,1606739189
Müdavimiyiz..,10.0,10.0,10.0,1606652789
Yemekleri çok güzel.,10.0,10.0,10.0,1606652789
Antep lahmacun ve adana dürüm çok lezzetliydi sıcak geldi fakat çiğ köfte bulguru sert kalmış ve kuruydu ama diğerlerinin lezzetin den dolayı puan kıramadım elinize sağlık.,10.0,10.0,10.0,1606566389
"Her zamanki gibi gayet lezzetliydi. Ayrıca pakette kullanılan ambalajlar güzel, hijyenik ve yemekler dağılmıyor. Servis de yine çok hızlıydı.",10.0,10.0,10.0,1606479989
"Urfa, adana fena değildi ama ciğer çok kurumuştu, birde kebabın yanına sumaklı soğan koymamak nedir. Mezler güzel taze ama soğansız olmaz.",9.0,10.0,6.0,1606479989
Soğuk geldi.,8.0,10.0,7.0,1606393589
"Her şey çok güzeldi. Genelde lahmacundaki yağ kokusu beni rahatsız eder zaten, ama sarımsak çok yakışmıştı. (ilk kez antep lahmacun yedim. ) ve içli köfteye aşık oldum! Çok lezzetliydi. İşinize özen gösterdiğiniz çok belli oluyor. Hep böyle kalın lütfen. Saygılar.",10.0,10.0,10.0,1606393589
Lezzetli.,10.0,10.0,10.0,1606393589
 masala kebap asıl tercih etme sebebimiz mezeleridir. Bulgur pilavı için özellikle sipariş veriyoruz. Ama eve serviste mezeler yeterli değildi. Memnun kalmadık. Bulgur pilavı kesinlikle olmalıydı.,8.0,5.0,8.0,1606307189
Çok hızlı ve sıcak geldi. Ridvan beye çok teşekkürler güler yüzlü hizmeti için. (:.,10.0,10.0,10.0,1606307189
İlkkez sipariş verdim. Siparişi verdikten 15 dakika sonra geldi yan komşudan geliyor gibi :) teşekkürler hızınız ve güler yüzünüz için lahmacun ve içli köfte gayet lezzetliydi midem hassas olmasına rağmen rahatsız etmedi.,10.0,10.0,10.0,1606220789
Her zamanki gibi lahmacun da kebap da harikaydı.,10.0,10.0,10.0,1606134389
Buz gibi geldi lahmacunlar.,8.0,2.0,8.0,1606134389
Lahmacunda fazla soğan tadı var.,8.0,9.0,7.0,1606047989
Çok lezzetliydi ve hızlı geldi teşekküler.,10.0,10.0,10.0,1606047989
Çok başarılı.,10.0,10.0,10.0,1605961589
Her zamanki gibi herşey çok güzeldi.,10.0,10.0,10.0,1605875189
Gayet güzeldi.,10.0,10.0,10.0,1605702389
Harika hizmet.,10.0,10.0,10.0,1605615989
Izmitte bir numarasınız. Helal olsun kazancınız. Allah bereket versin.,10.0,10.0,10.0,1605615989
Güzel.,8.0,9.0,8.0,1605443189
"Harikaydı, gerçekten tavsiye ederim. Sıcacık geldi ve epey lezzetliydi.",10.0,10.0,10.0,1605356789
Hepsi mükemmel siz mükemmelsiniz size iyi değil diyen halt yemiş valla bayılıyoruz.,10.0,10.0,10.0,1605270389
Sipariş son derece hızlı geldi ve yemekler gayet lezzetli ve özenli bir paketleme yapılmıştı.,10.0,10.0,8.0,1605270389
Salatamı az getirdiler ama saolsunlae her şey güzeldi.,10.0,10.0,9.0,1605011189
"Çok hızlı geldi. Ancak buna rağmen tezat bir biçimde biraz soğuktu. Bu sebeple servisten 1 puan kırdım. Kurye de çok güleryüzlüydü. Lezzete gelince, tek kelimeyle harikaydı. Herkes, antep usulü lahmacunu acılı seçim ile kesinlikle denemeli.",10.0,9.0,10.0,1604751989
Acılı lahmacunlarin içine acı aşırı dökülüyor. Simsiyah oluyor. Ayrıca soğuk geldiler.,5.0,7.0,5.0,1604579189
Antep usulü acısız lahmacun oldukça acıydı. Kesinlikle tavsiye etmiyorum.,8.0,7.0,1.0,1604492789
Tavuk kanat söyledim yani fena değildi küçük kanatlardan göndermişsiniz ama lezzetliydi yine de.,7.0,6.0,7.0,1604406389
Sorun yok.,6.0,9.0,8.0,1604406390
Çok güzel.,10.0,10.0,10.0,1604319990
Paketleme lezzet cok guzel harika dıyebılırım eksıksız bır yemek yedık.,10.0,10.0,10.0,1604319990
Servis ve lezzet çok iyi.,10.0,10.0,10.0,1604233590
"Son derece lezzetsiz, bir daha sipariş vermem. Tavsiye etmiyorum.",1.0,1.0,1.0,1604147190
Marifetliydiabinin elleriservisi şak şaklahmacun değilaşk..,10.0,10.0,10.0,1604147190
"Harikasınız. Yalniz önceki siparişte salata unutulduğu için salata eklemeyi unutmayın lutfen yazmistim. Tek lahmacun yanına 3 salata ile gelmiş. Bunu nasıl anlamalıyım? Ama hoş olmadı. Ne talep ediyorsak onu bekliyoruz, standart hizmet yani. Kaliteniz tartışılmaz, bir çalışan hatası diye düşünüyorum.",10.0,10.0,10.0,1604109444
"Ellerinize sağlık... Ama notlara da yazmama rağmen, çiğ köftenin yanında hiç lavaş yoktu... İnsallah bir dahakine atlanmaz... İyi çalışmalar.",10.0,9.0,10.0,1604109444
Sipariş vericeğimi hissediyorlar sanki o kadar hızlı ki çok yakın olmamama rağmen tek kelimeyle harikasınız ancak siparişimde adana dürüm unutulmuştu aradım hemen yardımcı olup o da 5-6 dakika içersinde ulaştı. İzmitte teksiniz ellerinize sağlık...,10.0,10.0,10.0,1604109444
Lahmacunlar soğuktu.,7.0,7.0,6.0,1604109444
"Siparişim oldukça hızlı geldi, paketleme de oldukça özenliydi. Lezzet ise efsaneydi. Tebrik ediyorum.",10.0,10.0,10.0,1604109444
Aon siparişimi getirmeleri tam 1 saat 10 dk sürdü. Dolayısıyla gelen şahmacunlar tamamen buz gibi olmuştu. Özellikle lahmacunları gezdirmeden getirin dememe ragmen lahmacuna önce izmit turu attırıp oyle getirdiler.,1.0,1.0,1.0,1604109444
Hız konusunda birşey söylemem ama paketleme oldukça özensizdi lahmacun lezzet olarak güzel diyebilirim ama mercimek çorbası sadee sudan ibaretti.,3.0,1.0,3.0,1604109444
Her şey şahaneydi. Teşekkürler.,10.0,10.0,10.0,1604109444
Tavuk kanat siparişimiz kanatların boyutları küçük ve sayı olarak eksikti. Özensiz bir servis vardı.,8.0,4.0,6.0,1604109444
"Lahmacun sıcak değildi, kurumuş beklemiş soğuk lahmacun geldi.",6.0,1.0,1.0,1604109444
İyiydi.,10.0,10.0,10.0,1604109444
"Lezzet her zamanki gibi çok iyiysi fakat bu sefer 1, 5 porsiyon söylediğim yemek 1 porsiyon gelmişti ve kutu içinde dağılmıştı üzdü malesef..",7.0,7.0,10.0,1604109444
Ustalarinizin ellerine sağlık herşey çok güzeldi.,10.0,10.0,10.0,1604109444
Teşekkürler.,10.0,10.0,10.0,1604109444
Harika.,10.0,10.0,10.0,1604109444
Pideler müthiş lahmacun çok güzel ellerinize sağlık teşekkür ederiz.,10.0,10.0,10.0,1604109444
1 saatte geldi ama tavuklar sıcaktı lahmacun soğuktu cok bayıldığımı söylemiycem.,7.0,10.0,9.0,1604109444
Lahmacunlar her zamanki gibi efsaneydi.,10.0,10.0,10.0,1604109444
Kuzu şiş eti sertti. Diğer yenilenler gayet leziz. Tşkkürler.,10.0,10.0,9.0,1604109444
2 kere sipariş verdim ikisinde de kaptan akmıştı yemek ve soğuktu.,8.0,2.0,7.0,1604109444
Yemeksepetini sadece bu restoran için kullandığım lezzet evi. Kurye furkan arkadaşımıza hızlı ve güleryüzlü teslimatları için teşekkürler.,10.0,10.0,10.0,1604109444
"Sanırım farklı zamanlarda verdiğimiz siparişleri birbirinden farklı ustalar hazırlıyor, bence biraz standart oluşturulmalı tat farkı çok hissediliyor.",10.0,7.0,7.0,1604109444
Denemeyen mutlaka denesin.,10.0,10.0,10.0,1604109444
Hızlı ve lezzetli.,10.0,10.0,10.0,1604109444
Dürümlerimizi ısıtıcaz derken biraz yakmışsınız arada olur diyoruz.,10.0,10.0,9.0,1604109444
Lahmacunu aşırı lezzetlşydi ve sıcak geldi çok beğendim tavsiye ediyorum.,10.0,10.0,10.0,1604109444
Lezzet hız mükemmel teşekkürler.,10.0,10.0,10.0,1604109444
Sipariş notum hiç dikkate alınmamış ciğer dürüme garnitür koyulmasin dedim soğan hariç herşey vardı. Köz biber rica ettim o da gönderilmemiş lütfen dikkate alınız yazılanları.,10.0,1.0,5.0,1604109444
Ürün ve teslimat gayet kaliteli ve güzel. Kurye görevlisi da gayet iyi karşıladı. Tüm emeği geçenlere ve kurye görevlisine çok teşekkür ediyorum.,10.0,10.0,10.0,1601479698
Lezzet muazzam.,10.0,10.0,10.0,1601479698
İçli köfteniz güzeldi fakat daha da iyi hale getirilebilir. Geliştirme yapmanızı tavsiye ederim. Elinize sağlık.,10.0,10.0,9.0,1601479698
"Ürünleri gayet lezzetli, teslimat hızlı.",10.0,10.0,10.0,1601479698
Yemekler cok hizli geldi gayet lezzetliydi.,10.0,10.0,10.0,1601479698
Kesinlikle tereddüt bile etmeyin izmitin en iyisi.,10.0,10.0,10.0,1601479698
Özenli servis ve son derece lezzetli. Teşekkürler...,10.0,10.0,10.0,1601479698
Süper lahmacun.,10.0,10.0,10.0,1601479698
"Gayet, hızlı, güzel ve lezzetliydi.",10.0,10.0,10.0,1601479698
Cevizli kebap yerine fıstıklı kebap geldi. Kebap yanındakiler de taze değildi maalesef.,7.0,5.0,7.0,1601479698
Şahmacunlarında yağ tadı çok hissediliyordu.,8.0,8.0,6.0,1601479698
Corbalar lezzetli degildi. Kıvam olarak cok sulu bir corbaydı. Lahmacunlar ise tamamen sumaktan ibaretti. O kadar yoğun sumak neden konmus anlam veremedik.,6.0,4.0,3.0,1601479698
Yemek soguk geldi onun disinda bi problem yok.,7.0,7.0,9.0,1601479698
Her bakımdan sürekli sipariş verdiğim yer umarım senelerdir koruduğunuz çizginizi bozmazsınız.,10.0,10.0,10.0,1601479698
"Tek kelime ile mükemmel. Hız, servis ve lezzet 10 tam puanı hakkediyor. Bu 3. Lahmacun siparişimdi. Bence yada benim bildiğim lezzetler içinde en iyi lahmacun kesinlikle bu. Sizden yeşilliklerin nelerden meydana geldiğini rica etsem söylermisiniz. Çünkü harikaydı hepsi. Sağolun.",10.0,10.0,10.0,1601479698
İçli köftelerin içi eksimişti çöpe attık. Size yakışmadı.,8.0,8.0,6.0,1601479698
Acılı ve acısız lahmacun siparişi vermemize rağmen hiç acılı lahmacun gelmedi.,9.0,6.0,7.0,1601479698
Sürekli gittiğim yer eve soylerken acabami diye düşündüm ama tek kelimeyle muhtesem. Emeğinize ellerinize sağlık.,10.0,10.0,10.0,1601479698
Çorba için kaşık koyulmamış biraz mağdur olduk açıkçası.,10.0,9.0,9.0,1601479698
Yine şaşırtmadı harika paketleme harika tat özenilmiş sunum. Emeği geçenlere teşekkürler 10/10.,10.0,10.0,10.0,1601479698
Çok güzel.,10.0,10.0,10.0,1601479698
Kebap ile mezeleri birbirinden ayırmalısınız ısı geçişi var geri kalan herşey çok güzel..,10.0,10.0,10.0,1601479698
"Beklediğimden çok daha hızlı bir sürede siparişim geldi. Mezeleri beğendim, fakat biraz daha fazla konulabilir. Lezzet gayet yerindeydi. Tebrik ederim.",10.0,8.0,9.0,1601479698
Elinize sağlık.,10.0,10.0,10.0,1601479698
"Paketleme ve ambalaj, ürünlerin lezzeti, hız hepsi tek kelime ile memnun edici...",10.0,10.0,10.0,1598849952
Lezzeti de paketlemesi de harikaydı. Gönül rahatlığıyla sipariş verebilirsiniz.,10.0,10.0,10.0,1598849952
Buz gibi geldi.,1.0,1.0,1.0,1598849953
Lezzet olarak muhteşem ve çok hızlı gerçekten. Ancak adana lahmacun acısız seçmiş olmama rağmen acili idi ve yanında salata da yoktu. Onun dışında ellerinize sağlık. Yemek sepetinde ilk olsada yüzyüze yılardır müşteriniziz. Hiç memnuniyetsizlik yaşamadık.,10.0,9.0,10.0,1598849953
"Mezeler bol, iskender güzeldi, paketleme de çok özenliydi.",10.0,10.0,10.0,1598849953
Çok lezzetli ve süper bir sunum. Teşekkürler masala.,10.0,10.0,10.0,1598849953
Lahmacunlar acısız demiştim ama yaktınız beni :d yine de sunum çok güzeldi teşekkürler.,10.0,9.0,9.0,1598849953
Tam 16 dk sürdü gelmesi mükemmeldi.,10.0,10.0,10.0,1598849953
Herşeyiyle mükemmel. Eşim için bir not düşmüştüm. Özenilmis bir şekilde geldi. Teşekkürler.,10.0,10.0,10.0,1598849953
Menülerde yanında yazan sumaklı soğan gelmiyor. Ama pilavı mezesi her şeyi lezzetli. Nohutlu mezesi yeni çıkmış sanırım oda çok başarılı. Ama sumaklı soğanımı gönderin birdahakine.,9.0,7.0,9.0,1598849953
Harikasınız allah bol kazançlar nasip etsin inşallah üstünüze tanımıyorum.,10.0,10.0,10.0,1598849953
Antep lahmacun çok çok kötüydü bu restorana bunu hiç yakıştıramadım. Çok şaşırdım. Katmer de söylediğime pişman oldum. Ne oldu size?,7.0,8.0,2.0,1598849953
Hızlı ve lezzetliydi teşekkürler.,10.0,10.0,10.0,1598849953
Teşekkür ederiz... Gayet güzeldi.,10.0,10.0,10.0,1598849953
Bir önceki siparişimde yeşillikşerde kararmalar vardı ama bu siparişimdeki yeşillikler mükemmeldi. Servis önceki siparişime göre çok daha hızlıydı. Lezzet ise her zaman ki gibi mükemmel. Böyle olmaya ve hizmete devam edildiği müddetçe 1. Tercihim masala.,9.0,10.0,10.0,1598849953
Adana durum gercekten cok iyi.,10.0,10.0,10.0,1598849953
İçli köfteler çok güzel.,10.0,10.0,10.0,1598849953
"Ticket postu getirilmedi, lahmacunlar soğuktu.",1.0,1.0,1.0,1598849953
Çok lezzetli.,10.0,10.0,10.0,1598849953
Meze kebabın içine girmiş bu ne böyle ya haram olsun verdiğimiz para 30 lira ya çok az porsiyon hem adana yerine urfa göndermişler birde parca ayri geldi kim kopardı onu acaba rezillik.,9.0,1.0,1.0,1598849953
