food_id,food_name,food_price,food_category,food_score
0c925e83-cc98-4c93-9b6e-5ac579140c67,Ekmek Arası Et Döner,"27,00 TL",Et Dönerler,14.0
BD602DF1-A4F0-4D3F-AFB8-EE3C472F6897,İntiba Özel Beyti Et Döner,"59,00 TL",Et Dönerler,20.0
8fa178bc-8329-4c1c-95fa-53f802423b82,Yoğurt,"9,00 TL",Yan Ürünler,5.0
f3940631-bda1-4100-bd69-4aac5d832c04,Pilav,"10,00 TL",Yan Ürünler,4.0
9a902e1b-bac4-477a-a92c-14fbc625357c,Patates Kızartması,"10,00 TL",Yan Ürünler,6.0
28d39746-b435-4202-a061-c2766d7218ee,Duble Patates Kızartması,"16,00 TL",Yan Ürünler,6.0
afaad6a7-ad9f-47d2-b432-79d613f24e55,Mevsim Salata,"10,00 TL",Salatalar,13.0
6508c82f-20d5-47b2-98ae-ca62e8f46863,Baklava,"16,00 TL",Tatlılar,7.0
03cfc249-11d1-4845-89be-04e6eb4be504,Kaymaklı Baklava,"18,00 TL",Tatlılar,8.0
41ce9a3e-7810-4839-a595-7d6a1a22cafe,Kaymaklı Künefe,"18,00 TL",Tatlılar,12.0
4da670a9-12cd-4d86-94ac-f0298cc3077d,Kaymaklı Sütlü Kemalpaşa Tatlısı,"14,00 TL",Tatlılar,6.0
e4fb200e-4eb3-4acf-830e-4e007c0298fc,Şıra (25 cl.),"7,00 TL",İçecekler,5.0
3c06cab2-dc39-4e95-bd5c-21f21cab1f8c,Et Döner (500 gr.),"145,00 TL",Kiloluk Ürünler (Pişirilmiş),14.0
a0602634-94dd-46b0-8d35-368ad871e13c,Et Döner (1 kg.),"290,00 TL",Kiloluk Ürünler (Pişirilmiş),14.0
473d5ddb-b374-437f-9c1a-01365694e449,Poşet,"0,25 TL",Poşet,5.0
