food_id,food_name,food_price,food_category,food_score
93730748-9c39-40ee-b863-7a5160f926c4,Izgara Tavuk Bonfile Menü,"25,00 TL",Tavuk Menüleri,17.0
d3192acc-f54f-41a4-976a-6d3fc6a17414,Tavuk Döner Dürüm Menü,"9,00 TL",Tavuk Döner Menüleri,32.0
288e8e67-0055-4878-8e39-7548f3823fec,Yarım Ekmek Tavuk Döner Menü,"8,00 TL",Tavuk Döner Menüleri,32.0
5d369cac-a158-415d-b6f3-03b2e4a554fc,3/4 Ekmek Tavuk Döner Menü,"12,00 TL",Tavuk Döner Menüleri,25.0
474ffb96-429d-4af5-a985-fda5e96c4036,Tam Ekmek Tavuk Döner Menü,"15,00 TL",Tavuk Döner Menüleri,31.0
b467c64b-1701-4fb3-842a-f97b7a4061b8,Izgara Köfte Menü,"28,00 TL",Köfte Menüleri,6.0
7d47d6b5-f291-48ad-9fbe-8e02b581b321,Yarım Ekmek Arası Izgara Köfte Menü,"10,00 TL",Köfte Menüleri,10.0
17580677-c74b-4254-9645-9705ccabcbf8,Tam Ekmek Arası Izgara Köfte Menü,"20,00 TL",Köfte Menüleri,10.0
8CE3C50F-D762-4006-A99B-B47BDC778455,Pilav Üstü Et Döner (250 gr.),"20,00 TL",Et Dönerler,12.0
914D9179-576F-4AC3-95D8-88D47F338345,3/4 Ekmek Arası Et Döner,"17,50 TL",Et Dönerler,16.0
44FA0959-D4B5-40E5-A130-7F6025931DFA,Yarım Ekmek Arası Et Döner,"10,00 TL",Et Dönerler,18.0
68698d71-2343-4bce-9fdf-2317eec355b3,Tam Ekmek Arası Et Döner,"20,00 TL",Et Dönerler,18.0
F53FD738-94A8-4063-8D8D-FB7A5EBE9443,Tam Ekmek Arası Tavuk Döner,"14,00 TL",Tavuk Dönerler,26.0
09569085-5041-4898-82EB-F0A07F61870C,3/4 Ekmek Arası Tavuk Döner,"10,00 TL",Tavuk Dönerler,25.0
3B8F7313-B4DC-4326-AF19-F1DA226F69FA,Yarım Ekmek Arası Tavuk Döner,"7,00 TL",Tavuk Dönerler,27.0
51981f27-2e4b-4fa9-95cc-31f56be3cf28,Tavuk Döner Dürüm,"8,00 TL",Tavuk Dönerler,27.0
68E4FB16-137E-4F83-893A-58C74952CCE6,Pilav Üstü Tavuk Döner (250 gr.),"15,00 TL",Tavuk Dönerler,21.0
FA2E4874-097C-4A0B-8154-DD361146533D,Izgara Kanat,"20,00 TL",Izgaralar,5.0
DC8F938F-663A-4799-9BD5-574088F82160,Sarma Tavuk Pirzola,"20,00 TL",Izgaralar,17.0
8C1D568F-D465-49F5-BFD7-D79F44714DC9,Tavuk Şiş,"20,00 TL",Izgaralar,17.0
E2E89C36-10C2-4B1E-9F57-24B398015531,Izgara Çıtır Tavuk,"20,00 TL",Izgaralar,17.0
e042b3b4-b573-4d09-8bfe-d45ea4b4e853,Sade Pirinç Pilavı (250 gr.),"7,00 TL",Pilavlar,5.0
538075e9-1ce9-42ae-88c2-1a9a05059a17,Ekmek (Yarım),"1,00 TL",Yan Ürünler,7.0
c05e6d3e-8bcf-4332-a679-1ba37b85fb0f,Ekmek (Bütün),"2,00 TL",Yan Ürünler,7.0
b20eb8e3-5035-4d19-ab57-a194799036f8,Küçük Salata,"3,00 TL",Salatalar,5.0
e3b6bd78-7a36-4428-a1ae-0a51b9d77245,Büyük Salata,"6,00 TL",Salatalar,5.0
A7FBFEC6-4C04-4E1D-80F8-A5BD160065D1,Izgara Kanat (1 kg.),"50,00 TL",Kiloluk Ürünler (Pişirilmiş),5.0
EEA25A58-1C62-4204-A85A-1AC5756378A2,Izgara Sarma Tavuk Pirzola (1 kg.),"50,00 TL",Kiloluk Ürünler (Pişirilmiş),17.0
C32433C2-EAED-4C86-BA2E-3160C4F78853,Izgara Çıtır Tavuk (1 kg.),"40,00 TL",Kiloluk Ürünler (Pişirilmiş),17.0
197a1ec9-0ae7-412b-9ff6-c83295e1479f,Poşet,"0,25 TL",Poşet,5.0
