comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi fakat lahmacunu benim gibi kıtır sevenler için ekmeği biraz daha pişirilebilir. Hızlı geldi. Ellerinize sağlık.,10.0,10.0,9.0,1606567739
Yorumlara bakarak sipariş verdim gerçekten lahmacun olsun pide olsun lezzetliliydi ayrıca hız bakımından çok çok iyiler herşey için teşekkürler.,10.0,10.0,10.0,1606394939
Her hafta akla ilk gelen siz.,10.0,10.0,10.0,1606394939
Ailece yedik biz çok beğendik lezzet çok iyi tavsiye edilir.,10.0,10.0,10.0,1606222139
Lahmacunu sardığınız kağıt lahmacuna geçmiş tadını baya bozuyor bilginiz olsun.,10.0,7.0,9.0,1606135739
Teşekkürler.,10.0,10.0,10.0,1606049339
Lahmacunda buradan şaşmayın lezzet efsane.,10.0,10.0,10.0,1606049339
Gönderim zamanı çok güzel.. Servis sıcak.. Lahmacunu yumuşak sevenler beğenir.,9.0,7.0,5.0,1605962939
Muhteşem.,10.0,10.0,10.0,1605876539
Notumu dikkate aldığınız için teşekkürler lahmacununuz cidden güzeldi.,10.0,10.0,10.0,1605790139
Hiç düşünmeden sipariş verin herşey eksiksiz bol bol geliyor tavsiye ederim.,10.0,10.0,10.0,1605703739
Burdan cok memnunum.,10.0,10.0,10.0,1605703739
Ayran patlamıştı biri gelmedi yani. Yolda kasis varmış pide paketinin üstü de yamulmustu açılmıştı neredeyse. Pandemi döneminde daha dikkat edilmeli bir poşete konabilirdi. Pidenin kıyması pismemisti ve hamuru kalındı. Lahmacun geçen sefere göre iyiydi pismisti ama kıyması çok az.,7.0,1.0,6.0,1605617339
Siparişi unutup bir saat sonra ya biz unutmuşuz sizi demeleri...,1.0,1.0,1.0,1605617339
Kıyma azdı ya.,9.0,9.0,7.0,1605617339
Lahmacun sipariş verdim 12 dk sonra ulaştı hem lezzet hem hız bakımından on numara mekan.,10.0,10.0,10.0,1605530939
"Mükemmel bir lezzet ve hız, lahmacun muazzamdı.",10.0,10.0,10.0,1605444539
Tokken söyleyin acıkınca geliyogerisi idare eder.,1.0,8.0,8.0,1605358139
