food_id,food_name,food_price,food_category,food_score
0e84ee28-3301-4586-9985-12d623054638,Kıymalı Kır Pidesi,"3,50 TL",Kır Pideleri,9.0
2e797550-998d-42ba-8273-b56ef01e1d1f,Kaşarlı Sucuklu Kır Pidesi,"7,00 TL",Kır Pideleri,3.0
3773fb5d-75fa-4ffe-8be1-01b2ce5ec3cf,Tavuk Kuşbaşılı Kır Pidesi,"7,00 TL",Kır Pideleri,16.0
3d549605-a01b-4da9-a64f-90c80368d165,Peynirli Kır Pidesi,"3,50 TL",Kır Pideleri,3.0
736d4b57-9762-4b8e-beaa-a694c650db43,Patatesli Kır Pidesi,"3,50 TL",Kır Pideleri,8.0
9ad87c3e-57f6-42d6-bf75-51c56bb4fb2d,Karışık Kır Pidesi,"7,00 TL",Kır Pideleri,3.0
e6e778cd-654c-4872-b7d1-01d1b2febfe8,Kıymalı Kaşarlı Kır Pidesi,"7,00 TL",Kır Pideleri,4.0
23CE710C-BEFF-4330-8B24-6825032D7F95,Çoban Salata (Küçük),"3,00 TL",Kır Pideleri,5.0
03866a2e-901a-412f-b3b5-075af17648f7,Kaşarlı Pide (Kapalı),"23,00 TL",Karadeniz Pideleri,6.0
5119595e-7311-4767-8c4b-c77b3c35a8b2,Pastırmalı Kaşarlı Pide (Kapalı),"30,00 TL",Karadeniz Pideleri,6.0
6244c28a-b5a7-4ee6-9037-e2941c52da1b,Kıymalı Kaşarlı Pide (Açık),"21,00 TL",Karadeniz Pideleri,7.0
63364554-0ee8-4423-9a0c-513e6912b1ba,Karışık Pide (Kapalı),"30,00 TL",Karadeniz Pideleri,6.0
948b0008-8e7c-4b5f-ad49-86ead1e0c0e4,Kavurmalı Kaşarlı Pide (Kapalı),"25,00 TL",Karadeniz Pideleri,4.0
a8af8451-5270-4102-ab82-b464953f521b,Kıymalı Yumurtalı Pide (Açık),"22,00 TL",Karadeniz Pideleri,7.0
ff61f4d7-545f-4b5c-80b2-09fd376c2f7d,Kıymalı Pide (Açık),"20,00 TL",Karadeniz Pideleri,7.0
E1D8406F-4E4A-444E-8482-5DC1E77D8DB6,Trabzon Yağlısı Pide (Açık),"30,00 TL",Karadeniz Pideleri,6.0
EB67CB1B-9DEC-4EDE-A5F1-1A04BE4B2B56,Tavuklu Kaşarlı Karadeniz Pidesi,"23,00 TL",Karadeniz Pideleri,9.0
255c5762-dd52-4162-9f77-7cf5827016d2,Mevsim Salata,"2,50 TL",Salatalar,5.0
26f766e4-2722-4768-a0be-693df2f60873,Coca-Cola Lime (33 cl.),"5,00 TL",İçecekler,5.0
82E6D7CA-E08A-46BD-BAFD-7FF0C1A8689B,Niğde Gazozu (25 cl.),"3,50 TL",İçecekler,5.0
4C03D56D-5687-432D-9718-B34E3E272D77,Uludağ Gazozu (25 cl.),"3,50 TL",İçecekler,5.0
5085049C-0F47-4C9D-8E29-8366B0B9B877,Frutti C Max (20 cl.),"3,00 TL",İçecekler,9.0
f9bcec4f-edf5-4676-8429-c8760f8651cd,Poşet,"0,25 TL",Poşet,5.0
