comment_text,comment_speed,comment_service,comment_taste,comment_time
Tavsiye etmem lahmacun işini bozdular.,4.0,3.0,2.0,1606654463
"Pidos lahmacun söyledim, normal ve kenarları kömürleşmiş bir lahmacun geldi. Canım lahmacun çektiğinde tercih ettiğim ve herkese tavsiye ettiğim mekan beni bu sefer hayal kırıklığına uğrattı.",8.0,9.0,6.0,1606049663
Lahmacun k��ymasını azaltmışsınız. Ancak lezzeti guzel. Patates kızartması miktarı bol fakat kahve rengiye dönmüş biraz yanikti iyileştirmeniz lazım.,10.0,10.0,7.0,1605876863
Servis biraz daha genişletilir 7 yine ortalama hız a laf yok yarım saat yazıyodu yarim saate geldi bravo lezzet 9.,10.0,7.0,9.0,1605790463
İnanılmaz hızlı geliyor fakat lezzeti her geçen gün azalıyor tuhaf.,10.0,10.0,6.0,1605790463
Pide güzeldi. Ama kurye maske takmıyordu. Fiyatlara da bayağı zam gelmiş.,10.0,1.0,10.0,1605531263
Lahmacun cok guzeldi ve hızlı getıren arkadaş çok kıbardi.,10.0,10.0,10.0,1605531263
İlk siparisimde çok hızlı sıcak ve lezzetli bir servis vardı. İkincisi birinciyi aratti. Sıcaklığı da lezzeti de orta düzeydeydi.,8.0,8.0,7.0,1605444863
Paket servis yapan arkadaş biraz daha kaba olursa bir daha sipariş vermeyeceğim.,6.0,1.0,6.0,1605358463
Lahmacunu iyi.,10.0,10.0,10.0,1605185663
Hızlı geldi tadı herşeyi yerindeydi ama porsiyon küçük ve yeşillik azdi.,10.0,7.0,10.0,1605099263
Pidoss gibisi yok lahmacun cok guzal.,10.0,10.0,10.0,1605012863
Lahmacun biraz çiğdi.,10.0,10.0,7.0,1605012863
3 gün oldu lahmacunu yiyeli. Tadini hatirlamadigima gore guzel yapmamissinizdir.,1.0,1.0,1.0,1605012863
Berbat.,1.0,1.0,1.0,1605012863
Lezzet güzel ama 3 lahmacundan birinin altı yanık diğeri de az pişmiş hamur gibi geldi. Hoşuma gitmedi bu durum.,4.0,2.0,5.0,1604753663
Gerçekten çok hızlıydı ve sıcaktı.,10.0,10.0,9.0,1604753663
Lezzetli hızlı ve sıcaktı. Sadece menünün yanında gelen patates çok azdı.,10.0,9.0,10.0,1604321663
Diğer ürünleri bilmem ama tavuklu piede hiç güzel değildi patatesler yanmıştı ve beklemişte ısıtılmış gibiydi lezzetli bir ürün gelmedi maalesef.,9.0,8.0,3.0,1604235263
Lahmancun cok guzladi.,10.0,10.0,10.0,1604148863
Lahmacunlar daha büyük olabilirdi.,9.0,9.0,6.0,1604111117
Kendinize sayginiz varsa buranin lahmacunundan uzak durun.,1.0,1.0,1.0,1604111117
Gayet iyiydi.,10.0,10.0,10.0,1604111117
Servis ve hız mükemmeldi fakat bu maalesef lahmacun değil. Salçanın tadı çok yoğundu. Yine de güzel bir lokantaya benziyor tavsiye ederim.,10.0,10.0,8.0,1604111117
1l ayran yerine küçük ayran geldi olsun.,8.0,1.0,8.0,1604111117
Kötüydü.,1.0,1.0,1.0,1604111117
Pide artı 1 tane lahmacun istemiştim yanına bir limon bir yeşillik fln koyabilirdiniz.,10.0,7.0,10.0,1604111117
Biraz yavaş ama yine de lezzetli.,8.0,9.0,9.0,1604111117
Malzeme eh iste.,8.0,8.0,8.0,1604111117
Kaşarlı patates parası ödedim ama normal patates geldi. Acılı lahmacun istedim normal geldi. Notlara ketçap mayonez rica ettim ama dilkate alınmamıştı. Üzüldüm. Neden hemen yazmadınız demeyin sistem 90 dakika müsaade etmiyor zaten.,10.0,6.0,7.0,1604111117
Çok iyi.,10.0,10.0,10.0,1604111118
Tavukluyu pek beğenmedik ama karışık güzel. Hızı süperdi.,10.0,8.0,6.0,1604111118
"Her zaman harika lezzet ve hızlı teslimat, lahmacunu çok güzel tavsiye ediyorum.",10.0,10.0,10.0,1604111118
Pide. Islanmıştı... İdare eder.,7.0,6.0,7.0,1604111118
"Pidoss pidenin hamuru iyiydi ama malzemesi az gelmişti, pidoss lahmacunun da malzemesini çok azaltmışlar boyut da küçülmüş. Etli ekmeğin de yanına hiç mi garnitür konmaz bir köz biber domates falan... Ufacık da bir limon iki lahmacuna size yetebilir ama bana yetmiyor.",8.0,1.0,5.0,1604111118
"Kaşarlı lahmacun ve pidos lahmacun söylemiştim, iki adet normal lahmacun geldi.",10.0,1.0,8.0,1604111118
Her zamanki gibi gayet güzel. Lahmacun menüleri de olsa tadından yenmez.,10.0,10.0,10.0,1604111118
Hız konusunda gerçekten hızlı. Pide lahmacundan daha iyi.,10.0,10.0,9.0,1604111118
Çok iyiydi.,10.0,10.0,10.0,1604111118
Tavuklu pide ve patates de çok kaşar eklenmiş nedendir? Kaşar tadından farklı bir tad alamadım. Üstelik kaşar seçeneği seçmedim.,9.0,8.0,7.0,1604111118
Tat lezzet fena değildi fakat kaşarlı istemiştik ekstra para ödememize ragmen kaşarlı gelmedi. Yinede guzeldi tesekkurler.,10.0,10.0,10.0,1601481372
Efsane tadı var erkenden geldi çok memnunum servis güzel kutulu sıcak ürün.,10.0,10.0,10.0,1601481372
Çok çok hızlı ve lezzetliydi bayıldık.,10.0,10.0,10.0,1601481372
Pidoss lahmacuna bayıldım.,10.0,10.0,10.0,1601481372
İyi.,10.0,10.0,10.0,1601481372
Guzeldi aci degildi. Kizlarim lahmacunu cogu zaman aci diye yemiyor ama bunu sevdiler. Ayrica cok hizli teslimat oldu.,10.0,10.0,10.0,1601481372
Çooooooook iyi. Kuryesi çok kral. Sıcak ve baya lezzetliydi. 10 dakikada geldi. Valla helal olsun size. Bol kazançlar.,10.0,10.0,10.0,1601481372
Harikaaaaa.,10.0,10.0,10.0,1601481372
Pidos lahmacunlar sıcak ve hızlı geldi lezzeti güzeldi.,10.0,10.0,10.0,1601481372
15 dkda geldi abartısız.,10.0,10.0,8.0,1601481372
Müthişşş.,10.0,10.0,10.0,1601481372
Tek kelimeyle harika.,10.0,10.0,10.0,1601481372
Müko.,10.0,10.0,10.0,1601481372
