comment_text,comment_speed,comment_service,comment_taste,comment_time
"Lezzet ortalamaydı, bir daha sipariş vermem. Ama kurye çok hızlı çok cana yakındı. Çok iyi çalışıyor.",10.0,8.0,5.0,1606741484
Hızlı ve lezzetli servis.,10.0,10.0,10.0,1606655084
Kötü.,7.0,1.0,2.0,1606568684
Ciğeri beğendim yumuşacık ve kıvamında pişmişti ama lavaş marketteki paket lavaşlar gibi kalın ve tatsızdı. Bir de porsiyon çok küçüktü. Bir porsiyonda 3 küçük şiş ve bir lavaş vardı. 3-4 porsiyonla anca doyulur.,10.0,7.0,7.0,1606568684
"30 dk da kapimdaydi. Servis olarak zaten dürüm söyledik. Ancak lavaş hazır lavaş gibi çok tatsizdi. Ciğeri de tatlandırmak için başka baharat, tuz vs denemeleri lazım. Joker ile aldım ederini verdi. Ancak ke��ke lezzeti damagimiza yapışsaydı da surekli sipariş verebilseydim..",10.0,10.0,5.0,1606482284
Izgara tavuk söyledik pilavin tadi cok kotuydu bide paketleme kotu her sey birbirine girmis kurye cok sevecendi.,10.0,6.0,6.0,1606482284
Ciğer sıcak ve tam kıvamında pişmiş. Pilav güzeldi. Teslimat çok hızlı. Kurye saygılıydı hazırlayana ve teslim edene çok teşekkürler.,10.0,10.0,10.0,1606395884
Şöyleki çorba gönderilirken yanına ekmekte gönderilir çorbaya acı atılmaz isteyen kişiye bırakılır. 3. 5 tl küçük birşah ayran için çok fazla bazı işletmeler o fiyata büyük ve daha kaliteli bir markanın ayranını gönderiyor. Nohut dürüm için 17. 50 tl bence fazla onda oynamaya gidilebilir.,8.0,5.0,9.0,1606395884
Özensiz paketleme ve tatsız.,6.0,1.0,3.0,1606309484
Arkadaşlar bu firmadan ilk ve son alışverişimi yaptım diyebilirim kremalı tavuk mu nedir öyle bir menü aldım almaz olaydım fiyatı 23 tl olan menü bu kadar mı hakkını vermez tamamen yazık günah hak yemek başka bişey değil tavuğu gönderdikleri kabın yüzde 75 i boş yüzde 25 i dolu pilav desen ayrı.,10.0,1.0,1.0,1606309484
Kurye çok cana yakındı teşekkürler ciğerler biraz daha iyi pişerse güzel olabilir.,10.0,10.0,8.0,1606309484
Çok güzeldi. Porsiyonları artırırsanız çok iyi olur 100kilo adamım ben çünkü :) kargonun samimiyeti paha biçilemez...,10.0,10.0,10.0,1606223084
Ellerinize saglik cigerler sicak geldi pilav biraz tuzsuz ve yavandi.,10.0,9.0,8.0,1606050284
Pilavi guzel degil.,4.0,3.0,2.0,1605963884
İyiydi.,10.0,10.0,10.0,1605963884
Keyifli.,10.0,8.0,8.0,1605963884
Açıkçası ciğerleri çok lezzetli daha iyi puanlar hakeden bir yer memnun kaldım tavsiye ederim.,10.0,10.0,10.0,1605791084
Çok soğuk ve özensiz bir servisti. Gelen ciğerler yemşeyildi. Ne olduğunu bilemediğimiz için yiyemedik. Pilav lapa kapaydı.,1.0,1.0,1.0,1605791084
"Porsiyon boyutu inanılmaz yetersiz, soğuk bir pilav ve salata olarak sadece marul ve mor lahana gelmesi nedeniyle verilen bir puan.",1.0,1.0,1.0,1605704684
"Joker indirimi çıkınca bir ciğer dürüm bir de nohut dürüm söyledim. Sipariş notuna acı biber istiyorum, yoksa turşu da olur diye yazdım, pul biber göndermişler. Ekmekler bayattı (hiç günlük alıyoruz demesinler). Ciğer de nohut da çok kötüydü. Her dürüme yarımşar kilo soğan koymuşlardı. 45 dk geldi.",4.0,1.0,1.0,1605704684
Güzeldi.,8.0,10.0,10.0,1605359084
Hız güzelservis güzellezzet çok kötüdağ kekikli tavukpilav üstü tavukhayırlı işleer.,10.0,8.0,1.0,1605359084
Ciğer yep yeşil.,1.0,1.0,1.0,1605272684
Servis çok hızlıydı ama sanırım yemek soğuduğu için lezzeti kaybolmuş. Ev siparişlerinde buna dikkat edilirse lezzeti daha iyi anlaşılabilir.,10.0,7.0,7.0,1605186284
Hem ciğer hem pirinç pilavı çok lezzetliydi. İyiki sipariş vermişim ellerinize sağlık :).,10.0,10.0,10.0,1605186284
Tadı kotuydu cigdi birazda servis ozensiz.,7.0,1.0,1.0,1605186284
Nice.,8.0,8.0,8.0,1605186284
"Etler pişmemişti, ekmek bayattı.",1.0,1.0,1.0,1605099884
Abicim gözünüzü seveyim bir daha ciğer yapmayın. Pilav üstü tavuk yine iyiydi. Pilav üstü tavukta kullandığınız pilavla ciğerin yanında verdiğiniz pilavın birbiri ile alakası yoktu. Pilav tavukçu şenol olarak güzel bir iş yapabilirsiniz ama ciğer değil.,1.0,2.0,1.0,1605013484
Tost çok kötüydü 3 dilim sucuk vardı sadece kuru ekmek yedi.,8.0,8.0,4.0,1605013484
Soğuk pilavı kimse tercih etmez. Lütfen biraz daha hassas.,1.0,1.0,1.0,1604840684
İlk defa ciğer söylediğim biyerden tavuk ciğeri geldi...,10.0,10.0,1.0,1604754284
Malzeme eksik lavaş beklerken somun gelmesi sinir etti dometes biber pişmemiş yanında sadece soğan var hiç beğenmedim o kadar sinirlendim ki lavaş yazdığı halde yerine somun gönderilmesine yemedim bile hiç tavsiye etmiyorum. Buna rağmen hız iyiydi bu konuda haksızlık edemem.,7.0,1.0,1.0,1604754284
Hersey eksikti ve hersey tatsızdi.,1.0,1.0,1.0,1604581484
"Bir kere joker çıktığı için yorumları okuduktan sonra korkarak sipariş vermiştim ancak hiçbir kötü yorumu haketmiyor. Ciğeri ve özellikle dağ kekikli tavuğu çok iyi, kesinlikle bir şans vermelisiniz.",10.0,10.0,10.0,1604581484
Yemek ve servis güzeldi. Fakat kuryeniz ile yaşadığımız sorundan dolayı hız a 1 veriyorum. Siparişimizi teslim aldıktan kısa süre sonra kuryeniz telefon numaramıza mesaj atarak bizim jokerden yararlanmak için onu uğraştırdığımızı söyledi. Bu bize yapılan bir saygısızlık oldu.,1.0,7.0,7.0,1604581484
Kolam gelmemıştı.,7.0,5.0,8.0,1604495084
Hızlı geldi kötü yorum yapan arkadaş ne bekliyor merak ediyorum doğrusu ürünler sıcak lezzetli siparişm sonra yirmi dakika bile olmadan geldi çoook teşekkür ederim.,10.0,10.0,10.0,1604495084
Kesinlikle lezzet konusunda tavsiye etmiyorum. Uzak durulması gereken bir restaurant.,7.0,5.0,3.0,1604408684
Lezzet servis muhteşem ötesi.,10.0,10.0,10.0,1604322284
"Siparişimizin hizindan, lezzetinden çok memnunuz ama menüde yazan ve daha önceki siparişlerinizde olan lavaş yoktu, normal ekmek vardı. Tek sorun bu.",8.0,6.0,8.0,1604235884
Lezzet olarak beğenmedim ozenilmemis.,8.0,7.0,2.0,1604149484
Eksik malzeme.,1.0,1.0,1.0,1604111738
Nasıl bir damak tadı anlam veremiyorum joker indirmi diye aldım. Ama asla tercih etmeyeceğim bir yer.,8.0,1.0,1.0,1604111738
Köri soslu tavuk söyledim lezzeti güzeldi ama yanında istediğim mercimek çorbası abartmıyorum gözlerini kapatıp icirsinler mercimek çorbası olduğunu tahmin edemezsin ne tadı ne tuzu vardı çorbayı direk çöpe atmak zorunda kaldım.,9.0,10.0,5.0,1604111738
Sipariş verdikten sonra okudum yorumları vala açıkçası vaz mı geçsem dedim. İyiki de vazgeçmemişim. Eşim tabakları alınca elim yandı dedi yani mükemmel sıcaklıkta. Birde indirimde aldık zaten tabiki beklentimiz büyük değildi ama doyurucuydu tabaklar. Teşekkür ederiz.,10.0,10.0,10.0,1604111738
"Lezzetli, hızlı, güzel sıcak servis.",10.0,10.0,10.0,1604111738
Lezzette sıkıntı yoktu ama bu kadar küçük porsiyon olamaz köfteler abartmıyorum serçe parmagimdan ufakti bu insanları kandırmaktan başka bişey değil.,4.0,4.0,8.0,1604111738
Hayatim da yediğim en kötü ciğer di.,1.0,4.0,1.0,1604111738
Hayatımda tadı bu kadar kötü başka bir şey yemedim.,1.0,1.0,1.0,1604111738
Tavuk çok lezzetli ve kıvamında pişmişti. Yemeksıcacık soframızdaydı. Lezzet te 1 puan kırdım nedeni pilav bir miktar daha pişse lazzetine doyum olmazdı. Siparişi getiren arkadaş zamanından önce yemeğimizi bize ulaştırdığı için ona da teşekkür ederiz.,10.0,10.0,9.0,1604111738
Yorumları okudum fakat ön yargılı davranmamak adına siparişi verdim ilk kez siparişi verdim bu da benim için son sipariş oldu.,9.0,3.0,3.0,1604111738
"Yemek sepetinin verdiği süreden bile hızlı geldi, joker ile tavuklu pilav aldım ve gayette güzeldi.",10.0,10.0,10.0,1604111738
Çok lezzetliydi. Puanları nasıl bukadar düşük olabilir anlamıyorum.,10.0,10.0,10.0,1604111738
İlk olumsuz yorumumu yazıyorum malesef normalde ekmek parası insanların der geçerdim ancak hiçbir şekilde yiyemedik hamburgeri kesinlikle hamburger değil ezogelin çorbasını döktük bir tek içeceğimizi içebildik birde yanında gönderdikleri ekmeği kuru kuru yiyebildik jokerle sipariş vermiştik zaten.,10.0,1.0,1.0,1604111738
Çok hızlı ve sıcak geldi. Ezogelin çorbaları baya acıydı bence ama boğazıma iyi geldi. Ciğer şiş ve ciğer tava çok güzeldi. Porsiyonlar yeterliydi. Nohut dürüm çok hoşuma gitmedi ilk defa yedim ama bence nar ekşisi baya fazlaydı.,10.0,10.0,10.0,1604111738
Ekmeği buz gibi 1 saatte geldi allahtan jokerliydi köfte ekmek yazıyor ama bildiğin çeyrek... Üzücü.,1.0,1.0,1.0,1604111738
"Joker geldi diye bir deneyeyim dedim, allahın gücüne gitmesin bir pirinç pilavı bu kadar mı kötü olur yiyemedim( tavukların tadı fena değildi, hızda normaldi).",7.0,6.0,4.0,1604111738
Ciğer tavul ciğeri çıktı ve belirtilmemişti tavuğun tadıda kötüydü. Pilav tuzsuz yağsız kupkuru geldi. Haram olsun verdiğim para.,4.0,1.0,1.0,1604111738
