comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok geç geldi ama sıcak ve lezzetliydi.,5.0,10.0,10.0,1606051707
Bezelyeleri koymasanız çok daha iyi her seferinde aynı sorun bezelyeler çok sert ya iyice yumuşatın yada koymayın bence geri kalan güzel.,9.0,9.0,8.0,1605965307
İyidi.,7.0,9.0,8.0,1605706107
Zam zam zam...,8.0,8.0,8.0,1605274107
Güzel.,10.0,10.0,8.0,1605014907
İzmitli olmayan anlamaz çoçukluğumuzun lezzeti hep aynı elinize sağlık.,10.0,10.0,10.0,1605014907
Hakikaten iyi.,9.0,9.0,9.0,1604928507
10 dk sürdü ya da sürmedi siparişin gelmesi. Siparişin meblağsına bakmaksızın hızlı davrandığınız için teşekkürler...,10.0,10.0,10.0,1604755707
5 dakikalık mesafeyi 1 saatte geldi. O yüzden kırdım puanı. Bu kadar uzun sürmemmlş.,1.0,9.0,9.0,1604669307
Kfi.,9.0,9.0,9.0,1604669307
Yeşilovaya minimum gönderim ücreti 45 tl olmuş :( tek başıma nasıl 45 tl lik yiyeyim.,10.0,10.0,10.0,1604496507
İyisiniz.,10.0,10.0,10.0,1604113161
Kuryenizin adını eşimle beraber bilerek sorduk çok kibardi çok efendi idi tunahan sıcak ve hızlı geldi fakat hamburgerleri iç içe koydugunuz için biraz yumusamislardi sicakliktan sanırım yinede elinize sağlık.,10.0,10.0,8.0,1604113161
Ellerinize sağlık.,10.0,10.0,10.0,1604113161
Çok hızlı ve taze tüm ürünler. Teşekkür ederim.,10.0,10.0,10.0,1604113161
Kfi.,10.0,10.0,10.0,1604113161
Lezzeti guzeldi kurye arkadas da cok sicak kanliydi kendisi bu yorumu okuyorsa beni hatirlayacaktir muhtemelen galatasay da yenildi diye mac sonucunu yazmadim yoruma :)).,10.0,10.0,10.0,1604113161
Restauranta beni üniversite yıllarıma götürdüğü için teşekkür ederim. Gerçektentr akya üniversitesi besyo kantinde yediğim hamburgerlerle birebir lezzete sahip hamburgerler gönderiyorlar. Serhat abi bizim kiraları partilemede yedikten sonra aç kalmamak için tercihlerimizin en başında gelirdi.,10.0,7.0,4.0,1604113161
Güsel.,10.0,10.0,10.0,1604113161
Hamburger sosu geliştirilmeli salça sürülüp gönderilmişe benziyor.,10.0,10.0,7.0,1604113161
Bu ne hız.,10.0,10.0,10.0,1604113161
Cok iyi.,10.0,10.0,10.0,1604113161
Sosisli sandviçi çok beğendim elinize sağlık.,10.0,10.0,10.0,1604113161
Gayet iyi.,10.0,10.0,10.0,1604113161
Gzl.,10.0,10.0,10.0,1604113161
Süper.,10.0,10.0,10.0,1604113161
Siparişe ekleme yapılınca kuryenizin tekrar gelmesini takdir ettim.,10.0,10.0,10.0,1604113161
Hamburger güzel değil maalesef.,8.0,8.0,4.0,1604113161
Hamburgeri herhangi bir hamburger kavramından çok uzak. Evde kendim yapsam daha güzel olur. Çok büyük beklentiyle sipari vermeyin.,9.0,8.0,2.0,1604113161
Tam aradığım lezzet.,10.0,10.0,10.0,1604113161
"Çok lezzetli, kurye güleryüzlü ve saygılı. Güvenle sipariş edilebilir.",10.0,10.0,10.0,1604113162
Lezzet olsun hızı olsun evet yakın mesafe ama yinede geç getirilebilirdi her zamanki gibi on numara çok güzeldi. Fakat patates kızartması olan bir siparişte ketçap mayonez olmaması bence bir eksikliktir. Ayrıca belirtilmemesi gerekiyor diye düşünmüştüm. Hız ve lezzet tamam ama bu konuda puan kırdım.,10.0,7.0,10.0,1604113162
Çok memnun kaldık.,10.0,10.0,10.0,1604113162
Ellerinize sağlık gayet güzeldi.,10.0,10.0,10.0,1601483416
10 numara restorant ama keşke birazcık yenilik olsa.. 5 6 yıl önce ne yediysem hala aynılarını yiyorum ıslak hamburger vsvs çeşitler getirseniz çok iyi olurdu.,10.0,10.0,10.0,1601483416
Öncelikle hamburger hayatımda yediğim en güzel hamburger olabilir. Fakat ayranımı getirmeyi unutmuşsunuz bide pipet koymuşsunuz. Bu beni çok üzdü.,8.0,4.0,10.0,1601483416
Harikaydı elinize sağlık.,9.0,9.0,10.0,1601483416
Adamsınız dayıcım ruhunu ve lezzetini yaşatan tek şubesiniz kralsınız.,10.0,10.0,10.0,1601483416
Müthiş patsoo.,10.0,10.0,10.0,1601483416
"Lezzeti güzel, servisi hızlı. Çok teşekkür ederiz.",10.0,10.0,10.0,1601483416
Owwwww dayiiiiiii eline sağlık ellerin dert görmesin alem buysa kral sensin.,10.0,10.0,10.0,1601483416
Çok lezizzzzzz.,10.0,10.0,10.0,1601483416
Geç ve çoooooook soğuk geldi köfte çok kıruydu.,1.0,4.0,4.0,1601483416
Yani güzel işte bildiğimiz dayıcım ama dayıcım şubeleri içinde en lezzetsiz burger kaptan şubesinde sanırım.,10.0,9.0,6.0,1601483416
Varsınız bu sektörde.,10.0,10.0,10.0,1601483416
