comment_text,comment_speed,comment_service,comment_taste,comment_time
Tavuk şiş çok iyiydi ellerinize sağlık.,10.0,10.0,10.0,1606572291
İlk kez bu kanalı kullandım we bukdar hızlı we aktif olucagnı tahmin etmemiştim halil ibrahim sofrasını bildgi den ordan sipariş werdim bilmedim hiç bir yerin yemegi yemem kısaca herşey için çok sağol halil ibrahim sofrası.,10.0,10.0,10.0,1606485891
Sıcacık adana dürümü ve getiren kuryenin samimiyeti harikaydı.,10.0,10.0,10.0,1606485891
Güler yüzlü servis ve lezzetli lahmacunlar için teşekkür ederim.,10.0,10.0,10.0,1606485891
Herşey çok güzel.,10.0,10.0,10.0,1606399491
Sıcaktı lezzetliydi tavsiye ederim. Çiğ köfte ikramı içinde teşekkürler.,10.0,9.0,9.0,1606399491
Her zamanki gibi lezzet çok iyiydi sadece biraz daha sıcak gelse mükemmel olur.,10.0,10.0,10.0,1606313091
Servis 2 saate geliyor yemeklerde de hiç lezzet yoktu.,1.0,1.0,1.0,1606140291
2 acili 1 acisiz lahmacun soyledim tatlari gayet guzel yaninda gelen salata guzel mercimek corbasi da ayni sekilde. Acili lahmacunlarin kenari biraz kurumusken acisiz lahmacun tam kivamindaydi.,8.0,8.0,8.0,1605967491
"Hamur çok kalın, iç harcı çok yavandı. Hız ve servise denecek laf yok.",9.0,9.0,6.0,1605794691
Her zaman ki gibi çok güzeldi herşey teşekkür ederiz..,10.0,10.0,10.0,1605794691
Lezzetli ve güler yüzlü hizmet.,10.0,10.0,10.0,1605276291
Çiğ köfte boyutu serçe parmaktan daha küçük yakıştıramadım 15 tlye satıyorsunuz..,10.0,1.0,1.0,1605189891
Hem hızlı hem de gelen her şey oldukça lezzetli. Tavuk kanat ve şiş tavuk istedik çok iyi bişmişti. Ayrıca gelen çiğköfte ikramı bonusu:).,10.0,10.0,10.0,1605189891
"Herşey çok güzeldi karışık ızgara, lahmacun, adana harikaydı çok begendik ellerinize emeginize saglık. İkram olarak çig köfte koymuşsunuz çook teşekkür ederiz oda çok güzeldi. Siparişi getiren arkadaşa da güler yüzünden dolayı teşeklür ederiz..",10.0,10.0,10.0,1605189891
"Teşekkürler, ezmenize bayıldım.",10.0,10.0,10.0,1605017091
Lezzetli ve güler yüzlü hizmet.,10.0,10.0,10.0,1605017091
Memnun kalmadım.,7.0,3.0,6.0,1604930691
Siparişlerimiz sıcacık ve yumuşacık geldi. Tadı gaget yerindeydi. Şimdiye kadar hiç pişman olmadık. Çok teşekkür ederiz. Başarılarının devamını dileriz.,8.0,9.0,9.0,1604930691
Hizli ve sicak geldi. Lezzetliydi yaninda ikramlarda vardi.,9.0,9.0,9.0,1604930691
Menü de ezme salata maydanoz yazıyordu ama sipariş geldiğinde yoktu notumu dikkate alıp acı biber turşusu gönderdiğiniz için teşekkürler.,9.0,8.0,10.0,1604585091
Süper lezzet süper kalite elinize sağlık.,10.0,10.0,10.0,1604498691
6 tl lik lahmacun la 7 tl lik lahmacun arasında fark olurmu olur deneyin görün elinize sağlık hocam.,10.0,10.0,10.0,1604412291
Mükemmel lezzet güleryüzlü servis getiren abiye saygılar yanında çiğköfte de koymuş mükemmel.,10.0,10.0,10.0,1604239491
"Gerçekten herşeyiyle çok güzeldi. Kanat, lahmacun, köfte hiç birinde kusur yoktu. Hele yanında yolladığınız sumaklı soğanlar çok başka bi lezzetliydi. Ellerinize sağlık...",10.0,10.0,10.0,1604115345
Sipariş hızlı geldi sıcak ve güzeldi ellerinize saglik.,10.0,10.0,10.0,1604115345
Siparişimiz gayet sıcak ve lezzetliydi. Hatta ikram olarak çiğ köftede eklemişlerdi. Paket servisteki arkadaşta ilgiliydi. Herşey için teşekkür ederiz çok memnun kaldık.,8.0,10.0,10.0,1604115345
Aşırı lezzetliydi zaten hep yemek soylediğim bir yer kuryeleri de çok güler yüzlü ellerinize sağlık ikram için teşekkür ederiz çok naziksiniz bol kazançlarınız olsun.,10.0,10.0,10.0,1604115345
Çiğ köfte ve ezme için teşekkürler lahmacunlar sıcaktı alikahya iztop evlerine 45 dak gibi bir sürede geldi biraz daha kıymalı olup o biberler azaltılmalıdır ama hamuru ve inceliği güzel teşekkürler.,6.0,8.0,7.0,1604115345
Mükemmel bir yer gerçekten güler yüzlü samimi bir paket servis abimiz süreli bize güzellikler yapıyor çiğköfte koyuyor fazladan ayran veriyor allah razı olsun bayılıyorum lezzetine.,10.0,10.0,10.0,1604115345
Şahaneydi herşey.,10.0,10.0,10.0,1604115346
Teşekkürler yine iyiydi :).,7.0,10.0,9.0,1604115346
Hizli geldi lezzeti yerindeydi.,9.0,9.0,10.0,1604115346
Bahşiş olsaydı verecektim yoktu gerçekten çok güzeldi ikram için teşekkürler.,10.0,10.0,10.0,1604115346
Hızlı geldi sıcaktı lahmacunlar da ayrıca ikram içinde çok teşekkür ederim.,10.0,10.0,10.0,1604115346
Cig kofte ikraminiz icin tesekkur ederim cok guzeldi ellerinize saglik.,9.0,9.0,9.0,1604115346
Hız - servis - lezzet 100.,10.0,10.0,10.0,1604115346
Kartepe bölgesinde lahmucunu tek gecerim lezzet hız süper ciğköfte ikramı icinde teşekkürler.,10.0,10.0,10.0,1604115346
Her zaman kaliteli hizmet ve lezzetli kebap ve lahmacunlar!,10.0,10.0,10.0,1604115346
Lahmacun ve ikram olarak gönderilen çiğköfte çok lezzetliydi teşekkür ederiz her şey için.,10.0,10.0,10.0,1604115346
Lahmacun çıtır değildi ve içi pek beklediğim gibi gelmedi böyle bir restaurantdan beklentim daha yüksekti. Üzgünüm.,4.0,4.0,3.0,1604115346
Sipariş geç geldi bu yüzdende pide sicaktan lastik gibi ve buz gibi olmuş. Kurye telefonda iki sokak asaya inebilirmisiniz dedi buda yaninda cabasi.,3.0,3.0,3.0,1604115346
Güzeldi sıcaktı beğendik. Ayrıca ikramlık çiğ köfte içinde teşekkürler.,9.0,9.0,9.0,1604115346
Sunum hız lezzet herşey yerli yerinde.,9.0,9.0,9.0,1604115346
Hem sıcak hem taze hem aşırı lezzetli hem de hemen gelen tek yemek yeri. Çalışanları çok güler yüzlü sıcak kanlı insanlar bir de çiğköfte yanına ikram ediyorlar adamsınız.,10.0,10.0,10.0,1604115346
Yanında getirdiğiniz çiğ köfte ikramı için teşekkürler.,9.0,8.0,9.0,1604115346
Lahmacun güzeldi yorumlarda ustunde kıyma yok yazısını cok gordum fakat bence gayette iyiydi lezzetliydi kıyması da boldu künefe de cok iyiydi sadece çiğköfteyi cok begenemedım belkı de lahmacun arkasından yediğim için oyle geldı bilemicem ama hızlıydı guzeldı hersey memnun kaldım.,10.0,10.0,10.0,1601485600
Gerçekten başarılı yanındaki çiğ köfte ikramı da şahaneydi elinize sağlık.,10.0,10.0,10.0,1601485600
Lahmacunu pek beğenmedik.,10.0,10.0,6.0,1601485600
"Hızlı ve güler yüzlü servis, müthiş lezzet ellerinize sağlık rabbim bol kazanç nasip etsin inşaallah.",10.0,10.0,10.0,1601485600
Herşey süperdi.,10.0,10.0,10.0,1601485600
İkram olarak konulan çiğ köfte de çok lezlettiydi. Teşekkürler.,10.0,10.0,10.0,1601485600
Çok lezzetli ve müşterilerine memnuniyetine önemseyen bir restorant.,10.0,10.0,10.0,1601485600
Her seferinde lezzet güzel. Teşekkürler.,10.0,10.0,10.0,1601485600
Sac tava harika.,10.0,10.0,10.0,1601485600
Acili ezmemiz gelmemişti ama yine de lezzet ve servis cok güzeldi zamanından önce de geldi allah kazancınızı bol etsin.,10.0,10.0,10.0,1601485600
Tavuklar tam pişmemişti.,10.0,10.0,7.0,1601485600
Bölgedeki en iyi restaurant diyebilirim.,10.0,10.0,10.0,1601485600
Çorba su gibiydi ve künefe çok kötüydü. Sadece lahmacunlar iyiydi.,8.0,10.0,6.0,1598855854
Eve yakın diye sipariş ettik.. Etmez olaydık 1 saatte teslim mi olur.,1.0,1.0,6.0,1598855854
İnsanlık namına 2 tuz fazla koysanız ölür müydünüz.,5.0,5.0,5.0,1598855855
Temiz bir lokanta. Sac tavanın lezzeti biraz geliştirilmeli. Genel olarak beğendim.,10.0,10.0,10.0,1598855855
"Karışık pidesi ve lahmacunu gerçekten muhteşem, güleryüzlü hizmet ve hızlı servisiylede gönüllere taht kurmuştur!",10.0,10.0,10.0,1598855855
Gayet güzeldi tavuk şiş fakat diğer malzemelerin yanında tavuk daha az kalıyor diyebilirim.,10.0,10.0,8.0,1598855855
Lahmacun cok guzel ve sicakti hayirli bereketli isler.,10.0,10.0,10.0,1598855855
Cok iyi. Personel guler yuzlu lezzet cok iyi hız cok iyi.,10.0,10.0,10.0,1598855855
Kaç yerden sipariş verdim ilk kez bu kadar hızlı bir sipariş getiren işletme gördüm en kısa zamanda döner ve iskender bekliyoruz başka yerlerden sipariş vermek istemiyorum artık tek adersimiz olun.,10.0,10.0,10.0,1598855855
Hızlı ve sıcak yedik pideleri ve lahmacunlari lezzeti özel ikramınız içinde teşekkür ederim. Ustamız da bu işi biliyor.,10.0,10.0,10.0,1596226109
Teşekkürler.,7.0,8.0,8.0,1596226109
Hemen hergün burdan yiyiyorum ve çok memnunum inşallah en kısa zamanda mekanınızada gelicez.,10.0,10.0,10.0,1596226109
Karışık pidenizi ilk defa istememe rağmen tadını çok beğendim ayrıca paketçi arkadaşa çok teşekkür ederim güler yüzlü ve nazik olduğu için.,10.0,10.0,10.0,1596226109
Uzun zamandır bu kadar lezzetli bir lahmacun yemedim. Teşekkürler.,10.0,10.0,10.0,1596226109
Kuryeci arkadaş çok iyiydi ona lafım yok ama insan paketin içine bari 2-3 peçete tuz koyardı... Lahmacun içini hiç iyi yapamamışsınız lahmacun iç harcında parmak kadar domates biber vardı bari bi rondadan satırdan geçireydiniz... İçinde kıymadan eser yok kıymaları cımbızla topladık...,8.0,2.0,2.0,1596226109
Gerçekten güzel pidesi lahmacunu meze salata güzel.,9.0,9.0,9.0,1596226109
Lahmacun ve adanası güzeldi 1 buçuk adananın yanına yarım pide koymasalardı dahada güzel ve doyurucu olurdu.,10.0,7.0,7.0,1596226109
Kunefesi bayağı iyi.,10.0,10.0,10.0,1596226109
Künefesi ve tavuk şişi gayet güzeldi beğendik.,10.0,10.0,9.0,1596226109
Telefonu açan arkadaşdan tutun da servis elemanı arkadaşa kadar her şey sorunsuz ve mükemmeldi. Teşekkürker.,10.0,10.0,10.0,1596226109
Lavaşı yerken çok sert lahmacunda malzeme cok az koymuslar.,7.0,6.0,7.0,1596226109
Güzel ızgara.,10.0,10.0,10.0,1596226109
Fevkaledenin fevkinde :)).,10.0,10.0,10.0,1596226109
Kurye adresi bulamadım diye beni aradı (daha önce sizden sipariş verdim) direk geldi. Adresin tam olarak yazmadığını söyledi (yazmasına rağmen). Haliyle buz gibi yemek zorunda kaldık.,1.0,5.0,5.0,1596226109
Yemeklerim.,10.0,10.0,10.0,1596226109
Gayet güzel bir restoran elinize sağlık.,10.0,10.0,10.0,1596226109
Sıcak sıcak geldi çok lezzetliydi çok teşekkür ederim canım.,10.0,10.0,10.0,1596226109
"Fiyat farkını lezzetiyle kapatıyorlar, tavsiye ederim.",10.0,9.0,10.0,1596226109
"Lahmacunu 1 sene önce bozduklarını düşünüyordum ama şimdi o kadar iyi olmuş ki servis, hız, lezzet muhteşem.",10.0,10.0,10.0,1596226109
Lezzetli güler yüz birazda hizli oldumu tadindan yenmez.,6.0,10.0,10.0,1596226109
Adana cok lezzetli lahmacunun malzemesi biraz arttırılabilir pek bir kıyma yok üstünde.,8.0,8.0,9.0,1596226109
Lezzetliydi bir sikinti yasamadim sadece biraz gec geldi siparis.,9.0,9.0,9.0,1596226109
Hayatımsa yediğim en kötü karışık pideydi. Yarısından çoğunu çöpe attım. Bir de 22 lira para :))) şaka gibi.,1.0,1.0,1.0,1593596364
Orta.,6.0,6.0,6.0,1593596364
Karışık kebap aldım gayet lezzetliydi. E porsiyon da dolu. Ama geç gelmesi üzüyor. Herhalde hazırlılayıp pişirme süresi bu restoranın ürün gamında uzun sürüyor.,5.0,9.0,9.0,1593596364
Civardaki en iyi lahmacun ve pide yapan yer diyebilirim.,8.0,10.0,10.0,1593596364
Lahmacunlar her zaman ki gibi bomba.,10.0,10.0,10.0,1593596364
Lezzetliydi.,10.0,10.0,10.0,1593596364
Ellerinize sağlık.,8.0,6.0,7.0,1593596364
