comment_text,comment_speed,comment_service,comment_taste,comment_time
Mükemmel her zaman ki gibi.,10.0,10.0,10.0,1606659688
Her şey kaliteliydi harika.,9.0,9.0,9.0,1606659688
Gayet lezzetli ve doyurucuydu.,10.0,10.0,10.0,1606659688
Efsane ellerinize sağlık cok hızlı ve güzel.,10.0,10.0,10.0,1606659688
Bayılarak yiyorum notta istediğim sote suyundan tutun da en ufak ricanıza kadar ilgileniyorlar notlar özenle okunuyor çok sevdiğim bir işletme. Ellerinize sağlık.,10.0,10.0,10.0,1606659688
Lezettli ve güzeldi ama fiyatlar pilav için biraz fazla.,9.0,9.0,9.0,1606486888
Gayet lezzetli.,9.0,9.0,9.0,1606486888
Güzel. Ellerinize sağlık.,9.0,9.0,9.0,1606486888
Ellerinize saglik her zamanki gibi 10.,10.0,10.0,10.0,1606486888
Pilavınız gayet güzeldi elinize sağlık..,10.0,10.0,10.0,1606486888
İzmitteki en iyi pilavcı.,10.0,10.0,10.0,1606400488
Güzeldi.,10.0,10.0,10.0,1606400488
Salatasi azdı karışık pilavın ama tadı falan gayet yerindeydi.,10.0,10.0,10.0,1606400488
Tavuk sote ve pilav gerçekten harikaydı hayırlı işler.,10.0,10.0,10.0,1606314088
İlk defa spariş verdim cok lezzetliydi teşekurler.,10.0,10.0,10.0,1606314088
Muhteşemm.,10.0,10.0,10.0,1606314088
Mükemmel.,10.0,10.0,10.0,1606227688
Pek memnun kaldığımızı söyleyemem..,5.0,5.0,5.0,1606227688
Gercekten cok guzeldi ellerinize saglik kolay gelsin.,10.0,10.0,10.0,1606141288
Her zamanki gibi şahane.,10.0,10.0,10.0,1606141288
Yediğim yiyebileceğim en güzel pilav.,10.0,10.0,10.0,1606054888
İyi.,10.0,10.0,10.0,1606054888
Tuzu biraz fazlaydi.,10.0,10.0,8.0,1605968488
Pilavın tadı hiç güzel değildi bozulmuş gibi kokuyordu.,4.0,1.0,2.0,1605882088
Ara ara burdan sipariş veriyorum beğeniyordum ama bugün gelen pilavın nohutları bozulmuş gibiydi kötü bir tadı vardı.,8.0,5.0,1.0,1605882088
Güzel.,10.0,10.0,10.0,1605882088
Herşey olması gerektiği gibi.,10.0,10.0,10.0,1605882088
Sürekli sipariş verdigim yer şahaneler.,10.0,10.0,10.0,1605795688
Notlarin onemsendigi tek isletme sanirim harikasiniz.,10.0,10.0,10.0,1605795688
İzmitin en muhteşem pilavcisi harikaa.,10.0,10.0,10.0,1605709288
Her zaman 10luk.,10.0,10.0,10.0,1605622888
Sıfır lezzet parlama yazık.,1.0,1.0,1.0,1605622888
Güzel.,8.0,8.0,9.0,1605622888
Her zamankisi gibi cok guzeldi ellerinize saglik iyi isler.,10.0,10.0,10.0,1605622888
Uzun boylu kurye adamdi.,10.0,10.0,10.0,1605536488
Memnun etmedi.,8.0,6.0,5.0,1605450088
Herşey çok güzeldi elinize sağlık...,10.0,10.0,10.0,1605277288
Güzel.,10.0,10.0,10.0,1605190888
Çok güzel.,10.0,10.0,10.0,1605104488
Çiğköfte de pilav da rezalet gerçekten.,2.0,8.0,1.0,1605018088
Buradan sipariş verecekseniz bir saatten önce gelmeyeceklerini bilerek sipariş vermenizi öneririm.,1.0,1.0,1.0,1604931688
Müthiş hızlı lezzet olarak da güzel tavsiye ederim.,10.0,10.0,10.0,1604845288
Çok boldu porsiyonu aşırı doyurucu ve uygun fiyatlı. Mevsim salata da yapsanız çok güzel olur.,9.0,10.0,9.0,1604845288
