comment_text,comment_speed,comment_service,comment_taste,comment_time
Hamburger ve patso pek başarılı değil..,8.0,6.0,5.0,1606400558
İyi.,8.0,8.0,8.0,1605795758
Süper.,10.0,10.0,10.0,1605622958
Güzeldi ama yavaş servis.,6.0,8.0,8.0,1605622958
Patso yerine tost yedim hiç güzel değildi.,5.0,3.0,3.0,1604499758
Hic doyurucu degildi hamburgerler çok küçük.,10.0,9.0,6.0,1604499758
Ketçap mayonez biraz daha bol olabilirdi aynı şekilde turşu da...,9.0,7.0,9.0,1604116412
Kumrunun içinde sucuk da olmalıydı.,8.0,8.0,8.0,1604116412
Kumru sakın denemeyin pişmanlıktır berbattı sadece salam koymuşlardı ayrıca en ucuzunu almışlar içinden kemik parçaları çıkıyordu sakın buradan kumru yemeyin diğerleri hakkında bilgim yok ama verdiğim para haram olsun böyle bir rezillik yok.,3.0,1.0,1.0,1604116412
Lezzetli izmir kumru.,10.0,10.0,10.0,1604116412
Elinize saglik lezzet olarak cok iyiydi.,8.0,8.0,9.0,1604116412
Tek geçerim harikaa.,10.0,10.0,10.0,1601486666
Sıcaktı.,8.0,10.0,8.0,1601486666
Kuryeye maske takması gerektiğini anlatırsanız memnun olurum.,8.0,1.0,8.0,1601486666
Ürünler fazla yağlı olması haricinde güzeldi iyi çalışmalar.,7.0,8.0,7.0,1601486666
Patsoya ketçap mayonezi turşuyu unutmasaniz süper olcak lezzet hız efsaneeeee.,10.0,8.0,10.0,1601486666
İzmit de yiyebilceniz güzel bir yer paket servisi de hızlı 10 üzerin den 10.,10.0,10.0,10.0,1601486666
Hem sicacik geldi hemde lezzetli teşekkürler.,9.0,9.0,10.0,1601486666
İdare edet sparislerin verilen sparisle pek bir ilgisi olmasada yenmicek gbi degildi.,4.0,4.0,4.0,1598856920
Güzel.,8.0,9.0,9.0,1598856920
Yemek sepetindeki en iyi aadresim.,10.0,10.0,10.0,1593597428
Hızlı geldi lezzetliydi.,10.0,10.0,10.0,1593597428
Köftli patso fovarim patsocu abiii.,10.0,10.0,10.0,1593597428
Hem patates hemde sandwich tek tercihim şampiyonsun kral.,10.0,10.0,10.0,1593597428
Gayet sağlıksız ve özensiz bi yemekti.,1.0,1.0,1.0,1593597428
